year,state,births
2010,act,5152
2010,nsw,101266
2010,nt,3899
2010,qld,64523
2010,sa,20078
2010,tas,6385
2010,vic,70572
2010,wa,31424
2011,act,5121
2011,nsw,99054
2011,nt,3954
2011,qld,63253
2011,sa,19892
2011,tas,6608
2011,vic,71444
2011,wa,32259
2012,act,5461
2012,nsw,98508
2012,nt,4104
2012,qld,63837
2012,sa,20433
2012,tas,6168
2012,vic,77405
2012,wa,33627
2013,act,5545
2013,nsw,100462
2013,nt,4053
2013,qld,63354
2013,sa,20090
2013,tas,6049
2013,vic,73969
2013,wa,34516
2014,act,5552
2014,nsw,91074
2014,nt,4026
2014,qld,63066
2014,sa,20384
2014,tas,5935
2014,vic,74224
2014,wa,35403
2015,act,5542
2015,nsw,100079
2015,nt,4004
2015,qld,61745
2015,sa,19587
2015,tas,5680
2015,vic,73568
2015,wa,35135
2016,act,5152
2016,nsw,96083
2016,nt,3927
2016,qld,61841
2016,sa,19772
2016,tas,5968
2016,vic,82892
2016,wa,35429
2017,act,6207
2017,nsw,96591
2017,nt,3882
2017,qld,61158
2017,sa,19072
2017,tas,5610
2017,vic,82094
2017,wa,34498
2018,act,5374
2018,nsw,107343
2018,nt,4050
2018,qld,61931
2018,sa,19113
2018,tas,5547
2018,vic,78488
2018,wa,33257
2019,act,5520
2019,nsw,98906
2019,nt,3658
2019,qld,61735
2019,sa,19490
2019,tas,5741
2019,vic,77220
2019,wa,33539
2020,act,5368
2020,nsw,95459
2020,nt,3752
2020,qld,59490
2020,sa,18526
2020,tas,5780
2020,vic,73543
2020,wa,32426
2021,act,5543
2021,nsw,101332
2021,nt,3784
2021,qld,64111
2021,sa,19757
2021,tas,6034
2021,vic,75363
2021,wa,34039
2022,act,5455
2022,nsw,97884
2022,nt,3614
2022,qld,62094
2022,sa,19449
2022,tas,5506
2022,vic,75189
2022,wa,31460
2023,act,5222
2023,nsw,91947
2023,nt,3316
2023,qld,58458
2023,sa,18504
2023,tas,5597
2023,vic,71889
2023,wa,32031
2024,act,5218
2024,nsw,89030
2024,nt,3521
2024,qld,58838
2024,sa,18444
2024,tas,5509
2024,vic,81193
2024,wa,30541
