year,region,sex,age,persons
2010,aus,female,0,144664
2010,aus,female,1,142837
2010,aus,female,2,142144
2010,aus,female,3,139506
2010,aus,female,4,138539
2010,aus,female,5,134034
2010,aus,female,6,132246
2010,aus,female,7,131390
2010,aus,female,8,131455
2010,aus,female,9,133147
2010,aus,female,10,134150
2010,aus,female,11,134342
2010,aus,female,12,133981
2010,aus,female,13,135880
2010,aus,female,14,136132
2010,aus,female,15,139145
2010,aus,female,16,138970
2010,aus,female,17,140235
2010,aus,female,18,143032
2010,aus,female,19,149345
2010,aus,female,20,154423
2010,aus,female,21,154739
2010,aus,female,22,154890
2010,aus,female,23,157183
2010,aus,female,24,159751
2010,aus,female,25,162068
2010,aus,female,26,161397
2010,aus,female,27,161898
2010,aus,female,28,158695
2010,aus,female,29,156829
2010,aus,female,30,152755
2010,aus,female,31,150404
2010,aus,female,32,148230
2010,aus,female,33,148194
2010,aus,female,34,149038
2010,aus,female,35,151623
2010,aus,female,36,155729
2010,aus,female,37,160560
2010,aus,female,38,167723
2010,aus,female,39,170604
2010,aus,female,40,160907
2010,aus,female,41,159379
2010,aus,female,42,153224
2010,aus,female,43,150333
2010,aus,female,44,150405
2010,aus,female,45,152475
2010,aus,female,46,156573
2010,aus,female,47,158778
2010,aus,female,48,158341
2010,aus,female,49,158070
2010,aus,female,50,153292
2010,aus,female,51,150580
2010,aus,female,52,147447
2010,aus,female,53,143942
2010,aus,female,54,141568
2010,aus,female,55,138188
2010,aus,female,56,134152
2010,aus,female,57,132738
2010,aus,female,58,127984
2010,aus,female,59,126564
2010,aus,female,60,124281
2010,aus,female,61,120500
2010,aus,female,62,121018
2010,aus,female,63,125586
2010,aus,female,64,105961
2010,aus,female,65,102511
2010,aus,female,66,97988
2010,aus,female,67,88757
2010,aus,female,68,86697
2010,aus,female,69,81201
2010,aus,female,70,78303
2010,aus,female,71,75342
2010,aus,female,72,71540
2010,aus,female,73,68864
2010,aus,female,74,66815
2010,aus,female,75,63246
2010,aus,female,76,60096
2010,aus,female,77,58557
2010,aus,female,78,56731
2010,aus,female,79,57415
2010,aus,female,80,55623
2010,aus,female,81,52731
2010,aus,female,82,50552
2010,aus,female,83,47181
2010,aus,female,84,44566
2010,aus,female,85,41343
2010,aus,female,86,37101
2010,aus,female,87,33209
2010,aus,female,88,29724
2010,aus,female,89,25568
2010,aus,female,90,20650
2010,aus,female,91,15091
2010,aus,female,92,12619
2010,aus,female,93,10502
2010,aus,female,94,8256
2010,aus,female,95,6638
2010,aus,female,96,4756
2010,aus,female,97,3319
2010,aus,female,98,2289
2010,aus,female,99,1527
2010,aus,female,100,2418
2010,aus,male,0,152773
2010,aus,male,1,150573
2010,aus,male,2,149392
2010,aus,male,3,147633
2010,aus,male,4,145951
2010,aus,male,5,142049
2010,aus,male,6,139854
2010,aus,male,7,137922
2010,aus,male,8,137848
2010,aus,male,9,140237
2010,aus,male,10,140433
2010,aus,male,11,141070
2010,aus,male,12,141551
2010,aus,male,13,142884
2010,aus,male,14,144081
2010,aus,male,15,147354
2010,aus,male,16,146978
2010,aus,male,17,147964
2010,aus,male,18,150568
2010,aus,male,19,156457
2010,aus,male,20,163224
2010,aus,male,21,163174
2010,aus,male,22,163172
2010,aus,male,23,165837
2010,aus,male,24,168661
2010,aus,male,25,169015
2010,aus,male,26,167310
2010,aus,male,27,167449
2010,aus,male,28,162884
2010,aus,male,29,159711
2010,aus,male,30,154197
2010,aus,male,31,151150
2010,aus,male,32,148036
2010,aus,male,33,147820
2010,aus,male,34,148373
2010,aus,male,35,150829
2010,aus,male,36,153988
2010,aus,male,37,158001
2010,aus,male,38,164585
2010,aus,male,39,166904
2010,aus,male,40,159027
2010,aus,male,41,156468
2010,aus,male,42,151063
2010,aus,male,43,148254
2010,aus,male,44,148042
2010,aus,male,45,149489
2010,aus,male,46,154198
2010,aus,male,47,155618
2010,aus,male,48,156226
2010,aus,male,49,155036
2010,aus,male,50,149973
2010,aus,male,51,147836
2010,aus,male,52,144103
2010,aus,male,53,141595
2010,aus,male,54,140247
2010,aus,male,55,135456
2010,aus,male,56,131310
2010,aus,male,57,130515
2010,aus,male,58,126550
2010,aus,male,59,124946
2010,aus,male,60,123008
2010,aus,male,61,119820
2010,aus,male,62,121483
2010,aus,male,63,125896
2010,aus,male,64,106831
2010,aus,male,65,101678
2010,aus,male,66,96786
2010,aus,male,67,87187
2010,aus,male,68,85844
2010,aus,male,69,79746
2010,aus,male,70,76802
2010,aus,male,71,72695
2010,aus,male,72,68395
2010,aus,male,73,65288
2010,aus,male,74,60850
2010,aus,male,75,55798
2010,aus,male,76,52936
2010,aus,male,77,50226
2010,aus,male,78,47819
2010,aus,male,79,46984
2010,aus,male,80,44405
2010,aus,male,81,40631
2010,aus,male,82,37488
2010,aus,male,83,33628
2010,aus,male,84,30179
2010,aus,male,85,26167
2010,aus,male,86,22243
2010,aus,male,87,18802
2010,aus,male,88,16090
2010,aus,male,89,12896
2010,aus,male,90,10175
2010,aus,male,91,6772
2010,aus,male,92,5189
2010,aus,male,93,4091
2010,aus,male,94,3042
2010,aus,male,95,2110
2010,aus,male,96,1478
2010,aus,male,97,1018
2010,aus,male,98,592
2010,aus,male,99,394
2010,aus,male,100,525
2011,aus,female,0,141370
2011,aus,female,1,143250
2011,aus,female,2,142664
2011,aus,female,3,142261
2011,aus,female,4,140042
2011,aus,female,5,140424
2011,aus,female,6,135789
2011,aus,female,7,133778
2011,aus,female,8,132800
2011,aus,female,9,132638
2011,aus,female,10,134241
2011,aus,female,11,135020
2011,aus,female,12,135369
2011,aus,female,13,134869
2011,aus,female,14,136823
2011,aus,female,15,137200
2011,aus,female,16,140445
2011,aus,female,17,140430
2011,aus,female,18,142483
2011,aus,female,19,146302
2011,aus,female,20,153141
2011,aus,female,21,157922
2011,aus,female,22,158050
2011,aus,female,23,158953
2011,aus,female,24,160127
2011,aus,female,25,162070
2011,aus,female,26,164517
2011,aus,female,27,164276
2011,aus,female,28,164858
2011,aus,female,29,161365
2011,aus,female,30,159796
2011,aus,female,31,154884
2011,aus,female,32,152299
2011,aus,female,33,150079
2011,aus,female,34,149892
2011,aus,female,35,150437
2011,aus,female,36,153143
2011,aus,female,37,157159
2011,aus,female,38,161766
2011,aus,female,39,169201
2011,aus,female,40,172268
2011,aus,female,41,162190
2011,aus,female,42,160747
2011,aus,female,43,154234
2011,aus,female,44,151057
2011,aus,female,45,150860
2011,aus,female,46,152792
2011,aus,female,47,156716
2011,aus,female,48,158875
2011,aus,female,49,158447
2011,aus,female,50,158425
2011,aus,female,51,153354
2011,aus,female,52,150907
2011,aus,female,53,147676
2011,aus,female,54,144074
2011,aus,female,55,141654
2011,aus,female,56,138267
2011,aus,female,57,134090
2011,aus,female,58,132341
2011,aus,female,59,127572
2011,aus,female,60,126033
2011,aus,female,61,123657
2011,aus,female,62,119844
2011,aus,female,63,120371
2011,aus,female,64,124897
2011,aus,female,65,105612
2011,aus,female,66,102186
2011,aus,female,67,97632
2011,aus,female,68,88353
2011,aus,female,69,86224
2011,aus,female,70,80543
2011,aus,female,71,77532
2011,aus,female,72,74316
2011,aus,female,73,70426
2011,aus,female,74,67558
2011,aus,female,75,65895
2011,aus,female,76,62244
2011,aus,female,77,59049
2011,aus,female,78,57418
2011,aus,female,79,55324
2011,aus,female,80,55872
2011,aus,female,81,53719
2011,aus,female,82,50708
2011,aus,female,83,48347
2011,aus,female,84,44814
2011,aus,female,85,41815
2011,aus,female,86,38461
2011,aus,female,87,34237
2011,aus,female,88,30248
2011,aus,female,89,26574
2011,aus,female,90,22481
2011,aus,female,91,17705
2011,aus,female,92,12718
2011,aus,female,93,10416
2011,aus,female,94,8452
2011,aus,female,95,6442
2011,aus,female,96,5091
2011,aus,female,97,3444
2011,aus,female,98,2377
2011,aus,female,99,1576
2011,aus,female,100,2500
2011,aus,male,0,149027
2011,aus,male,1,151366
2011,aus,male,2,150320
2011,aus,male,3,149673
2011,aus,male,4,148141
2011,aus,male,5,148229
2011,aus,male,6,144049
2011,aus,male,7,141402
2011,aus,male,8,139417
2011,aus,male,9,139108
2011,aus,male,10,141445
2011,aus,male,11,141421
2011,aus,male,12,142100
2011,aus,male,13,142585
2011,aus,male,14,143992
2011,aus,male,15,145265
2011,aus,male,16,148891
2011,aus,male,17,148744
2011,aus,male,18,150442
2011,aus,male,19,153257
2011,aus,male,20,159078
2011,aus,male,21,165562
2011,aus,male,22,165309
2011,aus,male,23,165991
2011,aus,male,24,167530
2011,aus,male,25,169468
2011,aus,male,26,169736
2011,aus,male,27,168334
2011,aus,male,28,168837
2011,aus,male,29,164709
2011,aus,male,30,161964
2011,aus,male,31,155898
2011,aus,male,32,152785
2011,aus,male,33,149373
2011,aus,male,34,149191
2011,aus,male,35,149645
2011,aus,male,36,152132
2011,aus,male,37,155299
2011,aus,male,38,159131
2011,aus,male,39,165997
2011,aus,male,40,168239
2011,aus,male,41,160004
2011,aus,male,42,157549
2011,aus,male,43,152125
2011,aus,male,44,148831
2011,aus,male,45,148328
2011,aus,male,46,149725
2011,aus,male,47,154192
2011,aus,male,48,155625
2011,aus,male,49,156277
2011,aus,male,50,155388
2011,aus,male,51,150059
2011,aus,male,52,148242
2011,aus,male,53,144347
2011,aus,male,54,141591
2011,aus,male,55,140047
2011,aus,male,56,135211
2011,aus,male,57,130958
2011,aus,male,58,129906
2011,aus,male,59,125947
2011,aus,male,60,124329
2011,aus,male,61,122104
2011,aus,male,62,119089
2011,aus,male,63,120640
2011,aus,male,64,125036
2011,aus,male,65,105917
2011,aus,male,66,100885
2011,aus,male,67,95977
2011,aus,male,68,86379
2011,aus,male,69,85095
2011,aus,male,70,78811
2011,aus,male,71,75721
2011,aus,male,72,71654
2011,aus,male,73,67211
2011,aus,male,74,63899
2011,aus,male,75,59213
2011,aus,male,76,54156
2011,aus,male,77,51134
2011,aus,male,78,48253
2011,aus,male,79,45655
2011,aus,male,80,44694
2011,aus,male,81,41975
2011,aus,male,82,38139
2011,aus,male,83,34802
2011,aus,male,84,30962
2011,aus,male,85,27482
2011,aus,male,86,23461
2011,aus,male,87,19744
2011,aus,male,88,16374
2011,aus,male,89,13877
2011,aus,male,90,10891
2011,aus,male,91,8273
2011,aus,male,92,5406
2011,aus,male,93,4063
2011,aus,male,94,3088
2011,aus,male,95,2257
2011,aus,male,96,1531
2011,aus,male,97,1007
2011,aus,male,98,667
2011,aus,male,99,397
2011,aus,male,100,552
2012,aus,female,0,148029
2012,aus,female,1,143649
2012,aus,female,2,145990
2012,aus,female,3,144948
2012,aus,female,4,144852
2012,aus,female,5,142675
2012,aus,female,6,141860
2012,aus,female,7,136936
2012,aus,female,8,134803
2012,aus,female,9,133905
2012,aus,female,10,133689
2012,aus,female,11,135294
2012,aus,female,12,136184
2012,aus,female,13,136346
2012,aus,female,14,135948
2012,aus,female,15,138014
2012,aus,female,16,139073
2012,aus,female,17,142898
2012,aus,female,18,143855
2012,aus,female,19,146824
2012,aus,female,20,150783
2012,aus,female,21,157462
2012,aus,female,22,162347
2012,aus,female,23,163227
2012,aus,female,24,163808
2012,aus,female,25,164428
2012,aus,female,26,167087
2012,aus,female,27,168898
2012,aus,female,28,168915
2012,aus,female,29,169428
2012,aus,female,30,165422
2012,aus,female,31,162793
2012,aus,female,32,157275
2012,aus,female,33,154431
2012,aus,female,34,151992
2012,aus,female,35,151710
2012,aus,female,36,152340
2012,aus,female,37,154651
2012,aus,female,38,158797
2012,aus,female,39,163523
2012,aus,female,40,170735
2012,aus,female,41,173915
2012,aus,female,42,163468
2012,aus,female,43,161901
2012,aus,female,44,155639
2012,aus,female,45,152023
2012,aus,female,46,151906
2012,aus,female,47,153342
2012,aus,female,48,157544
2012,aus,female,49,159434
2012,aus,female,50,158844
2012,aus,female,51,158728
2012,aus,female,52,153556
2012,aus,female,53,150702
2012,aus,female,54,147735
2012,aus,female,55,144001
2012,aus,female,56,141541
2012,aus,female,57,137873
2012,aus,female,58,134058
2012,aus,female,59,132251
2012,aus,female,60,127440
2012,aus,female,61,126012
2012,aus,female,62,123467
2012,aus,female,63,119571
2012,aus,female,64,120035
2012,aus,female,65,124178
2012,aus,female,66,104886
2012,aus,female,67,101168
2012,aus,female,68,96629
2012,aus,female,69,87369
2012,aus,female,70,85286
2012,aus,female,71,79672
2012,aus,female,72,76636
2012,aus,female,73,73336
2012,aus,female,74,69523
2012,aus,female,75,66572
2012,aus,female,76,64528
2012,aus,female,77,60689
2012,aus,female,78,57450
2012,aus,female,79,55753
2012,aus,female,80,53483
2012,aus,female,81,53711
2012,aus,female,82,51494
2012,aus,female,83,48188
2012,aus,female,84,45635
2012,aus,female,85,42135
2012,aus,female,86,38888
2012,aus,female,87,35291
2012,aus,female,88,31083
2012,aus,female,89,27079
2012,aus,female,90,23416
2012,aus,female,91,19423
2012,aus,female,92,14989
2012,aus,female,93,10551
2012,aus,female,94,8546
2012,aus,female,95,6683
2012,aus,female,96,4912
2012,aus,female,97,3735
2012,aus,female,98,2486
2012,aus,female,99,1653
2012,aus,female,100,2620
2012,aus,male,0,156689
2012,aus,male,1,151351
2012,aus,male,2,153940
2012,aus,male,3,152827
2012,aus,male,4,152415
2012,aus,male,5,150939
2012,aus,male,6,149781
2012,aus,male,7,145136
2012,aus,male,8,142746
2012,aus,male,9,140610
2012,aus,male,10,140316
2012,aus,male,11,142659
2012,aus,male,12,142619
2012,aus,male,13,143227
2012,aus,male,14,143631
2012,aus,male,15,145048
2012,aus,male,16,146915
2012,aus,male,17,151306
2012,aus,male,18,151992
2012,aus,male,19,154379
2012,aus,male,20,157511
2012,aus,male,21,163335
2012,aus,male,22,170006
2012,aus,male,23,169943
2012,aus,male,24,170356
2012,aus,male,25,170843
2012,aus,male,26,172715
2012,aus,male,27,172646
2012,aus,male,28,171586
2012,aus,male,29,172222
2012,aus,male,30,168088
2012,aus,male,31,164808
2012,aus,male,32,158485
2012,aus,male,33,154908
2012,aus,male,34,151692
2012,aus,male,35,151437
2012,aus,male,36,152049
2012,aus,male,37,154130
2012,aus,male,38,157424
2012,aus,male,39,161022
2012,aus,male,40,167349
2012,aus,male,41,169485
2012,aus,male,42,160846
2012,aus,male,43,158097
2012,aus,male,44,152776
2012,aus,male,45,149347
2012,aus,male,46,149118
2012,aus,male,47,150076
2012,aus,male,48,154794
2012,aus,male,49,156165
2012,aus,male,50,156466
2012,aus,male,51,155470
2012,aus,male,52,150085
2012,aus,male,53,147853
2012,aus,male,54,143993
2012,aus,male,55,140973
2012,aus,male,56,139459
2012,aus,male,57,134214
2012,aus,male,58,130147
2012,aus,male,59,129178
2012,aus,male,60,125359
2012,aus,male,61,123842
2012,aus,male,62,121516
2012,aus,male,63,118530
2012,aus,male,64,119932
2012,aus,male,65,123979
2012,aus,male,66,104706
2012,aus,male,67,99573
2012,aus,male,68,94608
2012,aus,male,69,84941
2012,aus,male,70,83577
2012,aus,male,71,77260
2012,aus,male,72,74026
2012,aus,male,73,69763
2012,aus,male,74,65397
2012,aus,male,75,61995
2012,aus,male,76,57402
2012,aus,male,77,52187
2012,aus,male,78,49054
2012,aus,male,79,46092
2012,aus,male,80,43406
2012,aus,male,81,42210
2012,aus,male,82,39377
2012,aus,male,83,35515
2012,aus,male,84,32074
2012,aus,male,85,28246
2012,aus,male,86,24809
2012,aus,male,87,20827
2012,aus,male,88,17405
2012,aus,male,89,14095
2012,aus,male,90,11740
2012,aus,male,91,9003
2012,aus,male,92,6759
2012,aus,male,93,4261
2012,aus,male,94,3136
2012,aus,male,95,2292
2012,aus,male,96,1640
2012,aus,male,97,1079
2012,aus,male,98,681
2012,aus,male,99,447
2012,aus,male,100,615
2013,aus,female,0,150574
2013,aus,female,1,149164
2013,aus,female,2,146286
2013,aus,female,3,148397
2013,aus,female,4,147114
2013,aus,female,5,147182
2013,aus,female,6,145067
2013,aus,female,7,143088
2013,aus,female,8,137887
2013,aus,female,9,135792
2013,aus,female,10,134912
