year,state,sex,age,persons
2010,act,female,0,2486
2010,act,female,1,2282
2010,act,female,2,2224
2010,act,female,3,2216
2010,act,female,4,2243
2010,act,female,5,2124
2010,act,female,6,2089
2010,act,female,7,2018
2010,act,female,8,2003
2010,act,female,9,2081
2010,act,female,10,2056
2010,act,female,11,2093
2010,act,female,12,2043
2010,act,female,13,2069
2010,act,female,14,2111
2010,act,female,15,2114
2010,act,female,16,2255
2010,act,female,17,2372
2010,act,female,18,2634
2010,act,female,19,2979
2010,act,female,20,3174
2010,act,female,21,3231
2010,act,female,22,3153
2010,act,female,23,3163
2010,act,female,24,3172
2010,act,female,25,3203
2010,act,female,26,3251
2010,act,female,27,3134
2010,act,female,28,3225
2010,act,female,29,3071
2010,act,female,30,2984
2010,act,female,31,2845
2010,act,female,32,2738
2010,act,female,33,2661
2010,act,female,34,2543
2010,act,female,35,2664
2010,act,female,36,2767
2010,act,female,37,2847
2010,act,female,38,2902
2010,act,female,39,2858
2010,act,female,40,2676
2010,act,female,41,2661
2010,act,female,42,2504
2010,act,female,43,2438
2010,act,female,44,2549
2010,act,female,45,2483
2010,act,female,46,2591
2010,act,female,47,2469
2010,act,female,48,2605
2010,act,female,49,2555
2010,act,female,50,2473
2010,act,female,51,2506
2010,act,female,52,2394
2010,act,female,53,2360
2010,act,female,54,2317
2010,act,female,55,2212
2010,act,female,56,2105
2010,act,female,57,2145
2010,act,female,58,2112
2010,act,female,59,2073
2010,act,female,60,1944
2010,act,female,61,1863
2010,act,female,62,1910
2010,act,female,63,1921
2010,act,female,64,1545
2010,act,female,65,1471
2010,act,female,66,1368
2010,act,female,67,1223
2010,act,female,68,1170
2010,act,female,69,1084
2010,act,female,70,1019
2010,act,female,71,972
2010,act,female,72,921
2010,act,female,73,899
2010,act,female,74,803
2010,act,female,75,770
2010,act,female,76,777
2010,act,female,77,698
2010,act,female,78,674
2010,act,female,79,618
2010,act,female,80,617
2010,act,female,81,618
2010,act,female,82,599
2010,act,female,83,575
2010,act,female,84,566
2010,act,female,85,485
2010,act,female,86,470
2010,act,female,87,423
2010,act,female,88,353
2010,act,female,89,297
2010,act,female,90,240
2010,act,female,91,164
2010,act,female,92,131
2010,act,female,93,118
2010,act,female,94,79
2010,act,female,95,68
2010,act,female,96,54
2010,act,female,97,35
2010,act,female,98,18
2010,act,female,99,15
2010,act,female,100,25
2010,act,male,0,2637
2010,act,male,1,2532
2010,act,male,2,2394
2010,act,male,3,2383
2010,act,male,4,2436
2010,act,male,5,2303
2010,act,male,6,2228
2010,act,male,7,2177
2010,act,male,8,2027
2010,act,male,9,2069
2010,act,male,10,2133
2010,act,male,11,2126
2010,act,male,12,2141
2010,act,male,13,2153
2010,act,male,14,2120
2010,act,male,15,2303
2010,act,male,16,2292
2010,act,male,17,2562
2010,act,male,18,2862
2010,act,male,19,3147
2010,act,male,20,3329
2010,act,male,21,3306
2010,act,male,22,3365
2010,act,male,23,3344
2010,act,male,24,3431
2010,act,male,25,3361
2010,act,male,26,3387
2010,act,male,27,3298
2010,act,male,28,3119
2010,act,male,29,3017
2010,act,male,30,2860
2010,act,male,31,2872
2010,act,male,32,2779
2010,act,male,33,2766
2010,act,male,34,2682
2010,act,male,35,2771
2010,act,male,36,2698
2010,act,male,37,2721
2010,act,male,38,2788
2010,act,male,39,2876
2010,act,male,40,2745
2010,act,male,41,2585
2010,act,male,42,2479
2010,act,male,43,2430
2010,act,male,44,2355
2010,act,male,45,2445
2010,act,male,46,2403
2010,act,male,47,2446
2010,act,male,48,2485
2010,act,male,49,2438
2010,act,male,50,2426
2010,act,male,51,2314
2010,act,male,52,2265
2010,act,male,53,2217
2010,act,male,54,2131
2010,act,male,55,2056
2010,act,male,56,2061
2010,act,male,57,2036
2010,act,male,58,1972
2010,act,male,59,1899
2010,act,male,60,1919
2010,act,male,61,1815
2010,act,male,62,1794
2010,act,male,63,1908
2010,act,male,64,1596
2010,act,male,65,1357
2010,act,male,66,1260
2010,act,male,67,1162
2010,act,male,68,1158
2010,act,male,69,996
2010,act,male,70,992
2010,act,male,71,909
2010,act,male,72,855
2010,act,male,73,774
2010,act,male,74,737
2010,act,male,75,699
2010,act,male,76,600
2010,act,male,77,581
2010,act,male,78,548
2010,act,male,79,569
2010,act,male,80,480
2010,act,male,81,452
2010,act,male,82,429
2010,act,male,83,379
2010,act,male,84,359
2010,act,male,85,314
2010,act,male,86,262
2010,act,male,87,218
2010,act,male,88,202
2010,act,male,89,158
2010,act,male,90,127
2010,act,male,91,60
2010,act,male,92,55
2010,act,male,93,45
2010,act,male,94,43
2010,act,male,95,29
2010,act,male,96,10
2010,act,male,97,11
2010,act,male,98,7
2010,act,male,99,4
2010,act,male,100,4
2010,nsw,female,0,47634
2010,nsw,female,1,46845
2010,nsw,female,2,46277
2010,nsw,female,3,45375
2010,nsw,female,4,44834
2010,nsw,female,5,43410
2010,nsw,female,6,42690
2010,nsw,female,7,42716
2010,nsw,female,8,42339
2010,nsw,female,9,42929
2010,nsw,female,10,43446
2010,nsw,female,11,43047
2010,nsw,female,12,43162
2010,nsw,female,13,43609
2010,nsw,female,14,43498
2010,nsw,female,15,44503
2010,nsw,female,16,44365
2010,nsw,female,17,44396
2010,nsw,female,18,44872
2010,nsw,female,19,47159
2010,nsw,female,20,48360
2010,nsw,female,21,48178
2010,nsw,female,22,48099
2010,nsw,female,23,49430
2010,nsw,female,24,50333
2010,nsw,female,25,51320
2010,nsw,female,26,51529
2010,nsw,female,27,52290
2010,nsw,female,28,51576
2010,nsw,female,29,51164
2010,nsw,female,30,49753
2010,nsw,female,31,49313
2010,nsw,female,32,48696
2010,nsw,female,33,48723
2010,nsw,female,34,48641
2010,nsw,female,35,49433
2010,nsw,female,36,50840
2010,nsw,female,37,52360
2010,nsw,female,38,54092
2010,nsw,female,39,54577
2010,nsw,female,40,50938
2010,nsw,female,41,50488
2010,nsw,female,42,48413
2010,nsw,female,43,47791
2010,nsw,female,44,47682
2010,nsw,female,45,48809
2010,nsw,female,46,50661
2010,nsw,female,47,51713
2010,nsw,female,48,51267
2010,nsw,female,49,51321
2010,nsw,female,50,49760
2010,nsw,female,51,48611
2010,nsw,female,52,48385
2010,nsw,female,53,46845
2010,nsw,female,54,45765
2010,nsw,female,55,45040
2010,nsw,female,56,43516
2010,nsw,female,57,43137
2010,nsw,female,58,41570
2010,nsw,female,59,40814
2010,nsw,female,60,40283
2010,nsw,female,61,39096
2010,nsw,female,62,39470
2010,nsw,female,63,40891
2010,nsw,female,64,35117
2010,nsw,female,65,33986
2010,nsw,female,66,32632
2010,nsw,female,67,29631
2010,nsw,female,68,28762
2010,nsw,female,69,27414
2010,nsw,female,70,26258
2010,nsw,female,71,25309
2010,nsw,female,72,24263
2010,nsw,female,73,23539
2010,nsw,female,74,22981
2010,nsw,female,75,21762
