run_year,state,arrivals,departures
2010,act,19425,18071
2010,nsw,82254,95750
2010,nt,15128,17677
2010,qld,85328,78533
2010,sa,22000,24614
2010,tas,11505,11552
2010,vic,64959,61425
2010,wa,37288,30255
2011,act,19777,18632
2011,nsw,85805,103920
2011,nt,16415,17106
2011,qld,91959,80177
2011,sa,22662,25882
2011,tas,11341,13266
2011,vic,69772,67355
2011,wa,40109,31500
2012,act,18139,17937
2012,nsw,82993,97638
2012,nt,15657,16138
2012,qld,87632,78758
2012,sa,21407,26168
2012,tas,10985,12271
2012,vic,71074,64654
2012,wa,37483,31807
2013,act,18502,19314
2013,nsw,91286,98037
2013,nt,15112,17533
2013,qld,89424,83130
2013,sa,22645,26535
2013,tas,11517,11952
2013,vic,75497,65758
2013,wa,33704,35428
2014,act,18651,18754
2014,nsw,88111,94887
2014,nt,14573,16914
2014,qld,85512,78651
2014,sa,21209,25779
2014,tas,11210,11083
2014,vic,74310,63231
2014,wa,30362,34640
2015,act,20701,20318
2015,nsw,94097,105636
2015,nt,15363,17392
2015,qld,94035,82049
2015,sa,21826,29038
2015,tas,12357,11597
2015,vic,84236,66597
2015,wa,29001,39011
2016,act,24612,21697
2016,nsw,110708,126672
2016,nt,17021,18954
2016,qld,113680,96186
2016,sa,26269,32569
2016,tas,15439,13498
2016,vic,94833,81085
2016,wa,32850,44751
2017,act,25576,23648
2017,nsw,113750,136249
2017,nt,17143,19820
2017,qld,122680,98117
2017,sa,28220,32892
2017,tas,17027,13998
2017,vic,97207,88106
2017,wa,34789,43562
2018,act,26769,24544
2018,nsw,117057,140887
2018,nt,18441,21453
2018,qld,127073,104427
2018,sa,30173,33486
2018,tas,17349,15138
2018,vic,100078,93598
2018,wa,39228,42635
2019,act,24233,21894
2019,nsw,103848,126298
2019,nt,17126,18025
2019,qld,114634,90875
2019,sa,27922,29175
2019,tas,14720,13832
2019,vic,83730,86382
2019,wa,34482,34214
2020,act,25750,19475
2020,nsw,79277,113285
2020,nt,15496,15815
2020,qld,106553,66330
2020,sa,27266,22415
2020,tas,17335,12738
2020,vic,57355,92977
2020,wa,36473,22470
2021,act,25081,22922
2021,nsw,99491,125040
2021,nt,17560,17765
2021,qld,121705,83898
2021,sa,30301,26498
2021,tas,15639,14850
2021,vic,69306,100210
2021,wa,39677,27577
2022,act,21422,22396
2022,nsw,83891,119190
2022,nt,15338,17607
2022,qld,110352,78915
2022,sa,26452,25973
2022,tas,12718,16605
2022,vic,73947,79961
2022,wa,41650,25123
2023,act,20687,22254
2023,nsw,85350,115095
2023,nt,14875,17391
2023,qld,110150,81193
2023,sa,24473,26239
2023,tas,12980,16389
2023,vic,74824,79066
2023,wa,41472,27184
2024,act,19907,21030
2024,nsw,84808,109594
2024,nt,15111,15962
2024,qld,103011,81047
2024,sa,23806,26228
2024,tas,14088,14689
2024,vic,74338,77896
2024,wa,39384,28007
