period_start,period_end,state,sex,age,qx
2018,2020,act,female,0,0.00234
2018,2020,act,female,1,0.00021
2018,2020,act,female,2,0.0001
2018,2020,act,female,3,0.0001
2018,2020,act,female,4,0.00008
2018,2020,act,female,5,0.00007
2018,2020,act,female,6,0.00006
2018,2020,act,female,7,0.00005
2018,2020,act,female,8,0.00005
2018,2020,act,female,9,0.00005
2018,2020,act,female,10,0.00006
2018,2020,act,female,11,0.00007
2018,2020,act,female,12,0.00009
2018,2020,act,female,13,0.00011
2018,2020,act,female,14,0.00015
2018,2020,act,female,15,0.00017
2018,2020,act,female,16,0.0002
2018,2020,act,female,17,0.00022
2018,2020,act,female,18,0.00023
2018,2020,act,female,19,0.00024
2018,2020,act,female,20,0.00025
2018,2020,act,female,21,0.00025
2018,2020,act,female,22,0.00025
2018,2020,act,female,23,0.00026
2018,2020,act,female,24,0.00026
2018,2020,act,female,25,0.00028
2018,2020,act,female,26,0.00029
2018,2020,act,female,27,0.00032
2018,2020,act,female,28,0.00034
2018,2020,act,female,29,0.00036
2018,2020,act,female,30,0.00039
2018,2020,act,female,31,0.00041
2018,2020,act,female,32,0.00045
2018,2020,act,female,33,0.00049
2018,2020,act,female,34,0.00054
2018,2020,act,female,35,0.00059
2018,2020,act,female,36,0.00063
2018,2020,act,female,37,0.00068
2018,2020,act,female,38,0.00072
2018,2020,act,female,39,0.00077
2018,2020,act,female,40,0.00081
2018,2020,act,female,41,0.00086
2018,2020,act,female,42,0.00093
2018,2020,act,female,43,0.001
2018,2020,act,female,44,0.00106
2018,2020,act,female,45,0.00112
2018,2020,act,female,46,0.00118
2018,2020,act,female,47,0.00125
2018,2020,act,female,48,0.00131
2018,2020,act,female,49,0.00137
2018,2020,act,female,50,0.00143
2018,2020,act,female,51,0.00151
2018,2020,act,female,52,0.00159
2018,2020,act,female,53,0.00169
2018,2020,act,female,54,0.00178
2018,2020,act,female,55,0.00186
2018,2020,act,female,56,0.00192
2018,2020,act,female,57,0.002
2018,2020,act,female,58,0.00208
2018,2020,act,female,59,0.0022
2018,2020,act,female,60,0.00237
2018,2020,act,female,61,0.00255
2018,2020,act,female,62,0.00269
2018,2020,act,female,63,0.0028
2018,2020,act,female,64,0.0029
2018,2020,act,female,65,0.00306
2018,2020,act,female,66,0.00332
2018,2020,act,female,67,0.0037
2018,2020,act,female,68,0.00421
2018,2020,act,female,69,0.00486
2018,2020,act,female,70,0.00566
2018,2020,act,female,71,0.00662
2018,2020,act,female,72,0.00778
2018,2020,act,female,73,0.00914
2018,2020,act,female,74,0.01074
2018,2020,act,female,75,0.01263
2018,2020,act,female,76,0.01481
2018,2020,act,female,77,0.01735
2018,2020,act,female,78,0.02047
2018,2020,act,female,79,0.02427
2018,2020,act,female,80,0.02884
2018,2020,act,female,81,0.03423
2018,2020,act,female,82,0.04041
2018,2020,act,female,83,0.04754
2018,2020,act,female,84,0.05585
2018,2020,act,female,85,0.06525
2018,2020,act,female,86,0.07583
2018,2020,act,female,87,0.08786
2018,2020,act,female,88,0.10131
2018,2020,act,female,89,0.11668
2018,2020,act,female,90,0.13398
2018,2020,act,female,91,0.15299
2018,2020,act,female,92,0.16882
2018,2020,act,female,93,0.18679
