year,state,sex,age_band,rate_per_1000,status
2010,act,female,0-4,0.7,published
2010,act,female,10-14,0.1,published
2010,act,female,100+,360.0,published
2010,act,female,15-19,0.2,published
2010,act,female,20-24,0.0,published
2010,act,female,25-29,0.4,published
2010,act,female,30-34,0.1,published
2010,act,female,35-39,0.4,published
2010,act,female,40-44,0.4,published
2010,act,female,45-49,0.7,published
2010,act,female,5-9,0.0,published
2010,act,female,50-54,1.6,published
2010,act,female,55-59,1.9,published
2010,act,female,60-64,4.4,published
2010,act,female,65-69,7.6,published
2010,act,female,70-74,12.6,published
2010,act,female,75-79,23.5,published
2010,act,female,80-84,39.7,published
2010,act,female,85-89,89.7,published
2010,act,female,90-94,169.4,published
2010,act,female,95-99,284.2,published
2010,act,male,0-4,1.1,published
2010,act,male,10-14,0.1,published
2010,act,male,100+,1000.0,published
2010,act,male,15-19,0.1,published
2010,act,male,20-24,0.6,published
2010,act,male,25-29,0.5,published
2010,act,male,30-34,0.6,published
2010,act,male,35-39,1.7,published
2010,act,male,40-44,1.7,published
2010,act,male,45-49,1.5,published
2010,act,male,5-9,0.0,published
2010,act,male,50-54,3.1,published
2010,act,male,55-59,4.3,published
2010,act,male,60-64,6.0,published
2010,act,male,65-69,10.8,published
2010,act,male,70-74,19.5,published
2010,act,male,75-79,36.7,published
2010,act,male,80-84,60.0,published
2010,act,male,85-89,132.6,published
2010,act,male,90-94,248.5,published
2010,act,male,95-99,377.0,published
2010,nsw,female,0-4,0.8,published
2010,nsw,female,10-14,0.1,published
2010,nsw,female,100+,414.7,published
2010,nsw,female,15-19,0.2,published
2010,nsw,female,20-24,0.2,published
2010,nsw,female,25-29,0.3,published
2010,nsw,female,30-34,0.4,published
2010,nsw,female,35-39,0.5,published
2010,nsw,female,40-44,0.9,published
2010,nsw,female,45-49,1.3,published
2010,nsw,female,5-9,0.1,published
2010,nsw,female,50-54,2.1,published
2010,nsw,female,55-59,3.1,published
2010,nsw,female,60-64,5.0,published
2010,nsw,female,65-69,8.0,published
2010,nsw,female,70-74,13.2,published
2010,nsw,female,75-79,23.3,published
2010,nsw,female,80-84,45.6,published
2010,nsw,female,85-89,86.6,published
2010,nsw,female,90-94,165.5,published
2010,nsw,female,95-99,277.5,published
2010,nsw,male,0-4,1.1,published
2010,nsw,male,10-14,0.1,published
2010,nsw,male,100+,335.3,published
2010,nsw,male,15-19,0.5,published
2010,nsw,male,20-24,0.6,published
2010,nsw,male,25-29,0.6,published
2010,nsw,male,30-34,0.8,published
2010,nsw,male,35-39,1.0,published
2010,nsw,male,40-44,1.5,published
2010,nsw,male,45-49,2.3,published
2010,nsw,male,5-9,0.1,published
2010,nsw,male,50-54,3.5,published
2010,nsw,male,55-59,5.4,published
2010,nsw,male,60-64,8.1,published
2010,nsw,male,65-69,13.1,published
2010,nsw,male,70-74,21.5,published
2010,nsw,male,75-79,37.3,published
2010,nsw,male,80-84,67.1,published
2010,nsw,male,85-89,118.6,published
2010,nsw,male,90-94,205.9,published
2010,nsw,male,95-99,312.0,published
2010,nt,female,0-4,1.4,published
2010,nt,female,10-14,0.3,published
2010,nt,female,100+,,not_published_zero_exposure
2010,nt,female,15-19,0.1,published
2010,nt,female,20-24,0.6,published
2010,nt,female,25-29,1.0,published
2010,nt,female,30-34,0.8,published
2010,nt,female,35-39,1.4,published
2010,nt,female,40-44,2.3,published
2010,nt,female,45-49,2.7,published
2010,nt,female,5-9,0.0,published
2010,nt,female,50-54,4.6,published
2010,nt,female,55-59,4.5,published
2010,nt,female,60-64,7.2,published
2010,nt,female,65-69,10.3,published
2010,nt,female,70-74,22.5,published
2010,nt,female,75-79,33.9,published
2010,nt,female,80-84,49.5,published
2010,nt,female,85-89,111.9,published
2010,nt,female,90-94,177.6,published
2010,nt,female,95-99,500.0,published
2010,nt,male,0-4,2.1,published
2010,nt,male,10-14,0.1,published
2010,nt,male,100+,0.0,published
2010,nt,male,15-19,1.1,published
2010,nt,male,20-24,2.6,published
2010,nt,male,25-29,1.9,published
2010,nt,male,30-34,2.4,published
2010,nt,male,35-39,2.7,published
2010,nt,male,40-44,3.5,published
2010,nt,male,45-49,4.5,published
2010,nt,male,5-9,0.1,published
2010,nt,male,50-54,6.9,published
2010,nt,male,55-59,8.7,published
2010,nt,male,60-64,14.2,published
2010,nt,male,65-69,19.2,published
2010,nt,male,70-74,33.5,published
2010,nt,male,75-79,43.7,published
2010,nt,male,80-84,86.4,published
2010,nt,male,85-89,158.2,published
2010,nt,male,90-94,159.1,published
2010,nt,male,95-99,250.0,published
2010,qld,female,0-4,1.1,published
2010,qld,female,10-14,0.1,published
2010,qld,female,100+,430.8,published
2010,qld,female,15-19,0.3,published
2010,qld,female,20-24,0.4,published
2010,qld,female,25-29,0.3,published
2010,qld,female,30-34,0.5,published
2010,qld,female,35-39,0.7,published
2010,qld,female,40-44,1.1,published
2010,qld,female,45-49,1.5,published
2010,qld,female,5-9,0.1,published
2010,qld,female,50-54,2.2,published
2010,qld,female,55-59,3.2,published
2010,qld,female,60-64,5.0,published
2010,qld,female,65-69,7.9,published
2010,qld,female,70-74,14.6,published
2010,qld,female,75-79,23.2,published
2010,qld,female,80-84,47.3,published
2010,qld,female,85-89,94.5,published
2010,qld,female,90-94,174.2,published
2010,qld,female,95-99,269.4,published
2010,qld,male,0-4,1.5,published
2010,qld,male,10-14,0.2,published
2010,qld,male,100+,477.3,published
2010,qld,male,15-19,0.5,published
2010,qld,male,20-24,0.7,published
2010,qld,male,25-29,0.8,published
2010,qld,male,30-34,1.3,published
2010,qld,male,35-39,1.4,published
2010,qld,male,40-44,1.7,published
2010,qld,male,45-49,2.6,published
2010,qld,male,5-9,0.1,published
2010,qld,male,50-54,3.6,published
2010,qld,male,55-59,5.3,published
2010,qld,male,60-64,7.8,published
2010,qld,male,65-69,14.2,published
2010,qld,male,70-74,22.4,published
2010,qld,male,75-79,38.8,published
2010,qld,male,80-84,70.8,published
2010,qld,male,85-89,123.5,published
2010,qld,male,90-94,213.5,published
2010,qld,male,95-99,342.7,published
2010,sa,female,0-4,0.7,published
2010,sa,female,10-14,0.1,published
2010,sa,female,100+,524.8,published
2010,sa,female,15-19,0.2,published
2010,sa,female,20-24,0.2,published
2010,sa,female,25-29,0.3,published
2010,sa,female,30-34,0.5,published
2010,sa,female,35-39,0.7,published
2010,sa,female,40-44,1.3,published
2010,sa,female,45-49,1.9,published
2010,sa,female,5-9,0.1,published
2010,sa,female,50-54,2.5,published
2010,sa,female,55-59,3.2,published
2010,sa,female,60-64,4.9,published
2010,sa,female,65-69,7.2,published
2010,sa,female,70-74,14.0,published
2010,sa,female,75-79,24.3,published
2010,sa,female,80-84,48.8,published
2010,sa,female,85-89,91.2,published
2010,sa,female,90-94,178.1,published
2010,sa,female,95-99,286.8,published
2010,sa,male,0-4,1.1,published
2010,sa,male,10-14,0.0,published
2010,sa,male,100+,226.4,published
2010,sa,male,15-19,0.6,published
2010,sa,male,20-24,0.5,published
2010,sa,male,25-29,0.5,published
2010,sa,male,30-34,0.8,published
2010,sa,male,35-39,1.5,published
2010,sa,male,40-44,1.7,published
2010,sa,male,45-49,2.8,published
2010,sa,male,5-9,0.1,published
2010,sa,male,50-54,3.6,published
2010,sa,male,55-59,5.7,published
2010,sa,male,60-64,8.3,published
2010,sa,male,65-69,13.8,published
2010,sa,male,70-74,21.9,published
2010,sa,male,75-79,36.9,published
2010,sa,male,80-84,69.8,published
2010,sa,male,85-89,127.4,published
2010,sa,male,90-94,222.1,published
2010,sa,male,95-99,310.5,published
2010,tas,female,0-4,0.8,published
2010,tas,female,10-14,0.2,published
2010,tas,female,100+,426.2,published
2010,tas,female,15-19,0.4,published
2010,tas,female,20-24,0.1,published
2010,tas,female,25-29,0.5,published
2010,tas,female,30-34,0.4,published
2010,tas,female,35-39,0.6,published
2010,tas,female,40-44,1.0,published
2010,tas,female,45-49,1.5,published
2010,tas,female,5-9,0.3,published
2010,tas,female,50-54,3.0,published
2010,tas,female,55-59,4.2,published
2010,tas,female,60-64,4.9,published
2010,tas,female,65-69,10.4,published
2010,tas,female,70-74,16.7,published
2010,tas,female,75-79,30.1,published
2010,tas,female,80-84,55.2,published
2010,tas,female,85-89,102.9,published
2010,tas,female,90-94,203.9,published
2010,tas,female,95-99,307.5,published
2010,tas,male,0-4,1.2,published
2010,tas,male,10-14,0.4,published
2010,tas,male,100+,294.1,published
2010,tas,male,15-19,0.8,published
2010,tas,male,20-24,0.7,published
2010,tas,male,25-29,0.9,published
2010,tas,male,30-34,0.9,published
2010,tas,male,35-39,2.0,published
2010,tas,male,40-44,1.9,published
2010,tas,male,45-49,3.2,published
2010,tas,male,5-9,0.1,published
2010,tas,male,50-54,3.6,published
2010,tas,male,55-59,5.4,published
2010,tas,male,60-64,9.4,published
2010,tas,male,65-69,14.9,published
2010,tas,male,70-74,23.0,published
2010,tas,male,75-79,42.3,published
2010,tas,male,80-84,79.2,published
2010,tas,male,85-89,133.8,published
2010,tas,male,90-94,228.0,published
2010,tas,male,95-99,311.1,published
2010,vic,female,0-4,0.7,published
2010,vic,female,10-14,0.0,published
2010,vic,female,100+,431.8,published
2010,vic,female,15-19,0.2,published
2010,vic,female,20-24,0.2,published
2010,vic,female,25-29,0.3,published
2010,vic,female,30-34,0.4,published
2010,vic,female,35-39,0.6,published
2010,vic,female,40-44,0.7,published
2010,vic,female,45-49,1.3,published
2010,vic,female,5-9,0.1,published
2010,vic,female,50-54,1.9,published
2010,vic,female,55-59,3.0,published
2010,vic,female,60-64,4.6,published
2010,vic,female,65-69,6.7,published
2010,vic,female,70-74,12.9,published
2010,vic,female,75-79,22.9,published
2010,vic,female,80-84,44.9,published
2010,vic,female,85-89,92.3,published
2010,vic,female,90-94,173.7,published
2010,vic,female,95-99,296.9,published
2010,vic,male,0-4,0.9,published
2010,vic,male,10-14,0.1,published
2010,vic,male,100+,485.5,published
2010,vic,male,15-19,0.5,published
2010,vic,male,20-24,0.6,published
2010,vic,male,25-29,0.6,published
2010,vic,male,30-34,0.8,published
2010,vic,male,35-39,1.0,published
2010,vic,male,40-44,1.4,published
2010,vic,male,45-49,2.2,published
2010,vic,male,5-9,0.2,published
2010,vic,male,50-54,3.1,published
2010,vic,male,55-59,5.0,published
2010,vic,male,60-64,7.6,published
2010,vic,male,65-69,11.8,published
2010,vic,male,70-74,21.4,published
2010,vic,male,75-79,36.7,published
2010,vic,male,80-84,67.9,published
2010,vic,male,85-89,120.9,published
2010,vic,male,90-94,207.0,published
2010,vic,male,95-99,346.3,published
2010,wa,female,0-4,0.7,published
2010,wa,female,10-14,0.1,published
2010,wa,female,100+,416.7,published
2010,wa,female,15-19,0.2,published
