year,state,sex,age_band,arrivals,departures
2010,act,female,0-4,240,190
2010,act,female,10-14,150,100
2010,act,female,15-19,320,100
2010,act,female,20-24,620,440
2010,act,female,25-29,620,500
2010,act,female,30-34,440,310
2010,act,female,35-39,310,240
2010,act,female,40-44,220,150
2010,act,female,45-49,140,110
2010,act,female,5-9,210,150
2010,act,female,50-54,100,110
2010,act,female,55-59,80,60
2010,act,female,60-64,50,60
2010,act,female,65+,60,70
2010,act,male,0-4,260,230
2010,act,male,10-14,170,110
2010,act,male,15-19,340,90
2010,act,male,20-24,620,470
2010,act,male,25-29,560,600
2010,act,male,30-34,460,350
2010,act,male,35-39,340,280
2010,act,male,40-44,260,230
2010,act,male,45-49,180,160
2010,act,male,5-9,200,140
2010,act,male,50-54,110,110
2010,act,male,55-59,90,70
2010,act,male,60-64,70,60
2010,act,male,65+,50,60
2010,nsw,female,0-4,4160,2830
2010,nsw,female,10-14,2320,1100
2010,nsw,female,15-19,5630,1540
2010,nsw,female,20-24,14020,7940
2010,nsw,female,25-29,14900,10180
2010,nsw,female,30-34,8770,5430
2010,nsw,female,35-39,5130,3100
2010,nsw,female,40-44,3450,2130
2010,nsw,female,45-49,2370,1590
2010,nsw,female,5-9,2850,1490
2010,nsw,female,50-54,1940,1310
2010,nsw,female,55-59,1690,1180
2010,nsw,female,60-64,1340,990
2010,nsw,female,65+,2070,1670
2010,nsw,male,0-4,4480,3030
2010,nsw,male,10-14,2490,1120
2010,nsw,male,15-19,5680,1550
2010,nsw,male,20-24,12990,8210
2010,nsw,male,25-29,14160,11370
2010,nsw,male,30-34,9180,6290
2010,nsw,male,35-39,5760,3950
2010,nsw,male,40-44,3970,2800
2010,nsw,male,45-49,2850,2110
2010,nsw,male,5-9,3060,1560
2010,nsw,male,50-54,1960,1630
2010,nsw,male,55-59,1500,1380
2010,nsw,male,60-64,1300,1070
2010,nsw,male,65+,1960,1770
2010,nt,female,0-4,130,80
2010,nt,female,10-14,100,30
2010,nt,female,15-19,110,30
2010,nt,female,20-24,330,200
2010,nt,female,25-29,440,340
2010,nt,female,30-34,270,210
2010,nt,female,35-39,170,100
2010,nt,female,40-44,150,70
2010,nt,female,45-49,100,80
2010,nt,female,5-9,120,50
2010,nt,female,50-54,90,60
2010,nt,female,55-59,50,60
2010,nt,female,60-64,40,60
2010,nt,female,65+,30,70
2010,nt,male,0-4,150,70
2010,nt,male,10-14,100,40
2010,nt,male,15-19,130,70
2010,nt,male,20-24,370,320
2010,nt,male,25-29,510,480
2010,nt,male,30-34,380,310
2010,nt,male,35-39,290,230
2010,nt,male,40-44,230,180
2010,nt,male,45-49,160,170
2010,nt,male,5-9,110,50
2010,nt,male,50-54,110,100
2010,nt,male,55-59,80,80
2010,nt,male,60-64,60,80
2010,nt,male,65+,40,100
2010,qld,female,0-4,2770,1350
2010,qld,female,10-14,1870,680
2010,qld,female,15-19,3100,1060
2010,qld,female,20-24,8220,4780
2010,qld,female,25-29,7880,5460
2010,qld,female,30-34,4520,2490
2010,qld,female,35-39,3040,1390
2010,qld,female,40-44,2200,1040
2010,qld,female,45-49,1630,860
2010,qld,female,5-9,2160,840
2010,qld,female,50-54,1170,780
2010,qld,female,55-59,940,640
2010,qld,female,60-64,670,530
2010,qld,female,65+,880,740
2010,qld,male,0-4,2920,1460
2010,qld,male,10-14,1990,720
2010,qld,male,15-19,3270,1090
2010,qld,male,20-24,8390,5080
2010,qld,male,25-29,7550,6540
2010,qld,male,30-34,4680,3140
2010,qld,male,35-39,3370,1890
2010,qld,male,40-44,2520,1470
2010,qld,male,45-49,1920,1200
2010,qld,male,5-9,2330,860
2010,qld,male,50-54,1430,1010
2010,qld,male,55-59,1060,820
2010,qld,male,60-64,840,740
2010,qld,male,65+,960,970
2010,sa,female,0-4,730,330
2010,sa,female,10-14,490,180
2010,sa,female,15-19,990,240
2010,sa,female,20-24,1870,1210
2010,sa,female,25-29,1710,1090
2010,sa,female,30-34,1170,520
2010,sa,female,35-39,840,330
2010,sa,female,40-44,600,260
2010,sa,female,45-49,310,200
2010,sa,female,5-9,600,190
2010,sa,female,50-54,270,160
2010,sa,female,55-59,190,140
2010,sa,female,60-64,180,100
2010,sa,female,65+,220,180
2010,sa,male,0-4,810,350
2010,sa,male,10-14,530,170
2010,sa,male,15-19,1090,280
2010,sa,male,20-24,1650,1220
