tick,sex,event_age_months,count
0,male,0,23
0,male,1,17
0,male,2,19
0,male,3,21
0,male,4,58
0,male,5,73
0,male,6,57
0,male,7,67
0,male,8,68
0,male,9,68
0,male,10,77
0,male,11,55
0,male,12,71
0,male,13,249
0,male,14,282
0,male,15,256
0,male,16,258
0,male,17,261
0,female,0,28
0,female,1,21
0,female,2,18
0,female,3,15
0,female,4,64
0,female,5,62
0,female,6,55
0,female,7,57
0,female,8,61
0,female,9,71
0,female,10,70
0,female,11,68
0,female,12,56
0,female,13,296
0,female,14,241
0,female,15,251
0,female,16,266
0,female,17,265
