tick,sex,area,age_months,count
0,male,0,0,5857
0,male,0,1,5530
0,male,0,2,5465
0,male,0,3,5545
0,male,0,4,5532
0,male,0,5,5461
0,male,0,6,5627
0,male,0,7,5596
0,male,0,8,5609
0,male,0,9,5539
0,male,0,10,5644
0,male,0,11,5553
0,male,0,12,5491
0,male,0,13,5442
0,male,0,14,5363
0,male,0,15,5383
0,male,0,16,5501
0,male,0,17,5466
0,male,0,18,82
0,male,1,0,5713
0,male,1,1,5630
0,male,1,2,5532
0,male,1,3,5481
0,male,1,4,5470
0,male,1,5,5649
0,male,1,6,5682
0,male,1,7,5597
0,male,1,8,5659
0,male,1,9,5502
0,male,1,10,5449
0,male,1,11,5681
0,male,1,12,5502
0,male,1,13,5420
0,male,1,14,5417
0,male,1,15,5541
0,male,1,16,5475
0,male,1,17,5496
0,male,1,18,110
0,male,2,0,5805
0,male,2,1,5513
0,male,2,2,5567
0,male,2,3,5551
0,male,2,4,5572
0,male,2,5,5565
0,male,2,6,5520
0,male,2,7,5373
0,male,2,8,5552
0,male,2,9,5607
0,male,2,10,5497
0,male,2,11,5602
0,male,2,12,5372
0,male,2,13,5538
0,male,2,14,5435
0,male,2,15,5388
0,male,2,16,5393
0,male,2,17,5455
0,male,2,18,93
0,male,3,0,5708
0,male,3,1,5523
0,male,3,2,5424
0,male,3,3,5616
0,male,3,4,5526
0,male,3,5,5605
0,male,3,6,5621
0,male,3,7,5516
0,male,3,8,5535
0,male,3,9,5616
0,male,3,10,5662
0,male,3,11,5657
0,male,3,12,5587
0,male,3,13,5460
0,male,3,14,5536
0,male,3,15,5437
0,male,3,16,5502
0,male,3,17,5329
0,male,3,18,91
0,female,0,0,5746
0,female,0,1,5673
0,female,0,2,5435
0,female,0,3,5481
0,female,0,4,5492
0,female,0,5,5529
0,female,0,6,5461
0,female,0,7,5593
0,female,0,8,5488
0,female,0,9,5514
0,female,0,10,5398
0,female,0,11,5489
0,female,0,12,5434
0,female,0,13,5470
0,female,0,14,5625
0,female,0,15,5439
0,female,0,16,5448
0,female,0,17,5478
0,female,0,18,98
0,female,1,0,5929
0,female,1,1,5477
0,female,1,2,5508
0,female,1,3,5537
0,female,1,4,5482
0,female,1,5,5480
0,female,1,6,5591
0,female,1,7,5424
0,female,1,8,5361
0,female,1,9,5421
0,female,1,10,5546
0,female,1,11,5583
0,female,1,12,5464
0,female,1,13,5618
0,female,1,14,5520
0,female,1,15,5427
0,female,1,16,5535
0,female,1,17,5459
0,female,1,18,83
0,female,2,0,5826
0,female,2,1,5537
0,female,2,2,5564
0,female,2,3,5553
0,female,2,4,5678
0,female,2,5,5596
0,female,2,6,5531
0,female,2,7,5552
0,female,2,8,5510
0,female,2,9,5587
0,female,2,10,5606
0,female,2,11,5586
0,female,2,12,5408
0,female,2,13,5495
0,female,2,14,5446
0,female,2,15,5530
0,female,2,16,5432
0,female,2,17,5453
0,female,2,18,96
0,female,3,0,5723
0,female,3,1,5522
0,female,3,2,5539
0,female,3,3,5368
0,female,3,4,5553
0,female,3,5,5600
0,female,3,6,5392
0,female,3,7,5591
0,female,3,8,5506
0,female,3,9,5724
0,female,3,10,5400
0,female,3,11,5626
0,female,3,12,5414
0,female,3,13,5450
0,female,3,14,5287
0,female,3,15,5391
0,female,3,16,5524
0,female,3,17,5609
0,female,3,18,97
