tick,sex,event_age_months,count
0,male,0,218
0,male,1,217
0,male,2,241
0,male,3,249
0,male,4,656
0,male,5,655
0,male,6,657
0,male,7,660
0,male,8,680
0,male,9,668
0,male,10,668
0,male,11,670
0,male,12,677
0,male,13,2601
0,male,14,2614
0,male,15,2536
0,male,16,2639
0,male,17,2580
0,female,0,218
0,female,1,206
0,female,2,186
0,female,3,231
0,female,4,692
0,female,5,655
0,female,6,712
0,female,7,665
0,female,8,724
0,female,9,619
0,female,10,671
0,female,11,679
0,female,12,672
0,female,13,2727
0,female,14,2540
0,female,15,2626
0,female,16,2633
0,female,17,2702
