Generating SQLite file /home/ubuntu/demographic-bench/cuda-readback-diagnostic/nsys/workers-1/trace.sqlite from /home/ubuntu/demographic-bench/cuda-readback-diagnostic/nsys/workers-1/trace.nsys-rep
Processing [/home/ubuntu/demographic-bench/cuda-readback-diagnostic/nsys/workers-1/trace.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_kern_exec_sum.py]... 
PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
23827,23827,0,288,288,15628967.2,15617160.0,14561009,16227910,327055.0,2526.9,2344.0,2203,11827,734.3,15338239.0,15326844.5,14264191,15937232,327239.6,288201.3,288192.0,287616,288800,254.1,cuLaunchKernel,sembla_count_deferred
23827,23827,0,960,960,14692433.7,14704295.5,13551135,15368259,325133.3,2397.6,2284.0,2173,10977,451.7,14607849.6,14619767.5,13463500,15283838,325259.6,82186.4,82112.0,81920,83328,223.0,cuLaunchKernel,sembla_count_fired
23827,23827,0,96,96,14251154.8,14275497.0,13490684,14561661,227984.7,2843.1,2704.5,2394,9624,772.9,13547292.4,13572836.5,12830371,13835682,208929.6,701019.3,708497.0,644032,723713,20866.5,cuLaunchKernel,sembla_apply_effects
23827,23827,0,384,384,14250113.0,14275194.5,13478590,14562228,227510.5,2475.2,2373.5,2213,5808,334.5,14246267.8,14270903.0,13474783,14558370,227557.1,1370.1,1376.0,1152,1856,189.5,cuLaunchKernel,sembla_validate_outputs
23827,23827,0,96,96,14249743.5,14274251.5,13479006,14561754,228372.8,2719.5,2609.0,2314,7992,600.8,14245345.0,14269896.0,13469446,14557280,228585.5,1679.0,1760.0,1536,1856,94.9,cuLaunchKernel,sembla_prepare_outputs
23827,23827,0,96,96,14249406.4,14274105.5,13473537,14560687,228595.1,2882.3,2684.5,2363,12178,1063.7,14245101.2,14270063.0,13466152,14556629,228728.7,1423.0,1424.0,1312,1536,97.5,cuLaunchKernel,sembla_init_control_counts
23827,23827,0,3840,3840,12126258.3,12130244.0,10202374,13839166,852541.1,2445.3,2344.0,2213,13350,526.1,12043158.2,12069596.5,10032451,13764322,863145.8,80654.8,68064.0,47296,219265,33427.1,cuLaunchKernel,sembla_prepare_effects
23827,23827,0,96,96,10378010.6,10404149.0,10049960,10454461,72452.8,2794.7,2649.0,2383,7160,564.5,10164422.2,10190059.0,9832047,10241019,72694.3,210793.7,210784.0,210656,211136,96.6,cuLaunchKernel,sembla_init_effect_owners
23827,23827,0,384,384,9484695.2,9480177.0,8986131,9744212,154383.6,2509.2,2364.0,2233,8663,446.7,9358797.4,9354700.0,8852901,9618461,154994.1,123388.6,123168.0,122176,125377,751.1,cuLaunchKernel,sembla_validate_effects
23827,23827,0,960,960,8993593.4,9002208.5,8486299,9253643,143298.4,2399.7,2283.0,2173,10976,547.5,8924350.4,8958323.0,8275045,9209622,186155.6,66843.3,41600.0,40064,252001,61416.4,cuLaunchKernel,sembla_mark_effect_active
