Generating SQLite file profile-grouped-cuda.sqlite from profile-grouped-cuda.nsys-rep
Processing [profile-grouped-cuda.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)                 Name                
 --------  ---------------  ---------  --------  --------  --------  --------  -----------  -----------------------------------
     18.7          1775250         80   22190.6   12048.5     11968     91073      19315.9  sembla_prepare_effects             
     10.7          1019850         38   26838.2   25088.0     19168     39328       7189.1  sembla_observe_view                
      9.7           924074          2  462037.0  462037.0    459429    464645       3688.3  sembla_resolve_conflicts           
      8.7           831433         20   41571.7   41456.5     41089     42720        489.7  sembla_count_fired                 
      7.6           722760          2  361380.0  361380.0    361316    361444         90.5  sembla_build_claim_instances       
      7.0           665575          2  332787.5  332787.5    331075    334500       2421.8  sembla_apply_effects               
      4.4           415812          2  207906.0  207906.0    207746    208066        226.3  sembla_reduce_claim_entities       
      4.0           376292          2  188146.0  188146.0    188034    188258        158.4  sembla_count_deferred              
      3.8           365700          2  182850.0  182850.0    182850    182850          0.0  sembla_reduce_claim_rules          
      3.6           337988          2  168994.0  168994.0    168930    169058         90.5  sembla_reduce_claim_keys           
      2.2           213507          2  106753.5  106753.5    106178    107329        813.9  sembla_init_effect_owners          
      2.2           212512          6   35418.7   26672.0     23776     55840      15819.6  sembla_observe_grouped_view        
      2.2           204547          8   25568.4   12256.5     12032     65889      24768.5  sembla_validate_effects            
      1.6           150146          2   75073.0   75073.0     74721     75425        497.8  sembla_transition_00000007         
      1.6           150081          2   75040.5   75040.5     74848     75233        272.2  sembla_transition_00000006         
      1.5           146497          2   73248.5   73248.5     73153     73344        135.1  sembla_transition_00000005         
      1.5           144802          2   72401.0   72401.0     72225     72577        248.9  sembla_transition_00000000         
      1.5           143041          4   35760.3   35776.5     35520     35968        191.2  sembla_bound_grouped_view          
      1.4           137122          2   68561.0   68561.0     68417     68705        203.6  sembla_transition_00000008         
      1.3           127298          2   63649.0   63649.0     63617     63681         45.3  sembla_transition_00000009         
      0.9            82497          2   41248.5   41248.5     41089     41408        225.6  sembla_transition_00000002         
      0.8            77409          2   38704.5   38704.5     30400     47009      11744.3  sembla_transition_00000001         
      0.8            76928          2   38464.0   38464.0     38432     38496         45.3  sembla_init_conflict_winners       
      0.7            71168          2   35584.0   35584.0     35264     35904        452.5  sembla_transition_00000003         
      0.7            67394          2   33697.0   33697.0     33633     33761         90.5  sembla_transition_00000004         
      0.4            37409         22    1700.4    1728.0      1536      1984        148.6  sembla_commit_validation_status    
      0.1            10112          6    1685.3    1696.0      1504      1856        165.2  sembla_init_grouped_histogram      
      0.0             4000          2    2000.0    2000.0      1920      2080        113.1  sembla_init_observations           
      0.0             3680          2    1840.0    1840.0      1824      1856         22.6  sembla_init_grouped_extrema        
      0.0             3424          2    1712.0    1712.0      1664      1760         67.9  sembla_init_control_counts         
      0.0             3360          2    1680.0    1680.0      1568      1792        158.4  sembla_init_validation_scratch     
      0.0             3136          2    1568.0    1568.0      1472      1664        135.8  sembla_reset_status                
      0.0             2560          2    1280.0    1280.0      1184      1376        135.8  sembla_validate_claim_compatibility

