# params={"birth_rate":0.022852405903835728,"mortality_young":0.0008058945980804724,"mortality_adult":0.0022923946717845413,"mortality_old":0.008103557305181036,"overseas_arrival_rate":0.02048758904545381,"emigration_rate":0.00143514541211536,"internal_departure_rate":0.001872906120365134,"internal_arrival_rate":0.01770345047137392}
# dt=1
tick,population,invalid_age,males,females,age_00_04,age_20_24,age_65_69,age_85_plus,births_this_tick,deaths_this_tick,overseas_arrivals_this_tick,overseas_departures_this_tick,internal_arrivals_this_tick,internal_departures_this_tick,locked_out,vacant_birth_slots,vacant_overseas_slots,vacant_internal_slots,max_generation,fired_age_monthly,fired_clear_event,fired_birth_activate,fired_overseas_arrive,fired_internal_arrive,fired_die_young,fired_die_adult,fired_die_old,fired_emigrate,fired_internal_depart,deferred_total
0,798969,0,400009,398960,46113,44394,44128,44725,2797,2741,1055,1172,515,1485,4367,117203,48945,29485,1,800000,0,2797,1055,515,141,872,1728,1172,1485,9
1,797842,0,399436,398406,47966,44249,43681,45022,2745,2761,992,1141,492,1454,4229,119856,47953,28993,1,798969,9765,2745,992,492,123,900,1738,1141,1454,16
2,796450,0,398712,397738,49780,44101,43370,45130,2679,2833,942,1141,516,1555,4137,122533,47011,28477,2,797842,9585,2679,942,516,131,897,1805,1141,1555,12
3,795445,0,398166,397279,51710,44023,43038,45324,2773,2733,1004,1155,496,1390,4273,125280,46011,27986,2,796450,9666,2773,1004,496,115,857,1761,1155,1390,10
4,794326,0,397660,396666,53668,43877,42758,45511,2836,2787,890,1061,473,1470,4199,127700,45134,27522,2,795445,9551,2836,890,473,158,913,1716,1061,1470,9
5,793290,0,397064,396226,55682,43707,42455,45665,2948,2770,884,1156,509,1451,4341,130045,44270,27018,2,794326,9517,2948,884,509,145,909,1716,1156,1451,10
6,792293,0,396538,395755,57723,43643,42152,45837,2942,2675,943,1178,467,1496,4352,132452,43348,26558,2,793290,9718,2942,943,467,155,886,1634,1178,1496,9
7,791310,0,396107,395203,59805,43528,41800,46048,3007,2783,866,1087,457,1443,4330,134748,42512,26117,2,792293,9701,3007,866,457,160,891,1732,1087,1443,11
8,790248,0,395657,394591,61869,43486,41424,46141,3015,2775,851,1098,466,1521,4332,136999,41691,25668,2,791310,9643,3015,851,466,130,907,1738,1098,1521,11
9,789396,0,395275,394121,64015,43405,41070,46245,3151,2736,874,1114,464,1491,4489,139185,40852,25226,2,790248,9726,3151,874,464,158,926,1652,1114,1491,17
10,788424,0,394756,393668,66132,43298,40737,46364,3053,2738,814,1114,445,1432,4312,141407,40078,24807,2,789396,9830,3053,814,445,132,910,1696,1114,1432,9
11,787558,0,394330,393228,68358,43206,40353,46532,3196,2723,807,1088,432,1490,4435,143425,39313,24403,2,788424,9596,3196,807,432,174,929,1620,1088,1490,8
12,786651,0,393885,392766,70626,43118,40062,46665,3202,2667,773,1177,411,1449,4386,145437,38599,24020,3,787558,9736,3202,773,411,140,884,1643,1177,1449,13
13,785768,0,393387,392381,72933,42955,39741,46735,3272,2747,749,1153,431,1435,4452,147374,37906,23617,3,786651,9679,3272,749,431,144,868,1735,1153,1435,15
14,784991,0,393020,391971,75223,42742,39391,46828,3289,2605,763,1127,393,1490,4445,149326,37200,23261,3,785768,9787,3289,763,393,161,847,1597,1127,1490,13
15,784032,0,392581,391451,77416,42665,39109,46936,3169,2651,747,1172,412,1464,4328,151282,36518,22881,3,784991,9667,3169,747,412,180,902,1569,1172,1464,16
16,783441,0,392275,391166,79862,42471,38858,47018,3421,2620,742,1091,384,1427,4547,153037,35856,22528,3,784032,9615,3421,742,384,186,861,1573,1091,1427,12
17,782723,0,391965,390758,82289,42273,38562,47137,3432,2647,730,1149,391,1475,4553,154637,35191,22178,3,783441,9685,3432,730,391,188,867,1592,1149,1475,8
18,782278,0,391789,390489,84841,42189,38289,47267,3536,2567,717,1122,404,1413,4657,156240,34562,21818,3,782723,9824,3536,717,404,157,834,1576,1122,1413,11
19,781757,0,391494,390263,87340,42052,37978,47344,3532,2569,709,1091,359,1461,4600,157683,33933,21506,3,782278,9759,3532,709,359,171,843,1555,1091,1461,9
20,781258,0,391212,390046,89913,41891,37693,47392,3560,2593,665,1113,376,1394,4601,159109,33365,21168,3,781757,9721,3560,665,376,152,853,1588,1113,1394,11
21,780793,0,391020,389773,92565,41787,37425,47434,3613,2553,665,1172,362,1380,4640,160442,32798,20862,3,781258,9701,3613,665,362,162,894,1497,1172,1380,16
22,780385,0,390800,389585,95154,41632,37215,47501,3614,2546,695,1129,371,1413,4680,161770,32217,20540,3,780793,9745,3614,695,371,183,845,1518,1129,1413,8
23,779765,0,390439,389326,97661,41470,37029,47558,3532,2552,694,1164,350,1480,4576,163188,31613,20238,3,780385,9768,3532,694,350,205,851,1496,1164,1480,5
