tick,entry_stream,area,count
0,birth_slot,0,28969
0,birth_slot,1,29019
0,birth_slot,2,28961
0,birth_slot,3,29127
0,overseas_slot,0,12136
0,overseas_slot,1,12219
0,overseas_slot,2,12188
0,overseas_slot,3,12371
0,internal_slot,0,7297
0,internal_slot,1,7455
0,internal_slot,2,7428
0,internal_slot,3,7317
1,birth_slot,0,29771
1,birth_slot,1,29793
1,birth_slot,2,29651
1,birth_slot,3,30008
1,overseas_slot,0,11887
1,overseas_slot,1,11951
1,overseas_slot,2,11933
1,overseas_slot,3,12121
1,internal_slot,0,7172
1,internal_slot,1,7332
1,internal_slot,2,7314
1,internal_slot,3,7199
2,birth_slot,0,30581
2,birth_slot,1,30584
2,birth_slot,2,30446
2,birth_slot,3,30695
2,overseas_slot,0,11664
2,overseas_slot,1,11715
2,overseas_slot,2,11678
2,overseas_slot,3,11863
2,internal_slot,0,7042
2,internal_slot,1,7210
2,internal_slot,2,7198
2,internal_slot,3,7060
3,birth_slot,0,31389
3,birth_slot,1,31346
3,birth_slot,2,31200
3,birth_slot,3,31428
3,overseas_slot,0,11396
3,overseas_slot,1,11464
3,overseas_slot,2,11440
3,overseas_slot,3,11594
3,internal_slot,0,6920
3,internal_slot,1,7071
3,internal_slot,2,7092
3,internal_slot,3,6950
4,birth_slot,0,32066
4,birth_slot,1,32141
4,birth_slot,2,31814
4,birth_slot,3,32022
4,overseas_slot,0,11182
4,overseas_slot,1,11232
4,overseas_slot,2,11198
4,overseas_slot,3,11378
4,internal_slot,0,6812
4,internal_slot,1,6955
4,internal_slot,2,6968
4,internal_slot,3,6846
5,birth_slot,0,32670
5,birth_slot,1,32821
5,birth_slot,2,32468
5,birth_slot,3,32709
5,overseas_slot,0,10955
5,overseas_slot,1,11017
5,overseas_slot,2,10982
5,overseas_slot,3,11159
5,internal_slot,0,6686
5,internal_slot,1,6833
5,internal_slot,2,6848
5,internal_slot,3,6723
6,birth_slot,0,33304
6,birth_slot,1,33442
6,birth_slot,2,33136
6,birth_slot,3,33320
6,overseas_slot,0,10718
6,overseas_slot,1,10776
6,overseas_slot,2,10754
6,overseas_slot,3,10923
6,internal_slot,0,6563
6,internal_slot,1,6712
6,internal_slot,2,6760
6,internal_slot,3,6610
7,birth_slot,0,33896
7,birth_slot,1,34011
7,birth_slot,2,33720
7,birth_slot,3,33937
7,overseas_slot,0,10497
7,overseas_slot,1,10594
7,overseas_slot,2,10542
7,overseas_slot,3,10686
7,internal_slot,0,6466
7,internal_slot,1,6621
7,internal_slot,2,6634
7,internal_slot,3,6495
8,birth_slot,0,34507
8,birth_slot,1,34593
8,birth_slot,2,34287
8,birth_slot,3,34472
8,overseas_slot,0,10321
8,overseas_slot,1,10367
8,overseas_slot,2,10336
8,overseas_slot,3,10462
8,internal_slot,0,6368
8,internal_slot,1,6502
8,internal_slot,2,6533
8,internal_slot,3,6382
9,birth_slot,0,35101
9,birth_slot,1,35112
9,birth_slot,2,35027
9,birth_slot,3,35013
9,overseas_slot,0,10100
9,overseas_slot,1,10166
9,overseas_slot,2,10118
9,overseas_slot,3,10253
9,internal_slot,0,6266
9,internal_slot,1,6404
9,internal_slot,2,6416
9,internal_slot,3,6275
10,birth_slot,0,35604
10,birth_slot,1,35637
10,birth_slot,2,35585
10,birth_slot,3,35605
10,overseas_slot,0,9891
10,overseas_slot,1,9971
10,overseas_slot,2,9923
10,overseas_slot,3,10071
10,internal_slot,0,6160
10,internal_slot,1,6308
10,internal_slot,2,6306
10,internal_slot,3,6177
11,birth_slot,0,36021
11,birth_slot,1,36100
11,birth_slot,2,36120
11,birth_slot,3,36157
11,overseas_slot,0,9695
11,overseas_slot,1,9774
11,overseas_slot,2,9748
11,overseas_slot,3,9875
11,internal_slot,0,6067
11,internal_slot,1,6213
11,internal_slot,2,6218
11,internal_slot,3,6075
12,birth_slot,0,36510
12,birth_slot,1,36590
12,birth_slot,2,36605
12,birth_slot,3,36736
12,overseas_slot,0,9511
12,overseas_slot,1,9607
12,overseas_slot,2,9578
12,overseas_slot,3,9674
12,internal_slot,0,5987
12,internal_slot,1,6129
12,internal_slot,2,6120
12,internal_slot,3,5980
13,birth_slot,0,37011
13,birth_slot,1,37113
13,birth_slot,2,37088
13,birth_slot,3,37143
13,overseas_slot,0,9327
13,overseas_slot,1,9446
13,overseas_slot,2,9410
13,overseas_slot,3,9492
13,internal_slot,0,5899
13,internal_slot,1,6036
