tick,sex,event_age_months,count
0,male,0,22
0,male,1,16
0,male,2,17
0,male,3,21
0,male,4,54
0,male,5,68
0,male,6,54
0,male,7,65
0,male,8,62
0,male,9,64
0,male,10,73
0,male,11,51
0,male,12,65
0,male,13,212
0,male,14,234
0,male,15,211
0,male,16,220
0,male,17,223
0,female,0,26
0,female,1,20
0,female,2,17
0,female,3,14
0,female,4,60
0,female,5,58
0,female,6,48
0,female,7,53
0,female,8,58
0,female,9,66
0,female,10,70
0,female,11,62
0,female,12,53
0,female,13,247
0,female,14,215
0,female,15,210
0,female,16,228
0,female,17,234
1,male,0,18
1,male,1,18
1,male,2,22
1,male,3,19
1,male,4,71
1,male,5,62
1,male,6,67
1,male,7,60
1,male,8,56
1,male,9,59
1,male,10,63
1,male,11,60
1,male,12,47
1,male,13,239
1,male,14,245
1,male,15,223
1,male,16,205
1,male,17,211
1,female,0,15
1,female,1,18
1,female,2,25
1,female,3,15
1,female,4,63
1,female,5,68
1,female,6,56
1,female,7,60
1,female,8,56
1,female,9,80
1,female,10,57
1,female,11,65
1,female,12,50
1,female,13,237
1,female,14,214
1,female,15,223
1,female,16,227
1,female,17,212
1,female,18,5
2,male,0,22
2,male,1,19
2,male,2,23
2,male,3,22
2,male,4,56
2,male,5,51
2,male,6,61
2,male,7,66
2,male,8,68
2,male,9,70
2,male,10,57
2,male,11,55
2,male,12,66
2,male,13,209
2,male,14,243
2,male,15,214
2,male,16,238
2,male,17,242
2,male,18,13
2,female,0,19
2,female,1,16
2,female,2,16
2,female,3,20
2,female,4,50
2,female,5,55
2,female,6,79
2,female,7,51
2,female,8,50
2,female,9,48
2,female,10,64
2,female,11,71
2,female,12,51
2,female,13,238
2,female,14,234
2,female,15,243
2,female,16,198
2,female,17,217
2,female,18,8
3,male,0,19
3,male,1,21
3,male,2,13
3,male,3,16
3,male,4,75
3,male,5,49
3,male,6,49
3,male,7,63
3,male,8,69
3,male,9,67
3,male,10,66
3,male,11,48
3,male,12,65
3,male,13,195
3,male,14,202
3,male,15,222
3,male,16,215
3,male,17,210
3,male,18,11
3,female,0,19
3,female,1,18
3,female,2,10
3,female,3,15
3,female,4,55
3,female,5,65
3,female,6,58
3,female,7,53
3,female,8,56
3,female,9,60
3,female,10,53
3,female,11,56
3,female,12,58
3,female,13,249
3,female,14,213
3,female,15,231
3,female,16,217
3,female,17,213
3,female,18,13
4,male,0,17
4,male,1,27
4,male,2,18
4,male,3,21
4,male,4,60
4,male,5,69
4,male,6,67
4,male,7,69
4,male,8,61
4,male,9,53
