tick,entry_stream,area,count
0,birth_slot,0,29094
0,birth_slot,1,29160
0,birth_slot,2,29084
0,birth_slot,3,29264
0,overseas_slot,0,12103
0,overseas_slot,1,12173
0,overseas_slot,2,12141
0,overseas_slot,3,12325
0,internal_slot,0,7274
0,internal_slot,1,7431
0,internal_slot,2,7398
0,internal_slot,3,7288
1,birth_slot,0,30178
1,birth_slot,1,30163
1,birth_slot,2,30002
1,birth_slot,3,30386
1,overseas_slot,0,11809
1,overseas_slot,1,11857
1,overseas_slot,2,11844
1,overseas_slot,3,12032
1,internal_slot,0,7117
1,internal_slot,1,7290
1,internal_slot,2,7256
1,internal_slot,3,7137
2,birth_slot,0,31217
2,birth_slot,1,31215
2,birth_slot,2,31048
2,birth_slot,3,31308
2,overseas_slot,0,11541
2,overseas_slot,1,11587
2,overseas_slot,2,11550
2,overseas_slot,3,11735
2,internal_slot,0,6967
2,internal_slot,1,7149
2,internal_slot,2,7110
2,internal_slot,3,6973
3,birth_slot,0,32260
3,birth_slot,1,32198
3,birth_slot,2,32048
3,birth_slot,3,32268
3,overseas_slot,0,11232
3,overseas_slot,1,11297
3,overseas_slot,2,11275
3,overseas_slot,3,11425
3,internal_slot,0,6822
3,internal_slot,1,6992
3,internal_slot,2,6983
3,internal_slot,3,6842
4,birth_slot,0,33114
4,birth_slot,1,33185
4,birth_slot,2,32887
4,birth_slot,3,33094
4,overseas_slot,0,10982
4,overseas_slot,1,11028
4,overseas_slot,2,11000
4,overseas_slot,3,11169
4,internal_slot,0,6687
4,internal_slot,1,6852
4,internal_slot,2,6834
4,internal_slot,3,6717
5,birth_slot,0,33935
5,birth_slot,1,34050
5,birth_slot,2,33761
5,birth_slot,3,33953
5,overseas_slot,0,10710
5,overseas_slot,1,10780
5,overseas_slot,2,10752
5,overseas_slot,3,10907
5,internal_slot,0,6540
5,internal_slot,1,6707
5,internal_slot,2,6694
5,internal_slot,3,6572
6,birth_slot,0,34788
6,birth_slot,1,34866
6,birth_slot,2,34654
6,birth_slot,3,34810
6,overseas_slot,0,10443
6,overseas_slot,1,10517
6,overseas_slot,2,10487
6,overseas_slot,3,10635
6,internal_slot,0,6394
6,internal_slot,1,6562
6,internal_slot,2,6579
6,internal_slot,3,6440
7,birth_slot,0,35591
7,birth_slot,1,35642
7,birth_slot,2,35424
7,birth_slot,3,35582
7,overseas_slot,0,10184
7,overseas_slot,1,10302
7,overseas_slot,2,10236
7,overseas_slot,3,10369
7,internal_slot,0,6274
7,internal_slot,1,6450
7,internal_slot,2,6439
7,internal_slot,3,6302
8,birth_slot,0,36407
8,birth_slot,1,36424
8,birth_slot,2,36213
8,birth_slot,3,36316
8,overseas_slot,0,9971
8,overseas_slot,1,10041
8,overseas_slot,2,9995
8,overseas_slot,3,10112
8,internal_slot,0,6161
8,internal_slot,1,6310
8,internal_slot,2,6322
8,internal_slot,3,6171
9,birth_slot,0,37191
9,birth_slot,1,37072
9,birth_slot,2,37114
9,birth_slot,3,37049
9,overseas_slot,0,9723
9,overseas_slot,1,9806
9,overseas_slot,2,9751
9,overseas_slot,3,9883
9,internal_slot,0,6038
9,internal_slot,1,6189
9,internal_slot,2,6194
9,internal_slot,3,6050
10,birth_slot,0,37904
10,birth_slot,1,37802
10,birth_slot,2,37867
10,birth_slot,3,37811
10,overseas_slot,0,9484
10,overseas_slot,1,9594
10,overseas_slot,2,9537
10,overseas_slot,3,9686
10,internal_slot,0,5917
10,internal_slot,1,6076
10,internal_slot,2,6072
10,internal_slot,3,5938
11,birth_slot,0,38511
11,birth_slot,1,38450
11,birth_slot,2,38568
11,birth_slot,3,38529
11,overseas_slot,0,9268
11,overseas_slot,1,9366
11,overseas_slot,2,9334
11,overseas_slot,3,9457
11,internal_slot,0,5805
11,internal_slot,1,5966
11,internal_slot,2,5968
11,internal_slot,3,5821
12,birth_slot,0,39168
12,birth_slot,1,39094
12,birth_slot,2,39205
12,birth_slot,3,39262
12,overseas_slot,0,9056
12,overseas_slot,1,9179
12,overseas_slot,2,9144
12,overseas_slot,3,9228
12,internal_slot,0,5710
12,internal_slot,1,5863
12,internal_slot,2,5849
12,internal_slot,3,5717
13,birth_slot,0,39825
13,birth_slot,1,39786
13,birth_slot,2,39844
13,birth_slot,3,39847
13,overseas_slot,0,8837
13,overseas_slot,1,8989
13,overseas_slot,2,8942
13,overseas_slot,3,9034
13,internal_slot,0,5615
13,internal_slot,1,5755
13,internal_slot,2,5743
13,internal_slot,3,5588
14,birth_slot,0,40474
14,birth_slot,1,40428
14,birth_slot,2,40421
14,birth_slot,3,40462
14,overseas_slot,0,8624
14,overseas_slot,1,8773
14,overseas_slot,2,8768
14,overseas_slot,3,8850
14,internal_slot,0,5510
14,internal_slot,1,5643
14,internal_slot,2,5643
14,internal_slot,3,5499
15,birth_slot,0,41089
15,birth_slot,1,41038
15,birth_slot,2,41062
15,birth_slot,3,41062
15,overseas_slot,0,8431
15,overseas_slot,1,8582
15,overseas_slot,2,8589
15,overseas_slot,3,8654
15,internal_slot,0,5405
15,internal_slot,1,5544
15,internal_slot,2,5532
15,internal_slot,3,5394
16,birth_slot,0,41667
16,birth_slot,1,41591
16,birth_slot,2,41608
16,birth_slot,3,41564
16,overseas_slot,0,8246
16,overseas_slot,1,8420
16,overseas_slot,2,8416
16,overseas_slot,3,8465
16,internal_slot,0,5305
16,internal_slot,1,5447
16,internal_slot,2,5438
16,internal_slot,3,5293
17,birth_slot,0,42172
17,birth_slot,1,42059
17,birth_slot,2,42022
17,birth_slot,3,42081
17,overseas_slot,0,8051
17,overseas_slot,1,8268
17,overseas_slot,2,8225
17,overseas_slot,3,8281
17,internal_slot,0,5222
17,internal_slot,1,5351
17,internal_slot,2,5349
17,internal_slot,3,5193
18,birth_slot,0,42661
18,birth_slot,1,42663
18,birth_slot,2,42495
18,birth_slot,3,42549
18,overseas_slot,0,7866
18,overseas_slot,1,8119
18,overseas_slot,2,8063
18,overseas_slot,3,8105
18,internal_slot,0,5135
18,internal_slot,1,5250
18,internal_slot,2,5244
18,internal_slot,3,5088
19,birth_slot,0,43125
19,birth_slot,1,43094
19,birth_slot,2,42951
19,birth_slot,3,42955
19,overseas_slot,0,7702
19,overseas_slot,1,7952
19,overseas_slot,2,7882
19,overseas_slot,3,7936
19,internal_slot,0,5044
19,internal_slot,1,5165
19,internal_slot,2,5154
19,internal_slot,3,5005
20,birth_slot,0,43604
20,birth_slot,1,43507
20,birth_slot,2,43409
20,birth_slot,3,43405
20,overseas_slot,0,7560
20,overseas_slot,1,7787
20,overseas_slot,2,7704
