# params={"birth_rate":0.018710017364841295,"mortality_young":0.0012557911061800717,"mortality_adult":0.0029625952996841383,"mortality_old":0.010162173534429985,"overseas_arrival_rate":0.01900783431483249,"emigration_rate":0.0022767501463957234,"internal_departure_rate":0.0017162529650515965,"internal_arrival_rate":0.01636150418353237}
# dt=1
tick,population,invalid_age,males,females,age_00_04,age_20_24,age_65_69,age_85_plus,births_this_tick,deaths_this_tick,overseas_arrivals_this_tick,overseas_departures_this_tick,internal_arrivals_this_tick,internal_departures_this_tick,locked_out,vacant_birth_slots,vacant_overseas_slots,vacant_internal_slots,max_generation,fired_age_monthly,fired_clear_event,fired_birth_activate,fired_overseas_arrive,fired_internal_arrive,fired_die_young,fired_die_adult,fired_die_old,fired_emigrate,fired_internal_depart,deferred_total
0,796966,0,399032,397934,45543,44331,44000,44593,2281,3559,974,1859,478,1349,3733,117719,49026,29522,1,800000,0,2281,974,478,211,1149,2199,1859,1349,12
1,793864,0,397482,396382,46861,44110,43414,44771,2256,3572,931,1849,456,1324,3643,122230,48095,29066,1,796966,10500,2256,931,456,190,1174,2208,1849,1324,20
2,790634,0,395802,394832,48196,43898,42973,44739,2237,3600,883,1824,486,1412,3606,126738,47212,28580,2,793864,10388,2237,883,486,211,1139,2250,1824,1412,18
3,787901,0,394419,393482,49669,43754,42529,44819,2379,3459,937,1772,457,1275,3773,131185,46279,28129,2,790634,10442,2379,937,457,194,1119,2146,1772,1275,12
4,785129,0,393074,392055,51227,43526,42142,44885,2462,3493,830,1685,448,1334,3740,135207,45460,27692,2,787901,10279,2462,830,448,226,1187,2080,1685,1334,13
5,782350,0,391619,390731,52813,43307,41717,44912,2564,3527,836,1788,473,1337,3873,139130,44642,27226,2,785129,10252,2564,836,473,212,1157,2158,1788,1337,15
6,779732,0,390253,389479,54483,43168,41320,44955,2601,3379,883,1812,431,1342,3915,143149,43783,26803,2,782350,10525,2601,883,431,243,1134,2002,1812,1342,13
7,777101,0,388958,388143,56126,43003,40879,45025,2629,3508,827,1698,431,1312,3887,147001,42992,26388,2,779732,10448,2629,827,431,242,1135,2131,1698,1312,18
8,774495,0,387692,386803,57869,42908,40404,44995,2712,3482,794,1714,439,1355,3945,150751,42234,25969,2,777101,10405,2712,794,439,212,1168,2102,1714,1355,17
9,772067,0,386528,385539,59650,42771,39970,44983,2842,3438,811,1740,437,1340,4090,154386,41468,25561,2,774495,10496,2842,811,437,237,1173,2028,1740,1340,19
10,769699,0,385310,384389,61492,42623,39557,44959,2794,3379,770,1696,427,1284,3991,158035,40742,25165,2,772067,10608,2794,770,427,205,1149,2025,1696,1284,17
11,767363,0,384177,383186,63398,42471,39077,45005,2928,3379,756,1698,402,1345,4086,161380,40037,24798,2,769699,10350,2928,756,402,251,1153,1975,1698,1345,17
12,764962,0,382974,381988,65356,42329,38706,44992,2934,3354,737,1796,373,1295,4044,164769,39365,24459,3,767363,10508,2934,737,373,221,1112,2021,1796,1295,19
13,762793,0,381836,380957,67398,42112,38310,44956,3054,3339,711,1718,412,1289,4177,168061,38717,24083,3,764962,10489,3054,711,412,213,1095,2031,1718,1289,17
14,760673,0,380840,379833,69450,41842,37880,44925,3084,3243,715,1730,374,1320,4173,171218,38065,23751,3,762793,10523,3084,715,374,229,1092,1922,1730,1320,12
15,758403,0,379711,378692,71404,41712,37499,44925,2974,3281,719,1788,392,1286,4085,174434,37417,23391,3,760673,10466,2974,719,392,258,1104,1919,1788,1286,18
16,756493,0,378732,377761,73607,41476,37187,44884,3220,3244,713,1695,360,1264,4293,177438,36791,23075,3,758403,10440,3220,713,360,263,1094,1887,1695,1264,16
17,754499,0,377778,376721,75860,41219,36806,44861,3289,3290,701,1743,363,1314,4353,180221,36172,22761,3,756493,10496,3289,701,363,270,1103,1917,1743,1314,15
18,752759,0,376959,375800,78188,41079,36446,44866,3340,3191,678,1688,379,1258,4397,183066,35603,22435,3,754499,10700,3340,678,379,247,1081,1863,1688,1258,13
19,750975,0,376052,374923,80486,40885,36062,44834,3377,3241,686,1658,340,1288,4403,185680,35012,22146,3,752759,10534,3377,686,340,276,1088,1877,1658,1288,9
20,749281,0,375167,374114,82906,40664,35709,44747,3435,3199,626,1696,372,1232,4433,188272,34497,21823,3,750975,10590,3435,626,372,229,1065,1905,1696,1232,13
21,747626,0,374383,373243,85414,40520,35374,44662,3515,3143,642,1804,339,1204,4496,190707,33974,21542,3,749281,10560,3515,642,339,243,1102,1798,1804,1204,19
22,746198,0,373632,372566,87908,40326,35096,44649,3573,3101,673,1717,363,1219,4609,193090,33438,21237,3,747626,10647,3573,673,363,271,1061,1769,1717,1219,12
23,744523,0,372765,371758,90231,40106,34851,44611,3425,3072,685,1743,335,1305,4445,195544,32857,20956,3,746198,10646,3425,685,335,308,1041,1723,1743,1305,15
