tick,sex,event_age_months,count
0,male,0,21
0,male,1,15
0,male,2,16
0,male,3,18
0,male,4,76
0,male,5,89
0,male,6,70
0,male,7,79
0,male,8,83
0,male,9,88
0,male,10,91
0,male,11,66
0,male,12,86
0,male,13,251
0,male,14,291
0,male,15,266
0,male,16,268
0,male,17,269
0,female,0,25
0,female,1,18
0,female,2,17
0,female,3,14
0,female,4,81
0,female,5,77
0,female,6,74
0,female,7,70
0,female,8,83
0,female,9,85
0,female,10,83
0,female,11,85
0,female,12,85
0,female,13,309
0,female,14,249
0,female,15,255
0,female,16,274
0,female,17,269
1,male,0,16
1,male,1,16
1,male,2,19
1,male,3,18
1,male,4,98
1,male,5,79
1,male,6,83
1,male,7,81
1,male,8,72
1,male,9,81
1,male,10,81
1,male,11,74
1,male,12,70
1,male,13,278
1,male,14,288
1,male,15,264
1,male,16,245
1,male,17,254
1,female,0,11
1,female,1,16
1,female,2,19
1,female,3,13
1,female,4,85
1,female,5,87
1,female,6,77
1,female,7,79
1,female,8,72
1,female,9,97
1,female,10,77
1,female,11,88
1,female,12,71
1,female,13,277
1,female,14,243
1,female,15,269
1,female,16,269
1,female,17,243
1,female,18,7
2,male,0,17
2,male,1,16
2,male,2,20
2,male,3,21
2,male,4,74
2,male,5,71
2,male,6,76
2,male,7,79
2,male,8,93
2,male,9,93
2,male,10,79
2,male,11,79
2,male,12,85
2,male,13,251
2,male,14,286
2,male,15,244
2,male,16,294
2,male,17,279
2,male,18,15
2,female,0,18
2,female,1,12
2,female,2,16
2,female,3,17
2,female,4,67
2,female,5,75
2,female,6,103
2,female,7,65
2,female,8,61
2,female,9,66
2,female,10,96
2,female,11,88
2,female,12,74
2,female,13,284
2,female,14,273
2,female,15,285
2,female,16,239
2,female,17,243
2,female,18,11
3,male,0,17
3,male,1,19
3,male,2,13
3,male,3,16
3,male,4,91
3,male,5,70
3,male,6,70
3,male,7,73
3,male,8,96
3,male,9,95
3,male,10,84
3,male,11,64
3,male,12,82
3,male,13,235
3,male,14,242
3,male,15,254
3,male,16,256
3,male,17,241
3,male,18,14
3,female,0,17
3,female,1,15
3,female,2,10
3,female,3,14
3,female,4,75
3,female,5,86
3,female,6,73
3,female,7,68
3,female,8,78
3,female,9,75
3,female,10,72
3,female,11,77
3,female,12,71
3,female,13,292
3,female,14,257
3,female,15,274
3,female,16,253
3,female,17,249
3,female,18,15
4,male,0,17
4,male,1,22
4,male,2,17
4,male,3,21
4,male,4,91
4,male,5,93
4,male,6,87
4,male,7,83
4,male,8,84
4,male,9,74
4,male,10,99
4,male,11,79
4,male,12,92
4,male,13,262
4,male,14,221
4,male,15,226
4,male,16,255
4,male,17,250
4,male,18,16
4,female,0,18
4,female,1,21
4,female,2,27
4,female,3,23
4,female,4,84
4,female,5,91
4,female,6,68
4,female,7,90
4,female,8,72
4,female,9,75
4,female,10,84
4,female,11,81
4,female,12,90
4,female,13,261
4,female,14,254
4,female,15,225
4,female,16,258
4,female,17,272
4,female,18,15
5,male,0,20
5,male,1,20
5,male,2,16
5,male,3,17
5,male,4,83
5,male,5,83
5,male,6,84
5,male,7,82
5,male,8,69
5,male,9,84
5,male,10,93
5,male,11,80
5,male,12,70
5,male,13,269
5,male,14,245
5,male,15,263
5,male,16,268
5,male,17,237
5,male,18,18
5,female,0,21
5,female,1,23
5,female,2,17
5,female,3,18
5,female,4,66
5,female,5,82
5,female,6,68
5,female,7,78
5,female,8,87
5,female,9,92
5,female,10,79
5,female,11,75
5,female,12,81
5,female,13,243
5,female,14,257
5,female,15,257
5,female,16,232
5,female,17,262
5,female,18,16
6,male,0,21
6,male,1,23
6,male,2,25
6,male,3,18
6,male,4,79
6,male,5,82
6,male,6,82
6,male,7,72
6,male,8,78
6,male,9,80
6,male,10,79
6,male,11,77
6,male,12,82
6,male,13,236
6,male,14,248
6,male,15,222
6,male,16,223
6,male,17,244
6,male,18,26
6,female,0,12
6,female,1,25
6,female,2,12
6,female,3,21
6,female,4,85
6,female,5,87
6,female,6,78
6,female,7,74
6,female,8,74
6,female,9,76
6,female,10,78
6,female,11,75
6,female,12,79
6,female,13,242
6,female,14,240
6,female,15,223
6,female,16,270
6,female,17,226
6,female,18,27
7,male,0,24
7,male,1,14
7,male,2,27
7,male,3,20
7,male,4,67
7,male,5,53
7,male,6,76
7,male,7,70
7,male,8,87
7,male,9,83
7,male,10,72
7,male,11,88
7,male,12,77
7,male,13,256
7,male,14,282
7,male,15,256
7,male,16,247
7,male,17,223
7,male,18,26
7,female,0,24
7,female,1,15
7,female,2,16
7,female,3,27
7,female,4,84
7,female,5,89
7,female,6,73
7,female,7,81
7,female,8,95
7,female,9,87
7,female,10,83
7,female,11,79
7,female,12,92
7,female,13,232
7,female,14,267
7,female,15,260
7,female,16,250
7,female,17,231
7,female,18,20
8,male,0,24
8,male,1,13
8,male,2,11
8,male,3,18
8,male,4,85
8,male,5,91
8,male,6,74
8,male,7,79
8,male,8,84
8,male,9,96
8,male,10,63
8,male,11,85
8,male,12,64
8,male,13,256
8,male,14,271
8,male,15,247
8,male,16,273
8,male,17,225
8,male,18,20
8,female,0,15
8,female,1,25
8,female,2,14
8,female,3,18
8,female,4,87
8,female,5,67
8,female,6,90
8,female,7,76
8,female,8,86
8,female,9,82
8,female,10,86
8,female,11,87
8,female,12,76
8,female,13,272
8,female,14,229
8,female,15,232
8,female,16,226
8,female,17,261
8,female,18,38
