tick,sex,event_age_months,count
0,male,0,25
0,male,1,20
0,male,2,18
0,male,3,22
0,male,4,54
0,male,5,52
0,male,6,69
0,male,7,52
0,male,8,62
0,male,9,57
0,male,10,54
0,male,11,54
0,male,12,64
0,male,13,210
0,male,14,183
0,male,15,173
0,male,16,197
0,male,17,185
0,female,0,18
0,female,1,27
0,female,2,13
0,female,3,23
0,female,4,60
0,female,5,57
0,female,6,71
0,female,7,48
0,female,8,43
0,female,9,53
0,female,10,70
0,female,11,60
0,female,12,62
0,female,13,193
0,female,14,167
0,female,15,183
0,female,16,168
0,female,17,181
1,male,0,19
1,male,1,26
1,male,2,22
1,male,3,19
1,male,4,55
1,male,5,60
1,male,6,52
1,male,7,62
1,male,8,52
1,male,9,46
1,male,10,65
1,male,11,45
1,male,12,59
1,male,13,214
1,male,14,196
1,male,15,178
1,male,16,173
1,male,17,177
1,female,0,15
1,female,1,24
1,female,2,18
1,female,3,17
1,female,4,52
1,female,5,53
1,female,6,53
1,female,7,64
1,female,8,61
1,female,9,62
1,female,10,55
1,female,11,63
1,female,12,63
1,female,13,186
1,female,14,181
1,female,15,218
1,female,16,171
1,female,17,192
2,male,0,24
2,male,1,20
2,male,2,21
2,male,3,20
2,male,4,47
2,male,5,50
2,male,6,66
2,male,7,70
2,male,8,53
2,male,9,65
2,male,10,68
2,male,11,65
2,male,12,64
2,male,13,193
2,male,14,192
2,male,15,175
2,male,16,184
2,male,17,167
2,male,18,6
2,female,0,25
2,female,1,27
2,female,2,15
2,female,3,19
2,female,4,50
2,female,5,47
2,female,6,68
2,female,7,58
2,female,8,65
2,female,9,45
2,female,10,55
2,female,11,58
2,female,12,61
2,female,13,204
2,female,14,190
2,female,15,176
2,female,16,202
2,female,17,199
2,female,18,4
3,male,0,13
3,male,1,18
3,male,2,26
3,male,3,21
3,male,4,50
3,male,5,56
3,male,6,77
3,male,7,64
3,male,8,62
3,male,9,67
3,male,10,61
3,male,11,54
3,male,12,62
3,male,13,182
3,male,14,172
3,male,15,188
3,male,16,181
3,male,17,190
3,male,18,12
3,female,0,20
3,female,1,19
3,female,2,24
3,female,3,18
3,female,4,45
3,female,5,51
3,female,6,69
3,female,7,55
3,female,8,51
3,female,9,65
3,female,10,62
3,female,11,75
3,female,12,60
3,female,13,180
3,female,14,199
3,female,15,190
3,female,16,182
3,female,17,167
3,female,18,5
4,male,0,25
4,male,1,21
4,male,2,27
4,male,3,17
4,male,4,64
4,male,5,66
4,male,6,34
4,male,7,58
4,male,8,48
4,male,9,62
4,male,10,52
4,male,11,55
4,male,12,62
4,male,13,179
4,male,14,181
4,male,15,164
4,male,16,180
4,male,17,189
4,male,18,16
4,female,0,21
4,female,1,23
4,female,2,22
4,female,3,23
4,female,4,54
4,female,5,58
4,female,6,65
4,female,7,49
4,female,8,53
4,female,9,56
4,female,10,58
4,female,11,67
4,female,12,62
4,female,13,170
4,female,14,174
4,female,15,179
4,female,16,165
4,female,17,178
4,female,18,16
5,male,0,21
5,male,1,20
5,male,2,26
5,male,3,23
5,male,4,54
5,male,5,57
5,male,6,50
5,male,7,48
5,male,8,49
5,male,9,59
5,male,10,65
5,male,11,65
5,male,12,67
5,male,13,182
5,male,14,191
5,male,15,168
5,male,16,179
5,male,17,155
5,male,18,9
5,female,0,24
5,female,1,20
5,female,2,19
5,female,3,19
5,female,4,54
5,female,5,64
5,female,6,60
5,female,7,55
5,female,8,71
5,female,9,46
5,female,10,68
5,female,11,58
5,female,12,61
5,female,13,172
5,female,14,176
5,female,15,166
5,female,16,170
5,female,17,172
5,female,18,13
6,male,0,24
6,male,1,19
6,male,2,12
6,male,3,15
6,male,4,57
6,male,5,65
6,male,6,56
6,male,7,48
6,male,8,59
6,male,9,59
6,male,10,66
6,male,11,75
6,male,12,52
6,male,13,176
6,male,14,160
6,male,15,176
6,male,16,157
6,male,17,170
6,male,18,19
6,female,0,32
6,female,1,17
6,female,2,16
6,female,3,28
6,female,4,55
6,female,5,56
6,female,6,63
6,female,7,61
6,female,8,60
6,female,9,63
6,female,10,65
6,female,11,67
6,female,12,57
6,female,13,172
6,female,14,154
6,female,15,171
6,female,16,172
6,female,17,180
6,female,18,14
7,male,0,32
7,male,1,15
7,male,2,17
7,male,3,17
7,male,4,48
7,male,5,54
7,male,6,52
7,male,7,60
7,male,8,54
7,male,9,55
7,male,10,47
7,male,11,68
7,male,12,69
7,male,13,155
7,male,14,203
7,male,15,171
7,male,16,172
7,male,17,184
7,male,18,18
7,female,0,18
7,female,1,12
7,female,2,26
7,female,3,21
7,female,4,74
7,female,5,45
7,female,6,67
7,female,7,59
7,female,8,57
7,female,9,72
7,female,10,41
7,female,11,51
7,female,12,59
7,female,13,164
7,female,14,165
7,female,15,163
7,female,16,168
7,female,17,171
7,female,18,23
8,male,0,23
8,male,1,21
8,male,2,18
8,male,3,19
8,male,4,60
8,male,5,60
8,male,6,53
8,male,7,59
8,male,8,63
8,male,9,54
8,male,10,59
8,male,11,61
8,male,12,52
8,male,13,163
8,male,14,187
8,male,15,181
8,male,16,166
8,male,17,168
8,male,18,17
8,female,0,32
8,female,1,14
8,female,2,21
8,female,3,23
8,female,4,67
8,female,5,56
8,female,6,59
8,female,7,59
8,female,8,54
8,female,9,48
8,female,10,54
8,female,11,71
8,female,12,63
8,female,13,174
8,female,14,172
8,female,15,152
8,female,16,173
8,female,17,165
8,female,18,22
9,male,0,40
9,male,1,20
9,male,2,23
9,male,3,14
9,male,4,60
9,male,5,64
9,male,6,53
9,male,7,57
9,male,8,50
9,male,9,55
9,male,10,58
9,male,11,71
9,male,12,64
9,male,13,165
9,male,14,162
9,male,15,175
9,male,16,182
9,male,17,156
9,male,18,24
9,female,0,32
9,female,1,15
9,female,2,22
9,female,3,24
9,female,4,53
9,female,5,47
9,female,6,61
9,female,7,48
9,female,8,49
9,female,9,66
9,female,10,61
9,female,11,52
9,female,12,58
9,female,13,182
9,female,14,158
9,female,15,167
9,female,16,164
9,female,17,128
9,female,18,19
10,male,0,34
10,male,1,26
10,male,2,21
10,male,3,16
10,male,4,49
10,male,5,48
10,male,6,70
