# params={"birth_rate":0.018020345815424308,"mortality_young":0.000724656328742004,"mortality_adult":0.004107165557854816,"mortality_old":0.011675794335487572,"overseas_arrival_rate":0.02004409106637286,"emigration_rate":0.001886538122885192,"internal_departure_rate":0.002405991561476412,"internal_arrival_rate":0.019744534032868008}
# dt=1
tick,population,invalid_age,males,females,age_00_04,age_20_24,age_65_69,age_85_plus,births_this_tick,deaths_this_tick,overseas_arrivals_this_tick,overseas_departures_this_tick,internal_arrivals_this_tick,internal_departures_this_tick,locked_out,vacant_birth_slots,vacant_overseas_slots,vacant_internal_slots,max_generation,fired_age_monthly,fired_clear_event,fired_birth_activate,fired_overseas_arrive,fired_internal_arrive,fired_die_young,fired_die_adult,fired_die_old,fired_emigrate,fired_internal_depart,deferred_total
0,796026,0,398487,397539,45449,44277,43988,44532,2178,4277,1034,1500,582,1991,3794,117822,48966,29418,1,800000,0,2178,1034,582,137,1623,2517,1500,1991,18
1,792043,0,396579,395464,46728,44079,43378,44550,2185,4391,1001,1466,574,1886,3760,123405,47965,28844,1,796026,11562,2185,1001,574,130,1648,2613,1466,1886,19
2,788199,0,394589,393610,48043,43841,42878,44522,2227,4282,918,1480,593,1820,3738,128921,47047,28251,2,792043,11503,2227,918,593,124,1640,2518,1480,1820,26
3,784407,0,392718,391689,49377,43648,42348,44536,2210,4092,922,1502,565,1895,3697,134281,46133,27690,2,788199,11320,2210,922,565,129,1580,2383,1502,1895,26
4,780895,0,390823,390072,50955,43389,41934,44516,2514,4084,947,1485,496,1900,3957,139228,45205,27203,2,784407,11186,2514,947,496,156,1516,2412,1485,1900,14
5,777231,0,389048,388183,52439,43078,41434,44503,2464,4118,869,1478,520,1921,3853,144194,44355,26703,2,780895,11426,2464,869,520,123,1565,2430,1478,1921,14
6,773888,0,387478,386410,54101,42916,40914,44430,2618,4032,911,1478,530,1892,4059,149055,43464,26191,2,777231,11370,2618,911,530,137,1563,2332,1478,1892,24
7,770471,0,385753,384718,55898,42654,40398,44406,2749,4173,799,1458,485,1819,4033,153616,42724,25739,2,773888,11461,2749,799,485,116,1673,2384,1458,1819,25
8,767236,0,384214,383022,57690,42528,39934,44274,2752,4112,872,1411,493,1829,4117,158234,41898,25280,2,770471,11483,2752,872,493,117,1670,2325,1411,1829,26
9,764182,0,382662,381520,59466,42331,39485,44187,2785,3843,805,1432,496,1865,4086,162735,41136,24807,2,767236,11469,2785,805,496,130,1445,2268,1432,1865,20
10,761098,0,381155,379943,61338,42110,39020,44119,2846,3971,869,1454,459,1833,4174,166932,40324,24388,3,764182,11226,2846,869,459,142,1530,2299,1454,1833,18
11,758176,0,379727,378449,63291,41902,38519,44023,2985,3928,792,1443,481,1809,4258,171095,39604,23945,3,761098,11432,2985,792,481,136,1483,2309,1443,1809,16
12,755516,0,378378,377138,65375,41724,38075,43930,3066,3797,793,1418,500,1804,4359,175098,38885,23482,3,758176,11438,3066,793,500,129,1466,2202,1418,1804,21
13,752686,0,377013,375673,67516,41461,37641,43826,3161,3938,735,1433,413,1768,4309,178814,38236,23125,3,755516,11378,3161,735,413,136,1588,2214,1433,1768,22
14,749980,0,375788,374192,69669,41227,37135,43720,3169,3885,780,1431,465,1804,4414,182657,37540,22703,3,752686,11448,3169,780,465,149,1515,2221,1431,1804,14
15,747434,0,374474,372960,71903,41079,36741,43610,3188,3754,735,1345,446,1816,4369,186421,36910,22320,3,749980,11534,3188,735,446,129,1503,2122,1345,1816,21
16,744978,0,373284,371694,74152,40838,36350,43519,3282,3776,733,1346,429,1778,4444,189898,36266,21958,3,747434,11284,3282,733,429,151,1487,2138,1346,1778,20
17,742498,0,372043,370455,76486,40566,35932,43374,3365,3752,689,1399,448,1831,4502,193262,35686,21572,3,744978,11344,3365,689,448,130,1522,2100,1399,1831,17
18,740134,0,370925,369209,78889,40417,35527,43272,3425,3732,688,1362,412,1795,4525,196651,35110,21216,3,742498,11484,3425,688,412,137,1497,2098,1362,1795,21
19,737727,0,369658,368069,81154,40172,35154,43122,3363,3634,669,1403,404,1806,4436,199955,34593,20882,3,740134,11414,3363,669,404,141,1450,2043,1403,1806,20
20,735701,0,368624,367077,83716,39955,34793,42926,3624,3622,725,1408,402,1747,4751,202976,33983,20563,3,737727,11279,3624,725,402,160,1408,2054,1408,1747,20
21,733683,0,367564,366119,86332,39813,34399,42752,3617,3575,690,1353,414,1811,4721,205922,33426,20230,3,735701,11528,3617,690,414,126,1434,2015,1353,1811,15
22,731767,0,366714,365053,88998,39603,34035,42589,3711,3531,610,1372,385,1719,4706,208722,32953,19936,3,733683,11460,3711,610,385,149,1409,1973,1372,1719,15
23,729865,0,365732,364133,91703,39383,33684,42384,3789,3626,637,1418,390,1674,4816,211331,32465,19621,3,731767,11328,3789,637,390,158,1484,1984,1418,1674,20
