Generating SQLite file cuda-workers-2-trace.sqlite from cuda-workers-2-trace.nsys-rep
Processing [cuda-workers-2-trace.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
43.3,531481425,223860,2374.2,2173.0,1241,54066,1032.8,cuEventRecord
27.6,338793171,780,434350.2,160660.5,9515,49837246,2785093.6,cuMemcpyDtoHAsync_v2
13.6,166370477,39552,4206.4,3956.0,2264,37287,1296.4,cuLaunchKernel
13.4,164145760,274800,597.3,570.0,129,99266,563.5,cuStreamWaitEvent
0.7,8266240,96,86106.7,801.0,471,6209522,632961.8,cuMemAllocAsync
0.4,4976909,228,21828.5,3270.5,1863,2165343,196518.4,cuMemcpyHtoDAsync_v2
0.4,4800539,2,2400269.5,2400269.5,2392077,2408462,11585.9,cuModuleLoadData
0.2,2502322,2,1251161.0,1251161.0,1180556,1321766,99850.5,cuStreamDestroy_v2
0.1,1657120,108,15343.7,13216.0,6900,71060,9689.0,cuMemcpyDtoDAsync_v2
0.1,1542221,2,771110.5,771110.5,599558,942663,242611.9,cuModuleUnload
0.1,946629,4,236657.3,235979.0,204980,269691,30032.5,cuStreamSynchronize
0.0,573808,204,2812.8,2574.5,1482,9604,1360.3,cuMemsetD8Async
0.0,266166,2,133083.0,133083.0,16716,249450,164567.8,cuStreamCreate
0.0,96968,96,1010.1,706.5,350,12489,1361.9,cuMemFreeAsync
0.0,49082,192,255.6,210.0,90,1923,297.3,cuEventDestroy_v2
0.0,49064,192,255.5,215.5,100,1423,171.0,cuEventCreate
0.0,11578,2,5789.0,5789.0,5679,5899,155.6,cuInit
0.0,8061,2,4030.5,4030.5,3955,4106,106.8,cuCtxSynchronize
0.0,3765,2,1882.5,1882.5,881,2884,1416.3,cuCtxSetCurrent

