Generating SQLite file cuda-workers-2-trace.sqlite from cuda-workers-2-trace.nsys-rep
Processing [cuda-workers-2-trace.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
13.4,45468151,3840,11840.7,10336.0,6881,181345,6034.6,sembla_prepare_effects
10.9,36951527,192,192455.9,198833.0,28128,330017,50465.5,sembla_bound_grouped_view
9.0,30468764,1824,16704.4,16224.0,14944,115808,4063.6,sembla_observe_view
7.8,26489740,288,91978.3,76784.0,7937,312705,75184.7,sembla_observe_grouped_view
7.2,24380734,3840,6349.1,5889.0,5632,55905,2108.9,sembla_check_candidate_errors
6.7,22772395,12096,1882.6,1568.0,1312,30592,1501.5,sembla_advance_validation_phase
6.5,22108403,288,76765.3,75840.5,73088,110721,3656.3,sembla_count_deferred
5.6,19157846,3840,4989.0,4544.0,4352,48352,2175.5,sembla_validate_claims
3.8,13021542,3840,3391.0,2816.0,2720,32448,2521.1,sembla_validate_transition
3.1,10621912,960,11064.5,10624.0,10080,53504,2921.4,sembla_count_fired
2.7,9187217,96,95700.2,95808.5,91393,109281,1985.4,sembla_resolve_conflicts
2.5,8479120,960,8832.4,6368.0,4672,72896,7223.9,sembla_mark_effect_active
2.4,8321863,4032,2064.0,1760.0,1536,30624,1656.5,sembla_commit_validation_status
2.2,7422685,96,77319.6,77008.5,73665,93120,2335.8,sembla_build_claim_instances
2.1,7178661,96,74777.7,75056.5,68321,80704,2881.5,sembla_apply_effects
1.7,5752637,384,14980.8,13040.0,12032,43329,3830.4,sembla_validate_effects
1.3,4332859,96,45133.9,44848.0,41920,52513,1903.4,sembla_reduce_claim_instances
1.3,4275796,96,44539.5,43920.0,41024,80289,4248.4,sembla_reduce_claim_entities
1.2,3927385,96,40910.3,40224.5,38817,57665,2681.6,sembla_reduce_claim_keys
1.1,3808566,96,39672.6,39040.0,36353,62336,3043.1,sembla_reduce_claim_rules
0.7,2361814,96,24602.2,24705.0,19040,35200,2659.9,sembla_init_conflict_winners
0.7,2266608,96,23610.5,23200.0,22593,45568,2352.6,sembla_init_effect_owners
0.6,2054602,96,21402.1,20400.0,19584,56064,4945.6,sembla_transition_00000005
0.6,2028360,96,21128.8,19552.0,18240,109057,9978.8,sembla_transition_00000002
0.6,2012490,96,20963.4,20320.0,18048,90529,7374.1,sembla_transition_00000007
0.6,1939534,96,20203.5,20256.0,17888,41953,2588.5,sembla_transition_00000006
0.6,1892587,96,19714.4,19456.0,17792,42209,2775.2,sembla_transition_00000003
0.5,1871886,96,19498.8,19424.5,17664,34080,1913.8,sembla_transition_00000004
0.5,1837329,96,19138.8,18881.0,17312,41472,3279.7,sembla_transition_00000008
0.5,1827339,96,19034.8,18816.5,17344,34176,1942.3,sembla_transition_00000009
0.5,1618597,96,16860.4,16400.0,15360,34593,2601.8,sembla_transition_00000001
0.5,1584871,96,16509.1,16304.0,15456,19200,910.9,sembla_transition_00000000
0.2,824035,288,2861.2,2000.0,1344,21280,2607.5,sembla_init_grouped_histogram
0.2,657220,384,1711.5,1376.0,1120,21184,1489.3,sembla_validate_outputs
0.1,291556,96,3037.0,2464.0,1280,20032,3255.9,sembla_reset_status
0.1,261091,96,2719.7,2736.0,1600,5888,899.5,sembla_init_observations
0.1,227905,96,2374.0,1664.0,1344,20704,3074.2,sembla_init_grouped_extrema
0.1,220353,96,2295.3,1792.0,1344,7232,1031.4,sembla_init_validation_scratch
0.1,187460,96,1952.7,1728.0,1504,15008,1441.1,sembla_prepare_outputs
0.1,176224,96,1835.7,1376.0,1152,19808,2247.2,sembla_validate_claim_compatibility
0.0,155872,96,1623.7,1472.0,1248,4000,535.0,sembla_init_control_counts

