tick,sex,area,age_months,count
0,male,0,0,58891
0,male,0,1,55595
0,male,0,2,55313
0,male,0,3,55201
0,male,0,4,55331
0,male,0,5,55312
0,male,0,6,55525
0,male,0,7,55417
0,male,0,8,55399
0,male,0,9,55271
0,male,0,10,55690
0,male,0,11,55236
0,male,0,12,55115
0,male,0,13,55126
0,male,0,14,54955
0,male,0,15,54793
0,male,0,16,55012
0,male,0,17,54866
0,male,0,18,884
0,male,1,0,59198
0,male,1,1,55408
0,male,1,2,55353
0,male,1,3,55271
0,male,1,4,55558
0,male,1,5,55571
0,male,1,6,55814
0,male,1,7,55433
0,male,1,8,55466
0,male,1,9,55225
0,male,1,10,55137
0,male,1,11,55467
0,male,1,12,55225
0,male,1,13,54750
0,male,1,14,54522
0,male,1,15,54869
0,male,1,16,54519
0,male,1,17,54780
0,male,1,18,945
0,male,2,0,58745
0,male,2,1,55405
0,male,2,2,54927
0,male,2,3,55292
0,male,2,4,55277
0,male,2,5,54993
0,male,2,6,55681
0,male,2,7,55330
0,male,2,8,55724
0,male,2,9,55254
0,male,2,10,55207
0,male,2,11,55298
0,male,2,12,54621
0,male,2,13,55215
0,male,2,14,54526
0,male,2,15,54828
0,male,2,16,54301
0,male,2,17,54823
0,male,2,18,948
0,male,3,0,58978
0,male,3,1,55388
0,male,3,2,55170
0,male,3,3,55566
0,male,3,4,55475
0,male,3,5,55347
0,male,3,6,55355
0,male,3,7,55473
0,male,3,8,55087
0,male,3,9,55685
0,male,3,10,55474
0,male,3,11,55203
0,male,3,12,55400
0,male,3,13,55113
0,male,3,14,54772
0,male,3,15,54635
0,male,3,16,54758
0,male,3,17,54989
0,male,3,18,948
0,female,0,0,58927
0,female,0,1,55436
0,female,0,2,54928
0,female,0,3,55398
0,female,0,4,55152
0,female,0,5,55363
0,female,0,6,55113
0,female,0,7,55462
0,female,0,8,55092
0,female,0,9,55619
0,female,0,10,55303
0,female,0,11,55004
0,female,0,12,54562
0,female,0,13,54822
0,female,0,14,55021
0,female,0,15,54505
0,female,0,16,54658
0,female,0,17,54666
0,female,0,18,915
0,female,1,0,58925
