tick,sex,event_age_months,count
0,male,0,217
0,male,1,213
0,male,2,238
0,male,3,248
0,male,4,659
0,male,5,658
0,male,6,659
0,male,7,663
0,male,8,681
0,male,9,670
0,male,10,668
0,male,11,671
0,male,12,679
0,male,13,1594
0,male,14,1567
0,male,15,1526
0,male,16,1587
0,male,17,1581
0,female,0,212
0,female,1,204
0,female,2,184
0,female,3,225
0,female,4,695
0,female,5,656
0,female,6,715
0,female,7,669
0,female,8,725
0,female,9,619
0,female,10,674
0,female,11,682
0,female,12,674
0,female,13,1590
0,female,14,1526
0,female,15,1581
0,female,16,1581
0,female,17,1623
1,male,0,218
1,male,1,190
1,male,2,216
1,male,3,213
1,male,4,657
1,male,5,669
1,male,6,654
1,male,7,679
1,male,8,691
1,male,9,649
1,male,10,655
1,male,11,649
1,male,12,651
1,male,13,1574
1,male,14,1569
1,male,15,1493
1,male,16,1630
1,male,17,1691
1,male,18,17
1,female,0,198
1,female,1,192
1,female,2,241
1,female,3,237
1,female,4,655
1,female,5,684
1,female,6,651
1,female,7,654
1,female,8,651
1,female,9,659
1,female,10,716
1,female,11,667
1,female,12,676
1,female,13,1525
1,female,14,1552
1,female,15,1504
1,female,16,1555
1,female,17,1554
1,female,18,29
2,male,0,239
2,male,1,215
2,male,2,223
2,male,3,212
2,male,4,675
2,male,5,632
2,male,6,616
2,male,7,662
2,male,8,682
2,male,9,651
2,male,10,644
2,male,11,625
2,male,12,652
2,male,13,1556
2,male,14,1537
2,male,15,1545
2,male,16,1511
2,male,17,1497
2,male,18,60
2,female,0,211
2,female,1,204
2,female,2,231
2,female,3,210
2,female,4,679
2,female,5,662
2,female,6,666
2,female,7,656
2,female,8,667
2,female,9,660
2,female,10,697
2,female,11,641
2,female,12,656
2,female,13,1566
2,female,14,1613
2,female,15,1529
2,female,16,1540
2,female,17,1560
2,female,18,53
3,male,0,248
3,male,1,218
3,male,2,212
3,male,3,222
3,male,4,631
3,male,5,663
3,male,6,614
3,male,7,652
3,male,8,638
3,male,9,675
3,male,10,660
3,male,11,606
3,male,12,658
3,male,13,1489
3,male,14,1516
3,male,15,1598
3,male,16,1600
3,male,17,1518
3,male,18,78
3,female,0,244
3,female,1,220
3,female,2,199
3,female,3,214
3,female,4,627
3,female,5,667
3,female,6,644
3,female,7,660
3,female,8,662
3,female,9,726
3,female,10,716
3,female,11,607
3,female,12,658
3,female,13,1569
3,female,14,1595
3,female,15,1524
3,female,16,1525
3,female,17,1549
3,female,18,84
4,male,0,260
4,male,1,200
4,male,2,214
4,male,3,228
4,male,4,651
4,male,5,625
4,male,6,641
4,male,7,641
4,male,8,637
4,male,9,640
4,male,10,697
4,male,11,666
4,male,12,648
4,male,13,1516
4,male,14,1515
4,male,15,1468
4,male,16,1472
4,male,17,1571
4,male,18,96
4,female,0,243
4,female,1,211
4,female,2,230
4,female,3,204
4,female,4,649
4,female,5,692
4,female,6,637
4,female,7,676
4,female,8,620
4,female,9,678
4,female,10,646
4,female,11,660
4,female,12,686
4,female,13,1487
4,female,14,1507
4,female,15,1494
4,female,16,1518
4,female,17,1511
4,female,18,93
5,male,0,278
5,male,1,209
5,male,2,221
5,male,3,238
5,male,4,674
5,male,5,640
5,male,6,648
5,male,7,640
5,male,8,615
5,male,9,716
5,male,10,688
5,male,11,627
5,male,12,657
5,male,13,1505
5,male,14,1478
5,male,15,1512
5,male,16,1513
5,male,17,1582
5,male,18,129
5,female,0,276
5,female,1,234
5,female,2,207
5,female,3,221
5,female,4,632
5,female,5,638
5,female,6,642
5,female,7,676
5,female,8,588
5,female,9,609
5,female,10,703
5,female,11,657
5,female,12,623
5,female,13,1487
5,female,14,1501
5,female,15,1484
5,female,16,1572
5,female,17,1520
5,female,18,114
6,male,0,272
6,male,1,235
6,male,2,212
6,male,3,215
6,male,4,645
6,male,5,638
6,male,6,641
6,male,7,690
6,male,8,669
6,male,9,681
6,male,10,664
6,male,11,632
6,male,12,650
6,male,13,1528
6,male,14,1437
6,male,15,1495
6,male,16,1571
6,male,17,1482
6,male,18,135
6,female,0,284
6,female,1,231
6,female,2,187
6,female,3,222
6,female,4,687
6,female,5,672
6,female,6,678
6,female,7,655
6,female,8,661
6,female,9,667
6,female,10,646
6,female,11,626
6,female,12,634
6,female,13,1495
6,female,14,1450
6,female,15,1420
6,female,16,1523
6,female,17,1471
6,female,18,151
7,male,0,295
7,male,1,188
7,male,2,192
7,male,3,207
