tick,sex,area,age_months,count
0,male,0,0,59094
0,male,0,1,55602
0,male,0,2,55320
0,male,0,3,55189
0,male,0,4,55349
0,male,0,5,55321
0,male,0,6,55537
0,male,0,7,55443
0,male,0,8,55410
0,male,0,9,55275
0,male,0,10,55696
0,male,0,11,55266
0,male,0,12,55123
0,male,0,13,55108
0,male,0,14,54961
0,male,0,15,54780
0,male,0,16,55003
0,male,0,17,54857
0,male,0,18,885
0,male,1,0,59397
0,male,1,1,55410
0,male,1,2,55353
0,male,1,3,55255
0,male,1,4,55562
0,male,1,5,55585
0,male,1,6,55824
0,male,1,7,55439
0,male,1,8,55475
0,male,1,9,55243
0,male,1,10,55147
0,male,1,11,55478
0,male,1,12,55245
0,male,1,13,54733
0,male,1,14,54514
0,male,1,15,54857
0,male,1,16,54513
0,male,1,17,54779
0,male,1,18,944
0,male,2,0,58945
0,male,2,1,55397
0,male,2,2,54938
0,male,2,3,55284
0,male,2,4,55308
0,male,2,5,55004
0,male,2,6,55701
0,male,2,7,55347
0,male,2,8,55734
0,male,2,9,55262
0,male,2,10,55207
0,male,2,11,55320
0,male,2,12,54643
0,male,2,13,55200
0,male,2,14,54532
0,male,2,15,54814
0,male,2,16,54309
0,male,2,17,54826
0,male,2,18,948
0,male,3,0,59203
0,male,3,1,55377
0,male,3,2,55162
0,male,3,3,55560
0,male,3,4,55481
0,male,3,5,55363
0,male,3,6,55364
0,male,3,7,55497
0,male,3,8,55109
0,male,3,9,55703
0,male,3,10,55479
0,male,3,11,55226
0,male,3,12,55409
0,male,3,13,55094
0,male,3,14,54774
0,male,3,15,54633
0,male,3,16,54761
0,male,3,17,54981
0,male,3,18,948
0,female,0,0,59120
0,female,0,1,55426
0,female,0,2,54935
0,female,0,3,55382
0,female,0,4,55171
0,female,0,5,55361
0,female,0,6,55122
0,female,0,7,55462
0,female,0,8,55093
0,female,0,9,55620
0,female,0,10,55323
0,female,0,11,55020
0,female,0,12,54585
0,female,0,13,54809
0,female,0,14,55012
0,female,0,15,54502
0,female,0,16,54647
0,female,0,17,54683
0,female,0,18,915
0,female,1,0,59099
0,female,1,1,55204
0,female,1,2,55484
0,female,1,3,55330
0,female,1,4,54811
0,female,1,5,55367
0,female,1,6,55403
0,female,1,7,55152
0,female,1,8,55089
0,female,1,9,55338
0,female,1,10,55241
0,female,1,11,55672
0,female,1,12,55089
0,female,1,13,55398
0,female,1,14,55027
0,female,1,15,54878
0,female,1,16,54933
0,female,1,17,54736
0,female,1,18,880
0,female,2,0,59773
0,female,2,1,55276
0,female,2,2,55045
0,female,2,3,55307
0,female,2,4,55531
0,female,2,5,55455
0,female,2,6,55419
0,female,2,7,55413
0,female,2,8,55296
0,female,2,9,55033
0,female,2,10,55315
0,female,2,11,55270
0,female,2,12,55189
0,female,2,13,54579
0,female,2,14,55325
0,female,2,15,55250
0,female,2,16,54854
0,female,2,17,54654
0,female,2,18,907
0,female,3,0,59297
0,female,3,1,55437
0,female,3,2,55713
0,female,3,3,55141
0,female,3,4,55446
0,female,3,5,55250
0,female,3,6,55495
0,female,3,7,55382
0,female,3,8,55340
0,female,3,9,55579
0,female,3,10,55382
0,female,3,11,55498
0,female,3,12,55129
0,female,3,13,54947
0,female,3,14,54675
0,female,3,15,54404
0,female,3,16,55044
0,female,3,17,55326
0,female,3,18,899
1,male,0,0,62682
1,male,0,1,55337
1,male,0,2,55037
1,male,0,3,54960
1,male,0,4,55199
1,male,0,5,55080
1,male,0,6,55231
1,male,0,7,55230
1,male,0,8,55165
1,male,0,9,54936
1,male,0,10,55428
1,male,0,11,55093
1,male,0,12,54875
1,male,0,13,54443
1,male,0,14,54311
1,male,0,15,54157
1,male,0,16,54230
1,male,0,17,54090
1,male,0,18,1802
1,male,1,0,62969
1,male,1,1,55140
1,male,1,2,55061
1,male,1,3,55077
1,male,1,4,55302
1,male,1,5,55321
1,male,1,6,55563
1,male,1,7,55200
1,male,1,8,55179
1,male,1,9,55035
1,male,1,10,54948
1,male,1,11,55271
1,male,1,12,54900
1,male,1,13,54227
1,male,1,14,53787
1,male,1,15,54205
1,male,1,16,53777
1,male,1,17,54070
1,male,1,18,1821
1,male,2,0,62676
1,male,2,1,55212
1,male,2,2,54682
1,male,2,3,55031
1,male,2,4,54980
1,male,2,5,54853
1,male,2,6,55465
1,male,2,7,55132
1,male,2,8,55504
1,male,2,9,54983
1,male,2,10,54967
1,male,2,11,54999
1,male,2,12,54471
1,male,2,13,54605
1,male,2,14,53872
1,male,2,15,54190
1,male,2,16,53592
1,male,2,17,54079
1,male,2,18,1833
1,male,3,0,62719
1,male,3,1,55103
1,male,3,2,54874
1,male,3,3,55358
1,male,3,4,55207
1,male,3,5,55104
1,male,3,6,55195
1,male,3,7,55117
1,male,3,8,54842
1,male,3,9,55464
1,male,3,10,55147
1,male,3,11,55051
1,male,3,12,55147
1,male,3,13,54515
1,male,3,14,54179
1,male,3,15,54030
1,male,3,16,54037
1,male,3,17,54229
1,male,3,18,1847
1,female,0,0,62620
1,female,0,1,55234
1,female,0,2,54649
1,female,0,3,55141
1,female,0,4,54970
1,female,0,5,55047
1,female,0,6,54902
1,female,0,7,55239
1,female,0,8,54887
1,female,0,9,55291
1,female,0,10,55091
1,female,0,11,54810
1,female,0,12,54365
1,female,0,13,54220
1,female,0,14,54242
1,female,0,15,53933
1,female,0,16,53940
1,female,0,17,54030
1,female,0,18,1760
1,female,1,0,62729
1,female,1,1,54937
1,female,1,2,55187
1,female,1,3,55175
1,female,1,4,54567
1,female,1,5,55140
1,female,1,6,55044
1,female,1,7,54985
1,female,1,8,54777
1,female,1,9,55143
1,female,1,10,54957
1,female,1,11,55398
1,female,1,12,54870
1,female,1,13,54815
1,female,1,14,54356
1,female,1,15,54208
1,female,1,16,54201
1,female,1,17,54066
1,female,1,18,1717
1,female,2,0,63359
1,female,2,1,55091
1,female,2,2,54838
1,female,2,3,55059
1,female,2,4,55254
1,female,2,5,55178
1,female,2,6,55232
1,female,2,7,55201
1,female,2,8,55039
1,female,2,9,54691
1,female,2,10,55040
1,female,2,11,55044
1,female,2,12,54919
1,female,2,13,54066
1,female,2,14,54664
1,female,2,15,54542
1,female,2,16,54198
1,female,2,17,53866
1,female,2,18,1804
1,female,3,0,62960
1,female,3,1,55163
1,female,3,2,55407
1,female,3,3,54982
1,female,3,4,55163
1,female,3,5,55075
1,female,3,6,55119
1,female,3,7,55203
1,female,3,8,55033
1,female,3,9,55364
1,female,3,10,55171
1,female,3,11,55248
1,female,3,12,54876
1,female,3,13,54383
1,female,3,14,54042
1,female,3,15,53722
1,female,3,16,54294
1,female,3,17,54616
1,female,3,18,1780
2,male,0,0,66381
2,male,0,1,55069
2,male,0,2,54788
2,male,0,3,54767
2,male,0,4,54896
2,male,0,5,54787
2,male,0,6,54938
2,male,0,7,55032
2,male,0,8,54857
2,male,0,9,54735
2,male,0,10,55193
2,male,0,11,54818
2,male,0,12,54662
2,male,0,13,53890
2,male,0,14,53644
2,male,0,15,53531
2,male,0,16,53497
2,male,0,17,53440
2,male,0,18,2684
2,male,1,0,66720
2,male,1,1,54916
2,male,1,2,54799
2,male,1,3,54865
2,male,1,4,55046
2,male,1,5,55040
2,male,1,6,55253
2,male,1,7,54952
2,male,1,8,54919
2,male,1,9,54774
2,male,1,10,54734
2,male,1,11,54958
2,male,1,12,54688
2,male,1,13,53578
2,male,1,14,53163
2,male,1,15,53586
2,male,1,16,53044
2,male,1,17,53385
2,male,1,18,2676
2,male,2,0,66426
2,male,2,1,54986
2,male,2,2,54335
2,male,2,3,54843
2,male,2,4,54687
2,male,2,5,54709
2,male,2,6,55189
2,male,2,7,54819
2,male,2,8,55230
2,male,2,9,54757
2,male,2,10,54733
2,male,2,11,54678
2,male,2,12,54207
2,male,2,13,54012
2,male,2,14,53218
2,male,2,15,53544
2,male,2,16,52894
2,male,2,17,53360
2,male,2,18,2691
2,male,3,0,66531
2,male,3,1,54815
2,male,3,2,54556
2,male,3,3,55120
2,male,3,4,54964
2,male,3,5,54905
2,male,3,6,54909
2,male,3,7,54865
2,male,3,8,54614
2,male,3,9,55178
2,male,3,10,54906
2,male,3,11,54856
2,male,3,12,54888
2,male,3,13,54009
2,male,3,14,53511
2,male,3,15,53383
2,male,3,16,53414
2,male,3,17,53449
2,male,3,18,2754
2,female,0,0,66454
2,female,0,1,54910
2,female,0,2,54441
2,female,0,3,54882
2,female,0,4,54761
2,female,0,5,54746
2,female,0,6,54715
2,female,0,7,54869
2,female,0,8,54732
2,female,0,9,54972
2,female,0,10,54886
2,female,0,11,54574
2,female,0,12,54072
2,female,0,13,53703
2,female,0,14,53468
2,female,0,15,53384
2,female,0,16,53235
2,female,0,17,53335
2,female,0,18,2601
2,female,1,0,66471
2,female,1,1,54751
2,female,1,2,54905
2,female,1,3,54931
2,female,1,4,54313
2,female,1,5,54868
2,female,1,6,54782
2,female,1,7,54712
2,female,1,8,54473
2,female,1,9,54863
2,female,1,10,54735
2,female,1,11,55170
2,female,1,12,54550
2,female,1,13,54361
2,female,1,14,53634
2,female,1,15,53599
2,female,1,16,53509
2,female,1,17,53284
2,female,1,18,2652
2,female,2,0,67131
2,female,2,1,54807
2,female,2,2,54607
2,female,2,3,54903
2,female,2,4,54894
2,female,2,5,54964
2,female,2,6,54975
2,female,2,7,54909
2,female,2,8,54741
2,female,2,9,54489
2,female,2,10,54767
2,female,2,11,54738
2,female,2,12,54728
2,female,2,13,53540
2,female,2,14,53968
2,female,2,15,53853
2,female,2,16,53550
2,female,2,17,53215
2,female,2,18,2619
2,female,3,0,66571
2,female,3,1,54962
2,female,3,2,55062
2,female,3,3,54841
2,female,3,4,54906
2,female,3,5,54812
2,female,3,6,54861
2,female,3,7,54916
2,female,3,8,54773
2,female,3,9,55122
2,female,3,10,54853
2,female,3,11,55042
2,female,3,12,54675
2,female,3,13,53822
2,female,3,14,53424
2,female,3,15,52913
2,female,3,16,53699
2,female,3,17,53849
2,female,3,18,2713
3,male,0,0,70101
3,male,0,1,54799
3,male,0,2,54521
3,male,0,3,54574
3,male,0,4,54630
3,male,0,5,54543
3,male,0,6,54722
3,male,0,7,54729
3,male,0,8,54634
3,male,0,9,54478
3,male,0,10,54981
3,male,0,11,54530
3,male,0,12,54494
3,male,0,13,53379
3,male,0,14,52966
3,male,0,15,52869
3,male,0,16,52751
3,male,0,17,52826
3,male,0,18,3546
3,male,1,0,70676
3,male,1,1,54593
3,male,1,2,54571
3,male,1,3,54686
3,male,1,4,54751
3,male,1,5,54783
3,male,1,6,54970
3,male,1,7,54731
3,male,1,8,54650
3,male,1,9,54496
3,male,1,10,54506
3,male,1,11,54665
3,male,1,12,54426
3,male,1,13,53153
3,male,1,14,52475
3,male,1,15,52911
3,male,1,16,52383
3,male,1,17,52669
3,male,1,18,3504
3,male,2,0,70206
3,male,2,1,54684
3,male,2,2,54094
3,male,2,3,54549
3,male,2,4,54468
3,male,2,5,54463
3,male,2,6,54957
3,male,2,7,54534
3,male,2,8,54970
3,male,2,9,54503
3,male,2,10,54448
3,male,2,11,54442
3,male,2,12,53991
3,male,2,13,53418
3,male,2,14,52565
3,male,2,15,52832
3,male,2,16,52193
3,male,2,17,52699
3,male,2,18,3498
3,male,3,0,70521
3,male,3,1,54541
3,male,3,2,54322
3,male,3,3,54951
3,male,3,4,54673
3,male,3,5,54634
3,male,3,6,54628
