tick,entry_stream,area,count
0,birth_slot,0,289887
0,birth_slot,1,291173
0,birth_slot,2,290356
0,birth_slot,3,291497
0,overseas_slot,0,122465
0,overseas_slot,1,122222
0,overseas_slot,2,121414
0,overseas_slot,3,122718
0,internal_slot,0,73518
0,internal_slot,1,73792
0,internal_slot,2,73273
0,internal_slot,3,73359
1,birth_slot,0,298968
1,birth_slot,1,300319
1,birth_slot,2,299024
1,birth_slot,3,300445
1,overseas_slot,0,119718
1,overseas_slot,1,119421
1,overseas_slot,2,118721
1,overseas_slot,3,119932
1,internal_slot,0,72009
1,internal_slot,1,72340
1,internal_slot,2,71714
1,internal_slot,3,71814
2,birth_slot,0,307260
2,birth_slot,1,308742
2,birth_slot,2,307262
2,birth_slot,3,308806
2,overseas_slot,0,117080
2,overseas_slot,1,116835
2,overseas_slot,2,115991
2,overseas_slot,3,117285
2,internal_slot,0,70539
2,internal_slot,1,70880
2,internal_slot,2,70308
2,internal_slot,3,70343
3,birth_slot,0,315350
3,birth_slot,1,316764
3,birth_slot,2,315753
3,birth_slot,3,316634
3,overseas_slot,0,114428
3,overseas_slot,1,114271
3,overseas_slot,2,113302
3,overseas_slot,3,114662
3,internal_slot,0,69127
3,internal_slot,1,69448
3,internal_slot,2,68806
3,internal_slot,3,68960
4,birth_slot,0,322887
4,birth_slot,1,324363
4,birth_slot,2,323428
4,birth_slot,3,324422
4,overseas_slot,0,111892
4,overseas_slot,1,111678
4,overseas_slot,2,110852
4,overseas_slot,3,112156
4,internal_slot,0,67712
4,internal_slot,1,68096
4,internal_slot,2,67410
4,internal_slot,3,67564
5,birth_slot,0,330179
5,birth_slot,1,331631
5,birth_slot,2,330917
5,birth_slot,3,331610
5,overseas_slot,0,109454
5,overseas_slot,1,109241
5,overseas_slot,2,108380
5,overseas_slot,3,109743
5,internal_slot,0,66374
5,internal_slot,1,66664
5,internal_slot,2,66092
5,internal_slot,3,66205
6,birth_slot,0,336905
6,birth_slot,1,338732
6,birth_slot,2,337981
6,birth_slot,3,338987
6,overseas_slot,0,106963
6,overseas_slot,1,106923
6,overseas_slot,2,106009
6,overseas_slot,3,107456
6,internal_slot,0,65116
6,internal_slot,1,65398
6,internal_slot,2,64857
6,internal_slot,3,64877
7,birth_slot,0,343674
7,birth_slot,1,345067
7,birth_slot,2,344978
7,birth_slot,3,346092
7,overseas_slot,0,104609
7,overseas_slot,1,104666
7,overseas_slot,2,103722
7,overseas_slot,3,105164
7,internal_slot,0,63832
7,internal_slot,1,64116
7,internal_slot,2,63602
7,internal_slot,3,63621
8,birth_slot,0,349951
8,birth_slot,1,351294
8,birth_slot,2,351178
8,birth_slot,3,352466
8,overseas_slot,0,102344
8,overseas_slot,1,102492
8,overseas_slot,2,101491
8,overseas_slot,3,103009
8,internal_slot,0,62614
8,internal_slot,1,62912
8,internal_slot,2,62397
8,internal_slot,3,62323
9,birth_slot,0,355940
9,birth_slot,1,357462
9,birth_slot,2,357806
9,birth_slot,3,358329
9,overseas_slot,0,100221
9,overseas_slot,1,100397
9,overseas_slot,2,99353
9,overseas_slot,3,100876
9,internal_slot,0,61434
9,internal_slot,1,61689
9,internal_slot,2,61209
9,internal_slot,3,61175
10,birth_slot,0,361859
10,birth_slot,1,363306
10,birth_slot,2,363465
10,birth_slot,3,364077
10,overseas_slot,0,98119
10,overseas_slot,1,98326
10,overseas_slot,2,97290
10,overseas_slot,3,98759
10,internal_slot,0,60262
10,internal_slot,1,60558
10,internal_slot,2,60106
10,internal_slot,3,60025
11,birth_slot,0,367404
11,birth_slot,1,368728
11,birth_slot,2,369058
11,birth_slot,3,369594
11,overseas_slot,0,96156
11,overseas_slot,1,96411
11,overseas_slot,2,95273
11,overseas_slot,3,96775
11,internal_slot,0,59167
11,internal_slot,1,59403
11,internal_slot,2,58936
11,internal_slot,3,58870
12,birth_slot,0,372473
12,birth_slot,1,374042
12,birth_slot,2,374234
12,birth_slot,3,374769
12,overseas_slot,0,94259
12,overseas_slot,1,94433
12,overseas_slot,2,93363
12,overseas_slot,3,94818
12,internal_slot,0,57961
12,internal_slot,1,58296
12,internal_slot,2,57860
12,internal_slot,3,57809
13,birth_slot,0,377455
13,birth_slot,1,378984
13,birth_slot,2,378838
13,birth_slot,3,379769
13,overseas_slot,0,92351
