tick,sex,event_age_months,count
0,male,0,186
0,male,1,184
0,male,2,206
0,male,3,212
0,male,4,814
0,male,5,791
0,male,6,841
0,male,7,821
0,male,8,836
0,male,9,835
0,male,10,804
0,male,11,833
0,male,12,834
0,male,13,2671
0,male,14,2698
0,male,15,2614
0,male,16,2718
0,male,17,2645
0,female,0,182
0,female,1,168
0,female,2,155
0,female,3,199
0,female,4,838
0,female,5,798
0,female,6,899
0,female,7,806
0,female,8,885
0,female,9,768
0,female,10,837
0,female,11,836
0,female,12,819
0,female,13,2801
0,female,14,2603
0,female,15,2701
0,female,16,2710
0,female,17,2781
1,male,0,186
1,male,1,157
1,male,2,186
1,male,3,183
1,male,4,797
1,male,5,818
1,male,6,781
1,male,7,827
1,male,8,862
1,male,9,814
1,male,10,802
1,male,11,792
1,male,12,797
1,male,13,2696
1,male,14,2689
1,male,15,2602
1,male,16,2749
1,male,17,2832
1,male,18,30
1,female,0,162
1,female,1,165
1,female,2,201
1,female,3,199
1,female,4,817
1,female,5,828
1,female,6,805
1,female,7,781
1,female,8,813
1,female,9,805
1,female,10,853
1,female,11,796
1,female,12,807
1,female,13,2627
1,female,14,2589
1,female,15,2676
1,female,16,2654
1,female,17,2624
1,female,18,45
2,male,0,204
2,male,1,185
2,male,2,199
2,male,3,184
2,male,4,824
2,male,5,769
2,male,6,751
2,male,7,815
2,male,8,819
2,male,9,790
2,male,10,800
2,male,11,755
2,male,12,808
2,male,13,2682
2,male,14,2576
2,male,15,2595
2,male,16,2577
2,male,17,2592
2,male,18,90
2,female,0,183
2,female,1,160
2,female,2,205
2,female,3,184
2,female,4,817
2,female,5,809
2,female,6,814
2,female,7,789
2,female,8,788
2,female,9,807
2,female,10,835
2,female,11,764
2,female,12,805
2,female,13,2703
2,female,14,2725
2,female,15,2642
2,female,16,2645
2,female,17,2620
2,female,18,88
3,male,0,212
3,male,1,185
3,male,2,178
3,male,3,191
3,male,4,767
3,male,5,816
3,male,6,743
3,male,7,799
3,male,8,805
3,male,9,832
3,male,10,798
