tick,sex,area,age_months,count
0,male,0,0,58968
0,male,0,1,55620
0,male,0,2,55333
0,male,0,3,55232
0,male,0,4,55303
0,male,0,5,55346
0,male,0,6,55474
0,male,0,7,55449
0,male,0,8,55383
0,male,0,9,55267
0,male,0,10,55664
0,male,0,11,55290
0,male,0,12,55113
0,male,0,13,55150
0,male,0,14,54969
0,male,0,15,54798
0,male,0,16,54969
0,male,0,17,54863
0,male,0,18,874
0,male,1,0,59193
0,male,1,1,55378
0,male,1,2,55338
0,male,1,3,55315
0,male,1,4,55540
0,male,1,5,55603
0,male,1,6,55792
0,male,1,7,55470
0,male,1,8,55386
0,male,1,9,55179
0,male,1,10,55148
0,male,1,11,55461
0,male,1,12,55254
0,male,1,13,54718
0,male,1,14,54552
0,male,1,15,54777
0,male,1,16,54548
0,male,1,17,54771
0,male,1,18,942
0,male,2,0,58682
0,male,2,1,55418
0,male,2,2,54976
0,male,2,3,55285
0,male,2,4,55240
0,male,2,5,54939
0,male,2,6,55587
0,male,2,7,55311
0,male,2,8,55764
0,male,2,9,55215
0,male,2,10,55166
0,male,2,11,55329
0,male,2,12,54656
0,male,2,13,55203
0,male,2,14,54559
0,male,2,15,54811
0,male,2,16,54325
0,male,2,17,54798
0,male,2,18,949
0,male,3,0,58929
0,male,3,1,55398
0,male,3,2,55125
0,male,3,3,55582
0,male,3,4,55444
0,male,3,5,55331
0,male,3,6,55413
0,male,3,7,55498
0,male,3,8,55099
0,male,3,9,55648
0,male,3,10,55469
0,male,3,11,55248
0,male,3,12,55373
0,male,3,13,55067
0,male,3,14,54751
0,male,3,15,54649
0,male,3,16,54796
0,male,3,17,54893
0,male,3,18,952
0,female,0,0,58819
0,female,0,1,55417
0,female,0,2,54907
0,female,0,3,55406
0,female,0,4,55178
0,female,0,5,55327
0,female,0,6,55163
0,female,0,7,55426
0,female,0,8,55120
0,female,0,9,55539
0,female,0,10,55304
0,female,0,11,55024
0,female,0,12,54538
0,female,0,13,54832
0,female,0,14,54979
0,female,0,15,54521
0,female,0,16,54655
0,female,0,17,54609
0,female,0,18,913
0,female,1,0,58895
0,female,1,1,55188
0,female,1,2,55436
0,female,1,3,55367
0,female,1,4,54813
0,female,1,5,55337
0,female,1,6,55334
0,female,1,7,55124
0,female,1,8,55132
0,female,1,9,55342
0,female,1,10,55224
0,female,1,11,55704
0,female,1,12,55088
0,female,1,13,55405
0,female,1,14,54983
0,female,1,15,54866
0,female,1,16,54926
0,female,1,17,54806
0,female,1,18,884
0,female,2,0,59773
0,female,2,1,55272
0,female,2,2,55016
0,female,2,3,55322
0,female,2,4,55505
0,female,2,5,55443
0,female,2,6,55408
0,female,2,7,55399
0,female,2,8,55286
0,female,2,9,55011
0,female,2,10,55264
0,female,2,11,55257
0,female,2,12,55199
0,female,2,13,54589
0,female,2,14,55375
0,female,2,15,55241
0,female,2,16,54892
0,female,2,17,54730
0,female,2,18,901
0,female,3,0,59058
0,female,3,1,55455
0,female,3,2,55694
0,female,3,3,55157
0,female,3,4,55404
0,female,3,5,55201
0,female,3,6,55476
0,female,3,7,55426
0,female,3,8,55298
0,female,3,9,55572
0,female,3,10,55351
0,female,3,11,55454
0,female,3,12,55119
0,female,3,13,54982
0,female,3,14,54683
0,female,3,15,54401
0,female,3,16,55072
0,female,3,17,55297
0,female,3,18,884
1,male,0,0,62420
1,male,0,1,55365
1,male,0,2,55010
1,male,0,3,55022
1,male,0,4,55061
1,male,0,5,55080
1,male,0,6,55170
1,male,0,7,55194
1,male,0,8,55126
1,male,0,9,54927
1,male,0,10,55372
1,male,0,11,55102
1,male,0,12,54787
1,male,0,13,54557
1,male,0,14,54401
1,male,0,15,54144
1,male,0,16,54234
1,male,0,17,54140
1,male,0,18,1792
1,male,1,0,62687
1,male,1,1,55143
1,male,1,2,55035
1,male,1,3,55155
1,male,1,4,55289
1,male,1,5,55270
1,male,1,6,55481
1,male,1,7,55227
1,male,1,8,55100
1,male,1,9,54896
1,male,1,10,54920
1,male,1,11,55208
1,male,1,12,54954
1,male,1,13,54226
1,male,1,14,53867
1,male,1,15,54188
1,male,1,16,53834
1,male,1,17,54071
1,male,1,18,1832
1,male,2,0,62192
1,male,2,1,55186
1,male,2,2,54687
1,male,2,3,55077
1,male,2,4,54950
1,male,2,5,54815
1,male,2,6,55286
1,male,2,7,55079
1,male,2,8,55466
1,male,2,9,54908
1,male,2,10,54895
1,male,2,11,55014
1,male,2,12,54484
1,male,2,13,54692
1,male,2,14,53904
1,male,2,15,54202
1,male,2,16,53614
1,male,2,17,54076
1,male,2,18,1821
1,male,3,0,62389
1,male,3,1,55095
1,male,3,2,54867
1,male,3,3,55382
1,male,3,4,55178
1,male,3,5,55040
1,male,3,6,55191
1,male,3,7,55168
1,male,3,8,54858
1,male,3,9,55404
1,male,3,10,55144
1,male,3,11,54973
1,male,3,12,55102
1,male,3,13,54533
1,male,3,14,54072
1,male,3,15,54042
1,male,3,16,54101
1,male,3,17,54159
1,male,3,18,1841
1,female,0,0,62246
1,female,0,1,55256
1,female,0,2,54620
1,female,0,3,55176
1,female,0,4,54942
1,female,0,5,54993
1,female,0,6,54896
1,female,0,7,55182
1,female,0,8,54916
1,female,0,9,55174
1,female,0,10,55052
1,female,0,11,54828
1,female,0,12,54307
1,female,0,13,54341
1,female,0,14,54222
1,female,0,15,53931
1,female,0,16,53992
1,female,0,17,53931
1,female,0,18,1758
1,female,1,0,62451
1,female,1,1,54929
1,female,1,2,55137
1,female,1,3,55245
1,female,1,4,54552
1,female,1,5,55088
1,female,1,6,54973
1,female,1,7,54922
1,female,1,8,54812
1,female,1,9,55043
1,female,1,10,54937
1,female,1,11,55448
1,female,1,12,54899
1,female,1,13,54877
1,female,1,14,54384
1,female,1,15,54227
1,female,1,16,54173
1,female,1,17,54156
1,female,1,18,1733
1,female,2,0,63374
1,female,2,1,55047
1,female,2,2,54821
1,female,2,3,55047
1,female,2,4,55208
1,female,2,5,55174
1,female,2,6,55146
1,female,2,7,55158
1,female,2,8,54998
1,female,2,9,54671
1,female,2,10,55028
1,female,2,11,54975
1,female,2,12,54946
1,female,2,13,54072
1,female,2,14,54701
1,female,2,15,54558
1,female,2,16,54266
