tick,entry_stream,area,count
0,birth_slot,0,293573
0,birth_slot,1,294836
0,birth_slot,2,294007
0,birth_slot,3,295324
0,overseas_slot,0,122877
0,overseas_slot,1,122632
0,overseas_slot,2,121884
0,overseas_slot,3,123139
0,internal_slot,0,73828
0,internal_slot,1,74069
0,internal_slot,2,73573
0,internal_slot,3,73650
1,birth_slot,0,305379
1,birth_slot,1,306737
1,birth_slot,2,305531
1,birth_slot,3,306982
1,overseas_slot,0,120558
1,overseas_slot,1,120276
1,overseas_slot,2,119565
1,overseas_slot,3,120807
1,internal_slot,0,72634
1,internal_slot,1,72900
1,internal_slot,2,72338
1,internal_slot,3,72416
2,birth_slot,0,316644
2,birth_slot,1,318200
2,birth_slot,2,316712
2,birth_slot,3,318299
2,overseas_slot,0,118337
2,overseas_slot,1,118081
2,overseas_slot,2,117240
2,overseas_slot,3,118544
2,internal_slot,0,71436
2,internal_slot,1,71740
2,internal_slot,2,71186
2,internal_slot,3,71208
3,birth_slot,0,327441
3,birth_slot,1,329152
3,birth_slot,2,327912
3,birth_slot,3,329170
3,overseas_slot,0,116089
3,overseas_slot,1,115895
3,overseas_slot,2,114980
3,overseas_slot,3,116295
3,internal_slot,0,70273
3,internal_slot,1,70566
3,internal_slot,2,69961
3,internal_slot,3,70100
4,birth_slot,0,337940
4,birth_slot,1,339605
4,birth_slot,2,338481
4,birth_slot,3,339792
4,overseas_slot,0,113928
4,overseas_slot,1,113662
4,overseas_slot,2,112954
4,overseas_slot,3,114174
4,internal_slot,0,69106
4,internal_slot,1,69462
4,internal_slot,2,68828
4,internal_slot,3,68977
5,birth_slot,0,348223
5,birth_slot,1,349805
5,birth_slot,2,348780
5,birth_slot,3,349909
5,overseas_slot,0,111812
5,overseas_slot,1,111582
5,overseas_slot,2,110821
5,overseas_slot,3,112139
5,internal_slot,0,68047
5,internal_slot,1,68304
5,internal_slot,2,67751
5,internal_slot,3,67868
6,birth_slot,0,357906
6,birth_slot,1,359898
6,birth_slot,2,358786
6,birth_slot,3,359971
6,overseas_slot,0,109658
6,overseas_slot,1,109577
6,overseas_slot,2,108787
6,overseas_slot,3,110174
6,internal_slot,0,67008
6,internal_slot,1,67255
6,internal_slot,2,66717
6,internal_slot,3,66771
7,birth_slot,0,367667
7,birth_slot,1,369422
7,birth_slot,2,368677
7,birth_slot,3,370143
7,overseas_slot,0,107639
7,overseas_slot,1,107618
7,overseas_slot,2,106802
7,overseas_slot,3,108194
7,internal_slot,0,65944
7,internal_slot,1,66222
7,internal_slot,2,65684
7,internal_slot,3,65724
8,birth_slot,0,377156
8,birth_slot,1,378702
8,birth_slot,2,377847
8,birth_slot,3,379467
8,overseas_slot,0,105663
8,overseas_slot,1,105742
8,overseas_slot,2,104875
8,overseas_slot,3,106349
8,internal_slot,0,64950
8,internal_slot,1,65209
8,internal_slot,2,64682
8,internal_slot,3,64657
9,birth_slot,0,386347
9,birth_slot,1,387904
9,birth_slot,2,387316
9,birth_slot,3,388531
9,overseas_slot,0,103807
9,overseas_slot,1,103913
9,overseas_slot,2,102997
9,overseas_slot,3,104533
9,internal_slot,0,63957
9,internal_slot,1,64216
9,internal_slot,2,63690
9,internal_slot,3,63683
10,birth_slot,0,395341
10,birth_slot,1,396880
10,birth_slot,2,396041
10,birth_slot,3,397277
10,overseas_slot,0,101964
10,overseas_slot,1,102086
10,overseas_slot,2,101205
10,overseas_slot,3,102690
10,internal_slot,0,62980
10,internal_slot,1,63256
10,internal_slot,2,62720
10,internal_slot,3,62704
11,birth_slot,0,403919
11,birth_slot,1,405368
11,birth_slot,2,404656
11,birth_slot,3,405974
11,overseas_slot,0,100215
11,overseas_slot,1,100417
11,overseas_slot,2,99430
11,overseas_slot,3,100934
11,internal_slot,0,62048
11,internal_slot,1,62285
11,internal_slot,2,61743
11,internal_slot,3,61757
12,birth_slot,0,412080
12,birth_slot,1,413715
12,birth_slot,2,412683
12,birth_slot,3,414386
12,overseas_slot,0,98548
12,overseas_slot,1,98651
12,overseas_slot,2,97683
12,overseas_slot,3,99221
12,internal_slot,0,61023
12,internal_slot,1,61364
12,internal_slot,2,60832
12,internal_slot,3,60857
13,birth_slot,0,420177
13,birth_slot,1,421701
13,birth_slot,2,420487
13,birth_slot,3,422305
13,overseas_slot,0,96874
13,overseas_slot,1,96987
13,overseas_slot,2,95952
13,overseas_slot,3,97530
13,internal_slot,0,60161
13,internal_slot,1,60519
13,internal_slot,2,59934
13,internal_slot,3,60003
14,birth_slot,0,427973
14,birth_slot,1,429359
14,birth_slot,2,428398
14,birth_slot,3,430083
14,overseas_slot,0,95314
14,overseas_slot,1,95395
14,overseas_slot,2,94321
14,overseas_slot,3,95904
14,internal_slot,0,59314
14,internal_slot,1,59626
14,internal_slot,2,59031
14,internal_slot,3,59100
15,birth_slot,0,435574
15,birth_slot,1,436721
15,birth_slot,2,435949
15,birth_slot,3,437550
15,overseas_slot,0,93784
15,overseas_slot,1,93810
15,overseas_slot,2,92747
15,overseas_slot,3,94279
15,internal_slot,0,58413
15,internal_slot,1,58771
15,internal_slot,2,58171
15,internal_slot,3,58222
16,birth_slot,0,442891
16,birth_slot,1,443792
16,birth_slot,2,443276
16,birth_slot,3,444798
16,overseas_slot,0,92220
16,overseas_slot,1,92367
16,overseas_slot,2,91211
16,overseas_slot,3,92718
16,internal_slot,0,57559
16,internal_slot,1,57923
16,internal_slot,2,57348
16,internal_slot,3,57445
17,birth_slot,0,450125
17,birth_slot,1,450854
17,birth_slot,2,450032
17,birth_slot,3,451839
17,overseas_slot,0,90741
17,overseas_slot,1,90815
17,overseas_slot,2,89675
17,overseas_slot,3,91096
17,internal_slot,0,56816
17,internal_slot,1,57116
17,internal_slot,2,56560
17,internal_slot,3,56661
18,birth_slot,0,456969
18,birth_slot,1,457835
18,birth_slot,2,456732
18,birth_slot,3,458744
18,overseas_slot,0,89235
18,overseas_slot,1,89347
18,overseas_slot,2,88190
18,overseas_slot,3,89579
18,internal_slot,0,56073
18,internal_slot,1,56296
18,internal_slot,2,55804
18,internal_slot,3,55818
19,birth_slot,0,463617
19,birth_slot,1,464225
19,birth_slot,2,463288
19,birth_slot,3,465031
19,overseas_slot,0,87872
19,overseas_slot,1,87915
19,overseas_slot,2,86771
19,overseas_slot,3,88093
19,internal_slot,0,55286
19,internal_slot,1,55464
19,internal_slot,2,55008
19,internal_slot,3,55012
20,birth_slot,0,470209
20,birth_slot,1,470850
20,birth_slot,2,469567
20,birth_slot,3,471675
20,overseas_slot,0,86515
20,overseas_slot,1,86505
20,overseas_slot,2,85358
20,overseas_slot,3,86692
20,internal_slot,0,54479
20,internal_slot,1,54742
20,internal_slot,2,54280
20,internal_slot,3,54235
21,birth_slot,0,476610
21,birth_slot,1,476920
21,birth_slot,2,475770
21,birth_slot,3,478080
21,overseas_slot,0,85153
21,overseas_slot,1,85081
21,overseas_slot,2,84020
21,overseas_slot,3,85260
21,internal_slot,0,53719
21,internal_slot,1,54037
21,internal_slot,2,53553
21,internal_slot,3,53511
22,birth_slot,0,482657
22,birth_slot,1,482723
22,birth_slot,2,481695
22,birth_slot,3,484023
22,overseas_slot,0,83850
22,overseas_slot,1,83789
22,overseas_slot,2,82706
22,overseas_slot,3,83942
22,internal_slot,0,52974
22,internal_slot,1,53369
22,internal_slot,2,52833
22,internal_slot,3,52779
23,birth_slot,0,488593
23,birth_slot,1,488449
23,birth_slot,2,487885
23,birth_slot,3,489794
23,overseas_slot,0,82623
23,overseas_slot,1,82495
23,overseas_slot,2,81366
23,overseas_slot,3,82601
23,internal_slot,0,52337
23,internal_slot,1,52661
23,internal_slot,2,52088
23,internal_slot,3,52051
