tick,sex,area,age_months,count
0,male,0,0,569
0,male,0,1,541
0,male,0,2,527
0,male,0,3,566
0,male,0,4,552
0,male,0,5,595
0,male,0,6,515
0,male,0,7,560
0,male,0,8,576
0,male,0,9,582
0,male,0,10,558
0,male,0,11,510
0,male,0,12,554
0,male,0,13,532
0,male,0,14,526
0,male,0,15,578
0,male,0,16,562
0,male,0,17,525
0,male,0,18,9
0,male,1,0,556
0,male,1,1,561
0,male,1,2,563
0,male,1,3,565
0,male,1,4,543
0,male,1,5,563
0,male,1,6,553
0,male,1,7,569
0,male,1,8,535
0,male,1,9,526
0,male,1,10,528
0,male,1,11,569
0,male,1,12,529
0,male,1,13,577
0,male,1,14,549
0,male,1,15,554
0,male,1,16,559
0,male,1,17,540
0,male,1,18,10
0,male,2,0,547
0,male,2,1,565
0,male,2,2,559
0,male,2,3,609
0,male,2,4,528
0,male,2,5,571
0,male,2,6,551
0,male,2,7,543
0,male,2,8,568
0,male,2,9,548
0,male,2,10,572
0,male,2,11,568
0,male,2,12,499
0,male,2,13,535
0,male,2,14,549
0,male,2,15,523
0,male,2,16,564
0,male,2,17,546
0,male,2,18,10
0,male,3,0,571
0,male,3,1,570
0,male,3,2,535
0,male,3,3,608
0,male,3,4,547
0,male,3,5,581
0,male,3,6,586
0,male,3,7,519
0,male,3,8,540
0,male,3,9,530
0,male,3,10,546
0,male,3,11,546
0,male,3,12,522
0,male,3,13,505
0,male,3,14,529
0,male,3,15,572
0,male,3,16,558
0,male,3,17,552
0,male,3,18,12
0,female,0,0,616
0,female,0,1,546
0,female,0,2,565
0,female,0,3,557
0,female,0,4,541
0,female,0,5,545
0,female,0,6,522
0,female,0,7,564
0,female,0,8,551
0,female,0,9,552
0,female,0,10,546
0,female,0,11,575
0,female,0,12,543
0,female,0,13,513
0,female,0,14,561
0,female,0,15,541
0,female,0,16,555
0,female,0,17,562
0,female,0,18,7
0,female,1,0,598
0,female,1,1,568
0,female,1,2,518
0,female,1,3,571
0,female,1,4,571
0,female,1,5,589
0,female,1,6,561
0,female,1,7,555
0,female,1,8,518
0,female,1,9,530
0,female,1,10,591
0,female,1,11,592
0,female,1,12,509
0,female,1,13,565
0,female,1,14,577
0,female,1,15,545
0,female,1,16,553
0,female,1,17,553
0,female,1,18,15
0,female,2,0,591
0,female,2,1,606
0,female,2,2,549
0,female,2,3,577
0,female,2,4,568
0,female,2,5,568
0,female,2,6,544
0,female,2,7,593
0,female,2,8,568
0,female,2,9,551
0,female,2,10,556
0,female,2,11,545
0,female,2,12,544
0,female,2,13,578
0,female,2,14,571
0,female,2,15,555
0,female,2,16,553
0,female,2,17,516
0,female,2,18,8
0,female,3,0,598
0,female,3,1,511
0,female,3,2,577
0,female,3,3,530
0,female,3,4,545
0,female,3,5,531
0,female,3,6,542
0,female,3,7,498
0,female,3,8,579
0,female,3,9,567
0,female,3,10,569
0,female,3,11,551
0,female,3,12,581
0,female,3,13,560
0,female,3,14,531
0,female,3,15,577
0,female,3,16,527
0,female,3,17,559
0,female,3,18,14
1,male,0,0,586
1,male,0,1,552
1,male,0,2,520
1,male,0,3,565
1,male,0,4,550
1,male,0,5,595
1,male,0,6,512
1,male,0,7,557
1,male,0,8,584
1,male,0,9,582
1,male,0,10,552
1,male,0,11,507
1,male,0,12,554
1,male,0,13,528
1,male,0,14,515
1,male,0,15,577
1,male,0,16,549
1,male,0,17,524
1,male,0,18,16
1,male,1,0,577
1,male,1,1,551
1,male,1,2,562
1,male,1,3,569
1,male,1,4,540
1,male,1,5,555
1,male,1,6,556
1,male,1,7,568
1,male,1,8,529
1,male,1,9,524
1,male,1,10,533
1,male,1,11,568
1,male,1,12,525
1,male,1,13,576
1,male,1,14,540
1,male,1,15,554
1,male,1,16,547
1,male,1,17,527
1,male,1,18,20
1,male,2,0,572
1,male,2,1,567
1,male,2,2,555
1,male,2,3,601
1,male,2,4,524
1,male,2,5,581
1,male,2,6,547
1,male,2,7,543
1,male,2,8,564
1,male,2,9,550
1,male,2,10,569
1,male,2,11,570
1,male,2,12,501
1,male,2,13,529
1,male,2,14,539
1,male,2,15,518
1,male,2,16,559
1,male,2,17,533
1,male,2,18,27
1,male,3,0,584
1,male,3,1,568
1,male,3,2,526
1,male,3,3,596
1,male,3,4,558
1,male,3,5,574
1,male,3,6,584
1,male,3,7,517
1,male,3,8,546
1,male,3,9,529
1,male,3,10,545
1,male,3,11,545
1,male,3,12,524
1,male,3,13,504
1,male,3,14,518
1,male,3,15,567
1,male,3,16,556
1,male,3,17,545
1,male,3,18,26
1,female,0,0,627
1,female,0,1,548
1,female,0,2,560
1,female,0,3,562
1,female,0,4,536
1,female,0,5,541
1,female,0,6,522
1,female,0,7,569
1,female,0,8,548
1,female,0,9,548
1,female,0,10,551
1,female,0,11,579
1,female,0,12,539
1,female,0,13,502
1,female,0,14,559
1,female,0,15,537
1,female,0,16,543
1,female,0,17,564
1,female,0,18,13
1,female,1,0,618
1,female,1,1,565
1,female,1,2,523
1,female,1,3,566
1,female,1,4,568
1,female,1,5,590
1,female,1,6,565
1,female,1,7,550
1,female,1,8,513
1,female,1,9,522
1,female,1,10,596
1,female,1,11,593
1,female,1,12,514
1,female,1,13,555
1,female,1,14,572
1,female,1,15,542
1,female,1,16,542
1,female,1,17,556
1,female,1,18,17
1,female,2,0,614
1,female,2,1,608
1,female,2,2,551
1,female,2,3,574
1,female,2,4,563
1,female,2,5,564
1,female,2,6,545
1,female,2,7,592
1,female,2,8,564
1,female,2,9,554
1,female,2,10,555
1,female,2,11,547
1,female,2,12,539
1,female,2,13,572
1,female,2,14,562
1,female,2,15,552
1,female,2,16,553
1,female,2,17,510
1,female,2,18,18
1,female,3,0,614
1,female,3,1,512
1,female,3,2,573
1,female,3,3,532
1,female,3,4,541
1,female,3,5,529
1,female,3,6,541
1,female,3,7,493
1,female,3,8,568
1,female,3,9,574
1,female,3,10,561
1,female,3,11,551
1,female,3,12,577
1,female,3,13,557
1,female,3,14,529
1,female,3,15,568
1,female,3,16,533
1,female,3,17,546
1,female,3,18,26
