tick,entry_stream,area,count
0,birth_slot,0,2893
0,birth_slot,1,2928
0,birth_slot,2,2987
0,birth_slot,3,2933
0,overseas_slot,0,1200
0,overseas_slot,1,1244
0,overseas_slot,2,1193
0,overseas_slot,3,1239
0,internal_slot,0,749
0,internal_slot,1,756
0,internal_slot,2,717
0,internal_slot,3,722
1,birth_slot,0,2952
1,birth_slot,1,2996
1,birth_slot,2,3053
1,birth_slot,3,3030
1,overseas_slot,0,1180
1,overseas_slot,1,1218
1,overseas_slot,2,1170
1,overseas_slot,3,1214
1,internal_slot,0,738
1,internal_slot,1,742
1,internal_slot,2,707
1,internal_slot,3,710
