tick,sex,area,age_months,count
0,male,0,0,577
0,male,0,1,541
0,male,0,2,529
0,male,0,3,563
0,male,0,4,549
0,male,0,5,596
0,male,0,6,513
0,male,0,7,559
0,male,0,8,578
0,male,0,9,574
0,male,0,10,553
0,male,0,11,509
0,male,0,12,554
0,male,0,13,530
0,male,0,14,525
0,male,0,15,578
0,male,0,16,557
0,male,0,17,519
0,male,0,18,9
0,male,1,0,550
0,male,1,1,553
0,male,1,2,561
0,male,1,3,566
0,male,1,4,545
0,male,1,5,559
0,male,1,6,553
0,male,1,7,570
0,male,1,8,534
0,male,1,9,525
0,male,1,10,532
0,male,1,11,566
0,male,1,12,526
0,male,1,13,573
0,male,1,14,552
0,male,1,15,549
0,male,1,16,559
0,male,1,17,542
0,male,1,18,10
0,male,2,0,550
0,male,2,1,568
0,male,2,2,552
0,male,2,3,605
0,male,2,4,528
0,male,2,5,568
0,male,2,6,556
0,male,2,7,541
0,male,2,8,567
0,male,2,9,544
0,male,2,10,569
0,male,2,11,567
0,male,2,12,502
0,male,2,13,530
0,male,2,14,552
0,male,2,15,525
0,male,2,16,558
0,male,2,17,539
0,male,2,18,10
0,male,3,0,562
0,male,3,1,570
0,male,3,2,534
0,male,3,3,607
0,male,3,4,547
0,male,3,5,583
0,male,3,6,583
0,male,3,7,519
0,male,3,8,539
0,male,3,9,534
0,male,3,10,543
0,male,3,11,543
0,male,3,12,522
0,male,3,13,500
0,male,3,14,525
0,male,3,15,556
0,male,3,16,553
0,male,3,17,554
0,male,3,18,12
0,female,0,0,603
0,female,0,1,543
0,female,0,2,564
0,female,0,3,555
0,female,0,4,544
0,female,0,5,552
0,female,0,6,521
0,female,0,7,559
0,female,0,8,549
0,female,0,9,551
0,female,0,10,544
0,female,0,11,572
0,female,0,12,544
0,female,0,13,512
0,female,0,14,560
0,female,0,15,539
0,female,0,16,555
0,female,0,17,560
0,female,0,18,7
0,female,1,0,600
0,female,1,1,572
0,female,1,2,520
0,female,1,3,567
0,female,1,4,574
0,female,1,5,589
0,female,1,6,560
0,female,1,7,554
0,female,1,8,521
0,female,1,9,528
0,female,1,10,595
0,female,1,11,586
0,female,1,12,506
0,female,1,13,561
0,female,1,14,578
0,female,1,15,547
0,female,1,16,552
0,female,1,17,550
0,female,1,18,15
0,female,2,0,581
0,female,2,1,606
0,female,2,2,548
0,female,2,3,575
0,female,2,4,568
0,female,2,5,566
0,female,2,6,539
0,female,2,7,594
0,female,2,8,561
0,female,2,9,553
0,female,2,10,556
0,female,2,11,546
0,female,2,12,543
0,female,2,13,581
0,female,2,14,573
0,female,2,15,552
0,female,2,16,549
0,female,2,17,510
0,female,2,18,7
0,female,3,0,604
0,female,3,1,510
0,female,3,2,577
0,female,3,3,530
0,female,3,4,547
0,female,3,5,531
0,female,3,6,543
0,female,3,7,502
0,female,3,8,578
0,female,3,9,568
0,female,3,10,571
0,female,3,11,545
0,female,3,12,580
0,female,3,13,560
0,female,3,14,530
0,female,3,15,576
0,female,3,16,530
0,female,3,17,563
0,female,3,18,13
1,male,0,0,584
1,male,0,1,551
1,male,0,2,518
1,male,0,3,564
1,male,0,4,549
1,male,0,5,593
1,male,0,6,511
1,male,0,7,553
1,male,0,8,581
1,male,0,9,572
1,male,0,10,550
1,male,0,11,503
1,male,0,12,549
1,male,0,13,520
1,male,0,14,519
1,male,0,15,576
1,male,0,16,543
1,male,0,17,517
1,male,0,18,16
1,male,1,0,562
1,male,1,1,545
1,male,1,2,561
1,male,1,3,574
1,male,1,4,542
1,male,1,5,551
1,male,1,6,553
1,male,1,7,568
1,male,1,8,526
1,male,1,9,521
1,male,1,10,538
1,male,1,11,562
1,male,1,12,516
1,male,1,13,570
1,male,1,14,546
1,male,1,15,548
1,male,1,16,549
1,male,1,17,532
1,male,1,18,20
1,male,2,0,566
1,male,2,1,567
1,male,2,2,546
1,male,2,3,600
1,male,2,4,526
1,male,2,5,577
1,male,2,6,552
1,male,2,7,537
1,male,2,8,560
1,male,2,9,542
1,male,2,10,566
1,male,2,11,568
1,male,2,12,501
1,male,2,13,519
1,male,2,14,543
1,male,2,15,520
1,male,2,16,551
1,male,2,17,519
1,male,2,18,27
1,male,3,0,575
1,male,3,1,569
1,male,3,2,529
1,male,3,3,598
1,male,3,4,556
1,male,3,5,577
1,male,3,6,578
1,male,3,7,509
1,male,3,8,541
1,male,3,9,531
1,male,3,10,542
1,male,3,11,536
1,male,3,12,523
1,male,3,13,498
1,male,3,14,512
1,male,3,15,544
1,male,3,16,551
1,male,3,17,542
1,male,3,18,27
1,female,0,0,624
1,female,0,1,542
1,female,0,2,559
1,female,0,3,556
1,female,0,4,540
1,female,0,5,546
1,female,0,6,520
1,female,0,7,563
1,female,0,8,541
1,female,0,9,550
1,female,0,10,544
1,female,0,11,569
1,female,0,12,535
1,female,0,13,507
1,female,0,14,556
1,female,0,15,537
1,female,0,16,538
1,female,0,17,558
1,female,0,18,12
1,female,1,0,614
1,female,1,1,570
1,female,1,2,520
1,female,1,3,563
1,female,1,4,572
1,female,1,5,586
1,female,1,6,563
1,female,1,7,546
1,female,1,8,516
1,female,1,9,524
1,female,1,10,598
1,female,1,11,582
1,female,1,12,508
1,female,1,13,544
1,female,1,14,577
1,female,1,15,547
1,female,1,16,543
1,female,1,17,550
1,female,1,18,17
1,female,2,0,595
1,female,2,1,609
1,female,2,2,548
1,female,2,3,571
1,female,2,4,561
1,female,2,5,565
1,female,2,6,538
1,female,2,7,591
1,female,2,8,556
1,female,2,9,553
1,female,2,10,558
1,female,2,11,546
1,female,2,12,535
1,female,2,13,577
1,female,2,14,564
1,female,2,15,547
1,female,2,16,547
1,female,2,17,499
1,female,2,18,17
1,female,3,0,611
1,female,3,1,513
1,female,3,2,570
1,female,3,3,528
1,female,3,4,542
1,female,3,5,528
1,female,3,6,539
1,female,3,7,494
1,female,3,8,564
1,female,3,9,566
1,female,3,10,564
1,female,3,11,545
1,female,3,12,578
1,female,3,13,559
1,female,3,14,527
1,female,3,15,564
1,female,3,16,533
1,female,3,17,544
1,female,3,18,25
