tick,entry_stream,area,count
0,birth_slot,0,28951
0,birth_slot,1,29147
0,birth_slot,2,28954
0,birth_slot,3,29106
0,overseas_slot,0,12105
0,overseas_slot,1,12220
0,overseas_slot,2,12214
0,overseas_slot,3,12389
0,internal_slot,0,7279
0,internal_slot,1,7456
0,internal_slot,2,7409
0,internal_slot,3,7321
1,birth_slot,0,29799
1,birth_slot,1,29980
1,birth_slot,2,29774
1,birth_slot,3,29937
1,overseas_slot,0,11821
1,overseas_slot,1,11935
1,overseas_slot,2,11961
1,overseas_slot,3,12126
1,internal_slot,0,7176
1,internal_slot,1,7325
1,internal_slot,2,7292
1,internal_slot,3,7197
2,birth_slot,0,30569
2,birth_slot,1,30728
2,birth_slot,2,30512
2,birth_slot,3,30758
2,overseas_slot,0,11561
2,overseas_slot,1,11682
2,overseas_slot,2,11692
2,overseas_slot,3,11880
2,internal_slot,0,7049
2,internal_slot,1,7200
2,internal_slot,2,7190
2,internal_slot,3,7069
3,birth_slot,0,31266
3,birth_slot,1,31425
3,birth_slot,2,31211
3,birth_slot,3,31574
3,overseas_slot,0,11305
3,overseas_slot,1,11446
3,overseas_slot,2,11414
3,overseas_slot,3,11658
3,internal_slot,0,6939
3,internal_slot,1,7071
3,internal_slot,2,7086
3,internal_slot,3,6944
4,birth_slot,0,32003
4,birth_slot,1,32061
4,birth_slot,2,31936
4,birth_slot,3,32198
4,overseas_slot,0,11092
4,overseas_slot,1,11194
4,overseas_slot,2,11191
4,overseas_slot,3,11401
4,internal_slot,0,6820
4,internal_slot,1,6946
4,internal_slot,2,6979
4,internal_slot,3,6838
5,birth_slot,0,32713
5,birth_slot,1,32842
5,birth_slot,2,32637
5,birth_slot,3,32804
5,overseas_slot,0,10868
5,overseas_slot,1,10976
5,overseas_slot,2,10959
5,overseas_slot,3,11171
5,internal_slot,0,6714
5,internal_slot,1,6821
5,internal_slot,2,6865
5,internal_slot,3,6714
6,birth_slot,0,33353
6,birth_slot,1,33438
6,birth_slot,2,33378
6,birth_slot,3,33432
6,overseas_slot,0,10640
6,overseas_slot,1,10756
6,overseas_slot,2,10753
6,overseas_slot,3,10976
6,internal_slot,0,6600
6,internal_slot,1,6710
6,internal_slot,2,6745
6,internal_slot,3,6569
7,birth_slot,0,33896
7,birth_slot,1,34040
7,birth_slot,2,34029
7,birth_slot,3,33998
7,overseas_slot,0,10413
7,overseas_slot,1,10555
7,overseas_slot,2,10529
7,overseas_slot,3,10753
7,internal_slot,0,6486
7,internal_slot,1,6610
7,internal_slot,2,6630
7,internal_slot,3,6453
8,birth_slot,0,34453
8,birth_slot,1,34545
8,birth_slot,2,34595
8,birth_slot,3,34638
8,overseas_slot,0,10219
8,overseas_slot,1,10332
8,overseas_slot,2,10304
8,overseas_slot,3,10519
8,internal_slot,0,6399
8,internal_slot,1,6500
8,internal_slot,2,6527
8,internal_slot,3,6346
9,birth_slot,0,34937
9,birth_slot,1,35214
9,birth_slot,2,35119
9,birth_slot,3,35222
9,overseas_slot,0,10011
9,overseas_slot,1,10132
9,overseas_slot,2,10102
9,overseas_slot,3,10312
9,internal_slot,0,6284
9,internal_slot,1,6380
9,internal_slot,2,6409
9,internal_slot,3,6232
10,birth_slot,0,35465
10,birth_slot,1,35868
10,birth_slot,2,35593
10,birth_slot,3,35705
10,overseas_slot,0,9820
10,overseas_slot,1,9935
10,overseas_slot,2,9887
10,overseas_slot,3,10108
10,internal_slot,0,6176
10,internal_slot,1,6284
10,internal_slot,2,6308
10,internal_slot,3,6112
11,birth_slot,0,36001
11,birth_slot,1,36398
11,birth_slot,2,36106
11,birth_slot,3,36126
11,overseas_slot,0,9615
11,overseas_slot,1,9756
11,overseas_slot,2,9702
11,overseas_slot,3,9889
11,internal_slot,0,6081
11,internal_slot,1,6203
11,internal_slot,2,6205
11,internal_slot,3,6018
12,birth_slot,0,36482
12,birth_slot,1,36881
12,birth_slot,2,36575
12,birth_slot,3,36558
12,overseas_slot,0,9434
12,overseas_slot,1,9574
12,overseas_slot,2,9518
