tick,sex,area,age_months,count
0,male,0,0,5862
0,male,0,1,5512
0,male,0,2,5457
0,male,0,3,5534
0,male,0,4,5531
0,male,0,5,5449
0,male,0,6,5619
0,male,0,7,5589
0,male,0,8,5612
0,male,0,9,5550
0,male,0,10,5635
0,male,0,11,5559
0,male,0,12,5486
0,male,0,13,5412
0,male,0,14,5358
0,male,0,15,5377
0,male,0,16,5470
0,male,0,17,5460
0,male,0,18,78
0,male,1,0,5712
0,male,1,1,5600
0,male,1,2,5527
0,male,1,3,5477
0,male,1,4,5461
0,male,1,5,5634
0,male,1,6,5691
0,male,1,7,5589
0,male,1,8,5653
0,male,1,9,5489
0,male,1,10,5451
0,male,1,11,5646
0,male,1,12,5503
0,male,1,13,5398
0,male,1,14,5403
0,male,1,15,5509
0,male,1,16,5481
0,male,1,17,5491
0,male,1,18,110
0,male,2,0,5787
0,male,2,1,5500
0,male,2,2,5548
0,male,2,3,5551
0,male,2,4,5592
0,male,2,5,5572
0,male,2,6,5518
0,male,2,7,5372
0,male,2,8,5542
0,male,2,9,5591
0,male,2,10,5507
0,male,2,11,5602
0,male,2,12,5369
0,male,2,13,5521
0,male,2,14,5418
0,male,2,15,5375
0,male,2,16,5401
0,male,2,17,5426
0,male,2,18,92
0,male,3,0,5691
0,male,3,1,5528
0,male,3,2,5406
0,male,3,3,5604
0,male,3,4,5521
0,male,3,5,5604
0,male,3,6,5622
0,male,3,7,5507
0,male,3,8,5535
0,male,3,9,5621
0,male,3,10,5658
0,male,3,11,5649
0,male,3,12,5585
0,male,3,13,5441
0,male,3,14,5526
0,male,3,15,5436
0,male,3,16,5479
0,male,3,17,5319
0,male,3,18,89
0,female,0,0,5739
0,female,0,1,5677
0,female,0,2,5420
0,female,0,3,5462
0,female,0,4,5486
0,female,0,5,5511
0,female,0,6,5456
0,female,0,7,5590
0,female,0,8,5466
0,female,0,9,5511
0,female,0,10,5398
0,female,0,11,5480
0,female,0,12,5417
0,female,0,13,5464
0,female,0,14,5622
0,female,0,15,5416
0,female,0,16,5439
0,female,0,17,5456
0,female,0,18,98
0,female,1,0,5855
0,female,1,1,5469
0,female,1,2,5509
0,female,1,3,5539
0,female,1,4,5485
0,female,1,5,5479
0,female,1,6,5556
0,female,1,7,5417
0,female,1,8,5340
0,female,1,9,5411
0,female,1,10,5562
0,female,1,11,5569
0,female,1,12,5457
0,female,1,13,5603
0,female,1,14,5503
0,female,1,15,5419
0,female,1,16,5534
0,female,1,17,5475
0,female,1,18,83
0,female,2,0,5798
0,female,2,1,5527
0,female,2,2,5539
0,female,2,3,5555
0,female,2,4,5655
0,female,2,5,5603
0,female,2,6,5524
0,female,2,7,5537
0,female,2,8,5484
0,female,2,9,5588
0,female,2,10,5596
0,female,2,11,5562
0,female,2,12,5399
0,female,2,13,5471
0,female,2,14,5400
0,female,2,15,5520
0,female,2,16,5433
0,female,2,17,5451
0,female,2,18,95
0,female,3,0,5719
0,female,3,1,5520
0,female,3,2,5542
0,female,3,3,5366
0,female,3,4,5542
0,female,3,5,5588
0,female,3,6,5394
0,female,3,7,5565
0,female,3,8,5511
0,female,3,9,5706
0,female,3,10,5404
0,female,3,11,5626
0,female,3,12,5402
0,female,3,13,5472
0,female,3,14,5266
0,female,3,15,5377
0,female,3,16,5492
0,female,3,17,5585
0,female,3,18,96
1,male,0,0,6034
1,male,0,1,5501
1,male,0,2,5410
