tick,entry_stream,area,count
0,birth_slot,0,29016
0,birth_slot,1,29141
0,birth_slot,2,29040
0,birth_slot,3,29206
0,overseas_slot,0,12244
0,overseas_slot,1,12308
0,overseas_slot,2,12275
0,overseas_slot,3,12466
0,internal_slot,0,7251
0,internal_slot,1,7429
0,internal_slot,2,7383
0,internal_slot,3,7290
1,birth_slot,0,30008
1,birth_slot,1,30194
1,birth_slot,2,30157
1,birth_slot,3,30214
1,overseas_slot,0,12094
1,overseas_slot,1,12159
1,overseas_slot,2,12097
1,overseas_slot,3,12295
1,internal_slot,0,7089
1,internal_slot,1,7254
1,internal_slot,2,7220
1,internal_slot,3,7136
2,birth_slot,0,30945
2,birth_slot,1,31176
2,birth_slot,2,31115
2,birth_slot,3,31198
2,overseas_slot,0,11924
2,overseas_slot,1,11998
2,overseas_slot,2,11930
2,overseas_slot,3,12118
2,internal_slot,0,6933
2,internal_slot,1,7085
2,internal_slot,2,7054
2,internal_slot,3,7014
3,birth_slot,0,31821
3,birth_slot,1,32061
3,birth_slot,2,31957
3,birth_slot,3,32051
3,overseas_slot,0,11770
3,overseas_slot,1,11830
3,overseas_slot,2,11791
3,overseas_slot,3,11958
3,internal_slot,0,6787
3,internal_slot,1,6928
3,internal_slot,2,6898
3,internal_slot,3,6857
4,birth_slot,0,32703
4,birth_slot,1,32932
4,birth_slot,2,32848
4,birth_slot,3,32920
4,overseas_slot,0,11609
4,overseas_slot,1,11665
4,overseas_slot,2,11633
4,overseas_slot,3,11819
4,internal_slot,0,6645
4,internal_slot,1,6772
4,internal_slot,2,6764
4,internal_slot,3,6722
5,birth_slot,0,33526
5,birth_slot,1,33774
5,birth_slot,2,33707
5,birth_slot,3,33765
5,overseas_slot,0,11449
5,overseas_slot,1,11533
5,overseas_slot,2,11470
5,overseas_slot,3,11675
5,internal_slot,0,6476
5,internal_slot,1,6631
5,internal_slot,2,6619
5,internal_slot,3,6572
6,birth_slot,0,34388
6,birth_slot,1,34540
6,birth_slot,2,34524
6,birth_slot,3,34616
6,overseas_slot,0,11290
6,overseas_slot,1,11373
6,overseas_slot,2,11311
6,overseas_slot,3,11513
6,internal_slot,0,6351
6,internal_slot,1,6484
6,internal_slot,2,6480
6,internal_slot,3,6433
