tick,entry_stream,area,count
0,birth_slot,0,28929
0,birth_slot,1,29050
0,birth_slot,2,28962
0,birth_slot,3,29175
0,overseas_slot,0,12082
0,overseas_slot,1,12189
0,overseas_slot,2,12154
0,overseas_slot,3,12306
0,internal_slot,0,7303
0,internal_slot,1,7468
0,internal_slot,2,7442
0,internal_slot,3,7343
1,birth_slot,0,30658
1,birth_slot,1,30844
1,birth_slot,2,30771
1,birth_slot,3,30860
1,overseas_slot,0,11753
1,overseas_slot,1,11883
1,overseas_slot,2,11827
1,overseas_slot,3,12025
1,internal_slot,0,7187
1,internal_slot,1,7366
1,internal_slot,2,7334
1,internal_slot,3,7226
2,birth_slot,0,32256
2,birth_slot,1,32557
2,birth_slot,2,32464
2,birth_slot,3,32507
2,overseas_slot,0,11476
2,overseas_slot,1,11576
2,overseas_slot,2,11545
2,overseas_slot,3,11726
2,internal_slot,0,7110
2,internal_slot,1,7247
2,internal_slot,2,7241
2,internal_slot,3,7131
3,birth_slot,0,33792
3,birth_slot,1,34084
3,birth_slot,2,33982
3,birth_slot,3,33955
3,overseas_slot,0,11217
3,overseas_slot,1,11252
3,overseas_slot,2,11242
3,overseas_slot,3,11446
3,internal_slot,0,7014
3,internal_slot,1,7123
3,internal_slot,2,7154
3,internal_slot,3,7027
4,birth_slot,0,35226
4,birth_slot,1,35563
4,birth_slot,2,35569
4,birth_slot,3,35482
4,overseas_slot,0,10952
4,overseas_slot,1,10993
4,overseas_slot,2,10960
4,overseas_slot,3,11176
4,internal_slot,0,6920
4,internal_slot,1,7016
4,internal_slot,2,7059
4,internal_slot,3,6935
5,birth_slot,0,36652
5,birth_slot,1,37048
5,birth_slot,2,36884
5,birth_slot,3,36849
5,overseas_slot,0,10700
5,overseas_slot,1,10715
5,overseas_slot,2,10704
5,overseas_slot,3,10902
5,internal_slot,0,6831
5,internal_slot,1,6934
5,internal_slot,2,6971
5,internal_slot,3,6862
6,birth_slot,0,37925
6,birth_slot,1,38290
6,birth_slot,2,38195
6,birth_slot,3,38090
6,overseas_slot,0,10476
6,overseas_slot,1,10447
6,overseas_slot,2,10464
6,overseas_slot,3,10625
6,internal_slot,0,6762
6,internal_slot,1,6825
6,internal_slot,2,6866
6,internal_slot,3,6764
7,birth_slot,0,39165
7,birth_slot,1,39554
7,birth_slot,2,39383
7,birth_slot,3,39326
7,overseas_slot,0,10220
7,overseas_slot,1,10186
7,overseas_slot,2,10217
7,overseas_slot,3,10384
7,internal_slot,0,6673
7,internal_slot,1,6738
7,internal_slot,2,6772
7,internal_slot,3,6669
8,birth_slot,0,40229
8,birth_slot,1,40714
8,birth_slot,2,40531
8,birth_slot,3,40496
8,overseas_slot,0,10001
8,overseas_slot,1,9954
8,overseas_slot,2,9951
8,overseas_slot,3,10116
8,internal_slot,0,6584
8,internal_slot,1,6655
8,internal_slot,2,6689
8,internal_slot,3,6591
9,birth_slot,0,41340
9,birth_slot,1,41929
9,birth_slot,2,41698
9,birth_slot,3,41436
9,overseas_slot,0,9773
9,overseas_slot,1,9707
9,overseas_slot,2,9713
9,overseas_slot,3,9901
9,internal_slot,0,6510
9,internal_slot,1,6584
9,internal_slot,2,6596
9,internal_slot,3,6510
10,birth_slot,0,42410
10,birth_slot,1,42991
10,birth_slot,2,42847
10,birth_slot,3,42527
10,overseas_slot,0,9579
10,overseas_slot,1,9501
10,overseas_slot,2,9496
