tick,sex,area,age_months,count
0,male,0,0,5783
0,male,0,1,5531
0,male,0,2,5482
0,male,0,3,5545
0,male,0,4,5533
0,male,0,5,5453
0,male,0,6,5620
0,male,0,7,5608
0,male,0,8,5630
0,male,0,9,5544
0,male,0,10,5650
0,male,0,11,5563
0,male,0,12,5479
0,male,0,13,5452
0,male,0,14,5381
0,male,0,15,5387
0,male,0,16,5499
0,male,0,17,5475
0,male,0,18,83
0,male,1,0,5614
0,male,1,1,5612
0,male,1,2,5533
0,male,1,3,5480
0,male,1,4,5477
0,male,1,5,5656
0,male,1,6,5699
0,male,1,7,5586
0,male,1,8,5665
0,male,1,9,5505
0,male,1,10,5455
0,male,1,11,5669
0,male,1,12,5510
0,male,1,13,5431
0,male,1,14,5430
0,male,1,15,5551
0,male,1,16,5495
0,male,1,17,5498
0,male,1,18,109
0,male,2,0,5687
0,male,2,1,5509
0,male,2,2,5561
0,male,2,3,5550
0,male,2,4,5576
0,male,2,5,5566
0,male,2,6,5526
0,male,2,7,5366
0,male,2,8,5561
0,male,2,9,5600
0,male,2,10,5502
0,male,2,11,5608
0,male,2,12,5366
0,male,2,13,5564
0,male,2,14,5432
0,male,2,15,5393
0,male,2,16,5418
0,male,2,17,5472
0,male,2,18,94
0,male,3,0,5589
0,male,3,1,5531
0,male,3,2,5427
0,male,3,3,5622
0,male,3,4,5511
0,male,3,5,5610
0,male,3,6,5631
0,male,3,7,5519
0,male,3,8,5532
0,male,3,9,5617
0,male,3,10,5659
0,male,3,11,5647
0,male,3,12,5606
0,male,3,13,5466
0,male,3,14,5564
0,male,3,15,5454
0,male,3,16,5500
0,male,3,17,5353
0,male,3,18,89
0,female,0,0,5625
0,female,0,1,5671
0,female,0,2,5431
0,female,0,3,5470
0,female,0,4,5506
0,female,0,5,5511
0,female,0,6,5460
0,female,0,7,5606
0,female,0,8,5478
0,female,0,9,5524
0,female,0,10,5390
0,female,0,11,5495
0,female,0,12,5419
0,female,0,13,5502
0,female,0,14,5637
0,female,0,15,5444
0,female,0,16,5467
0,female,0,17,5490
0,female,0,18,99
0,female,1,0,5818
0,female,1,1,5487
0,female,1,2,5500
0,female,1,3,5538
0,female,1,4,5487
0,female,1,5,5489
0,female,1,6,5589
0,female,1,7,5423
0,female,1,8,5363
0,female,1,9,5440
0,female,1,10,5559
0,female,1,11,5575
0,female,1,12,5455
0,female,1,13,5624
0,female,1,14,5543
0,female,1,15,5440
0,female,1,16,5561
0,female,1,17,5486
0,female,1,18,83
0,female,2,0,5712
0,female,2,1,5527
0,female,2,2,5558
0,female,2,3,5550
0,female,2,4,5671
0,female,2,5,5601
0,female,2,6,5541
0,female,2,7,5559
0,female,2,8,5517
0,female,2,9,5602
0,female,2,10,5598
0,female,2,11,5590
0,female,2,12,5413
0,female,2,13,5474
0,female,2,14,5456
0,female,2,15,5527
0,female,2,16,5451
0,female,2,17,5481
0,female,2,18,97
0,female,3,0,5606
0,female,3,1,5522
0,female,3,2,5541
0,female,3,3,5372
0,female,3,4,5549
0,female,3,5,5594
0,female,3,6,5394
0,female,3,7,5589
0,female,3,8,5518
0,female,3,9,5714
0,female,3,10,5407
0,female,3,11,5627
0,female,3,12,5412
0,female,3,13,5481
0,female,3,14,5306
0,female,3,15,5396
0,female,3,16,5521
0,female,3,17,5625
0,female,3,18,94
1,male,0,0,5944
1,male,0,1,5520
1,male,0,2,5453
1,male,0,3,5518
1,male,0,4,5536
1,male,0,5,5404
1,male,0,6,5598
1,male,0,7,5585
1,male,0,8,5599
1,male,0,9,5510
1,male,0,10,5626
1,male,0,11,5531
1,male,0,12,5454
1,male,0,13,5361
1,male,0,14,5319
1,male,0,15,5310
1,male,0,16,5415
1,male,0,17,5379
1,male,0,18,173
1,male,1,0,5773
1,male,1,1,5578
1,male,1,2,5502
1,male,1,3,5478
1,male,1,4,5475
1,male,1,5,5610
1,male,1,6,5686
1,male,1,7,5555
1,male,1,8,5636
1,male,1,9,5492
1,male,1,10,5458
1,male,1,11,5637
1,male,1,12,5481
1,male,1,13,5372
1,male,1,14,5371
1,male,1,15,5462
1,male,1,16,5410
1,male,1,17,5423
1,male,1,18,192
1,male,2,0,5830
1,male,2,1,5499
1,male,2,2,5534
1,male,2,3,5518
1,male,2,4,5533
1,male,2,5,5573
1,male,2,6,5500
1,male,2,7,5373
1,male,2,8,5521
1,male,2,9,5581
1,male,2,10,5476
1,male,2,11,5572
1,male,2,12,5335
1,male,2,13,5537
1,male,2,14,5333
1,male,2,15,5315
1,male,2,16,5335
1,male,2,17,5393
1,male,2,18,185
1,male,3,0,5745
1,male,3,1,5488
1,male,3,2,5397
1,male,3,3,5605
1,male,3,4,5501
1,male,3,5,5587
1,male,3,6,5601
1,male,3,7,5518
1,male,3,8,5532
1,male,3,9,5589
1,male,3,10,5635
1,male,3,11,5639
1,male,3,12,5589
1,male,3,13,5374
1,male,3,14,5509
1,male,3,15,5374
1,male,3,16,5433
1,male,3,17,5269
1,male,3,18,181
1,female,0,0,5777
1,female,0,1,5663
1,female,0,2,5375
1,female,0,3,5472
1,female,0,4,5471
1,female,0,5,5477
1,female,0,6,5449
1,female,0,7,5593
1,female,0,8,5450
1,female,0,9,5487
1,female,0,10,5393
1,female,0,11,5473
1,female,0,12,5402
1,female,0,13,5432
1,female,0,14,5543
1,female,0,15,5393
1,female,0,16,5389
1,female,0,17,5404
1,female,0,18,193
1,female,1,0,5954
1,female,1,1,5474
1,female,1,2,5461
1,female,1,3,5518
1,female,1,4,5451
1,female,1,5,5495
1,female,1,6,5552
1,female,1,7,5441
1,female,1,8,5318
1,female,1,9,5429
1,female,1,10,5542
1,female,1,11,5546
1,female,1,12,5460
1,female,1,13,5561
1,female,1,14,5473
1,female,1,15,5358
1,female,1,16,5449
1,female,1,17,5448
1,female,1,18,144
1,female,2,0,5903
1,female,2,1,5514
1,female,2,2,5538
1,female,2,3,5503
1,female,2,4,5664
1,female,2,5,5563
1,female,2,6,5531
1,female,2,7,5546
1,female,2,8,5480
1,female,2,9,5583
1,female,2,10,5561
1,female,2,11,5569
1,female,2,12,5393
1,female,2,13,5428
1,female,2,14,5376
1,female,2,15,5449
1,female,2,16,5393
1,female,2,17,5391
1,female,2,18,185
1,female,3,0,5769
1,female,3,1,5484
1,female,3,2,5506
1,female,3,3,5373
1,female,3,4,5532
1,female,3,5,5587
1,female,3,6,5348
1,female,3,7,5576
1,female,3,8,5494
1,female,3,9,5683
1,female,3,10,5384
1,female,3,11,5609
1,female,3,12,5398
1,female,3,13,5409
1,female,3,14,5268
1,female,3,15,5329
1,female,3,16,5436
1,female,3,17,5550
1,female,3,18,185
2,male,0,0,6121
2,male,0,1,5481
2,male,0,2,5419
2,male,0,3,5496
2,male,0,4,5534
2,male,0,5,5356
2,male,0,6,5576
2,male,0,7,5586
2,male,0,8,5568
2,male,0,9,5507
2,male,0,10,5587
2,male,0,11,5487
2,male,0,12,5428
2,male,0,13,5314
2,male,0,14,5243
2,male,0,15,5245
2,male,0,16,5326
2,male,0,17,5323
2,male,0,18,262
2,male,1,0,5940
2,male,1,1,5547
2,male,1,2,5475
2,male,1,3,5465
2,male,1,4,5465
2,male,1,5,5584
2,male,1,6,5656
2,male,1,7,5522
2,male,1,8,5616
2,male,1,9,5444
2,male,1,10,5435
2,male,1,11,5621
2,male,1,12,5445
2,male,1,13,5315
2,male,1,14,5307
2,male,1,15,5373
2,male,1,16,5338
2,male,1,17,5335
2,male,1,18,295
2,male,2,0,6013
2,male,2,1,5472
2,male,2,2,5509
2,male,2,3,5489
2,male,2,4,5510
2,male,2,5,5571
2,male,2,6,5490
2,male,2,7,5340
2,male,2,8,5516
2,male,2,9,5538
2,male,2,10,5462
2,male,2,11,5554
2,male,2,12,5309
2,male,2,13,5477
2,male,2,14,5279
2,male,2,15,5236
2,male,2,16,5263
2,male,2,17,5320
2,male,2,18,260
2,male,3,0,5945
2,male,3,1,5471
2,male,3,2,5356
2,male,3,3,5591
2,male,3,4,5470
2,male,3,5,5580
2,male,3,6,5585
2,male,3,7,5488
2,male,3,8,5517
2,male,3,9,5548
2,male,3,10,5614
2,male,3,11,5620
2,male,3,12,5542
2,male,3,13,5325
2,male,3,14,5434
2,male,3,15,5269
2,male,3,16,5379
2,male,3,17,5177
2,male,3,18,276
2,female,0,0,5957
2,female,0,1,5622
2,female,0,2,5375
2,female,0,3,5444
2,female,0,4,5441
2,female,0,5,5458
2,female,0,6,5433
2,female,0,7,5577
2,female,0,8,5437
2,female,0,9,5434
2,female,0,10,5401
2,female,0,11,5462
2,female,0,12,5377
2,female,0,13,5377
2,female,0,14,5454
2,female,0,15,5345
2,female,0,16,5330
2,female,0,17,5307
2,female,0,18,283
2,female,1,0,6100
2,female,1,1,5465
2,female,1,2,5429
2,female,1,3,5499
2,female,1,4,5428
2,female,1,5,5479
2,female,1,6,5539
2,female,1,7,5399
2,female,1,8,5317
2,female,1,9,5408
2,female,1,10,5522
2,female,1,11,5524
2,female,1,12,5426
2,female,1,13,5509
2,female,1,14,5382
2,female,1,15,5306
2,female,1,16,5365
2,female,1,17,5375
2,female,1,18,237
2,female,2,0,6111
2,female,2,1,5464
2,female,2,2,5523
2,female,2,3,5489
2,female,2,4,5640
2,female,2,5,5551
2,female,2,6,5503
