tick,sex,event_age_months,count
0,male,0,218
0,male,1,221
0,male,2,199
0,male,3,204
0,male,4,655
0,male,5,650
0,male,6,690
0,male,7,673
0,male,8,701
0,male,9,699
0,male,10,653
0,male,11,703
0,male,12,653
0,male,13,1599
0,male,14,1557
0,male,15,1568
0,male,16,1584
0,male,17,1579
0,female,0,218
0,female,1,230
0,female,2,222
0,female,3,236
0,female,4,629
0,female,5,698
0,female,6,696
0,female,7,680
0,female,8,629
0,female,9,673
0,female,10,689
0,female,11,721
0,female,12,634
0,female,13,1572
0,female,14,1576
0,female,15,1655
0,female,16,1554
0,female,17,1577
1,male,0,191
1,male,1,211
1,male,2,226
1,male,3,218
1,male,4,701
1,male,5,676
1,male,6,646
1,male,7,674
1,male,8,691
1,male,9,665
1,male,10,648
1,male,11,672
1,male,12,659
1,male,13,1597
1,male,14,1588
1,male,15,1510
1,male,16,1527
1,male,17,1609
1,male,18,35
1,female,0,213
1,female,1,194
1,female,2,210
1,female,3,230
1,female,4,640
1,female,5,642
1,female,6,705
1,female,7,683
1,female,8,654
1,female,9,695
1,female,10,630
1,female,11,717
1,female,12,699
1,female,13,1674
1,female,14,1610
1,female,15,1557
1,female,16,1606
1,female,17,1590
1,female,18,15
2,male,0,230
2,male,1,216
2,male,2,213
2,male,3,219
2,male,4,625
2,male,5,651
2,male,6,663
2,male,7,610
2,male,8,691
2,male,9,719
2,male,10,694
2,male,11,685
2,male,12,663
2,male,13,1533
2,male,14,1528
2,male,15,1551
2,male,16,1555
2,male,17,1512
2,male,18,55
2,female,0,221
2,female,1,214
2,female,2,226
2,female,3,241
2,female,4,699
2,female,5,677
2,female,6,672
2,female,7,614
2,female,8,666
2,female,9,643
2,female,10,654
2,female,11,679
2,female,12,638
2,female,13,1559
2,female,14,1543
2,female,15,1543
2,female,16,1505
2,female,17,1521
2,female,18,46
3,male,0,236
3,male,1,191
3,male,2,251
3,male,3,219
3,male,4,659
3,male,5,627
3,male,6,646
3,male,7,629
3,male,8,673
3,male,9,677
3,male,10,665
3,male,11,686
3,male,12,639
3,male,13,1497
3,male,14,1515
3,male,15,1514
3,male,16,1464
3,male,17,1543
3,male,18,72
3,female,0,268
3,female,1,203
3,female,2,227
3,female,3,190
3,female,4,615
3,female,5,659
3,female,6,638
3,female,7,698
3,female,8,629
3,female,9,650
3,female,10,630
3,female,11,666
3,female,12,682
3,female,13,1557
3,female,14,1538
3,female,15,1546
3,female,16,1507
3,female,17,1573
3,female,18,76
4,male,0,266
4,male,1,231
4,male,2,210
4,male,3,227
4,male,4,658
4,male,5,688
4,male,6,651
4,male,7,662
4,male,8,715
4,male,9,627
4,male,10,615
4,male,11,592
4,male,12,625
4,male,13,1494
4,male,14,1507
4,male,15,1456
4,male,16,1434
4,male,17,1534
4,male,18,98
4,female,0,264
4,female,1,220
4,female,2,204
4,female,3,181
4,female,4,642
4,female,5,687
4,female,6,624
4,female,7,638
4,female,8,656
4,female,9,666
4,female,10,641
4,female,11,659
4,female,12,642
4,female,13,1499
4,female,14,1527
4,female,15,1442
4,female,16,1536
4,female,17,1526
4,female,18,117
5,male,0,287
5,male,1,208
5,male,2,210
5,male,3,243
5,male,4,649
5,male,5,664
5,male,6,635
5,male,7,656
5,male,8,653
5,male,9,635
5,male,10,636
5,male,11,668
5,male,12,613
5,male,13,1602
5,male,14,1440
5,male,15,1491
5,male,16,1539
5,male,17,1501
5,male,18,123
5,female,0,267
5,female,1,235
5,female,2,204
5,female,3,217
5,female,4,679
5,female,5,657
5,female,6,700
5,female,7,662
5,female,8,648
5,female,9,610
5,female,10,664
5,female,11,594
5,female,12,644
5,female,13,1535
5,female,14,1574
5,female,15,1456
5,female,16,1532
5,female,17,1354
5,female,18,124
6,male,0,283
6,male,1,215
6,male,2,218
6,male,3,219
6,male,4,704
6,male,5,669
6,male,6,660
6,male,7,680
6,male,8,648
6,male,9,654
6,male,10,652
6,male,11,625
6,male,12,606
6,male,13,1539
6,male,14,1485
6,male,15,1529
6,male,16,1502
6,male,17,1452
6,male,18,152
6,female,0,300
6,female,1,208
6,female,2,198
6,female,3,189
6,female,4,660
6,female,5,636
6,female,6,639
6,female,7,661
6,female,8,626
6,female,9,664
6,female,10,641
6,female,11,664
6,female,12,622
6,female,13,1488
6,female,14,1429
6,female,15,1434
6,female,16,1479
6,female,17,1558
6,female,18,155
7,male,0,292
7,male,1,224
7,male,2,216
7,male,3,191
7,male,4,650
7,male,5,617
7,male,6,663
7,male,7,635
7,male,8,623
7,male,9,612
7,male,10,652
7,male,11,640
7,male,12,615
7,male,13,1465
7,male,14,1488
7,male,15,1472
7,male,16,1508
7,male,17,1435
7,male,18,179
7,female,0,339
7,female,1,201
7,female,2,219
7,female,3,196
7,female,4,650
7,female,5,619
7,female,6,648
7,female,7,631
7,female,8,658
7,female,9,666
7,female,10,618
7,female,11,621
7,female,12,633
7,female,13,1551
7,female,14,1498
7,female,15,1378
7,female,16,1402
7,female,17,1474
7,female,18,168
8,male,0,281
8,male,1,207
8,male,2,198
8,male,3,187
8,male,4,648
8,male,5,577
8,male,6,633
8,male,7,642
8,male,8,656
8,male,9,604
8,male,10,601
8,male,11,691
8,male,12,618
8,male,13,1468
8,male,14,1442
8,male,15,1467
8,male,16,1398
8,male,17,1404
8,male,18,207
8,female,0,305
8,female,1,210
8,female,2,197
8,female,3,188
8,female,4,608
8,female,5,650
8,female,6,667
8,female,7,668
8,female,8,642
8,female,9,650
8,female,10,599
8,female,11,663
8,female,12,608
8,female,13,1476
8,female,14,1406
