# params={"birth_rate":0.018020345815424308,"mortality_young":0.000724656328742004,"mortality_adult":0.004107165557854816,"mortality_old":0.011675794335487572,"overseas_arrival_rate":0.02004409106637286,"emigration_rate":0.001886538122885192,"internal_departure_rate":0.002405991561476412,"internal_arrival_rate":0.019744534032868008}
# dt=1
tick,population,invalid_age,males,females,age_00_04,age_20_24,age_65_69,age_85_plus,births_this_tick,deaths_this_tick,overseas_arrivals_this_tick,overseas_departures_this_tick,internal_arrivals_this_tick,internal_departures_this_tick,locked_out,vacant_birth_slots,vacant_overseas_slots,vacant_internal_slots,max_generation,fired_age_monthly,fired_clear_event,fired_birth_activate,fired_overseas_arrive,fired_internal_arrive,fired_die_young,fired_die_adult,fired_die_old,fired_emigrate,fired_internal_depart,deferred_total
0,7959457,0,3980428,3979029,455396,442476,438849,444879,21230,43250,9987,14898,5776,19388,36993,1178770,490013,294224,1,8000000,0,21230,9987,5776,1282,16339,25629,14898,19388,220
1,7919675,0,3960527,3959148,467510,440156,433221,444914,21166,42854,9828,14835,5703,18790,36697,1235140,480185,288521,1,7959457,114529,21166,9828,5703,1291,15988,25575,14835,18790,202
2,7880523,0,3941053,3939470,480303,437646,427872,444847,22036,42709,9593,14886,5620,18806,37249,1289583,470592,282901,2,7919675,113176,22036,9593,5620,1281,16493,24935,14886,18806,227
3,7842819,0,3922383,3920436,494137,435304,422660,444874,22998,42024,9485,14780,5517,18900,38000,1342839,461207,277431,2,7880523,113650,22998,9485,5517,1325,15957,24742,14780,18900,212
4,7806848,0,3904437,3902411,508926,433141,417481,444539,24158,41194,9066,14683,5474,18792,38698,1394090,452343,272050,2,7842819,113704,24158,9066,5474,1291,15596,24307,14683,18792,187
5,7771088,0,3886789,3884299,524284,430866,412347,444287,24634,41644,8914,14415,5252,18501,38800,1443717,443671,266964,2,7806848,113367,24634,8914,5252,1282,15928,24434,14415,18501,229
6,7736473,0,3869623,3866850,540455,428499,407333,443993,25658,40958,8705,14439,5222,18803,39585,1492075,435319,261933,2,7771088,113360,25658,8705,5222,1339,15991,23628,14439,18803,235
7,7703416,0,3853120,3850296,557803,426111,402410,443377,26796,40624,8589,14416,5074,18476,40459,1538799,427169,257100,2,7736473,113785,26796,8589,5074,1308,15800,23516,14416,18476,221
8,7671413,0,3837194,3834219,575801,423968,397763,442745,27328,40430,8500,14227,5082,18256,40910,1584193,419165,252316,3,7703416,113975,27328,8500,5082,1259,15703,23468,14227,18256,221
9,7640981,0,3821859,3819122,594628,422099,393083,442064,28420,39637,8304,14013,4875,18381,41599,1627748,411441,247799,3,7671413,113823,28420,8304,4875,1325,15211,23101,14013,18381,213
10,7610907,0,3806850,3804057,613686,419999,388606,441192,28737,39811,8294,14121,4943,18116,41974,1670047,403778,243220,3,7640981,113630,28737,8294,4943,1323,15431,23057,14121,18116,185
11,7581640,0,3792369,3789271,633819,417930,383992,440053,29815,39373,7928,14236,4843,18244,42586,1711091,396602,238814,3,7610907,114022,29815,7928,4843,1282,15396,22695,14236,18244,173
12,7553159,0,3778053,3775106,654573,415580,379376,439220,30488,39326,7862,14171,4648,17982,42998,1751206,389528,234628,3,7581640,114439,30488,7862,4648,1376,15431,22519,14171,17982,179
13,7525618,0,3764313,3761305,676202,413460,375151,438235,31362,39075,7788,14169,4559,18006,43709,1789908,382629,230595,3,7553159,114477,31362,7788,4559,1412,15473,22190,14169,18006,202
14,7498957,0,3751199,3747758,697831,411111,370769,437085,31657,38454,7429,14016,4670,17947,43756,1828032,376106,226488,3,7525618,114959,31657,7429,4670,1329,15151,21974,14016,17947,219
15,7473670,0,3738319,3735351,720435,409050,366667,435701,32457,37973,7529,13873,4418,17845,44404,1864499,369532,222608,3,7498957,114173,32457,7529,4418,1372,14971,21630,13873,17845,178
16,7449311,0,3725641,3723670,743322,407066,362819,434378,33173,37391,7328,14065,4383,17787,44884,1899366,363241,218839,3,7473670,114095,33173,7328,4383,1356,14814,21221,14065,17787,193
17,7425471,0,3713754,3711717,767204,404900,358829,432940,33957,37491,7172,13903,4134,17709,45263,1932929,357155,215342,3,7449311,114127,33957,7172,4134,1330,14923,21238,13903,17709,184
18,7402951,0,3702202,3700749,791631,403075,354979,431568,34635,37060,7138,13896,4198,17535,45971,1965560,351191,211807,3,7425471,114366,34635,7138,4198,1444,14661,20955,13896,17535,198
19,7381312,0,3691190,3690122,816049,401223,351370,430208,34840,36505,7099,13737,4223,17559,46162,1997286,345318,208283,3,7402951,114462,34840,7099,4223,1411,14559,20535,13737,17559,180
20,7360165,0,3680528,3679637,841163,398982,347755,428579,35556,36303,6835,13822,3993,17406,46384,2027548,339705,205051,3,7381312,113963,35556,6835,3993,1457,14481,20365,13822,17406,176
21,7339461,0,3670016,3669445,866649,396946,344010,426927,35970,36230,6790,13690,4004,17548,46764,2057007,334247,201817,3,7360165,113915,35970,6790,4004,1472,14355,20403,13690,17548,194
22,7320242,0,3660416,3659826,893069,395198,340298,425391,37060,35668,6755,13809,3941,17498,47756,2085245,328837,198701,3,7339461,114232,37060,6755,3941,1524,14242,19902,13809,17498,205
23,7301564,0,3651232,3650332,919695,393447,336807,423796,37397,35498,6537,13633,3885,17366,47819,2112598,323736,195605,3,7320242,114731,37397,6537,3885,1501,14350,19647,13633,17366,157
