tick,sex,area,age_months,count
0,male,0,0,57839
0,male,0,1,55629
0,male,0,2,55370
0,male,0,3,55232
0,male,0,4,55424
0,male,0,5,55455
0,male,0,6,55654
0,male,0,7,55572
0,male,0,8,55553
0,male,0,9,55424
0,male,0,10,55812
0,male,0,11,55392
0,male,0,12,55239
0,male,0,13,55171
0,male,0,14,54929
0,male,0,15,54730
0,male,0,16,54908
0,male,0,17,54859
0,male,0,18,882
0,male,1,0,58241
0,male,1,1,55378
0,male,1,2,55355
0,male,1,3,55353
0,male,1,4,55686
0,male,1,5,55745
0,male,1,6,55966
0,male,1,7,55520
0,male,1,8,55601
0,male,1,9,55305
0,male,1,10,55253
0,male,1,11,55587
0,male,1,12,55358
0,male,1,13,54716
0,male,1,14,54528
0,male,1,15,54804
0,male,1,16,54504
0,male,1,17,54773
0,male,1,18,949
0,male,2,0,57714
0,male,2,1,55450
0,male,2,2,54958
0,male,2,3,55348
0,male,2,4,55452
0,male,2,5,55086
0,male,2,6,55754
0,male,2,7,55423
0,male,2,8,55863
0,male,2,9,55353
0,male,2,10,55341
0,male,2,11,55412
0,male,2,12,54775
0,male,2,13,55295
0,male,2,14,54510
0,male,2,15,54733
0,male,2,16,54255
0,male,2,17,54784
0,male,2,18,955
0,male,3,0,57972
0,male,3,1,55434
0,male,3,2,55162
0,male,3,3,55633
0,male,3,4,55590
0,male,3,5,55501
0,male,3,6,55507
0,male,3,7,55605
0,male,3,8,55214
0,male,3,9,55788
0,male,3,10,55594
0,male,3,11,55353
0,male,3,12,55511
0,male,3,13,55069
0,male,3,14,54698
0,male,3,15,54538
0,male,3,16,54746
0,male,3,17,54938
0,male,3,18,951
0,female,0,0,57817
0,female,0,1,55495
0,female,0,2,54964
0,female,0,3,55422
0,female,0,4,55335
0,female,0,5,55451
0,female,0,6,55285
0,female,0,7,55605
0,female,0,8,55259
0,female,0,9,55658
0,female,0,10,55471
0,female,0,11,55100
0,female,0,12,54645
0,female,0,13,54900
0,female,0,14,54971
0,female,0,15,54470
0,female,0,16,54624
0,female,0,17,54636
0,female,0,18,912
0,female,1,0,57913
0,female,1,1,55268
0,female,1,2,55548
0,female,1,3,55432
0,female,1,4,54950
0,female,1,5,55504
0,female,1,6,55521
0,female,1,7,55256
0,female,1,8,55212
0,female,1,9,55462
0,female,1,10,55291
0,female,1,11,55847
0,female,1,12,55194
0,female,1,13,55410
0,female,1,14,54924
0,female,1,15,54848
0,female,1,16,54885
0,female,1,17,54774
0,female,1,18,885
0,female,2,0,58656
0,female,2,1,55356
0,female,2,2,55037
0,female,2,3,55392
0,female,2,4,55664
0,female,2,5,55591
0,female,2,6,55554
0,female,2,7,55551
0,female,2,8,55404
0,female,2,9,55149
0,female,2,10,55370
0,female,2,11,55395
0,female,2,12,55295
0,female,2,13,54622
0,female,2,14,55289
0,female,2,15,55198
0,female,2,16,54822
0,female,2,17,54658
0,female,2,18,901
0,female,3,0,58055
0,female,3,1,55470
0,female,3,2,55728
0,female,3,3,55212
0,female,3,4,55519
0,female,3,5,55375
0,female,3,6,55625
0,female,3,7,55509
0,female,3,8,55435
0,female,3,9,55701
0,female,3,10,55480
0,female,3,11,55570
0,female,3,12,55244
0,female,3,13,55034
