tick,sex,area,age_months,count
0,male,0,0,59293
0,male,0,1,55612
0,male,0,2,55317
0,male,0,3,55162
0,male,0,4,55328
0,male,0,5,55289
0,male,0,6,55534
0,male,0,7,55473
0,male,0,8,55405
0,male,0,9,55337
0,male,0,10,55718
0,male,0,11,55253
0,male,0,12,55121
0,male,0,13,55074
0,male,0,14,54930
0,male,0,15,54802
0,male,0,16,54978
0,male,0,17,54855
0,male,0,18,877
0,male,1,0,59479
0,male,1,1,55381
0,male,1,2,55301
0,male,1,3,55293
0,male,1,4,55543
0,male,1,5,55632
0,male,1,6,55866
0,male,1,7,55456
0,male,1,8,55478
0,male,1,9,55173
0,male,1,10,55124
0,male,1,11,55499
0,male,1,12,55266
0,male,1,13,54684
0,male,1,14,54471
0,male,1,15,54804
0,male,1,16,54567
0,male,1,17,54791
0,male,1,18,942
0,male,2,0,58865
0,male,2,1,55416
0,male,2,2,54935
0,male,2,3,55317
0,male,2,4,55311
0,male,2,5,54951
0,male,2,6,55701
0,male,2,7,55308
0,male,2,8,55782
0,male,2,9,55209
0,male,2,10,55214
0,male,2,11,55327
0,male,2,12,54619
0,male,2,13,55145
0,male,2,14,54569
0,male,2,15,54734
0,male,2,16,54302
0,male,2,17,54830
0,male,2,18,949
0,male,3,0,59104
0,male,3,1,55454
0,male,3,2,55148
0,male,3,3,55561
0,male,3,4,55495
0,male,3,5,55434
0,male,3,6,55357
0,male,3,7,55552
0,male,3,8,55147
0,male,3,9,55713
0,male,3,10,55496
0,male,3,11,55265
0,male,3,12,55411
0,male,3,13,55112
0,male,3,14,54753
0,male,3,15,54577
0,male,3,16,54731
0,male,3,17,54933
0,male,3,18,947
0,female,0,0,58985
0,female,0,1,55440
0,female,0,2,54922
0,female,0,3,55383
0,female,0,4,55186
0,female,0,5,55373
0,female,0,6,55135
0,female,0,7,55498
0,female,0,8,55182
0,female,0,9,55593
0,female,0,10,55292
0,female,0,11,55038
0,female,0,12,54564
0,female,0,13,54856
0,female,0,14,54995
0,female,0,15,54514
0,female,0,16,54720
0,female,0,17,54646
0,female,0,18,914
0,female,1,0,59287
0,female,1,1,55219
0,female,1,2,55486
0,female,1,3,55344
0,female,1,4,54853
0,female,1,5,55359
0,female,1,6,55340
0,female,1,7,55162
0,female,1,8,55106
0,female,1,9,55368
0,female,1,10,55198
0,female,1,11,55743
0,female,1,12,55101
0,female,1,13,55396
0,female,1,14,54987
0,female,1,15,54854
0,female,1,16,54950
0,female,1,17,54842
0,female,1,18,889
0,female,2,0,59806
0,female,2,1,55293
0,female,2,2,55024
0,female,2,3,55298
0,female,2,4,55546
0,female,2,5,55442
0,female,2,6,55413
0,female,2,7,55423
0,female,2,8,55324
0,female,2,9,55038
0,female,2,10,55292
0,female,2,11,55305
0,female,2,12,55206
0,female,2,13,54564
0,female,2,14,55353
0,female,2,15,55246
0,female,2,16,54845
0,female,2,17,54695
0,female,2,18,908
0,female,3,0,59263
0,female,3,1,55452
0,female,3,2,55705
0,female,3,3,55144
0,female,3,4,55420
0,female,3,5,55223
0,female,3,6,55457
0,female,3,7,55375
0,female,3,8,55303
0,female,3,9,55608
0,female,3,10,55399
0,female,3,11,55470
0,female,3,12,55147
0,female,3,13,54924
0,female,3,14,54682
0,female,3,15,54425
0,female,3,16,55041
0,female,3,17,55344
0,female,3,18,887
1,male,0,0,62924
1,male,0,1,55329
1,male,0,2,55025
1,male,0,3,54902
1,male,0,4,55142
1,male,0,5,55050
1,male,0,6,55233
1,male,0,7,55223
1,male,0,8,55138
1,male,0,9,55025
1,male,0,10,55481
1,male,0,11,55075
1,male,0,12,54843
1,male,0,13,54479
1,male,0,14,54342
1,male,0,15,54118
1,male,0,16,54262
1,male,0,17,54185
1,male,0,18,1786
1,male,1,0,63081
1,male,1,1,55127
1,male,1,2,55008
1,male,1,3,55130
1,male,1,4,55304
1,male,1,5,55333
1,male,1,6,55543
1,male,1,7,55214
1,male,1,8,55213
1,male,1,9,54913
1,male,1,10,54939
1,male,1,11,55293
1,male,1,12,54974
1,male,1,13,54137
1,male,1,14,53790
1,male,1,15,54157
1,male,1,16,53849
1,male,1,17,54081
1,male,1,18,1826
1,male,2,0,62474
1,male,2,1,55183
1,male,2,2,54620
1,male,2,3,55072
1,male,2,4,55015
1,male,2,5,54805
1,male,2,6,55441
1,male,2,7,55091
1,male,2,8,55507
1,male,2,9,54886
1,male,2,10,55022
1,male,2,11,55039
1,male,2,12,54450
1,male,2,13,54552
1,male,2,14,53920
1,male,2,15,54104
1,male,2,16,53652
1,male,2,17,54104
1,male,2,18,1826
1,male,3,0,62800
1,male,3,1,55168
1,male,3,2,54917
1,male,3,3,55391
1,male,3,4,55251
1,male,3,5,55132
1,male,3,6,55174
1,male,3,7,55213
1,male,3,8,54910
1,male,3,9,55512
1,male,3,10,55192
1,male,3,11,55051
1,male,3,12,55162
1,male,3,13,54463
1,male,3,14,54110
1,male,3,15,53959
1,male,3,16,54047
1,male,3,17,54190
1,male,3,18,1835
1,female,0,0,62610
1,female,0,1,55225
1,female,0,2,54635
1,female,0,3,55124
1,female,0,4,54956
1,female,0,5,55061
1,female,0,6,54862
1,female,0,7,55291
1,female,0,8,54965
1,female,0,9,55221
1,female,0,10,55097
1,female,0,11,54769
1,female,0,12,54290
1,female,0,13,54305
1,female,0,14,54279
1,female,0,15,53937
1,female,0,16,54021
1,female,0,17,53927
1,female,0,18,1768
1,female,1,0,63040
1,female,1,1,54939
1,female,1,2,55157
1,female,1,3,55198
1,female,1,4,54591
1,female,1,5,55107
1,female,1,6,55008
1,female,1,7,54986
1,female,1,8,54759
1,female,1,9,55117
1,female,1,10,54924
1,female,1,11,55487
1,female,1,12,54906
1,female,1,13,54739
1,female,1,14,54348
1,female,1,15,54201
1,female,1,16,54225
1,female,1,17,54210
1,female,1,18,1734
1,female,2,0,63427
1,female,2,1,55079
1,female,2,2,54785
1,female,2,3,55050
1,female,2,4,55317
1,female,2,5,55208
1,female,2,6,55199
1,female,2,7,55215
1,female,2,8,55078
1,female,2,9,54769
1,female,2,10,55036
1,female,2,11,55069
1,female,2,12,54969
1,female,2,13,54020
1,female,2,14,54627
1,female,2,15,54560
1,female,2,16,54184
1,female,2,17,53947
1,female,2,18,1817
1,female,3,0,62957
1,female,3,1,55174
1,female,3,2,55393
1,female,3,3,54988
1,female,3,4,55186
1,female,3,5,55072
1,female,3,6,55116
1,female,3,7,55136
1,female,3,8,54981
1,female,3,9,55345
1,female,3,10,55206
1,female,3,11,55180
1,female,3,12,54910
1,female,3,13,54339
1,female,3,14,54047
1,female,3,15,53766
1,female,3,16,54351
1,female,3,17,54616
1,female,3,18,1770
2,male,0,0,66647
2,male,0,1,55051
2,male,0,2,54767
2,male,0,3,54722
2,male,0,4,54906
2,male,0,5,54754
2,male,0,6,54963
2,male,0,7,54977
2,male,0,8,54833
2,male,0,9,54814
2,male,0,10,55240
2,male,0,11,54748
2,male,0,12,54630
2,male,0,13,53867
2,male,0,14,53702
2,male,0,15,53477
2,male,0,16,53498
2,male,0,17,53518
2,male,0,18,2679
2,male,1,0,66736
2,male,1,1,54885
2,male,1,2,54766
2,male,1,3,54893
2,male,1,4,55066
2,male,1,5,55098
2,male,1,6,55243
2,male,1,7,54936
2,male,1,8,55006
2,male,1,9,54645
2,male,1,10,54735
