tick,sex,event_age_months,count
0,male,0,186
0,male,1,178
0,male,2,180
0,male,3,200
0,male,4,573
0,male,5,552
0,male,6,521
0,male,7,544
0,male,8,579
0,male,9,505
0,male,10,524
0,male,11,550
0,male,12,563
0,male,13,2213
0,male,14,2235
0,male,15,2125
0,male,16,2157
0,male,17,2151
0,female,0,191
0,female,1,168
0,female,2,179
0,female,3,194
0,female,4,569
0,female,5,580
0,female,6,579
0,female,7,579
0,female,8,572
0,female,9,560
0,female,10,550
0,female,11,566
0,female,12,588
0,female,13,2104
0,female,14,2103
0,female,15,2185
0,female,16,2191
0,female,17,2064
1,male,0,201
1,male,1,211
1,male,2,185
1,male,3,192
1,male,4,576
1,male,5,577
1,male,6,578
1,male,7,616
1,male,8,584
1,male,9,596
1,male,10,548
1,male,11,567
1,male,12,537
1,male,13,2134
1,male,14,2070
1,male,15,2174
1,male,16,2106
1,male,17,2058
1,male,18,38
1,female,0,172
1,female,1,200
1,female,2,215
1,female,3,179
1,female,4,510
1,female,5,568
1,female,6,552
1,female,7,524
1,female,8,547
1,female,9,516
1,female,10,560
1,female,11,556
1,female,12,560
1,female,13,2086
1,female,14,2120
1,female,15,2142
1,female,16,2128
1,female,17,2120
1,female,18,41
2,male,0,180
2,male,1,194
2,male,2,167
2,male,3,183
2,male,4,583
2,male,5,550
2,male,6,590
2,male,7,541
2,male,8,549
2,male,9,526
2,male,10,542
2,male,11,556
2,male,12,617
2,male,13,2044
2,male,14,2210
2,male,15,2013
2,male,16,2089
2,male,17,2144
2,male,18,56
2,female,0,202
2,female,1,217
2,female,2,213
2,female,3,187
2,female,4,580
2,female,5,561
2,female,6,551
2,female,7,574
2,female,8,530
2,female,9,580
2,female,10,576
2,female,11,552
2,female,12,520
2,female,13,2127
2,female,14,2100
2,female,15,2113
2,female,16,2123
2,female,17,2081
2,female,18,65
3,male,0,211
3,male,1,187
3,male,2,206
3,male,3,205
3,male,4,519
3,male,5,571
3,male,6,536
3,male,7,553
3,male,8,535
3,male,9,518
3,male,10,534
3,male,11,568
3,male,12,595
3,male,13,2154
3,male,14,1985
3,male,15,2055
3,male,16,2090
3,male,17,2063
3,male,18,119
3,female,0,207
3,female,1,202
3,female,2,169
3,female,3,190
3,female,4,532
3,female,5,528
3,female,6,552
3,female,7,526
3,female,8,566
3,female,9,545
3,female,10,533
3,female,11,565
3,female,12,550
3,female,13,2051
3,female,14,2134
3,female,15,2086
3,female,16,2084
3,female,17,2086
3,female,18,102
4,male,0,194
4,male,1,189
4,male,2,182
4,male,3,204
4,male,4,591
4,male,5,549
4,male,6,562
4,male,7,554
4,male,8,545
4,male,9,530
4,male,10,587
4,male,11,570
4,male,12,538
4,male,13,2044
4,male,14,2144
4,male,15,1997
4,male,16,2063
4,male,17,2033
4,male,18,141
4,female,0,200
4,female,1,183
4,female,2,198
4,female,3,187
4,female,4,578
4,female,5,601
4,female,6,527
4,female,7,546
4,female,8,546
4,female,9,558
4,female,10,547
4,female,11,535
4,female,12,539
4,female,13,2091
4,female,14,2080
4,female,15,2051
4,female,16,1993
4,female,17,2095
4,female,18,166
5,male,0,212
5,male,1,193
5,male,2,179
5,male,3,190
5,male,4,571
5,male,5,543
5,male,6,564
5,male,7,588
5,male,8,528
5,male,9,556
5,male,10,545
5,male,11,549
5,male,12,554
5,male,13,2053
5,male,14,1986
5,male,15,2028
5,male,16,1950
5,male,17,2068
5,male,18,181
5,female,0,215
5,female,1,192
5,female,2,213
5,female,3,166
5,female,4,538
5,female,5,550
5,female,6,553
5,female,7,558
5,female,8,569
5,female,9,599
5,female,10,605
5,female,11,522
5,female,12,572
5,female,13,2063
5,female,14,2019
5,female,15,2041
5,female,16,1997
5,female,17,2072
5,female,18,145
6,male,0,226
6,male,1,181
6,male,2,191
6,male,3,170
6,male,4,544
6,male,5,567
6,male,6,558
6,male,7,545
6,male,8,555
6,male,9,567
6,male,10,545
6,male,11,538
6,male,12,527
6,male,13,2067
6,male,14,1965
6,male,15,2022
6,male,16,2000
6,male,17,2009
6,male,18,189
6,female,0,242
6,female,1,206
6,female,2,187
6,female,3,184
6,female,4,552
6,female,5,560
6,female,6,513
6,female,7,524
6,female,8,562
6,female,9,544
6,female,10,542
6,female,11,563
6,female,12,536
6,female,13,2058
6,female,14,2031
6,female,15,1932
6,female,16,2041
6,female,17,1998
6,female,18,204
7,male,0,214
7,male,1,189
7,male,2,202
7,male,3,189
7,male,4,577
7,male,5,582
7,male,6,566
7,male,7,580
7,male,8,570
7,male,9,564
7,male,10,570
7,male,11,547
7,male,12,513
7,male,13,1914
7,male,14,2033
7,male,15,1904
7,male,16,1946
7,male,17,1979
7,male,18,214
7,female,0,237
7,female,1,188
7,female,2,174
7,female,3,188
7,female,4,585
7,female,5,500
7,female,6,535
7,female,7,592
7,female,8,533
7,female,9,558
7,female,10,526
7,female,11,507
7,female,12,498
7,female,13,2070
7,female,14,2037
7,female,15,1918
7,female,16,1993
7,female,17,1978
7,female,18,214
8,male,0,226
8,male,1,163
8,male,2,176
8,male,3,207
8,male,4,555
8,male,5,560
8,male,6,565
8,male,7,554
8,male,8,582
8,male,9,518
8,male,10,539
8,male,11,538
8,male,12,543
8,male,13,1946
8,male,14,1948
8,male,15,1955
8,male,16,1901
8,male,17,1972
8,male,18,248
8,female,0,243
8,female,1,197
8,female,2,167
8,female,3,176
8,female,4,593
8,female,5,546
8,female,6,565
8,female,7,544
8,female,8,515
