tick,entry_stream,area,count
0,birth_slot,0,292237
0,birth_slot,1,293454
0,birth_slot,2,292778
0,birth_slot,3,294080
0,overseas_slot,0,122694
0,overseas_slot,1,122626
0,overseas_slot,2,121758
0,overseas_slot,3,122886
0,internal_slot,0,73716
0,internal_slot,1,73984
0,internal_slot,2,73458
0,internal_slot,3,73510
1,birth_slot,0,299345
1,birth_slot,1,300560
1,birth_slot,2,299834
1,birth_slot,3,301083
1,overseas_slot,0,120197
1,overseas_slot,1,120172
1,overseas_slot,2,119302
1,overseas_slot,3,120428
1,internal_slot,0,72453
1,internal_slot,1,72669
1,internal_slot,2,72160
1,internal_slot,3,72256
2,birth_slot,0,306272
2,birth_slot,1,307285
2,birth_slot,2,306550
2,birth_slot,3,308035
2,overseas_slot,0,117677
2,overseas_slot,1,117840
2,overseas_slot,2,116946
2,overseas_slot,3,117986
2,internal_slot,0,71242
2,internal_slot,1,71404
2,internal_slot,2,70882
2,internal_slot,3,71001
3,birth_slot,0,313006
3,birth_slot,1,313783
3,birth_slot,2,313374
3,birth_slot,3,314797
3,overseas_slot,0,115346
3,overseas_slot,1,115500
3,overseas_slot,2,114630
3,overseas_slot,3,115645
3,internal_slot,0,70078
3,internal_slot,1,70166
3,internal_slot,2,69700
3,internal_slot,3,69779
4,birth_slot,0,319342
4,birth_slot,1,320116
4,birth_slot,2,319805
4,birth_slot,3,321374
4,overseas_slot,0,113155
4,overseas_slot,1,113144
4,overseas_slot,2,112278
4,overseas_slot,3,113276
4,internal_slot,0,68868
4,internal_slot,1,68878
4,internal_slot,2,68507
4,internal_slot,3,68583
5,birth_slot,0,325794
5,birth_slot,1,325910
5,birth_slot,2,325862
5,birth_slot,3,327770
5,overseas_slot,0,110927
5,overseas_slot,1,110885
5,overseas_slot,2,110006
5,overseas_slot,3,111004
5,internal_slot,0,67678
5,internal_slot,1,67659
5,internal_slot,2,67329
5,internal_slot,3,67416
6,birth_slot,0,331834
6,birth_slot,1,331691
6,birth_slot,2,332031
6,birth_slot,3,333850
6,overseas_slot,0,108751
6,overseas_slot,1,108673
6,overseas_slot,2,107844
6,overseas_slot,3,108832
6,internal_slot,0,66524
6,internal_slot,1,66466
6,internal_slot,2,66153
6,internal_slot,3,66223
7,birth_slot,0,337732
7,birth_slot,1,337322
7,birth_slot,2,337981
7,birth_slot,3,339562
7,overseas_slot,0,106570
7,overseas_slot,1,106551
7,overseas_slot,2,105788
7,overseas_slot,3,106671
7,internal_slot,0,65388
7,internal_slot,1,65282
7,internal_slot,2,65021
7,internal_slot,3,65116
8,birth_slot,0,343565
8,birth_slot,1,342993
8,birth_slot,2,343541
8,birth_slot,3,345148
8,overseas_slot,0,104451
8,overseas_slot,1,104473
8,overseas_slot,2,103716
8,overseas_slot,3,104536
8,internal_slot,0,64323
8,internal_slot,1,64214
8,internal_slot,2,63928
8,internal_slot,3,64043
9,birth_slot,0,348967
9,birth_slot,1,348345
9,birth_slot,2,348797
9,birth_slot,3,350488
9,overseas_slot,0,102430
9,overseas_slot,1,102441
9,overseas_slot,2,101647
9,overseas_slot,3,102485
9,internal_slot,0,63225
9,internal_slot,1,63125
9,internal_slot,2,62862
9,internal_slot,3,62982
10,birth_slot,0,354342
10,birth_slot,1,353540
10,birth_slot,2,353724
10,birth_slot,3,355582
10,overseas_slot,0,100495
10,overseas_slot,1,100507
10,overseas_slot,2,99730
10,overseas_slot,3,100453
10,internal_slot,0,62231
10,internal_slot,1,62080
10,internal_slot,2,61788
10,internal_slot,3,61895
11,birth_slot,0,359439
11,birth_slot,1,358416
11,birth_slot,2,358981
11,birth_slot,3,360431
11,overseas_slot,0,98573
11,overseas_slot,1,98617
11,overseas_slot,2,97907
11,overseas_slot,3,98486
11,internal_slot,0,61138
11,internal_slot,1,61047
11,internal_slot,2,60710
11,internal_slot,3,60887
12,birth_slot,0,364257
12,birth_slot,1,363176
12,birth_slot,2,364008
12,birth_slot,3,365176
12,overseas_slot,0,96700
12,overseas_slot,1,96787
12,overseas_slot,2,96077
12,overseas_slot,3,96618
12,internal_slot,0,60185
12,internal_slot,1,60022
12,internal_slot,2,59704
12,internal_slot,3,59886
13,birth_slot,0,368928
13,birth_slot,1,367620
13,birth_slot,2,368710
13,birth_slot,3,369880
13,overseas_slot,0,94951
13,overseas_slot,1,95001
13,overseas_slot,2,94273
13,overseas_slot,3,94717
13,internal_slot,0,59221
13,internal_slot,1,59077
13,internal_slot,2,58769
13,internal_slot,3,58892
14,birth_slot,0,373381
14,birth_slot,1,372292
14,birth_slot,2,373289
14,birth_slot,3,374437
14,overseas_slot,0,93234
14,overseas_slot,1,93283
14,overseas_slot,2,92581
14,overseas_slot,3,92982
14,internal_slot,0,58331
14,internal_slot,1,58168
14,internal_slot,2,57781
14,internal_slot,3,57954
15,birth_slot,0,377763
15,birth_slot,1,376835
15,birth_slot,2,377479
15,birth_slot,3,378828
15,overseas_slot,0,91517
15,overseas_slot,1,91577
15,overseas_slot,2,90851
15,overseas_slot,3,91265
15,internal_slot,0,57425
15,internal_slot,1,57236
15,internal_slot,2,56842
15,internal_slot,3,57012
16,birth_slot,0,381838
16,birth_slot,1,381185
16,birth_slot,2,381933
16,birth_slot,3,383123
16,overseas_slot,0,89872
16,overseas_slot,1,89907
16,overseas_slot,2,89161
16,overseas_slot,3,89530
16,internal_slot,0,56546
16,internal_slot,1,56300
16,internal_slot,2,55970
16,internal_slot,3,56062
17,birth_slot,0,385805
17,birth_slot,1,384994
17,birth_slot,2,385956
17,birth_slot,3,387211
17,overseas_slot,0,88341
17,overseas_slot,1,88303
17,overseas_slot,2,87535
17,overseas_slot,3,87855
17,internal_slot,0,55673
17,internal_slot,1,55407
17,internal_slot,2,55097
17,internal_slot,3,55162
18,birth_slot,0,389893
18,birth_slot,1,389056
18,birth_slot,2,389987
18,birth_slot,3,391118
18,overseas_slot,0,86784
18,overseas_slot,1,86683
18,overseas_slot,2,86017
18,overseas_slot,3,86219
18,internal_slot,0,54831
18,internal_slot,1,54567
18,internal_slot,2,54236
18,internal_slot,3,54308
19,birth_slot,0,393823
19,birth_slot,1,392854
19,birth_slot,2,393580
19,birth_slot,3,394943
19,overseas_slot,0,85196
19,overseas_slot,1,85175
19,overseas_slot,2,84493
19,overseas_slot,3,84624
19,internal_slot,0,53943
19,internal_slot,1,53690
19,internal_slot,2,53382
19,internal_slot,3,53432
20,birth_slot,0,397184
20,birth_slot,1,396651
20,birth_slot,2,397371
20,birth_slot,3,398602
20,overseas_slot,0,83763
20,overseas_slot,1,83679
