# params={"birth_rate":0.02022904647964734,"mortality_young":0.0008427157714453399,"mortality_adult":0.0036883650315834332,"mortality_old":0.012353541546035136,"overseas_arrival_rate":0.024941481907329643,"emigration_rate":0.0019160094422208149,"internal_departure_rate":0.0021016012342562626,"internal_arrival_rate":0.011631086146919881}
# dt=1
tick,population,invalid_age,males,females,age_00_04,age_20_24,age_65_69,age_85_plus,births_this_tick,deaths_this_tick,overseas_arrivals_this_tick,overseas_departures_this_tick,internal_arrivals_this_tick,internal_departures_this_tick,locked_out,vacant_birth_slots,vacant_overseas_slots,vacant_internal_slots,max_generation,fired_age_monthly,fired_clear_event,fired_birth_activate,fired_overseas_arrive,fired_internal_arrive,fired_die_young,fired_die_adult,fired_die_old,fired_emigrate,fired_internal_depart,deferred_total
0,7964084,0,3982497,3981587,458044,442739,438774,444715,23993,43675,12217,15223,3474,16702,39684,1176007,487783,296526,1,8000000,0,23993,12217,3474,1480,14790,27405,15223,16702,200
1,7928440,0,3964984,3963456,472364,440779,433167,444368,23519,42737,12119,15191,3413,16767,39051,1228088,475664,293113,1,7964084,115284,23519,12119,3413,1559,14523,26655,15191,16767,194
2,7893544,0,3947617,3945927,487614,438721,427566,444144,24624,42714,11535,15202,3437,16576,39596,1278159,464129,289676,2,7928440,113746,24624,11535,3437,1454,14401,26859,15202,16576,188
3,7860665,0,3930862,3929803,504019,436882,422308,443893,25675,42296,11374,14807,3420,16245,40469,1326846,452855,286286,2,7893544,114088,25675,11374,3420,1510,14610,26176,14807,16245,199
4,7827980,0,3914824,3913156,520961,435043,417122,443343,26242,41804,11201,15127,3234,16431,40677,1373701,441851,283106,2,7860665,113817,26242,11201,3234,1491,14301,26012,15127,16431,190
5,7796583,0,3899421,3897162,539126,432895,412035,442926,27533,41662,10890,14964,3166,16360,41589,1419129,431270,280032,2,7827980,114039,27533,10890,3166,1474,14501,25687,14964,16360,190
6,7766936,0,3884755,3882181,557986,430710,407044,442412,28340,40938,10652,14627,3259,16333,42251,1463272,420999,276895,2,7796583,114575,28340,10652,3259,1528,14286,25124,14627,16333,194
7,7738329,0,3870573,3867756,577660,428711,401895,441776,29193,40625,10362,14570,3189,16156,42744,1505349,411122,273849,3,7766936,114149,29193,10362,3189,1594,13931,25100,14570,16156,191
8,7710597,0,3856611,3853986,598200,426799,397271,441016,30034,40423,10164,14732,3259,16034,43457,1545938,401511,270765,3,7738329,114095,30034,10164,3259,1564,14297,24562,14732,16034,214
9,7683825,0,3843077,3840748,619618,425046,392542,440162,31085,39951,9905,14647,3179,16343,44169,1585184,392254,267796,3,7710597,114646,31085,9905,3179,1584,14144,24223,14647,16343,200
10,7658262,0,3830392,3827870,641750,423222,387938,439088,31862,39897,9832,14579,3100,15881,44794,1623298,383154,264929,3,7683825,115110,31862,9832,3100,1531,14021,24345,14579,15881,191
11,7633688,0,3818191,3815497,664417,421323,383372,438113,32527,39309,9510,14532,3124,15894,45161,1660012,374522,262043,3,7658262,115151,32527,9510,3124,1584,14063,23662,14532,15894,212
12,7610008,0,3806653,3803355,688026,419102,378857,436780,33353,38857,9276,14459,3024,16017,45653,1695260,366150,259249,3,7633688,114896,33353,9276,3024,1567,13752,23538,14459,16017,184
13,7587354,0,3795429,3791925,712308,417165,374649,435560,34054,38594,8988,14391,3104,15815,46146,1729230,358155,256461,3,7610008,114986,34054,8988,3104,1658,13815,23121,14391,15815,184
14,7565200,0,3784190,3781010,736514,415104,370587,434327,34315,38335,8834,14324,2971,15615,46120,1762354,350371,253801,3,7587354,114946,34315,8834,2971,1667,13792,22876,14324,15615,179
15,7544346,0,3773530,3770816,762117,413245,366344,432953,35703,37949,8649,14347,2906,15816,47258,1793456,342825,251261,3,7565200,114394,35703,8649,2906,1619,13556,22774,14347,15816,165
16,7524183,0,3763667,3760516,787805,411303,362258,431638,35861,37441,8481,14373,2926,15617,47268,1824117,335546,248723,3,7544346,115370,35861,8481,2926,1663,13514,22264,14373,15617,170
17,7504215,0,3753531,3750684,813909,409345,358179,430155,36372,37460,8129,14279,2819,15549,47320,1853450,328735,246312,3,7524183,114699,36372,8129,2819,1674,13396,22390,14279,15549,175
18,7485410,0,3743984,3741426,840702,407677,354277,428635,37038,37021,8088,14085,2841,15666,47967,1881962,321974,243882,3,7504215,114608,37038,8088,2841,1613,13527,21881,14085,15666,193
19,7467439,0,3735091,3732348,867661,405940,350610,427091,37620,36787,8039,14240,2855,15458,48514,1909211,315381,241484,3,7485410,114739,37620,8039,2855,1672,13384,21731,14240,15458,181
20,7450244,0,3726648,3723596,895211,403936,346809,425306,38200,36434,7769,14108,2742,15364,48711,1935678,309013,239159,3,7467439,114999,38200,7769,2742,1757,13357,21320,14108,15364,189
21,7433861,0,3718578,3715283,923209,402071,343325,423611,38618,36097,7631,13972,2752,15315,49001,1960999,302875,236881,3,7450244,114617,38618,7631,2752,1738,13320,21039,13972,15315,181
22,7417573,0,3710477,3707096,951202,400633,339807,421904,38670,35775,7467,14049,2725,15326,48862,1985683,296957,234637,3,7433861,114385,38670,7467,2725,1770,13123,20882,14049,15326,178
23,7401704,0,3702508,3699196,979417,398841,336343,420289,39095,35401,7156,13979,2731,15471,48982,2009632,291392,232421,4,7417573,114012,39095,7156,2731,1771,13033,20597,13979,15471,167
