tick,sex,event_age_months,count
0,male,0,235
0,male,1,228
0,male,2,211
0,male,3,210
0,male,4,724
0,male,5,709
0,male,6,754
0,male,7,780
0,male,8,772
0,male,9,756
0,male,10,773
0,male,11,754
0,male,12,775
0,male,13,2239
0,male,14,2227
0,male,15,2311
0,male,16,2195
0,male,17,2251
0,female,0,226
0,female,1,254
0,female,2,225
0,female,3,257
0,female,4,806
0,female,5,710
0,female,6,697
0,female,7,731
0,female,8,751
0,female,9,794
0,female,10,773
0,female,11,752
0,female,12,762
0,female,13,2354
0,female,14,2311
0,female,15,2370
0,female,16,2232
0,female,17,2278
1,male,0,210
1,male,1,225
1,male,2,226
1,male,3,233
1,male,4,709
1,male,5,739
1,male,6,736
1,male,7,733
1,male,8,723
1,male,9,692
1,male,10,762
1,male,11,734
1,male,12,754
1,male,13,2318
1,male,14,2280
1,male,15,2258
1,male,16,2274
1,male,17,2310
1,male,18,42
1,female,0,217
1,female,1,222
1,female,2,240
1,female,3,217
1,female,4,782
1,female,5,727
1,female,6,725
1,female,7,769
1,female,8,722
1,female,9,753
1,female,10,795
1,female,11,723
1,female,12,737
1,female,13,2237
1,female,14,2262
1,female,15,2287
1,female,16,2263
1,female,17,2290
1,female,18,34
2,male,0,242
2,male,1,216
2,male,2,235
2,male,3,209
2,male,4,743
2,male,5,740
2,male,6,730
2,male,7,759
2,male,8,706
2,male,9,773
2,male,10,698
2,male,11,754
2,male,12,718
2,male,13,2281
2,male,14,2287
2,male,15,2230
2,male,16,2234
2,male,17,2219
2,male,18,79
2,female,0,234
2,female,1,241
2,female,2,234
2,female,3,214
2,female,4,690
2,female,5,714
2,female,6,697
2,female,7,824
2,female,8,713
2,female,9,700
2,female,10,763
2,female,11,737
2,female,12,708
2,female,13,2223
2,female,14,2260
2,female,15,2173
2,female,16,2195
2,female,17,2262
2,female,18,69
3,male,0,245
3,male,1,233
3,male,2,232
3,male,3,257
3,male,4,777
3,male,5,755
3,male,6,752
3,male,7,725
3,male,8,739
3,male,9,713
3,male,10,727
3,male,11,742
3,male,12,727
3,male,13,2216
3,male,14,2274
3,male,15,2186
3,male,16,2111
3,male,17,2146
3,male,18,123
3,female,0,229
3,female,1,250
3,female,2,225
3,female,3,224
3,female,4,756
3,female,5,762
3,female,6,752
3,female,7,678
3,female,8,726
3,female,9,755
3,female,10,722
3,female,11,741
3,female,12,723
3,female,13,2188
3,female,14,2206
3,female,15,2275
3,female,16,2184
3,female,17,2142
3,female,18,96
4,male,0,216
4,male,1,253
4,male,2,248
4,male,3,229
4,male,4,752
4,male,5,785
4,male,6,694
4,male,7,730
4,male,8,764
4,male,9,705
4,male,10,695
4,male,11,709
4,male,12,717
4,male,13,2135
4,male,14,2171
4,male,15,2179
4,male,16,2085
4,male,17,2188
4,male,18,131
4,female,0,256
4,female,1,266
4,female,2,234
4,female,3,221
4,female,4,697
4,female,5,732
4,female,6,732
4,female,7,723
4,female,8,684
4,female,9,724
4,female,10,747
4,female,11,730
4,female,12,710
4,female,13,2083
4,female,14,2109
4,female,15,2171
4,female,16,2123
4,female,17,2160
4,female,18,143
5,male,0,273
5,male,1,206
5,male,2,236
5,male,3,236
5,male,4,650
5,male,5,741
5,male,6,746
5,male,7,800
5,male,8,756
5,male,9,759
5,male,10,702
5,male,11,705
5,male,12,753
5,male,13,2189
5,male,14,2111
5,male,15,2167
5,male,16,2118
5,male,17,2122
5,male,18,156
5,female,0,286
5,female,1,196
5,female,2,249
5,female,3,236
5,female,4,753
5,female,5,655
5,female,6,730
5,female,7,722
5,female,8,733
5,female,9,761
5,female,10,736
5,female,11,708
5,female,12,779
5,female,13,2220
5,female,14,2203
5,female,15,2209
5,female,16,2168
5,female,17,2043
5,female,18,168
6,male,0,296
6,male,1,226
6,male,2,218
6,male,3,248
6,male,4,721
6,male,5,702
6,male,6,740
6,male,7,710
6,male,8,709
6,male,9,704
6,male,10,709
6,male,11,716
6,male,12,687
6,male,13,2174
6,male,14,2102
6,male,15,2078
6,male,16,2091
6,male,17,2180
6,male,18,223
6,female,0,290
6,female,1,239
6,female,2,187
6,female,3,224
6,female,4,704
6,female,5,731
6,female,6,693
6,female,7,735
6,female,8,745
6,female,9,756
6,female,10,705
6,female,11,783
6,female,12,705
6,female,13,2202
6,female,14,2138
6,female,15,2076
6,female,16,2095
6,female,17,2186
6,female,18,221
7,male,0,302
7,male,1,216
7,male,2,233
7,male,3,209
7,male,4,721
7,male,5,722
7,male,6,750
7,male,7,689
7,male,8,692
7,male,9,733
7,male,10,731
7,male,11,729
7,male,12,750
7,male,13,2151
7,male,14,2075
7,male,15,2117
7,male,16,2072
7,male,17,2000
7,male,18,259
7,female,0,266
7,female,1,214
7,female,2,220
7,female,3,229
7,female,4,763
7,female,5,747
7,female,6,748
7,female,7,713
7,female,8,688
7,female,9,730
7,female,10,753
7,female,11,739
7,female,12,712
7,female,13,2151
7,female,14,2163
7,female,15,2083
7,female,16,2074
7,female,17,2067
7,female,18,255
8,male,0,328
8,male,1,210
8,male,2,223
8,male,3,254
8,male,4,755
8,male,5,718
8,male,6,710
8,male,7,693
8,male,8,734
8,male,9,742
8,male,10,654
8,male,11,701
8,male,12,710
8,male,13,2010
8,male,14,1988
8,male,15,2006
8,male,16,2032
8,male,17,1998
8,male,18,269
8,female,0,297
8,female,1,212
8,female,2,221
8,female,3,236
8,female,4,700
8,female,5,729
8,female,6,738
8,female,7,726
8,female,8,787
8,female,9,691
8,female,10,735
8,female,11,730
8,female,12,707
8,female,13,1996
8,female,14,2078
8,female,15,2069
8,female,16,2043
8,female,17,1949
8,female,18,275
9,male,0,306
9,male,1,252
9,male,2,218
9,male,3,242
9,male,4,754
9,male,5,686
9,male,6,751
9,male,7,752
9,male,8,670
9,male,9,699
9,male,10,740
9,male,11,717
9,male,12,710
9,male,13,1996
9,male,14,1976
9,male,15,2050
9,male,16,1993
9,male,17,1975
9,male,18,313
9,female,0,305
9,female,1,244
9,female,2,235
9,female,3,229
9,female,4,717
9,female,5,665
9,female,6,738
9,female,7,699
9,female,8,689
9,female,9,688
9,female,10,675
9,female,11,683
9,female,12,688
9,female,13,2057
9,female,14,2010
9,female,15,2028
9,female,16,2047
9,female,17,2044
9,female,18,302
10,male,0,320
10,male,1,224
10,male,2,202
10,male,3,213
10,male,4,722
10,male,5,727
10,male,6,718
10,male,7,696
10,male,8,712
10,male,9,681
10,male,10,690
10,male,11,750
10,male,12,696
10,male,13,2036
10,male,14,1937
10,male,15,2083
10,male,16,1887
10,male,17,1964
10,male,18,327
10,female,0,311
10,female,1,204
10,female,2,226
10,female,3,235
10,female,4,685
10,female,5,717
10,female,6,673
10,female,7,703
10,female,8,723
10,female,9,774
10,female,10,704
10,female,11,706
10,female,12,692
10,female,13,1968
10,female,14,1960
10,female,15,1923
10,female,16,2026
10,female,17,1973
10,female,18,342
11,male,0,341
11,male,1,212
11,male,2,226
11,male,3,217
11,male,4,743
11,male,5,703
11,male,6,665
11,male,7,663
11,male,8,670
11,male,9,666
11,male,10,714
11,male,11,671
11,male,12,682
11,male,13,2069
11,male,14,1983
11,male,15,1918
11,male,16,1991
11,male,17,1886
11,male,18,361
11,female,0,322
11,female,1,204
11,female,2,214
11,female,3,244
11,female,4,721
11,female,5,741
11,female,6,699
11,female,7,695
11,female,8,701
11,female,9,734
11,female,10,714
11,female,11,731
11,female,12,661
11,female,13,1992
11,female,14,1985
11,female,15,1938
11,female,16,2007
11,female,17,1974
11,female,18,357
12,male,0,355
12,male,1,233
12,male,2,240
12,male,3,210
12,male,4,701
12,male,5,738
12,male,6,689
12,male,7,713
12,male,8,662
12,male,9,705
12,male,10,694
12,male,11,726
12,male,12,704
12,male,13,2011
12,male,14,1935
12,male,15,1900
12,male,16,1932
12,male,17,1946
12,male,18,392
12,female,0,343
12,female,1,212
12,female,2,183
12,female,3,225
12,female,4,700
12,female,5,759
12,female,6,689
12,female,7,705
12,female,8,702
12,female,9,662
12,female,10,703
12,female,11,733
12,female,12,687
12,female,13,2015
12,female,14,1867
12,female,15,1940
12,female,16,1933
12,female,17,1937
12,female,18,345
13,male,0,339
13,male,1,217
13,male,2,214
13,male,3,237
13,male,4,665
13,male,5,659
13,male,6,721
13,male,7,715
13,male,8,690
13,male,9,704
13,male,10,674
13,male,11,693
13,male,12,664
13,male,13,1979
13,male,14,1852
13,male,15,1933
13,male,16,1840
13,male,17,1801
13,male,18,402
13,female,0,411
13,female,1,212
13,female,2,228
13,female,3,219
13,female,4,681
13,female,5,736
13,female,6,698
13,female,7,636
13,female,8,695
13,female,9,729
13,female,10,721
13,female,11,677
13,female,12,693
13,female,13,1923
13,female,14,1981
13,female,15,1882
13,female,16,1949
13,female,17,1942
13,female,18,358
14,male,0,378
14,male,1,246
14,male,2,200
14,male,3,219
14,male,4,701
14,male,5,696
14,male,6,695
14,male,7,711
14,male,8,703
14,male,9,733
14,male,10,698
14,male,11,740
14,male,12,708
14,male,13,1953
14,male,14,1827
14,male,15,1818
14,male,16,1869
14,male,17,1842
14,male,18,429
14,female,0,380
14,female,1,214
14,female,2,233
14,female,3,208
14,female,4,725
14,female,5,717
14,female,6,709
14,female,7,672
14,female,8,675
14,female,9,694
14,female,10,686
14,female,11,682
14,female,12,731
14,female,13,1876
14,female,14,1855
14,female,15,1867
14,female,16,1877
14,female,17,1829
14,female,18,427
15,male,0,415
15,male,1,198
15,male,2,207
15,male,3,222
15,male,4,679
15,male,5,690
15,male,6,726
15,male,7,696
15,male,8,662
15,male,9,626
15,male,10,718
15,male,11,717
15,male,12,722
15,male,13,1841
15,male,14,1814
15,male,15,1803
15,male,16,1819
15,male,17,1888
15,male,18,441
15,female,0,366
15,female,1,205
15,female,2,209
15,female,3,200
15,female,4,729
15,female,5,708
15,female,6,668
15,female,7,722
15,female,8,709
15,female,9,671
15,female,10,687
15,female,11,669
15,female,12,670
15,female,13,1837
15,female,14,1826
15,female,15,1863
15,female,16,1819
15,female,17,1864
15,female,18,440
16,male,0,406
16,male,1,231
16,male,2,200
16,male,3,224
16,male,4,692
16,male,5,716
16,male,6,692
16,male,7,678
16,male,8,711
16,male,9,685
16,male,10,649
16,male,11,701
16,male,12,651
16,male,13,1968
16,male,14,1809
16,male,15,1784
16,male,16,1724
16,male,17,1776
16,male,18,449
16,female,0,376
16,female,1,201
16,female,2,192
16,female,3,218
16,female,4,743
16,female,5,662
16,female,6,750
16,female,7,622
16,female,8,650
16,female,9,680
16,female,10,671
16,female,11,674
16,female,12,655
16,female,13,1948
16,female,14,1843
16,female,15,1847
16,female,16,1780
16,female,17,1786
16,female,18,439
17,male,0,428
17,male,1,189
17,male,2,238
17,male,3,233
17,male,4,692
17,male,5,680
17,male,6,705
17,male,7,639
17,male,8,652
17,male,9,717
17,male,10,677
17,male,11,663
17,male,12,756
17,male,13,1995
17,male,14,1797
17,male,15,1823
17,male,16,1725
17,male,17,1818
17,male,18,486
17,female,0,433
17,female,1,231
17,female,2,232
17,female,3,235
17,female,4,685
17,female,5,695
17,female,6,654
17,female,7,708
17,female,8,685
17,female,9,664
17,female,10,705
17,female,11,657
17,female,12,651
17,female,13,1811
17,female,14,1756
17,female,15,1726
17,female,16,1776
17,female,17,1723
17,female,18,488
18,male,0,422
18,male,1,223
18,male,2,231
18,male,3,210
18,male,4,695
18,male,5,660
18,male,6,673
18,male,7,702
18,male,8,653
18,male,9,710
18,male,10,710
18,male,11,664
18,male,12,687
18,male,13,1836
18,male,14,1775
18,male,15,1731
18,male,16,1744
18,male,17,1701
18,male,18,526
18,female,0,423
18,female,1,209
18,female,2,241
18,female,3,189
18,female,4,640
18,female,5,707
18,female,6,705
18,female,7,707
18,female,8,686
18,female,9,639
18,female,10,681
18,female,11,695
18,female,12,693
18,female,13,1864
18,female,14,1848
18,female,15,1774
18,female,16,1693
18,female,17,1714
18,female,18,562
19,male,0,443
19,male,1,189
19,male,2,216
19,male,3,219
19,male,4,679
19,male,5,672
19,male,6,687
19,male,7,669
19,male,8,690
19,male,9,702
19,male,10,667
19,male,11,669
19,male,12,688
19,male,13,1882
19,male,14,1781
19,male,15,1710
19,male,16,1689
19,male,17,1593
19,male,18,526
19,female,0,469
19,female,1,219
19,female,2,196
19,female,3,205
19,female,4,651
19,female,5,661
19,female,6,663
19,female,7,689
19,female,8,622
19,female,9,680
19,female,10,654
19,female,11,649
19,female,12,683
19,female,13,1842
19,female,14,1743
19,female,15,1734
19,female,16,1559
19,female,17,1659
19,female,18,551
20,male,0,470
20,male,1,221
20,male,2,207
20,male,3,231
20,male,4,699
20,male,5,662
20,male,6,693
20,male,7,668
20,male,8,691
20,male,9,631
20,male,10,639
20,male,11,676
20,male,12,660
20,male,13,1810
20,male,14,1668
20,male,15,1709
20,male,16,1649
20,male,17,1681
20,male,18,578
20,female,0,455
20,female,1,206
20,female,2,189
20,female,3,224
20,female,4,699
20,female,5,628
20,female,6,657
20,female,7,648
20,female,8,679
20,female,9,653
20,female,10,688
20,female,11,678
20,female,12,689
20,female,13,1733
20,female,14,1696
20,female,15,1692
20,female,16,1703
20,female,17,1682
20,female,18,536
21,male,0,463
21,male,1,207
21,male,2,226
21,male,3,198
21,male,4,719
21,male,5,644
21,male,6,654
21,male,7,638
21,male,8,703
21,male,9,673
21,male,10,654
21,male,11,626
21,male,12,623
21,male,13,1750
21,male,14,1756
21,male,15,1642
21,male,16,1697
21,male,17,1750
21,male,18,582
21,female,0,462
21,female,1,191
21,female,2,220
21,female,3,217
21,female,4,675
21,female,5,668
21,female,6,671
21,female,7,662
21,female,8,644
21,female,9,601
21,female,10,692
21,female,11,678
21,female,12,692
21,female,13,1880
21,female,14,1696
21,female,15,1731
21,female,16,1675
21,female,17,1686
21,female,18,597
22,male,0,525
22,male,1,216
22,male,2,197
22,male,3,225
22,male,4,645
22,male,5,661
22,male,6,682
22,male,7,600
22,male,8,705
22,male,9,632
22,male,10,670
22,male,11,691
22,male,12,666
22,male,13,1808
22,male,14,1665
22,male,15,1656
22,male,16,1600
22,male,17,1579
22,male,18,588
22,female,0,488
22,female,1,205
22,female,2,196
22,female,3,200
22,female,4,661
22,female,5,645
22,female,6,622
22,female,7,635
22,female,8,640
22,female,9,656
22,female,10,637
22,female,11,624
22,female,12,664
22,female,13,1764
22,female,14,1612
22,female,15,1723
22,female,16,1624
22,female,17,1666
22,female,18,586
23,male,0,523
23,male,1,223
23,male,2,197
23,male,3,183
23,male,4,618
23,male,5,669
23,male,6,702
23,male,7,657
23,male,8,658
23,male,9,653
23,male,10,680
23,male,11,642
23,male,12,681
23,male,13,1732
23,male,14,1645
23,male,15,1594
23,male,16,1603
23,male,17,1607
23,male,18,628
23,female,0,542
23,female,1,212
23,female,2,226
23,female,3,218
23,female,4,626
23,female,5,641
23,female,6,627
23,female,7,660
23,female,8,674
23,female,9,643
23,female,10,637
23,female,11,627
23,female,12,656
23,female,13,1787
23,female,14,1711
23,female,15,1580
23,female,16,1613
23,female,17,1577
23,female,18,586
