tick,entry_stream,area,count
0,birth_slot,0,289614
0,birth_slot,1,290841
0,birth_slot,2,289803
0,birth_slot,3,291284
0,overseas_slot,0,122576
0,overseas_slot,1,122528
0,overseas_slot,2,121557
0,overseas_slot,3,122807
0,internal_slot,0,73842
0,internal_slot,1,74019
0,internal_slot,2,73500
0,internal_slot,3,73595
1,birth_slot,0,297908
1,birth_slot,1,299130
1,birth_slot,2,297885
1,birth_slot,3,299579
1,overseas_slot,0,120076
1,overseas_slot,1,120036
1,overseas_slot,2,118983
1,overseas_slot,3,120291
1,internal_slot,0,72607
1,internal_slot,1,72745
1,internal_slot,2,72244
1,internal_slot,3,72319
2,birth_slot,0,305406
2,birth_slot,1,306415
2,birth_slot,2,305326
2,birth_slot,3,307392
2,overseas_slot,0,117568
2,overseas_slot,1,117505
2,overseas_slot,2,116483
2,overseas_slot,3,117742
2,internal_slot,0,71327
2,internal_slot,1,71453
2,internal_slot,2,71004
2,internal_slot,3,71107
3,birth_slot,0,312778
3,birth_slot,1,313730
3,birth_slot,2,312772
3,birth_slot,3,314808
3,overseas_slot,0,115196
3,overseas_slot,1,115127
3,overseas_slot,2,114085
3,overseas_slot,3,115191
3,internal_slot,0,70113
3,internal_slot,1,70284
3,internal_slot,2,69756
3,internal_slot,3,69874
4,birth_slot,0,319570
4,birth_slot,1,320933
4,birth_slot,2,319806
4,birth_slot,3,321677
4,overseas_slot,0,112728
4,overseas_slot,1,112854
4,overseas_slot,2,111738
4,overseas_slot,3,112752
4,internal_slot,0,68924
4,internal_slot,1,69161
4,internal_slot,2,68600
4,internal_slot,3,68676
5,birth_slot,0,326341
5,birth_slot,1,327815
5,birth_slot,2,326730
5,birth_slot,3,328243
5,overseas_slot,0,110415
5,overseas_slot,1,110575
5,overseas_slot,2,109414
5,overseas_slot,3,110542
5,internal_slot,0,67851
5,internal_slot,1,68054
5,internal_slot,2,67462
5,internal_slot,3,67550
6,birth_slot,0,332738
6,birth_slot,1,333997
6,birth_slot,2,333314
6,birth_slot,3,334561
6,overseas_slot,0,108175
6,overseas_slot,1,108406
6,overseas_slot,2,107293
6,overseas_slot,3,108328
6,internal_slot,0,66706
6,internal_slot,1,66953
6,internal_slot,2,66289
6,internal_slot,3,66448
7,birth_slot,0,338651
7,birth_slot,1,340100
7,birth_slot,2,339397
7,birth_slot,3,340806
7,overseas_slot,0,106038
7,overseas_slot,1,106287
7,overseas_slot,2,105162
7,overseas_slot,3,106176
7,internal_slot,0,65615
7,internal_slot,1,65894
7,internal_slot,2,65126
7,internal_slot,3,65354
8,birth_slot,0,344552
8,birth_slot,1,345473
8,birth_slot,2,345411
8,birth_slot,3,346838
8,overseas_slot,0,103909
8,overseas_slot,1,104225
8,overseas_slot,2,103099
8,overseas_slot,3,104055
8,internal_slot,0,64587
8,internal_slot,1,64799
8,internal_slot,2,64113
8,internal_slot,3,64367
9,birth_slot,0,349820
9,birth_slot,1,351093
9,birth_slot,2,350979
9,birth_slot,3,352359
9,overseas_slot,0,101864
9,overseas_slot,1,102095
9,overseas_slot,2,101064
9,overseas_slot,3,101968
9,internal_slot,0,63459
9,internal_slot,1,63808
9,internal_slot,2,63055
9,internal_slot,3,63317
10,birth_slot,0,355124
10,birth_slot,1,356548
10,birth_slot,2,356165
10,birth_slot,3,357369
10,overseas_slot,0,99870
10,overseas_slot,1,100078
10,overseas_slot,2,99163
10,overseas_slot,3,99922
10,internal_slot,0,62467
10,internal_slot,1,62796
10,internal_slot,2,62029
10,internal_slot,3,62328
11,birth_slot,0,360237
11,birth_slot,1,361360
11,birth_slot,2,360922
11,birth_slot,3,362416
11,overseas_slot,0,97884
11,overseas_slot,1,98184
11,overseas_slot,2,97226
11,overseas_slot,3,97954
11,internal_slot,0,61456
11,internal_slot,1,61842
11,internal_slot,2,61078
11,internal_slot,3,61367
12,birth_slot,0,364944
12,birth_slot,1,366100
12,birth_slot,2,365642
12,birth_slot,3,366975
12,overseas_slot,0,96009
12,overseas_slot,1,96323
12,overseas_slot,2,95304
12,overseas_slot,3,96074
12,internal_slot,0,60520
12,internal_slot,1,60886
12,internal_slot,2,60091
12,internal_slot,3,60330
13,birth_slot,0,369958
13,birth_slot,1,370625
13,birth_slot,2,370142
13,birth_slot,3,371565
13,overseas_slot,0,94224
13,overseas_slot,1,94505
13,overseas_slot,2,93536
13,overseas_slot,3,94281
13,internal_slot,0,59605
13,internal_slot,1,59938
13,internal_slot,2,59238
13,internal_slot,3,59456
14,birth_slot,0,374437
14,birth_slot,1,375110
14,birth_slot,2,374819
14,birth_slot,3,375821
14,overseas_slot,0,92504
14,overseas_slot,1,92761
14,overseas_slot,2,91745
14,overseas_slot,3,92528
14,internal_slot,0,58728
14,internal_slot,1,59043
14,internal_slot,2,58299
14,internal_slot,3,58540
15,birth_slot,0,378566
15,birth_slot,1,379254
15,birth_slot,2,379103
15,birth_slot,3,380230
15,overseas_slot,0,90812
15,overseas_slot,1,91059
15,overseas_slot,2,90075
15,overseas_slot,3,90873
15,internal_slot,0,57834
15,internal_slot,1,58185
15,internal_slot,2,57437
15,internal_slot,3,57614
16,birth_slot,0,382570
16,birth_slot,1,383263
16,birth_slot,2,383462
16,birth_slot,3,383877
16,overseas_slot,0,89106
16,overseas_slot,1,89405
16,overseas_slot,2,88452
16,overseas_slot,3,89248
16,internal_slot,0,57026
16,internal_slot,1,57315
16,internal_slot,2,56574
16,internal_slot,3,56749
17,birth_slot,0,386289
17,birth_slot,1,387122
17,birth_slot,2,386637
17,birth_slot,3,387539
17,overseas_slot,0,87499
17,overseas_slot,1,87806
17,overseas_slot,2,86930
17,overseas_slot,3,87655
17,internal_slot,0,56158
17,internal_slot,1,56495
17,internal_slot,2,55720
17,internal_slot,3,55884
18,birth_slot,0,389891
18,birth_slot,1,390770
18,birth_slot,2,390034
18,birth_slot,3,391091
18,overseas_slot,0,85887
18,overseas_slot,1,86323
18,overseas_slot,2,85444
18,overseas_slot,3,86056
18,internal_slot,0,55395
18,internal_slot,1,55629
18,internal_slot,2,54877
18,internal_slot,3,55016
19,birth_slot,0,393293
19,birth_slot,1,394174
19,birth_slot,2,393440
19,birth_slot,3,394246
19,overseas_slot,0,84444
19,overseas_slot,1,84766
19,overseas_slot,2,83937
19,overseas_slot,3,84468
19,internal_slot,0,54548
19,internal_slot,1,54862
19,internal_slot,2,54056
19,internal_slot,3,54171
20,birth_slot,0,396487
20,birth_slot,1,397423
20,birth_slot,2,396918
20,birth_slot,3,397247
20,overseas_slot,0,82956
20,overseas_slot,1,83309
20,overseas_slot,2,82458
20,overseas_slot,3,83039
20,internal_slot,0,53800
20,internal_slot,1,54101
20,internal_slot,2,53288
20,internal_slot,3,53385
21,birth_slot,0,399344
21,birth_slot,1,400484
21,birth_slot,2,399994
21,birth_slot,3,400217
21,overseas_slot,0,81514
21,overseas_slot,1,81881
21,overseas_slot,2,81054
21,overseas_slot,3,81619
21,internal_slot,0,53000
21,internal_slot,1,53332
21,internal_slot,2,52512
21,internal_slot,3,52657
22,birth_slot,0,402313
22,birth_slot,1,403420
22,birth_slot,2,402438
22,birth_slot,3,403390
22,overseas_slot,0,80129
22,overseas_slot,1,80521
22,overseas_slot,2,79696
22,overseas_slot,3,80318
22,internal_slot,0,52315
22,internal_slot,1,52568
22,internal_slot,2,51735
22,internal_slot,3,51935
23,birth_slot,0,404778
23,birth_slot,1,406153
23,birth_slot,2,405112
23,birth_slot,3,406235
23,overseas_slot,0,78807
23,overseas_slot,1,79191
23,overseas_slot,2,78425
23,overseas_slot,3,78906
23,internal_slot,0,51583
23,internal_slot,1,51871
23,internal_slot,2,51020
23,internal_slot,3,51188
