tick,sex,event_age_months,count
0,male,0,167
0,male,1,187
0,male,2,193
0,male,3,186
0,male,4,776
0,male,5,778
0,male,6,847
0,male,7,815
0,male,8,779
0,male,9,835
0,male,10,824
0,male,11,902
0,male,12,841
0,male,13,2741
0,male,14,2730
0,male,15,2713
0,male,16,2804
0,male,17,2758
0,female,0,187
0,female,1,202
0,female,2,168
0,female,3,190
0,female,4,824
0,female,5,813
0,female,6,818
0,female,7,799
0,female,8,832
0,female,9,841
0,female,10,805
0,female,11,792
0,female,12,869
0,female,13,2685
0,female,14,2768
0,female,15,2726
0,female,16,2780
0,female,17,2700
1,male,0,183
1,male,1,194
1,male,2,189
1,male,3,214
1,male,4,799
1,male,5,753
1,male,6,819
1,male,7,834
1,male,8,811
1,male,9,784
1,male,10,824
1,male,11,796
1,male,12,804
1,male,13,2698
1,male,14,2714
1,male,15,2598
1,male,16,2595
1,male,17,2661
1,male,18,29
1,female,0,184
1,female,1,197
1,female,2,210
1,female,3,188
1,female,4,801
1,female,5,793
1,female,6,825
1,female,7,828
1,female,8,809
1,female,9,802
1,female,10,830
1,female,11,797
1,female,12,814
1,female,13,2548
1,female,14,2683
1,female,15,2630
1,female,16,2710
1,female,17,2757
1,female,18,32
2,male,0,189
2,male,1,169
2,male,2,183
2,male,3,203
2,male,4,788
2,male,5,758
2,male,6,828
2,male,7,804
2,male,8,846
2,male,9,856
2,male,10,767
2,male,11,802
2,male,12,781
2,male,13,2697
2,male,14,2644
2,male,15,2722
2,male,16,2576
2,male,17,2586
2,male,18,89
2,female,0,204
2,female,1,191
2,female,2,151
2,female,3,164
2,female,4,799
2,female,5,822
2,female,6,770
2,female,7,829
2,female,8,802
2,female,9,797
2,female,10,799
2,female,11,743
2,female,12,810
2,female,13,2662
2,female,14,2743
2,female,15,2735
2,female,16,2643
2,female,17,2664
2,female,18,98
3,male,0,203
3,male,1,186
3,male,2,195
3,male,3,180
3,male,4,802
3,male,5,847
3,male,6,835
3,male,7,837
3,male,8,807
3,male,9,774
3,male,10,844
3,male,11,820
3,male,12,799
3,male,13,2599
3,male,14,2599
3,male,15,2598
3,male,16,2649
3,male,17,2691
3,male,18,136
3,female,0,194
3,female,1,186
3,female,2,190
3,female,3,176
3,female,4,809
3,female,5,806
3,female,6,824
3,female,7,820
3,female,8,777
3,female,9,768
3,female,10,792
3,female,11,850
3,female,12,799
3,female,13,2591
3,female,14,2522
3,female,15,2532
3,female,16,2585
3,female,17,2541
3,female,18,133
4,male,0,201
4,male,1,204
4,male,2,171
4,male,3,180
4,male,4,806
4,male,5,766
4,male,6,762
4,male,7,828
4,male,8,748
4,male,9,811
4,male,10,775
4,male,11,771
4,male,12,818
4,male,13,2578
4,male,14,2579
4,male,15,2571
4,male,16,2520
4,male,17,2562
4,male,18,189
4,female,0,175
4,female,1,183
4,female,2,184
4,female,3,193
4,female,4,793
4,female,5,820
4,female,6,806
4,female,7,792
4,female,8,834
4,female,9,758
4,female,10,773
4,female,11,805
4,female,12,835
4,female,13,2508
4,female,14,2664
4,female,15,2566
4,female,16,2566
4,female,17,2538
4,female,18,171
5,male,0,208
5,male,1,171
5,male,2,146
5,male,3,192
5,male,4,827
5,male,5,791
5,male,6,812
5,male,7,795
5,male,8,857
5,male,9,798
5,male,10,803
5,male,11,732
5,male,12,783
5,male,13,2549
5,male,14,2501
5,male,15,2568
5,male,16,2486
5,male,17,2537
5,male,18,225
5,female,0,202
5,female,1,200
5,female,2,174
5,female,3,181
5,female,4,848
5,female,5,782
5,female,6,833
5,female,7,774
5,female,8,772
5,female,9,830
5,female,10,836
5,female,11,813
5,female,12,815
5,female,13,2524
5,female,14,2578
5,female,15,2571
5,female,16,2527
5,female,17,2419
5,female,18,202
6,male,0,213
6,male,1,175
6,male,2,184
6,male,3,179
6,male,4,804
6,male,5,792
6,male,6,761
6,male,7,796
6,male,8,828
6,male,9,782
6,male,10,764
6,male,11,734
6,male,12,817
6,male,13,2448
6,male,14,2415
6,male,15,2498
6,male,16,2397
6,male,17,2459
6,male,18,256
6,female,0,225
6,female,1,169
6,female,2,193
6,female,3,190
6,female,4,786
6,female,5,762
6,female,6,839
6,female,7,818
6,female,8,789
6,female,9,782
6,female,10,815
6,female,11,803
6,female,12,814
6,female,13,2568
6,female,14,2498
6,female,15,2436
6,female,16,2443
6,female,17,2471
6,female,18,235
7,male,0,224
7,male,1,183
7,male,2,208
7,male,3,178
7,male,4,795
7,male,5,734
7,male,6,812
7,male,7,737
7,male,8,843
7,male,9,734
7,male,10,828
7,male,11,771
7,male,12,741
7,male,13,2444
7,male,14,2469
7,male,15,2463
7,male,16,2410
7,male,17,2326
7,male,18,266
7,female,0,249
7,female,1,182
7,female,2,191
7,female,3,179
7,female,4,742
7,female,5,779
7,female,6,788
7,female,7,787
7,female,8,777
7,female,9,721
7,female,10,756
7,female,11,787
7,female,12,799
7,female,13,2506
7,female,14,2420
7,female,15,2527
7,female,16,2567
7,female,17,2423
7,female,18,279
8,male,0,218
8,male,1,210
8,male,2,185
8,male,3,198
8,male,4,784
8,male,5,820
8,male,6,748
8,male,7,829
8,male,8,782
8,male,9,805
8,male,10,811
8,male,11,749
8,male,12,804
8,male,13,2448
8,male,14,2377
8,male,15,2447
8,male,16,2327
8,male,17,2382
8,male,18,324
8,female,0,230
8,female,1,177
8,female,2,179
8,female,3,167
8,female,4,816
8,female,5,775
8,female,6,799
8,female,7,798
8,female,8,816
8,female,9,791
8,female,10,779
8,female,11,795
8,female,12,796
8,female,13,2411
8,female,14,2387
8,female,15,2347
8,female,16,2398
8,female,17,2416
8,female,18,298
9,male,0,220
9,male,1,184
9,male,2,190
9,male,3,181
9,male,4,782
9,male,5,780
9,male,6,812
9,male,7,770
9,male,8,826
9,male,9,773
9,male,10,809
9,male,11,800
9,male,12,737
9,male,13,2372
9,male,14,2306
9,male,15,2389
9,male,16,2318
9,male,17,2394
9,male,18,335
9,female,0,247
9,female,1,183
9,female,2,193
9,female,3,186
9,female,4,797
9,female,5,756
9,female,6,812
9,female,7,770
9,female,8,786
9,female,9,809
9,female,10,788
9,female,11,794
9,female,12,743
9,female,13,2408
9,female,14,2316
9,female,15,2278
9,female,16,2466
9,female,17,2270
9,female,18,371
10,male,0,215
10,male,1,167
10,male,2,168
10,male,3,199
10,male,4,822
10,male,5,782
10,male,6,751
10,male,7,769
10,male,8,757
10,male,9,731
10,male,10,814
10,male,11,769
10,male,12,771
10,male,13,2463
10,male,14,2305
10,male,15,2355
10,male,16,2296
10,male,17,2331
10,male,18,353
10,female,0,241
10,female,1,171
10,female,2,191
10,female,3,179
10,female,4,807
10,female,5,804
10,female,6,763
10,female,7,853
10,female,8,756
10,female,9,797
10,female,10,722
10,female,11,739
10,female,12,814
10,female,13,2388
10,female,14,2384
10,female,15,2316
10,female,16,2346
10,female,17,2384
10,female,18,424
11,male,0,262
11,male,1,174
11,male,2,173
11,male,3,179
11,male,4,806
11,male,5,787
11,male,6,757
11,male,7,826
11,male,8,774
11,male,9,773
