tick,sex,event_age_months,count
0,male,0,219
0,male,1,202
0,male,2,192
0,male,3,221
0,male,4,571
0,male,5,556
0,male,6,621
0,male,7,563
0,male,8,594
0,male,9,604
0,male,10,578
0,male,11,574
0,male,12,572
0,male,13,1961
0,male,14,1866
0,male,15,1862
0,male,16,1918
0,male,17,1903
0,female,0,192
0,female,1,187
0,female,2,189
0,female,3,219
0,female,4,618
0,female,5,624
0,female,6,629
0,female,7,613
0,female,8,564
0,female,9,581
0,female,10,636
0,female,11,627
0,female,12,590
0,female,13,1886
0,female,14,1815
0,female,15,1851
0,female,16,1899
0,female,17,1904
1,male,0,183
1,male,1,205
1,male,2,209
1,male,3,203
1,male,4,567
1,male,5,624
1,male,6,596
1,male,7,577
1,male,8,602
1,male,9,589
1,male,10,585
1,male,11,582
1,male,12,548
1,male,13,1942
1,male,14,1808
1,male,15,1850
1,male,16,1741
1,male,17,1824
1,male,18,28
1,female,0,173
1,female,1,218
1,female,2,192
1,female,3,184
1,female,4,595
1,female,5,553
1,female,6,552
1,female,7,606
1,female,8,590
1,female,9,581
1,female,10,564
1,female,11,626
1,female,12,608
1,female,13,1896
1,female,14,1893
1,female,15,1820
1,female,16,1834
1,female,17,1870
1,female,18,25
2,male,0,201
2,male,1,187
2,male,2,196
2,male,3,181
2,male,4,507
2,male,5,548
2,male,6,610
2,male,7,605
2,male,8,588
2,male,9,554
2,male,10,602
2,male,11,583
2,male,12,621
2,male,13,1816
2,male,14,1858
2,male,15,1825
2,male,16,1796
2,male,17,1817
2,male,18,58
2,female,0,219
2,female,1,167
2,female,2,205
2,female,3,221
2,female,4,596
2,female,5,580
2,female,6,587
2,female,7,551
2,female,8,619
2,female,9,556
2,female,10,571
2,female,11,591
2,female,12,606
2,female,13,1767
2,female,14,1832
2,female,15,1812
2,female,16,1793
2,female,17,1841
2,female,18,64
3,male,0,231
3,male,1,161
3,male,2,204
3,male,3,198
3,male,4,596
3,male,5,585
3,male,6,635
3,male,7,558
3,male,8,610
3,male,9,585
3,male,10,536
3,male,11,597
3,male,12,624
3,male,13,1826
3,male,14,1750
3,male,15,1808
3,male,16,1776
3,male,17,1849
3,male,18,88
3,female,0,201
3,female,1,183
3,female,2,190
3,female,3,181
3,female,4,586
3,female,5,565
3,female,6,594
3,female,7,595
3,female,8,597
3,female,9,613
3,female,10,578
3,female,11,640
3,female,12,553
3,female,13,1792
3,female,14,1807
3,female,15,1783
3,female,16,1846
3,female,17,1721
3,female,18,72
4,male,0,212
4,male,1,236
4,male,2,225
4,male,3,184
4,male,4,547
4,male,5,628
4,male,6,552
4,male,7,582
4,male,8,580
4,male,9,574
4,male,10,549
4,male,11,594
4,male,12,586
4,male,13,1849
4,male,14,1833
4,male,15,1811
4,male,16,1719
4,male,17,1846
4,male,18,129
4,female,0,236
4,female,1,213
4,female,2,212
4,female,3,218
4,female,4,557
4,female,5,562
4,female,6,589
4,female,7,588
4,female,8,586
4,female,9,570
4,female,10,589
4,female,11,613
4,female,12,596
4,female,13,1784
4,female,14,1757
4,female,15,1750
4,female,16,1776
4,female,17,1723
4,female,18,115
5,male,0,253
5,male,1,211
5,male,2,198
5,male,3,195
5,male,4,548
5,male,5,554
5,male,6,592
5,male,7,594
5,male,8,577
5,male,9,572
5,male,10,591
5,male,11,585
5,male,12,573
5,male,13,1844
5,male,14,1785
5,male,15,1702
5,male,16,1797
5,male,17,1742
5,male,18,123
5,female,0,254
5,female,1,195
5,female,2,194
5,female,3,180
5,female,4,637
5,female,5,589
5,female,6,583
5,female,7,573
5,female,8,617
