tick,entry_stream,area,count
0,birth_slot,0,290951
0,birth_slot,1,292123
0,birth_slot,2,291382
0,birth_slot,3,292640
0,overseas_slot,0,122173
0,overseas_slot,1,122063
0,overseas_slot,2,121171
0,overseas_slot,3,122403
0,internal_slot,0,73528
0,internal_slot,1,73753
0,internal_slot,2,73246
0,internal_slot,3,73302
1,birth_slot,0,301414
1,birth_slot,1,302623
1,birth_slot,2,302032
1,birth_slot,3,303335
1,overseas_slot,0,119207
1,overseas_slot,1,119164
1,overseas_slot,2,118184
1,overseas_slot,3,119338
1,internal_slot,0,72014
1,internal_slot,1,72228
1,internal_slot,2,71769
1,internal_slot,3,71863
2,birth_slot,0,311754
2,birth_slot,1,312696
2,birth_slot,2,312061
2,birth_slot,3,313296
2,overseas_slot,0,116313
2,overseas_slot,1,116223
2,overseas_slot,2,115216
2,overseas_slot,3,116435
2,internal_slot,0,70484
2,internal_slot,1,70854
2,internal_slot,2,70288
2,internal_slot,3,70382
3,birth_slot,0,321519
3,birth_slot,1,322246
3,birth_slot,2,321850
3,birth_slot,3,323030
3,overseas_slot,0,113551
3,overseas_slot,1,113437
3,overseas_slot,2,112283
3,overseas_slot,3,113644
3,internal_slot,0,69057
3,internal_slot,1,69458
3,internal_slot,2,68856
3,internal_slot,3,68880
4,birth_slot,0,330729
4,birth_slot,1,331893
4,birth_slot,2,331397
4,birth_slot,3,332174
4,overseas_slot,0,110858
4,overseas_slot,1,110701
4,overseas_slot,2,109590
4,overseas_slot,3,110903
4,internal_slot,0,67638
4,internal_slot,1,67981
4,internal_slot,2,67450
4,internal_slot,3,67463
5,birth_slot,0,339716
5,birth_slot,1,340778
5,birth_slot,2,340152
5,birth_slot,3,340855
5,overseas_slot,0,108263
5,overseas_slot,1,108087
5,overseas_slot,2,106938
5,overseas_slot,3,108189
5,internal_slot,0,66265
5,internal_slot,1,66604
5,internal_slot,2,66051
5,internal_slot,3,66125
6,birth_slot,0,348193
6,birth_slot,1,349286
6,birth_slot,2,348706
6,birth_slot,3,349486
6,overseas_slot,0,105732
6,overseas_slot,1,105513
6,overseas_slot,2,104408
6,overseas_slot,3,105658
6,internal_slot,0,64900
6,internal_slot,1,65291
6,internal_slot,2,64709
6,internal_slot,3,64764
7,birth_slot,0,356543
7,birth_slot,1,357363
7,birth_slot,2,356907
7,birth_slot,3,357492
7,overseas_slot,0,103204
7,overseas_slot,1,103070
7,overseas_slot,2,101870
7,overseas_slot,3,103153
7,internal_slot,0,63610
7,internal_slot,1,64065
7,internal_slot,2,63458
7,internal_slot,3,63546
8,birth_slot,0,364244
8,birth_slot,1,365100
8,birth_slot,2,365061
8,birth_slot,3,365127
8,overseas_slot,0,100820
8,overseas_slot,1,100660
8,overseas_slot,2,99427
8,overseas_slot,3,100715
8,internal_slot,0,62335
8,internal_slot,1,62788
8,internal_slot,2,62149
8,internal_slot,3,62264
9,birth_slot,0,371686
9,birth_slot,1,372404
9,birth_slot,2,372811
9,birth_slot,3,372612
9,overseas_slot,0,98427
9,overseas_slot,1,98265
9,overseas_slot,2,97155
9,overseas_slot,3,98278
9,internal_slot,0,61179
9,internal_slot,1,61609
9,internal_slot,2,60921
9,internal_slot,3,61044
10,birth_slot,0,378963
10,birth_slot,1,379465
10,birth_slot,2,380090
10,birth_slot,3,379925
10,overseas_slot,0,96230
10,overseas_slot,1,95950
10,overseas_slot,2,95000
10,overseas_slot,3,96080
10,internal_slot,0,60017
10,internal_slot,1,60418
10,internal_slot,2,59798
10,internal_slot,3,59863
11,birth_slot,0,385787
11,birth_slot,1,386097
11,birth_slot,2,386962
11,birth_slot,3,386892
11,overseas_slot,0,94030
11,overseas_slot,1,93771
11,overseas_slot,2,92795
11,overseas_slot,3,93864
11,internal_slot,0,58887
11,internal_slot,1,59285
11,internal_slot,2,58717
11,internal_slot,3,58744
12,birth_slot,0,392345
12,birth_slot,1,392374
12,birth_slot,2,393444
12,birth_slot,3,393344
12,overseas_slot,0,91980
12,overseas_slot,1,91624
12,overseas_slot,2,90681
12,overseas_slot,3,91755
12,internal_slot,0,57813
12,internal_slot,1,58168
12,internal_slot,2,57619
12,internal_slot,3,57618
13,birth_slot,0,398357
13,birth_slot,1,398561
13,birth_slot,2,399467
13,birth_slot,3,399514
13,overseas_slot,0,89930
13,overseas_slot,1,89673
13,overseas_slot,2,88676
13,overseas_slot,3,89611
13,internal_slot,0,56785
13,internal_slot,1,57107
13,internal_slot,2,56528
13,internal_slot,3,56537
14,birth_slot,0,404362
