# params={"birth_rate":0.032503481185216614,"mortality_young":0.0009847285193970439,"mortality_adult":0.003009386119429492,"mortality_old":0.007191058115181574,"overseas_arrival_rate":0.015546980648915838,"emigration_rate":0.0019754865124450576,"internal_departure_rate":0.00225477262385589,"internal_arrival_rate":0.015201679742482217}
# dt=1
tick,population,invalid_age,males,females,age_00_04,age_20_24,age_65_69,age_85_plus,births_this_tick,deaths_this_tick,overseas_arrivals_this_tick,overseas_departures_this_tick,internal_arrivals_this_tick,internal_departures_this_tick,locked_out,vacant_birth_slots,vacant_overseas_slots,vacant_internal_slots,max_generation,fired_age_monthly,fired_clear_event,fired_birth_activate,fired_overseas_arrive,fired_internal_arrive,fired_die_young,fired_die_adult,fired_die_old,fired_emigrate,fired_internal_depart,deferred_total
0,798905,0,399990,398915,47151,44315,44087,44768,3875,2944,801,1480,447,1794,5123,116125,49199,29553,1,800000,0,3875,801,447,172,1247,1525,1480,1794,16
1,797567,0,399244,398323,49903,44134,43637,45030,3687,2863,746,1575,455,1788,4888,118656,48453,29098,1,798905,11341,3687,746,455,152,1164,1547,1575,1788,13
2,796381,0,398592,397789,52816,43914,43330,45198,3832,2858,772,1563,408,1777,5012,121050,47681,28690,2,797567,11114,3832,772,408,161,1177,1520,1563,1777,14
3,794992,0,397881,397111,55639,43755,42908,45341,3770,2953,704,1561,403,1752,4877,123464,46984,28294,2,796381,11210,3770,704,403,184,1173,1596,1561,1752,13
4,793800,0,397333,396467,58563,43486,42569,45548,3855,2867,738,1551,433,1800,5026,125860,46253,27869,2,794992,11143,3855,738,433,162,1184,1521,1551,1800,17
5,792667,0,396728,395939,61566,43199,42241,45710,3979,2951,720,1530,401,1752,5100,128072,45550,27478,2,793800,11244,3979,720,401,172,1230,1549,1530,1752,13
6,791833,0,396351,395482,64744,43032,41885,45881,4173,2889,725,1534,424,1733,5322,130105,44843,27063,2,792667,11333,4173,725,424,177,1168,1544,1534,1733,11
7,790961,0,395960,395001,67782,42805,41479,46013,4032,2857,716,1468,430,1725,5178,132192,44151,26646,2,791833,11478,4032,716,430,187,1139,1531,1468,1725,15
8,790037,0,395447,394590,70985,42683,41123,46063,4235,2865,704,1618,397,1777,5336,133962,43472,26269,3,790961,11228,4235,704,397,164,1166,1535,1618,1777,15
9,789265,0,395093,394172,74133,42523,40732,46228,4262,2820,709,1582,406,1747,5377,135899,42792,25895,3,790037,11596,4262,709,406,195,1118,1507,1582,1747,14
10,788554,0,394723,393831,77402,42295,40405,46364,4336,2770,681,1598,383,1743,5400,137656,42149,25530,3,789265,11526,4336,681,383,210,1105,1455,1598,1743,23
11,787931,0,394444,393487,80689,42116,40000,46516,4368,2796,633,1449,397,1776,5398,139319,41570,25159,3,788554,11511,4368,633,397,203,1165,1428,1449,1776,16
12,787315,0,394179,393136,84089,41959,39672,46621,4509,2765,647,1602,374,1779,5530,140738,40984,24817,3,787931,11419,4509,647,374,184,1153,1428,1602,1779,13
13,786826,0,393968,392858,87625,41754,39343,46695,4618,2822,651,1575,369,1730,5638,142182,40385,24480,3,787315,11676,4618,651,369,212,1175,1435,1575,1730,21
14,786305,0,393676,392629,91022,41506,38972,46831,4509,2771,645,1555,397,1746,5551,143718,39798,24107,3,786826,11765,4509,645,397,215,1109,1447,1555,1746,16
15,785662,0,393379,392283,94394,41388,38674,46932,4500,2787,613,1577,324,1716,5437,145193,39247,23818,3,786305,11623,4500,613,324,238,1123,1426,1577,1716,10
16,785448,0,393260,392188,98010,41142,38413,47014,4773,2660,600,1463,376,1840,5749,146392,38720,23477,3,785662,11517,4773,600,376,209,1083,1368,1463,1840,15
17,785096,0,393144,391952,101534,40908,38049,47139,4678,2690,587,1523,350,1754,5615,147568,38198,23171,3,785448,11712,4678,587,350,222,1102,1366,1523,1754,13
18,784856,0,393038,391818,105082,40738,37766,47288,4701,2579,610,1556,358,1774,5669,148684,37695,22856,3,785096,11582,4701,610,358,192,1056,1331,1556,1774,17
19,784480,0,392844,391636,108627,40553,37440,47305,4752,2710,561,1602,358,1735,5671,149720,37202,22551,3,784856,11578,4752,561,358,217,1032,1461,1602,1735,17
20,784371,0,392907,391464,112291,40384,37185,47334,4889,2605,564,1530,343,1770,5796,150744,36720,22260,3,784480,11718,4889,564,343,203,1101,1301,1530,1770,21
21,784098,0,392764,391334,115925,40224,36881,47302,4800,2679,525,1565,348,1702,5673,151697,36294,21965,3,784371,11701,4800,525,348,223,1053,1403,1565,1702,12
22,783828,0,392605,391223,119540,40075,36564,47355,4872,2778,580,1523,319,1740,5771,152624,35807,21700,3,784098,11619,4872,580,319,227,1147,1404,1523,1740,15
23,783743,0,392545,391198,123196,39883,36286,47417,4907,2655,548,1508,337,1714,5792,153604,35347,21429,3,783828,11812,4907,548,337,240,1085,1330,1508,1714,16
