Generating SQLite file cuda-workers-2-trace.sqlite from cuda-workers-2-trace.nsys-rep
Processing [cuda-workers-2-trace.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
13.6,41723914,3840,10865.6,9888.0,6912,23200,3038.6,sembla_prepare_effects
10.2,31271051,192,162870.1,158576.5,74752,256802,31154.0,sembla_bound_grouped_view
9.4,28970527,1824,15883.0,15808.0,15072,19968,625.0,sembla_observe_view
7.5,23030305,3840,5997.5,5952.0,5664,8128,235.3,sembla_check_candidate_errors
7.1,21811865,288,75735.6,74241.0,73760,82528,2420.9,sembla_count_deferred
7.1,21713622,288,75394.5,64016.5,7776,157473,59870.3,sembla_observe_grouped_view
5.8,17877148,12096,1477.9,1536.0,1312,2304,120.5,sembla_advance_validation_phase
5.6,17215306,3840,4483.2,4480.0,4352,5280,83.5,sembla_validate_claims
3.5,10701150,3840,2786.8,2784.0,2720,3264,40.1,sembla_validate_transition
3.3,10125938,960,10547.9,10560.0,10112,11136,177.8,sembla_count_fired
3.0,9128556,96,95089.1,95520.5,91009,97152,1342.6,sembla_resolve_conflicts
2.4,7384301,96,76919.8,77056.5,71169,78720,1120.6,sembla_build_claim_instances
2.3,7039846,96,73331.7,73776.0,68065,77856,2156.8,sembla_apply_effects
2.3,7005197,960,7297.1,5376.0,4640,23104,5019.3,sembla_mark_effect_active
2.2,6699237,4032,1661.5,1728.0,1504,2336,114.3,sembla_commit_validation_status
1.8,5568510,384,14501.3,12800.0,12192,20384,3055.3,sembla_validate_effects
1.4,4254490,96,44317.6,44544.0,42048,47264,1181.8,sembla_reduce_claim_instances
1.3,4145047,96,43177.6,43376.5,40480,46688,1180.4,sembla_reduce_claim_entities
1.2,3756919,96,39134.6,39168.0,38016,41409,614.9,sembla_reduce_claim_keys
1.2,3743218,96,38991.9,38768.0,36928,46048,1488.4,sembla_reduce_claim_rules
0.7,2218761,96,23112.1,24176.0,18528,25505,1991.0,sembla_init_conflict_winners
0.7,2202988,96,22947.8,22896.0,22720,23808,191.2,sembla_init_effect_owners
0.6,1951340,96,20326.5,20144.5,19617,22624,480.5,sembla_transition_00000005
0.6,1870121,96,19480.4,19520.0,18752,21216,472.5,sembla_transition_00000002
0.6,1852651,96,19298.4,18736.0,18144,22496,1062.6,sembla_transition_00000007
0.6,1847210,96,19241.8,18640.0,18144,21344,1035.1,sembla_transition_00000006
0.6,1814537,96,18901.4,18400.0,17824,20864,984.3,sembla_transition_00000003
0.6,1805930,96,18811.8,18272.0,17888,21888,974.6,sembla_transition_00000004
0.6,1774251,96,18481.8,17968.5,17504,20480,877.9,sembla_transition_00000008
0.6,1764808,96,18383.4,17920.0,17504,20096,813.9,sembla_transition_00000009
0.5,1544582,96,16089.4,16032.0,15584,17760,412.5,sembla_transition_00000001
0.5,1538375,96,16024.7,15840.0,15584,17408,394.0,sembla_transition_00000000
0.2,515233,384,1341.8,1344.0,1120,1920,195.1,sembla_validate_outputs
0.1,447585,288,1554.1,1600.0,1312,2144,171.5,sembla_init_grouped_histogram
0.1,172672,96,1798.7,1888.0,1472,2080,146.2,sembla_init_observations
0.1,155525,96,1620.1,1568.5,1376,1920,125.5,sembla_prepare_outputs
0.0,147264,96,1534.0,1632.0,1312,1952,161.2,sembla_init_grouped_extrema
0.0,142752,96,1487.0,1536.0,1344,1792,118.1,sembla_init_validation_scratch
0.0,136256,96,1419.3,1472.0,1280,1760,125.9,sembla_reset_status
0.0,131968,96,1374.7,1312.0,1248,1664,106.5,sembla_init_control_counts
0.0,122113,96,1272.0,1344.0,1152,1376,96.3,sembla_validate_claim_compatibility

