tick,sex,event_age_months,count
0,male,0,271
0,male,1,254
0,male,2,241
0,male,3,231
0,male,4,854
0,male,5,822
0,male,6,850
0,male,7,820
0,male,8,796
0,male,9,781
0,male,10,825
0,male,11,811
0,male,12,800
0,male,13,4615
0,male,14,4620
0,male,15,4720
0,male,16,4588
0,male,17,4556
0,female,0,258
0,female,1,244
0,female,2,252
0,female,3,247
0,female,4,762
0,female,5,864
0,female,6,824
0,female,7,763
0,female,8,820
0,female,9,805
0,female,10,805
0,female,11,815
0,female,12,770
0,female,13,4529
0,female,14,4591
0,female,15,4634
0,female,16,4505
0,female,17,4536
1,male,0,263
1,male,1,205
1,male,2,229
1,male,3,252
1,male,4,786
1,male,5,804
1,male,6,776
1,male,7,770
1,male,8,776
1,male,9,790
1,male,10,783
1,male,11,800
1,male,12,861
1,male,13,4526
1,male,14,4468
1,male,15,4501
1,male,16,4458
1,male,17,4467
1,male,18,79
1,female,0,233
1,female,1,237
1,female,2,230
1,female,3,245
1,female,4,783
1,female,5,787
1,female,6,827
1,female,7,791
1,female,8,783
1,female,9,804
1,female,10,726
1,female,11,788
1,female,12,771
1,female,13,4544
1,female,14,4539
1,female,15,4431
1,female,16,4507
1,female,17,4530
1,female,18,62
2,male,0,286
2,male,1,258
2,male,2,233
2,male,3,265
2,male,4,778
2,male,5,802
2,male,6,828
2,male,7,783
2,male,8,813
2,male,9,779
2,male,10,788
2,male,11,805
2,male,12,792
2,male,13,4244
2,male,14,4328
2,male,15,4353
2,male,16,4388
2,male,17,4408
2,male,18,147
2,female,0,240
2,female,1,232
2,female,2,243
2,female,3,259
2,female,4,796
2,female,5,811
2,female,6,816
2,female,7,790
2,female,8,800
2,female,9,824
2,female,10,786
2,female,11,745
2,female,12,852
2,female,13,4453
2,female,14,4435
2,female,15,4359
2,female,16,4517
2,female,17,4469
2,female,18,141
3,male,0,240
3,male,1,209
3,male,2,253
3,male,3,236
3,male,4,774
3,male,5,810
3,male,6,838
3,male,7,830
3,male,8,839
3,male,9,799
3,male,10,824
3,male,11,829
3,male,12,821
3,male,13,4338
3,male,14,4221
3,male,15,4386
3,male,16,4153
3,male,17,4245
3,male,18,240
3,female,0,260
3,female,1,250
3,female,2,240
3,female,3,216
3,female,4,789
3,female,5,758
3,female,6,811
3,female,7,778
3,female,8,758
3,female,9,731
3,female,10,843
3,female,11,834
3,female,12,784
3,female,13,4137
3,female,14,4245
3,female,15,4296
3,female,16,4148
3,female,17,4251
3,female,18,215
4,male,0,252
4,male,1,234
4,male,2,205
4,male,3,251
4,male,4,758
4,male,5,801
4,male,6,744
4,male,7,816
4,male,8,732
4,male,9,784
4,male,10,799
4,male,11,768
4,male,12,791
4,male,13,4160
4,male,14,4111
4,male,15,4113
4,male,16,4180
4,male,17,4082
4,male,18,326
4,female,0,290
4,female,1,228
4,female,2,277
4,female,3,264
4,female,4,795
4,female,5,801
4,female,6,772
4,female,7,811
4,female,8,756
4,female,9,763
4,female,10,766
4,female,11,801
4,female,12,709
4,female,13,4141
4,female,14,4263
4,female,15,4121
4,female,16,4142
4,female,17,4212
4,female,18,263
5,male,0,299
5,male,1,234
5,male,2,258
5,male,3,253
5,male,4,749
5,male,5,785
5,male,6,787
5,male,7,774
5,male,8,811
5,male,9,756
5,male,10,761
5,male,11,751
5,male,12,734
5,male,13,4053
5,male,14,4053
5,male,15,3980
5,male,16,3921
5,male,17,4047
5,male,18,361
5,female,0,351
5,female,1,248
5,female,2,236
5,female,3,209
5,female,4,772
5,female,5,761
5,female,6,768
5,female,7,781
5,female,8,745
5,female,9,780
5,female,10,760
5,female,11,741
5,female,12,786
5,female,13,4112
5,female,14,4122
