tick,entry_stream,area,count
0,birth_slot,0,292728
0,birth_slot,1,293646
0,birth_slot,2,292951
0,birth_slot,3,294448
0,overseas_slot,0,122415
0,overseas_slot,1,122171
0,overseas_slot,2,121379
0,overseas_slot,3,122620
0,internal_slot,0,73774
0,internal_slot,1,73971
0,internal_slot,2,73418
0,internal_slot,3,73503
1,birth_slot,0,302635
1,birth_slot,1,303587
1,birth_slot,2,302878
1,birth_slot,3,304179
1,overseas_slot,0,119598
1,overseas_slot,1,119403
1,overseas_slot,2,118611
1,overseas_slot,3,119831
1,internal_slot,0,72449
1,internal_slot,1,72656
1,internal_slot,2,72169
1,internal_slot,3,72230
2,birth_slot,0,312234
2,birth_slot,1,312993
2,birth_slot,2,312464
2,birth_slot,3,313676
2,overseas_slot,0,116828
2,overseas_slot,1,116733
2,overseas_slot,2,115908
2,overseas_slot,3,117026
2,internal_slot,0,71214
2,internal_slot,1,71366
2,internal_slot,2,70915
2,internal_slot,3,70940
3,birth_slot,0,321360
3,birth_slot,1,322302
3,birth_slot,2,321841
3,birth_slot,3,322943
3,overseas_slot,0,114212
3,overseas_slot,1,114065
3,overseas_slot,2,113201
3,overseas_slot,3,114329
3,internal_slot,0,69982
3,internal_slot,1,70107
3,internal_slot,2,69720
3,internal_slot,3,69702
4,birth_slot,0,330417
4,birth_slot,1,330895
4,birth_slot,2,331098
4,birth_slot,3,331940
4,overseas_slot,0,111692
4,overseas_slot,1,111468
4,overseas_slot,2,110691
4,overseas_slot,3,111709
4,internal_slot,0,68755
4,internal_slot,1,68839
4,internal_slot,2,68561
4,internal_slot,3,68486
5,birth_slot,0,339155
5,birth_slot,1,339756
5,birth_slot,2,339685
5,birth_slot,3,340594
5,overseas_slot,0,109192
5,overseas_slot,1,108964
5,overseas_slot,2,108298
5,overseas_slot,3,109218
5,internal_slot,0,67539
5,internal_slot,1,67624
5,internal_slot,2,67376
5,internal_slot,3,67248
6,birth_slot,0,347478
6,birth_slot,1,348186
6,birth_slot,2,347744
6,birth_slot,3,349024
6,overseas_slot,0,106698
6,overseas_slot,1,106544
6,overseas_slot,2,105868
6,overseas_slot,3,106780
6,internal_slot,0,66392
6,internal_slot,1,66471
6,internal_slot,2,66160
6,internal_slot,3,66110
7,birth_slot,0,355805
7,birth_slot,1,356407
7,birth_slot,2,355987
7,birth_slot,3,357181
7,overseas_slot,0,104220
7,overseas_slot,1,104240
7,overseas_slot,2,103519
7,overseas_slot,3,104378
7,internal_slot,0,65230
7,internal_slot,1,65261
7,internal_slot,2,65009
7,internal_slot,3,64992
8,birth_slot,0,363978
8,birth_slot,1,364390
8,birth_slot,2,363674
8,birth_slot,3,365205
8,overseas_slot,0,101937
8,overseas_slot,1,102038
8,overseas_slot,2,101279
8,overseas_slot,3,102130
8,internal_slot,0,64203
8,internal_slot,1,64200
8,internal_slot,2,63902
8,internal_slot,3,63901
9,birth_slot,0,371880
9,birth_slot,1,371857
9,birth_slot,2,371111
9,birth_slot,3,372649
9,overseas_slot,0,99756
9,overseas_slot,1,99764
9,overseas_slot,2,99168
9,overseas_slot,3,99870
9,internal_slot,0,63100
9,internal_slot,1,63138
9,internal_slot,2,62825
9,internal_slot,3,62848
10,birth_slot,0,379264
10,birth_slot,1,379247
10,birth_slot,2,378468
10,birth_slot,3,380044
10,overseas_slot,0,97615
10,overseas_slot,1,97628
10,overseas_slot,2,97076
10,overseas_slot,3,97722
10,internal_slot,0,62093
10,internal_slot,1,62061
10,internal_slot,2,61767
10,internal_slot,3,61824
11,birth_slot,0,386316
11,birth_slot,1,386459
11,birth_slot,2,385578
11,birth_slot,3,386994
11,overseas_slot,0,95481
11,overseas_slot,1,95575
11,overseas_slot,2,95003
11,overseas_slot,3,95546
11,internal_slot,0,61050
11,internal_slot,1,61042
11,internal_slot,2,60749
11,internal_slot,3,60789
12,birth_slot,0,392974
12,birth_slot,1,393386
12,birth_slot,2,392534
12,birth_slot,3,393727
12,overseas_slot,0,93472
12,overseas_slot,1,93533
12,overseas_slot,2,93088
12,overseas_slot,3,93541
12,internal_slot,0,60135
12,internal_slot,1,60079
12,internal_slot,2,59738
12,internal_slot,3,59761
13,birth_slot,0,399701
13,birth_slot,1,400206
13,birth_slot,2,399324
13,birth_slot,3,400479
13,overseas_slot,0,91435
13,overseas_slot,1,91657
13,overseas_slot,2,91176
13,overseas_slot,3,91493
13,internal_slot,0,59150
13,internal_slot,1,59159
13,internal_slot,2,58779
13,internal_slot,3,58825
14,birth_slot,0,405903
14,birth_slot,1,406694
14,birth_slot,2,405567
14,birth_slot,3,406863
14,overseas_slot,0,89483
14,overseas_slot,1,89780
14,overseas_slot,2,89331
14,overseas_slot,3,89650
14,internal_slot,0,58193
14,internal_slot,1,58240
14,internal_slot,2,57843
14,internal_slot,3,57947
15,birth_slot,0,412062
15,birth_slot,1,413184
15,birth_slot,2,412027
15,birth_slot,3,413124
15,overseas_slot,0,87654
15,overseas_slot,1,87888
15,overseas_slot,2,87442
15,overseas_slot,3,87875
15,internal_slot,0,57320
15,internal_slot,1,57331
15,internal_slot,2,56902
15,internal_slot,3,57065
16,birth_slot,0,417780
16,birth_slot,1,419052
16,birth_slot,2,417939
16,birth_slot,3,419080
16,overseas_slot,0,85897
16,overseas_slot,1,86107
16,overseas_slot,2,85720
16,overseas_slot,3,86048
16,internal_slot,0,56416
16,internal_slot,1,56382
16,internal_slot,2,55922
16,internal_slot,3,56112
17,birth_slot,0,423536
17,birth_slot,1,424660
17,birth_slot,2,423737
17,birth_slot,3,424706
17,overseas_slot,0,84069
17,overseas_slot,1,84344
17,overseas_slot,2,84079
17,overseas_slot,3,84402
17,internal_slot,0,55546
17,internal_slot,1,55521
17,internal_slot,2,55028
17,internal_slot,3,55226
18,birth_slot,0,428914
18,birth_slot,1,429882
18,birth_slot,2,428890
18,birth_slot,3,430042
18,overseas_slot,0,82394
18,overseas_slot,1,82646
18,overseas_slot,2,82366
18,overseas_slot,3,82708
