tick,sex,area,age_months,count
0,male,0,0,58278
0,male,0,1,55607
0,male,0,2,55361
0,male,0,3,55229
0,male,0,4,55315
0,male,0,5,55440
0,male,0,6,55607
0,male,0,7,55467
0,male,0,8,55436
0,male,0,9,55354
0,male,0,10,55791
0,male,0,11,55356
0,male,0,12,55147
0,male,0,13,55000
0,male,0,14,54699
0,male,0,15,54618
0,male,0,16,54804
0,male,0,17,54652
0,male,0,18,879
0,male,1,0,58683
0,male,1,1,55398
0,male,1,2,55356
0,male,1,3,55312
0,male,1,4,55548
0,male,1,5,55733
0,male,1,6,55935
0,male,1,7,55487
0,male,1,8,55529
0,male,1,9,55263
0,male,1,10,55182
0,male,1,11,55566
0,male,1,12,55371
0,male,1,13,54502
0,male,1,14,54295
0,male,1,15,54618
0,male,1,16,54378
0,male,1,17,54579
0,male,1,18,938
0,male,2,0,57988
0,male,2,1,55419
0,male,2,2,54998
0,male,2,3,55309
0,male,2,4,55362
0,male,2,5,55038
0,male,2,6,55699
0,male,2,7,55368
0,male,2,8,55826
0,male,2,9,55318
0,male,2,10,55250
0,male,2,11,55403
0,male,2,12,54711
0,male,2,13,55014
0,male,2,14,54403
0,male,2,15,54560
0,male,2,16,54117
0,male,2,17,54609
0,male,2,18,946
0,male,3,0,58287
0,male,3,1,55441
0,male,3,2,55183
0,male,3,3,55571
0,male,3,4,55556
0,male,3,5,55434
0,male,3,6,55512
0,male,3,7,55542
0,male,3,8,55163
0,male,3,9,55770
0,male,3,10,55535
0,male,3,11,55325
0,male,3,12,55542
0,male,3,13,54963
0,male,3,14,54557
0,male,3,15,54391
0,male,3,16,54503
0,male,3,17,54677
0,male,3,18,948
0,female,0,0,58233
0,female,0,1,55492
0,female,0,2,54963
0,female,0,3,55461
0,female,0,4,55255
0,female,0,5,55401
0,female,0,6,55178
0,female,0,7,55612
0,female,0,8,55219
0,female,0,9,55603
0,female,0,10,55371
0,female,0,11,55119
0,female,0,12,54662
0,female,0,13,54731
0,female,0,14,54801
0,female,0,15,54298
0,female,0,16,54467
0,female,0,17,54434
0,female,0,18,909
0,female,1,0,58207
0,female,1,1,55244
0,female,1,2,55487
0,female,1,3,55408
0,female,1,4,54867
0,female,1,5,55410
0,female,1,6,55446
0,female,1,7,55262
0,female,1,8,55201
0,female,1,9,55417
0,female,1,10,55291
0,female,1,11,55762
0,female,1,12,55189
0,female,1,13,55157
0,female,1,14,54812
0,female,1,15,54689
0,female,1,16,54719
0,female,1,17,54634
0,female,1,18,871
0,female,2,0,58922
0,female,2,1,55305
0,female,2,2,55025
0,female,2,3,55383
0,female,2,4,55589
0,female,2,5,55516
0,female,2,6,55491
0,female,2,7,55479
0,female,2,8,55354
0,female,2,9,55098
0,female,2,10,55353
0,female,2,11,55344
0,female,2,12,55269
0,female,2,13,54417
0,female,2,14,55137
0,female,2,15,55061
0,female,2,16,54640
0,female,2,17,54460
0,female,2,18,902
0,female,3,0,58426
0,female,3,1,55457
0,female,3,2,55724
0,female,3,3,55205
0,female,3,4,55502
0,female,3,5,55268
0,female,3,6,55573
0,female,3,7,55439
0,female,3,8,55349
0,female,3,9,55631
0,female,3,10,55398
0,female,3,11,55574
0,female,3,12,55231
0,female,3,13,54836
0,female,3,14,54461
0,female,3,15,54177
0,female,3,16,54839
0,female,3,17,55079
0,female,3,18,886
1,male,0,0,61119
1,male,0,1,55401
1,male,0,2,55099
1,male,0,3,55004
1,male,0,4,55195
1,male,0,5,55283
1,male,0,6,55359
1,male,0,7,55253
1,male,0,8,55215
1,male,0,9,55126
1,male,0,10,55649
1,male,0,11,55268
1,male,0,12,54890
1,male,0,13,54215
1,male,0,14,53906
1,male,0,15,53709
1,male,0,16,53845
1,male,0,17,53681
1,male,0,18,1783
1,male,1,0,61550
1,male,1,1,55181
1,male,1,2,55105
1,male,1,3,55199
