tick,sex,event_age_months,count
0,male,0,25
0,male,1,17
0,male,2,22
0,male,3,25
0,male,4,59
0,male,5,73
0,male,6,57
0,male,7,67
0,male,8,68
0,male,9,70
0,male,10,77
0,male,11,55
0,male,12,72
0,male,13,264
0,male,14,300
0,male,15,272
0,male,16,270
0,male,17,283
0,female,0,31
0,female,1,24
0,female,2,18
0,female,3,17
0,female,4,65
0,female,5,63
0,female,6,55
0,female,7,57
0,female,8,61
0,female,9,71
0,female,10,70
0,female,11,68
0,female,12,57
0,female,13,317
0,female,14,258
0,female,15,265
0,female,16,284
0,female,17,282
1,male,0,22
1,male,1,18
1,male,2,24
1,male,3,22
1,male,4,77
1,male,5,65
1,male,6,72
1,male,7,65
1,male,8,61
1,male,9,69
1,male,10,67
1,male,11,62
1,male,12,51
1,male,13,287
1,male,14,301
1,male,15,277
1,male,16,256
1,male,17,261
1,female,0,18
1,female,1,19
1,female,2,29
1,female,3,18
1,female,4,71
1,female,5,73
1,female,6,60
1,female,7,65
1,female,8,61
1,female,9,87
1,female,10,63
1,female,11,71
1,female,12,58
1,female,13,289
1,female,14,250
1,female,15,280
1,female,16,277
1,female,17,250
1,female,18,7
2,male,0,25
2,male,1,21
2,male,2,26
2,male,3,23
2,male,4,57
2,male,5,56
2,male,6,67
2,male,7,70
2,male,8,73
2,male,9,74
2,male,10,63
2,male,11,59
2,male,12,68
2,male,13,260
2,male,14,296
2,male,15,253
2,male,16,301
2,male,17,284
2,male,18,15
2,female,0,21
2,female,1,18
2,female,2,21
2,female,3,22
2,female,4,54
2,female,5,57
2,female,6,86
2,female,7,57
2,female,8,55
2,female,9,51
2,female,10,77
2,female,11,77
2,female,12,58
2,female,13,289
2,female,14,289
2,female,15,297
2,female,16,254
2,female,17,251
2,female,18,11
3,male,0,23
3,male,1,23
3,male,2,20
3,male,3,20
3,male,4,77
3,male,5,56
3,male,6,56
3,male,7,65
3,male,8,73
3,male,9,70
3,male,10,68
3,male,11,53
3,male,12,72
3,male,13,237
3,male,14,251
3,male,15,264
3,male,16,263
3,male,17,248
3,male,18,14
3,female,0,24
3,female,1,21
3,female,2,15
3,female,3,16
3,female,4,61
3,female,5,73
3,female,6,60
3,female,7,58
3,female,8,60
3,female,9,64
3,female,10,56
3,female,11,59
3,female,12,63
3,female,13,305
3,female,14,261
3,female,15,279
3,female,16,258
3,female,17,259
3,female,18,15
4,male,0,19
4,male,1,27
4,male,2,18
4,male,3,26
4,male,4,70
4,male,5,75
4,male,6,69
4,male,7,73
4,male,8,69
4,male,9,58
4,male,10,82
4,male,11,56
4,male,12,68
4,male,13,271
4,male,14,224
4,male,15,234
4,male,16,258
4,male,17,258
4,male,18,16
4,female,0,22
4,female,1,28
4,female,2,36
4,female,3,23
4,female,4,69
4,female,5,72
4,female,6,57
4,female,7,76
4,female,8,54
4,female,9,64
4,female,10,68
4,female,11,65
4,female,12,73
4,female,13,269
4,female,14,263
4,female,15,233
4,female,16,263
4,female,17,282
4,female,18,17
5,male,0,24
5,male,1,25
5,male,2,17
5,male,3,24
5,male,4,68
5,male,5,65
5,male,6,70
5,male,7,63
5,male,8,58
5,male,9,74
5,male,10,76
5,male,11,63
5,male,12,60
5,male,13,279
5,male,14,249
5,male,15,275
5,male,16,271
5,male,17,246
5,male,18,19
5,female,0,29
5,female,1,26
5,female,2,19
5,female,3,18
5,female,4,56
5,female,5,63
5,female,6,59
5,female,7,64
5,female,8,73
5,female,9,72
5,female,10,66
5,female,11,63
5,female,12,68
5,female,13,251
5,female,14,263
5,female,15,266
5,female,16,233
5,female,17,271
5,female,18,17
6,male,0,36
6,male,1,29
6,male,2,33
6,male,3,24
6,male,4,66
6,male,5,66
6,male,6,60
6,male,7,58
6,male,8,69
6,male,9,66
6,male,10,68
6,male,11,64
6,male,12,70
6,male,13,244
6,male,14,250
6,male,15,229
6,male,16,226
6,male,17,253
6,male,18,28
6,female,0,23
6,female,1,29
6,female,2,15
6,female,3,28
6,female,4,64
6,female,5,75
6,female,6,66
6,female,7,59
6,female,8,58
6,female,9,63
6,female,10,59
6,female,11,63
6,female,12,62
6,female,13,250
6,female,14,249
6,female,15,232
6,female,16,274
6,female,17,234
6,female,18,29
7,male,0,30
7,male,1,16
7,male,2,33
7,male,3,26
7,male,4,54
7,male,5,46
7,male,6,61
7,male,7,57
7,male,8,72
7,male,9,62
7,male,10,55
7,male,11,70
7,male,12,66
7,male,13,267
7,male,14,286
7,male,15,261
7,male,16,258
7,male,17,236
7,male,18,26
7,female,0,34
7,female,1,23
7,female,2,22
7,female,3,37
7,female,4,71
7,female,5,70
7,female,6,56
7,female,7,61
7,female,8,76
7,female,9,70
7,female,10,72
7,female,11,66
7,female,12,80
7,female,13,245
7,female,14,276
7,female,15,268
7,female,16,259
7,female,17,238
7,female,18,22
8,male,0,36
8,male,1,19
8,male,2,17
8,male,3,22
8,male,4,69
8,male,5,72
8,male,6,62
8,male,7,60
8,male,8,72
8,male,9,81
8,male,10,54
8,male,11,69
8,male,12,55
8,male,13,266
8,male,14,279
8,male,15,250
8,male,16,285
8,male,17,229
8,male,18,20
8,female,0,27
8,female,1,28
8,female,2,21
8,female,3,24
8,female,4,74
8,female,5,60
8,female,6,71
8,female,7,62
8,female,8,73
8,female,9,67
8,female,10,69
8,female,11,73
8,female,12,56
8,female,13,278
8,female,14,234
8,female,15,237
8,female,16,233
8,female,17,270
8,female,18,39
9,male,0,43
9,male,1,25
9,male,2,25
9,male,3,24
9,male,4,60
9,male,5,74
9,male,6,65
9,male,7,60
9,male,8,55
9,male,9,66
9,male,10,66
9,male,11,57
9,male,12,57
9,male,13,292
9,male,14,249
9,male,15,229
9,male,16,229
9,male,17,229
9,male,18,47
9,female,0,36
9,female,1,23
9,female,2,19
9,female,3,18
9,female,4,64
9,female,5,82
9,female,6,71
9,female,7,60
9,female,8,73
9,female,9,72
9,female,10,67
9,female,11,76
9,female,12,66
9,female,13,259
9,female,14,218
9,female,15,238
9,female,16,242
9,female,17,245
9,female,18,44
10,male,0,24
10,male,1,16
10,male,2,26
10,male,3,13
10,male,4,59
10,male,5,65
10,male,6,76
10,male,7,55
10,male,8,59
10,male,9,69
10,male,10,78
10,male,11,71
10,male,12,67
10,male,13,243
10,male,14,232
10,male,15,250
10,male,16,238
10,male,17,270
10,male,18,41
10,female,0,32
10,female,1,20
10,female,2,22
10,female,3,25
10,female,4,61
10,female,5,60
10,female,6,67
10,female,7,71
10,female,8,59
10,female,9,62
10,female,10,61
10,female,11,60
10,female,12,65
10,female,13,246
10,female,14,249
10,female,15,233
10,female,16,240
10,female,17,242
10,female,18,38
11,male,0,45
11,male,1,22
11,male,2,21
11,male,3,35
11,male,4,75
11,male,5,56
11,male,6,46
11,male,7,71
11,male,8,60
11,male,9,78
11,male,10,46
11,male,11,65
11,male,12,79
11,male,13,236
11,male,14,208
11,male,15,200
11,male,16,217
11,male,17,235
11,male,18,42
11,female,0,32
11,female,1,20
11,female,2,24
11,female,3,25
11,female,4,59
11,female,5,64
11,female,6,62
11,female,7,75
11,female,8,79
11,female,9,67
11,female,10,69
11,female,11,64
11,female,12,68
11,female,13,254
11,female,14,240
11,female,15,260
11,female,16,232
11,female,17,218
11,female,18,48
12,male,0,33
12,male,1,24
12,male,2,20
12,male,3,24
12,male,4,51
12,male,5,74
12,male,6,67
12,male,7,76
12,male,8,71
12,male,9,74
12,male,10,52
12,male,11,71
12,male,12,69
12,male,13,249
12,male,14,240
12,male,15,235
12,male,16,249
12,male,17,223
12,male,18,51
12,female,0,32
12,female,1,16
12,female,2,22
12,female,3,30
12,female,4,57
12,female,5,66
12,female,6,59
12,female,7,58
12,female,8,48
12,female,9,59
12,female,10,69
12,female,11,64
12,female,12,55
12,female,13,222
12,female,14,234
12,female,15,236
12,female,16,226
12,female,17,233
12,female,18,44
13,male,0,43
13,male,1,27
13,male,2,25
13,male,3,22
13,male,4,64
13,male,5,47
13,male,6,65
13,male,7,68
13,male,8,65
13,male,9,56
13,male,10,67
13,male,11,52
13,male,12,45
13,male,13,274
13,male,14,187
13,male,15,255
13,male,16,225
13,male,17,235
13,male,18,54
13,female,0,32
13,female,1,13
13,female,2,16
13,female,3,21
13,female,4,66
13,female,5,62
13,female,6,84
13,female,7,82
