tick,sex,area,age_months,count
0,male,0,0,5981
0,male,0,1,5536
0,male,0,2,5468
0,male,0,3,5547
0,male,0,4,5528
0,male,0,5,5455
0,male,0,6,5623
0,male,0,7,5600
0,male,0,8,5605
0,male,0,9,5541
0,male,0,10,5638
0,male,0,11,5552
0,male,0,12,5489
0,male,0,13,5435
0,male,0,14,5355
0,male,0,15,5373
0,male,0,16,5483
0,male,0,17,5454
0,male,0,18,82
0,male,1,0,5840
0,male,1,1,5633
0,male,1,2,5531
0,male,1,3,5481
0,male,1,4,5465
0,male,1,5,5646
0,male,1,6,5681
0,male,1,7,5598
0,male,1,8,5656
0,male,1,9,5499
0,male,1,10,5441
0,male,1,11,5676
0,male,1,12,5500
0,male,1,13,5416
0,male,1,14,5407
0,male,1,15,5537
0,male,1,16,5468
0,male,1,17,5489
0,male,1,18,109
0,male,2,0,5893
0,male,2,1,5514
0,male,2,2,5565
0,male,2,3,5554
0,male,2,4,5563
0,male,2,5,5559
0,male,2,6,5518
0,male,2,7,5370
0,male,2,8,5551
0,male,2,9,5604
0,male,2,10,5494
0,male,2,11,5599
0,male,2,12,5365
0,male,2,13,5539
0,male,2,14,5424
0,male,2,15,5389
0,male,2,16,5384
0,male,2,17,5447
0,male,2,18,94
0,male,3,0,5826
0,male,3,1,5525
0,male,3,2,5427
0,male,3,3,5622
0,male,3,4,5526
0,male,3,5,5604
0,male,3,6,5620
0,male,3,7,5513
0,male,3,8,5535
0,male,3,9,5609
0,male,3,10,5655
0,male,3,11,5658
0,male,3,12,5583
0,male,3,13,5452
0,male,3,14,5533
0,male,3,15,5430
0,male,3,16,5493
0,male,3,17,5323
0,male,3,18,91
0,female,0,0,5863
0,female,0,1,5676
0,female,0,2,5433
0,female,0,3,5483
0,female,0,4,5484
0,female,0,5,5530
0,female,0,6,5461
0,female,0,7,5587
0,female,0,8,5483
0,female,0,9,5514
0,female,0,10,5396
0,female,0,11,5481
0,female,0,12,5422
0,female,0,13,5465
0,female,0,14,5619
0,female,0,15,5428
0,female,0,16,5441
0,female,0,17,5468
0,female,0,18,98
0,female,1,0,6068
0,female,1,1,5481
0,female,1,2,5509
0,female,1,3,5542
0,female,1,4,5475
0,female,1,5,5474
0,female,1,6,5586
0,female,1,7,5418
0,female,1,8,5360
0,female,1,9,5409
0,female,1,10,5547
0,female,1,11,5579
0,female,1,12,5462
0,female,1,13,5608
0,female,1,14,5509
0,female,1,15,5422
0,female,1,16,5529
0,female,1,17,5454
0,female,1,18,83
0,female,2,0,5946
0,female,2,1,5541
0,female,2,2,5562
0,female,2,3,5556
0,female,2,4,5672
0,female,2,5,5591
0,female,2,6,5522
0,female,2,7,5552
0,female,2,8,5492
0,female,2,9,5584
0,female,2,10,5597
0,female,2,11,5582
0,female,2,12,5398
0,female,2,13,5492
0,female,2,14,5437
0,female,2,15,5524
0,female,2,16,5423
0,female,2,17,5450
0,female,2,18,96
0,female,3,0,5844
0,female,3,1,5525
0,female,3,2,5544
0,female,3,3,5372
0,female,3,4,5549
0,female,3,5,5599
0,female,3,6,5383
0,female,3,7,5589
0,female,3,8,5501
0,female,3,9,5720
0,female,3,10,5405
0,female,3,11,5612
0,female,3,12,5407
0,female,3,13,5442
0,female,3,14,5279
0,female,3,15,5391
0,female,3,16,5507
0,female,3,17,5611
0,female,3,18,97
1,male,0,0,6322
1,male,0,1,5528
1,male,0,2,5433
1,male,0,3,5530
1,male,0,4,5519
1,male,0,5,5409
1,male,0,6,5582
1,male,0,7,5575
1,male,0,8,5573
1,male,0,9,5516
1,male,0,10,5623
1,male,0,11,5522
1,male,0,12,5477
1,male,0,13,5312
1,male,0,14,5261
1,male,0,15,5294
1,male,0,16,5370
1,male,0,17,5373
1,male,0,18,174
1,male,1,0,6187
1,male,1,1,5604
1,male,1,2,5497
1,male,1,3,5485
1,male,1,4,5450
1,male,1,5,5592
1,male,1,6,5657
1,male,1,7,5551
1,male,1,8,5622
1,male,1,9,5480
1,male,1,10,5427
1,male,1,11,5635
1,male,1,12,5469
1,male,1,13,5348
1,male,1,14,5305
1,male,1,15,5438
1,male,1,16,5374
1,male,1,17,5400
1,male,1,18,190
1,male,2,0,6272
1,male,2,1,5504
1,male,2,2,5535
1,male,2,3,5533
1,male,2,4,5506
1,male,2,5,5552
1,male,2,6,5491
1,male,2,7,5357
1,male,2,8,5513
1,male,2,9,5584
1,male,2,10,5467
1,male,2,11,5558
1,male,2,12,5330
1,male,2,13,5495
1,male,2,14,5303
1,male,2,15,5312
1,male,2,16,5272
1,male,2,17,5343
1,male,2,18,189
1,male,3,0,6197
1,male,3,1,5488
1,male,3,2,5402
1,male,3,3,5605
1,male,3,4,5480
1,male,3,5,5571
1,male,3,6,5583
1,male,3,7,5482
1,male,3,8,5522
1,male,3,9,5564
1,male,3,10,5610
1,male,3,11,5644
1,male,3,12,5579
1,male,3,13,5357
1,male,3,14,5463
1,male,3,15,5333
1,male,3,16,5409
1,male,3,17,5246
1,male,3,18,183
1,female,0,0,6187
1,female,0,1,5648
1,female,0,2,5382
1,female,0,3,5500
1,female,0,4,5450
1,female,0,5,5490
1,female,0,6,5441
1,female,0,7,5576
1,female,0,8,5450
1,female,0,9,5466
1,female,0,10,5399
1,female,0,11,5456
1,female,0,12,5392
1,female,0,13,5390
1,female,0,14,5511
1,female,0,15,5363
1,female,0,16,5367
1,female,0,17,5370
1,female,0,18,188
1,female,1,0,6454
1,female,1,1,5464
1,female,1,2,5479
1,female,1,3,5534
1,female,1,4,5431
1,female,1,5,5466
1,female,1,6,5553
1,female,1,7,5415
1,female,1,8,5304
1,female,1,9,5405
1,female,1,10,5515
1,female,1,11,5546
1,female,1,12,5460
1,female,1,13,5512
1,female,1,14,5424
1,female,1,15,5307
1,female,1,16,5388
1,female,1,17,5412
1,female,1,18,145
1,female,2,0,6326
1,female,2,1,5532
1,female,2,2,5531
1,female,2,3,5519
1,female,2,4,5644
1,female,2,5,5553
1,female,2,6,5483
1,female,2,7,5518
1,female,2,8,5468
1,female,2,9,5544
1,female,2,10,5559
1,female,2,11,5563
1,female,2,12,5367
1,female,2,13,5402
1,female,2,14,5354
1,female,2,15,5407
1,female,2,16,5343
1,female,2,17,5356
1,female,2,18,183
1,female,3,0,6192
1,female,3,1,5490
1,female,3,2,5494
1,female,3,3,5390
1,female,3,4,5504
1,female,3,5,5582
1,female,3,6,5343
1,female,3,7,5586
1,female,3,8,5482
1,female,3,9,5688
1,female,3,10,5374
1,female,3,11,5583
1,female,3,12,5386
1,female,3,13,5336
1,female,3,14,5236
1,female,3,15,5290
1,female,3,16,5398
1,female,3,17,5516
1,female,3,18,184
2,male,0,0,6715
2,male,0,1,5507
2,male,0,2,5392
2,male,0,3,5508
2,male,0,4,5494
2,male,0,5,5363
2,male,0,6,5545
2,male,0,7,5566
2,male,0,8,5538
2,male,0,9,5490
2,male,0,10,5582
2,male,0,11,5480
2,male,0,12,5435
2,male,0,13,5267
2,male,0,14,5159
2,male,0,15,5214
2,male,0,16,5227
2,male,0,17,5276
2,male,0,18,260
2,male,1,0,6549
2,male,1,1,5571
2,male,1,2,5467
2,male,1,3,5479
2,male,1,4,5438
2,male,1,5,5558
2,male,1,6,5630
2,male,1,7,5521
2,male,1,8,5598
2,male,1,9,5437
2,male,1,10,5383
2,male,1,11,5607
2,male,1,12,5421
2,male,1,13,5270
2,male,1,14,5201
2,male,1,15,5364
2,male,1,16,5276
2,male,1,17,5294
2,male,1,18,292
2,male,2,0,6631
2,male,2,1,5482
2,male,2,2,5513
2,male,2,3,5509
2,male,2,4,5475
2,male,2,5,5530
2,male,2,6,5471
2,male,2,7,5330
2,male,2,8,5499
2,male,2,9,5516
2,male,2,10,5449
2,male,2,11,5523
2,male,2,12,5306
2,male,2,13,5413
2,male,2,14,5226
2,male,2,15,5243
2,male,2,16,5172
2,male,2,17,5235
2,male,2,18,263
2,male,3,0,6608
2,male,3,1,5458
2,male,3,2,5376
2,male,3,3,5591
2,male,3,4,5442
2,male,3,5,5553
2,male,3,6,5552
2,male,3,7,5437
2,male,3,8,5494
2,male,3,9,5504
2,male,3,10,5588
2,male,3,11,5610
2,male,3,12,5546
2,male,3,13,5280
2,male,3,14,5378
2,male,3,15,5203
2,male,3,16,5342
2,male,3,17,5144
2,male,3,18,271
2,female,0,0,6523
2,female,0,1,5617
2,female,0,2,5372
2,female,0,3,5476
2,female,0,4,5420
2,female,0,5,5468
2,female,0,6,5417
2,female,0,7,5554
2,female,0,8,5419
2,female,0,9,5402
2,female,0,10,5379
2,female,0,11,5425
2,female,0,12,5361
2,female,0,13,5305
2,female,0,14,5426
2,female,0,15,5282
2,female,0,16,5283
2,female,0,17,5253
2,female,0,18,276
2,female,1,0,6812
2,female,1,1,5469
2,female,1,2,5454
2,female,1,3,5505
2,female,1,4,5402
2,female,1,5,5448
2,female,1,6,5494
2,female,1,7,5382
2,female,1,8,5280
2,female,1,9,5384
2,female,1,10,5486
2,female,1,11,5527
2,female,1,12,5422
2,female,1,13,5453
2,female,1,14,5318
2,female,1,15,5229
2,female,1,16,5296
2,female,1,17,5304
2,female,1,18,230
2,female,2,0,6733
2,female,2,1,5479
2,female,2,2,5511
2,female,2,3,5504
2,female,2,4,5601
2,female,2,5,5536
2,female,2,6,5451
2,female,2,7,5499
2,female,2,8,5448
2,female,2,9,5519
2,female,2,10,5531
2,female,2,11,5502
2,female,2,12,5374
2,female,2,13,5317
2,female,2,14,5240
2,female,2,15,5305
2,female,2,16,5272
2,female,2,17,5247
2,female,2,18,273
2,female,3,0,6552
2,female,3,1,5487
2,female,3,2,5445
2,female,3,3,5387
2,female,3,4,5470
2,female,3,5,5541
2,female,3,6,5322
2,female,3,7,5567
2,female,3,8,5464
2,female,3,9,5657
2,female,3,10,5362
2,female,3,11,5537
2,female,3,12,5377
2,female,3,13,5272
2,female,3,14,5153
2,female,3,15,5173
2,female,3,16,5320
2,female,3,17,5403
2,female,3,18,277
3,male,0,0,7095
3,male,0,1,5486
3,male,0,2,5355
3,male,0,3,5489
3,male,0,4,5469
3,male,0,5,5337
3,male,0,6,5542
3,male,0,7,5525
3,male,0,8,5507
3,male,0,9,5470
3,male,0,10,5530
3,male,0,11,5461
3,male,0,12,5414
3,male,0,13,5231
3,male,0,14,5055
3,male,0,15,5137
3,male,0,16,5144
3,male,0,17,5188
3,male,0,18,348
3,male,1,0,6929
3,male,1,1,5542
3,male,1,2,5444
3,male,1,3,5469
3,male,1,4,5397
3,male,1,5,5526
3,male,1,6,5601
3,male,1,7,5509
3,male,1,8,5553
3,male,1,9,5380
3,male,1,10,5377
3,male,1,11,5540
3,male,1,12,5412
3,male,1,13,5203
3,male,1,14,5114
3,male,1,15,5268
3,male,1,16,5179
3,male,1,17,5204
3,male,1,18,360
3,male,2,0,7026
3,male,2,1,5446
3,male,2,2,5508
3,male,2,3,5491
3,male,2,4,5445
3,male,2,5,5459
3,male,2,6,5464
3,male,2,7,5292
3,male,2,8,5489
3,male,2,9,5461
3,male,2,10,5440
3,male,2,11,5511
3,male,2,12,5274
3,male,2,13,5332
3,male,2,14,5141
3,male,2,15,5161
3,male,2,16,5085
3,male,2,17,5141
3,male,2,18,355
3,male,3,0,7023
3,male,3,1,5434
3,male,3,2,5359
3,male,3,3,5580
3,male,3,4,5401
3,male,3,5,5534
3,male,3,6,5502
3,male,3,7,5423
3,male,3,8,5465
3,male,3,9,5446
3,male,3,10,5580
3,male,3,11,5595
3,male,3,12,5512
3,male,3,13,5196
3,male,3,14,5289
3,male,3,15,5130
3,male,3,16,5241
3,male,3,17,5056
3,male,3,18,370
3,female,0,0,6885
3,female,0,1,5586
3,female,0,2,5358
3,female,0,3,5460
3,female,0,4,5394
3,female,0,5,5426
3,female,0,6,5382
3,female,0,7,5547
3,female,0,8,5371
3,female,0,9,5383
3,female,0,10,5362
3,female,0,11,5398
3,female,0,12,5330
3,female,0,13,5203
3,female,0,14,5327
3,female,0,15,5192
3,female,0,16,5212
3,female,0,17,5153
3,female,0,18,362
3,female,1,0,7244
3,female,1,1,5449
3,female,1,2,5421
3,female,1,3,5462
3,female,1,4,5404
3,female,1,5,5418
3,female,1,6,5463
3,female,1,7,5355
3,female,1,8,5255
3,female,1,9,5334
3,female,1,10,5474
3,female,1,11,5512
3,female,1,12,5382
3,female,1,13,5395
3,female,1,14,5212
