tick,sex,area,age_months,count
0,male,0,0,5935
0,male,0,1,5534
0,male,0,2,5469
0,male,0,3,5549
0,male,0,4,5538
0,male,0,5,5459
0,male,0,6,5620
0,male,0,7,5597
0,male,0,8,5608
0,male,0,9,5544
0,male,0,10,5648
0,male,0,11,5559
0,male,0,12,5489
0,male,0,13,5432
0,male,0,14,5356
0,male,0,15,5377
0,male,0,16,5488
0,male,0,17,5455
0,male,0,18,82
0,male,1,0,5808
0,male,1,1,5633
0,male,1,2,5533
0,male,1,3,5483
0,male,1,4,5469
0,male,1,5,5648
0,male,1,6,5682
0,male,1,7,5597
0,male,1,8,5655
0,male,1,9,5503
0,male,1,10,5448
0,male,1,11,5681
0,male,1,12,5506
0,male,1,13,5416
0,male,1,14,5409
0,male,1,15,5534
0,male,1,16,5474
0,male,1,17,5486
0,male,1,18,109
0,male,2,0,5864
0,male,2,1,5516
0,male,2,2,5569
0,male,2,3,5551
0,male,2,4,5577
0,male,2,5,5567
0,male,2,6,5524
0,male,2,7,5374
0,male,2,8,5550
0,male,2,9,5609
0,male,2,10,5498
0,male,2,11,5605
0,male,2,12,5367
0,male,2,13,5538
0,male,2,14,5425
0,male,2,15,5389
0,male,2,16,5387
0,male,2,17,5449
0,male,2,18,93
0,male,3,0,5787
0,male,3,1,5526
0,male,3,2,5426
0,male,3,3,5616
0,male,3,4,5527
0,male,3,5,5605
0,male,3,6,5617
0,male,3,7,5518
0,male,3,8,5537
0,male,3,9,5616
0,male,3,10,5661
0,male,3,11,5656
0,male,3,12,5588
0,male,3,13,5445
0,male,3,14,5540
0,male,3,15,5431
0,male,3,16,5496
0,male,3,17,5324
0,male,3,18,91
0,female,0,0,5823
0,female,0,1,5678
0,female,0,2,5434
0,female,0,3,5482
0,female,0,4,5492
0,female,0,5,5530
0,female,0,6,5462
0,female,0,7,5596
0,female,0,8,5485
0,female,0,9,5510
0,female,0,10,5397
0,female,0,11,5492
0,female,0,12,5428
0,female,0,13,5463
0,female,0,14,5617
0,female,0,15,5433
0,female,0,16,5443
0,female,0,17,5463
0,female,0,18,98
0,female,1,0,6022
0,female,1,1,5479
0,female,1,2,5508
0,female,1,3,5538
0,female,1,4,5482
0,female,1,5,5481
0,female,1,6,5593
0,female,1,7,5429
0,female,1,8,5356
0,female,1,9,5419
0,female,1,10,5549
0,female,1,11,5578
0,female,1,12,5459
0,female,1,13,5609
0,female,1,14,5520
0,female,1,15,5419
0,female,1,16,5527
0,female,1,17,5457
0,female,1,18,83
0,female,2,0,5921
0,female,2,1,5540
0,female,2,2,5564
0,female,2,3,5554
0,female,2,4,5681
0,female,2,5,5594
0,female,2,6,5526
0,female,2,7,5551
0,female,2,8,5513
0,female,2,9,5590
0,female,2,10,5609
0,female,2,11,5586
0,female,2,12,5408
0,female,2,13,5482
0,female,2,14,5440
0,female,2,15,5525
0,female,2,16,5426
0,female,2,17,5446
0,female,2,18,96
0,female,3,0,5802
0,female,3,1,5523
0,female,3,2,5548
0,female,3,3,5371
0,female,3,4,5558
0,female,3,5,5593
0,female,3,6,5389
0,female,3,7,5586
0,female,3,8,5511
0,female,3,9,5726
0,female,3,10,5406
0,female,3,11,5624
0,female,3,12,5412
0,female,3,13,5436
0,female,3,14,5282
0,female,3,15,5388
0,female,3,16,5512
0,female,3,17,5600
0,female,3,18,97
1,male,0,0,6235
1,male,0,1,5530
1,male,0,2,5436
1,male,0,3,5528
1,male,0,4,5529
1,male,0,5,5421
1,male,0,6,5582
1,male,0,7,5573
1,male,0,8,5577
1,male,0,9,5526
1,male,0,10,5634
1,male,0,11,5527
1,male,0,12,5483
1,male,0,13,5308
