# params={"birth_rate":0.032503481185216614,"mortality_young":0.0009847285193970439,"mortality_adult":0.003009386119429492,"mortality_old":0.007191058115181574,"overseas_arrival_rate":0.015546980648915838,"emigration_rate":0.0019754865124450576,"internal_departure_rate":0.00225477262385589,"internal_arrival_rate":0.015201679742482217}
# dt=1
tick,population,invalid_age,males,females,age_00_04,age_20_24,age_65_69,age_85_plus,births_this_tick,deaths_this_tick,overseas_arrivals_this_tick,overseas_departures_this_tick,internal_arrivals_this_tick,internal_departures_this_tick,locked_out,vacant_birth_slots,vacant_overseas_slots,vacant_internal_slots,max_generation,fired_age_monthly,fired_clear_event,fired_birth_activate,fired_overseas_arrive,fired_internal_arrive,fired_die_young,fired_die_adult,fired_die_old,fired_emigrate,fired_internal_depart,deferred_total
0,798941,0,399963,398978,47189,44300,44111,44727,3927,2851,798,1609,446,1770,5171,116073,49202,29554,1,800000,0,3927,798,446,159,1159,1533,1609,1770,11
1,797637,0,399313,398324,50004,44043,43640,45013,3756,2894,754,1608,426,1738,4936,118547,48448,29128,1,798941,11401,3756,754,426,158,1193,1543,1608,1738,21
2,796244,0,398620,397624,52854,43805,43298,45112,3769,2923,743,1583,456,1855,4968,121018,47705,28672,2,797637,11176,3769,743,456,162,1153,1608,1583,1855,15
3,795254,0,398077,397177,55846,43629,42942,45317,3900,2839,761,1549,427,1690,5088,123471,46947,28250,2,796244,11329,3900,761,427,140,1133,1566,1549,1690,13
4,794130,0,397582,396548,58872,43375,42628,45504,3950,2921,678,1472,422,1781,5050,125579,46279,27838,2,795254,11166,3950,678,422,188,1213,1520,1472,1781,14
5,793153,0,397029,396124,61895,43129,42297,45660,4046,2861,708,1568,438,1740,5192,127684,45589,27405,2,794130,11224,4046,708,438,175,1170,1516,1568,1740,14
6,792243,0,396556,395687,65030,42966,41975,45841,4109,2780,739,1603,400,1775,5248,129715,44871,27013,2,793153,11361,4109,739,400,195,1148,1437,1603,1775,12
7,791506,0,396236,395270,68244,42774,41598,46048,4223,2865,702,1492,411,1716,5336,131605,44196,26620,3,792243,11406,4223,702,411,204,1149,1512,1492,1716,16
8,790548,0,395769,394779,71437,42647,41199,46141,4240,2909,668,1519,410,1848,5318,133390,43557,26229,3,791506,11409,4240,668,410,174,1189,1546,1519,1848,14
9,789687,0,395440,394247,74569,42498,40826,46241,4248,2862,675,1548,413,1787,5336,135358,42917,25841,3,790548,11594,4248,675,413,196,1179,1487,1548,1787,19
10,789017,0,395067,393950,77814,42316,40489,46337,4288,2801,667,1499,404,1729,5359,137204,42288,25462,3,789687,11533,4288,667,404,167,1150,1484,1499,1729,14
11,788273,0,394684,393589,81090,42139,40055,46503,4377,2833,640,1504,377,1801,5394,138783,41686,25120,3,789017,11388,4377,640,377,218,1168,1447,1504,1801,10
12,787497,0,394310,393187,84371,41965,39736,46629,4348,2761,640,1597,346,1752,5334,140495,41099,24799,3,788273,11532,4348,640,346,186,1125,1450,1597,1752,14
13,786857,0,393920,392937,87763,41726,39387,46704,4483,2826,601,1551,388,1735,5472,142037,40551,24443,3,787497,11444,4483,601,388,180,1108,1538,1551,1735,14
14,786184,0,393638,392546,91061,41452,39012,46796,4446,2717,616,1564,357,1811,5419,143610,39990,24124,3,786857,11584,4446,616,357,209,1090,1418,1564,1811,16
15,785442,0,393334,392108,94300,41306,38686,46907,4359,2737,624,1611,358,1735,5341,145242,39433,23800,3,786184,11511,4359,624,358,227,1134,1376,1611,1735,19
16,785083,0,393132,391951,97831,41038,38405,47000,4674,2716,597,1513,341,1742,5612,146539,38912,23495,3,785442,11424,4674,597,341,239,1094,1383,1513,1742,15
17,784602,0,392977,391625,101364,40774,38067,47116,4692,2771,587,1570,351,1770,5630,147708,38391,23188,3,785083,11583,4692,587,351,236,1111,1424,1570,1770,12
18,784331,0,392933,391398,104959,40624,37755,47229,4739,2705,572,1515,353,1715,5664,148944,37909,22881,3,784602,11741,4739,572,353,210,1085,1410,1515,1715,15
19,784042,0,392759,391283,108480,40408,37423,47320,4727,2689,618,1495,321,1771,5666,150021,37373,22609,3,784331,11599,4727,618,321,225,1093,1371,1495,1771,8
20,783830,0,392658,391172,112124,40179,37101,47378,4816,2702,555,1553,353,1681,5724,151014,36921,22299,3,784042,11621,4816,555,353,219,1082,1401,1553,1681,17
21,783563,0,392565,390998,115782,40011,36777,47419,4824,2668,545,1632,321,1657,5690,151977,36477,22026,3,783830,11660,4824,545,321,220,1103,1345,1632,1657,19
22,783497,0,392535,390962,119443,39793,36533,47492,4883,2648,581,1522,346,1706,5810,152883,36012,21732,3,783563,11647,4883,581,346,246,1071,1331,1522,1706,9
23,783259,0,392343,390916,122986,39558,36315,47563,4796,2629,628,1588,326,1771,5750,153824,35474,21455,3,783497,11686,4796,628,326,271,1046,1312,1588,1771,14
