# params={"birth_rate":0.018705342938632238,"mortality_young":0.0011206999094652745,"mortality_adult":0.002897727094687267,"mortality_old":0.020536203880262532,"overseas_arrival_rate":0.019927105685100692,"emigration_rate":0.0015464473950316093,"internal_departure_rate":0.002405180453277857,"internal_arrival_rate":0.02294508919891022}
# dt=1
tick,population,invalid_age,males,females,age_00_04,age_20_24,age_65_69,age_85_plus,births_this_tick,deaths_this_tick,overseas_arrivals_this_tick,overseas_departures_this_tick,internal_arrivals_this_tick,internal_departures_this_tick,locked_out,vacant_birth_slots,vacant_overseas_slots,vacant_internal_slots,max_generation,fired_age_monthly,fired_clear_event,fired_birth_activate,fired_overseas_arrive,fired_internal_arrive,fired_die_young,fired_die_adult,fired_die_old,fired_emigrate,fired_internal_depart,deferred_total
0,7948469,0,3974888,3973581,456411,443043,435130,441020,22254,58698,9866,12515,6836,19274,38956,1177746,490134,293164,1,8000000,0,22254,9866,6836,1968,11703,45027,12515,19274,267
1,7897628,0,3949258,3948370,468757,441402,426002,437163,21446,57733,9789,12120,6760,18983,37995,1246787,480345,286404,1,7948469,129443,21446,9789,6760,1957,11508,44268,12120,18983,270
2,7849020,0,3925152,3923868,482516,439596,417344,433522,23031,56430,9431,12340,6460,18760,38922,1312592,470914,279944,2,7897628,126831,23031,9431,6460,1969,11408,43053,12340,18760,274
3,7802477,0,3901892,3900585,497591,438056,409241,429833,24218,55824,9412,11846,6420,18923,40050,1375779,461564,273587,2,7849020,126452,24218,9412,6420,2016,11327,42481,11846,18923,256
4,7758700,0,3880221,3878479,514175,436521,401419,425847,25792,54470,9124,11942,6259,18540,41175,1436280,452612,267456,2,7802477,126643,25792,9124,6259,1999,11384,41087,11942,18540,221
5,7715431,0,3858572,3856859,531218,434784,393797,421911,26439,54271,8981,11936,6192,18674,41612,1494374,443876,261438,2,7758700,126127,26439,8981,6192,2074,11307,40890,11936,18674,262
6,7674199,0,3837923,3836276,549790,433026,386202,417895,27955,53632,8788,11887,5847,18303,42590,1550705,435422,255852,2,7715431,126493,27955,8788,5847,2055,11475,40102,11887,18303,234
7,7634851,0,3818379,3816472,568762,431170,379066,413871,28460,52346,8616,11770,5881,18189,42957,1605363,427176,250305,2,7674199,126412,28460,8616,5881,2038,11255,39053,11770,18189,245
8,7596821,0,3799280,3797541,589012,429468,372097,409768,29740,51952,8326,11524,5736,18356,43802,1657069,419326,244952,2,7634851,125262,29740,8326,5736,2023,11277,38652,11524,18356,254
9,7559991,0,3781035,3778956,609917,428001,365312,405679,30463,51162,8127,11570,5526,18214,44116,1707515,411710,239838,3,7596821,125634,30463,8127,5526,2096,11072,37994,11570,18214,252
10,7525384,0,3763672,3761712,631813,426393,358915,401468,31644,50254,8161,11686,5376,17848,45181,1755741,404166,234921,3,7559991,125062,31644,8161,5376,2008,11213,37033,11686,17848,228
11,7492666,0,3747298,3745368,654459,424763,352524,397494,32371,49180,7830,11357,5488,17870,45689,1801924,397049,229954,3,7525384,124969,32371,7830,5488,2147,11072,35961,11357,17870,225
12,7461352,0,3731795,3729557,678016,422886,346419,393276,33349,48465,7785,11583,5293,17693,46427,1845702,390000,225205,3,7492666,124096,33349,7785,5293,2140,10853,35472,11583,17693,212
13,7430718,0,3716635,3714083,702176,420919,340655,389227,34001,47782,7694,11630,4922,17839,46617,1887997,383119,220915,3,7461352,124168,34001,7694,4922,2059,11050,34673,11630,17839,199
14,7402178,0,3702544,3699634,726983,419037,335035,385035,34985,46821,7475,11442,5054,17791,47514,1928717,376555,216496,3,7430718,123868,34985,7475,5054,2125,10736,33960,11442,17791,202
15,7374924,0,3688999,3685925,752491,417496,329627,380559,35524,46203,7368,11255,5015,17703,47907,1967573,370140,212202,3,7402178,123568,35524,7368,5015,2111,10739,33353,11255,17703,214
16,7349053,0,3675728,3673325,778772,415813,324396,376360,36400,45469,7200,11155,4776,17623,48376,2004581,363950,208169,3,7374924,123068,36400,7200,4776,2242,10695,32532,11155,17623,188
17,7324012,0,3663173,3660839,805472,413947,319392,372101,37015,45300,7276,11140,4636,17528,48927,2040089,357653,204278,3,7349053,122623,37015,7276,4636,2246,10829,32225,11140,17528,193
18,7300083,0,3650959,3649124,832662,412412,314532,367812,37609,44790,7101,11086,4667,17430,49377,2074558,351585,200468,3,7324012,122895,37609,7101,4667,2193,10759,31838,11086,17430,203
19,7277404,0,3639443,3637961,860911,410845,309809,363614,38855,44591,6912,11038,4584,17401,50351,2107022,345813,196731,3,7300083,122683,38855,6912,4584,2343,10791,31457,11038,17401,203
20,7256171,0,3628944,3627227,889232,408939,305383,359287,38977,43272,6853,11117,4448,17122,50278,2139002,340151,193165,3,7277404,123381,38977,6853,4448,2256,10445,30571,11117,17122,204
21,7235694,0,3618940,3616754,917955,407296,300849,354762,39384,43071,6820,11070,4412,16952,50616,2169010,334524,189679,3,7256171,121789,39384,6820,4412,2263,10697,30111,11070,16952,200
22,7216873,0,3609334,3607539,947795,405678,296915,350580,40575,42140,6567,11046,4314,17091,51456,2197335,329212,186303,3,7235694,121709,40575,6567,4314,2326,10560,29254,11046,17091,186
23,7198130,0,3600304,3597826,977093,404146,292886,346455,40382,41676,6581,11089,4304,17245,51267,2224882,323988,182990,3,7216873,121733,40382,6581,4304,2415,10469,28792,11089,17245,178
