tick,entry_stream,area,count
0,birth_slot,0,291664
0,birth_slot,1,292930
0,birth_slot,2,292068
0,birth_slot,3,293333
0,overseas_slot,0,123064
0,overseas_slot,1,122812
0,overseas_slot,2,122078
0,overseas_slot,3,123331
0,internal_slot,0,74005
0,internal_slot,1,74272
0,internal_slot,2,73751
0,internal_slot,3,73861
1,birth_slot,0,305210
1,birth_slot,1,306641
1,birth_slot,2,305287
1,birth_slot,3,306794
1,overseas_slot,0,120926
1,overseas_slot,1,120642
1,overseas_slot,2,119945
1,overseas_slot,3,121204
1,internal_slot,0,73011
1,internal_slot,1,73288
1,internal_slot,2,72727
1,internal_slot,3,72841
2,birth_slot,0,317907
2,birth_slot,1,319524
2,birth_slot,2,317930
2,birth_slot,3,319590
2,overseas_slot,0,118853
2,overseas_slot,1,118619
2,overseas_slot,2,117780
2,overseas_slot,3,119135
2,internal_slot,0,72002
2,internal_slot,1,72311
2,internal_slot,2,71750
2,internal_slot,3,71820
3,birth_slot,0,330300
3,birth_slot,1,331824
3,birth_slot,2,330556
3,birth_slot,3,331850
3,overseas_slot,0,116794
3,overseas_slot,1,116598
3,overseas_slot,2,115674
3,overseas_slot,3,117042
3,internal_slot,0,71022
3,internal_slot,1,71338
3,internal_slot,2,70741
3,internal_slot,3,70887
4,birth_slot,0,342055
4,birth_slot,1,343502
4,birth_slot,2,342495
4,birth_slot,3,343790
4,overseas_slot,0,114808
4,overseas_slot,1,114547
4,overseas_slot,2,113790
4,overseas_slot,3,115088
4,internal_slot,0,70071
4,internal_slot,1,70393
4,internal_slot,2,69797
4,internal_slot,3,69959
5,birth_slot,0,353448
5,birth_slot,1,354795
5,birth_slot,2,353976
5,birth_slot,3,355088
5,overseas_slot,0,112861
5,overseas_slot,1,112629
5,overseas_slot,2,111835
5,overseas_slot,3,113215
5,internal_slot,0,69183
5,internal_slot,1,69399
5,internal_slot,2,68904
5,internal_slot,3,69025
6,birth_slot,0,363992
6,birth_slot,1,365735
6,birth_slot,2,364950
6,birth_slot,3,366325
6,overseas_slot,0,110895
6,overseas_slot,1,110810
6,overseas_slot,2,109966
6,overseas_slot,3,111398
6,internal_slot,0,68298
6,internal_slot,1,68516
6,internal_slot,2,68034
6,internal_slot,3,68116
7,birth_slot,0,374568
7,birth_slot,1,376068
7,birth_slot,2,375692
7,birth_slot,3,377174
7,overseas_slot,0,109065
7,overseas_slot,1,109003
7,overseas_slot,2,108133
7,overseas_slot,3,109574
7,internal_slot,0,67382
7,internal_slot,1,67647
7,internal_slot,2,67154
7,internal_slot,3,67226
8,birth_slot,0,384427
8,birth_slot,1,386031
8,birth_slot,2,385577
8,birth_slot,3,387083
8,overseas_slot,0,107247
8,overseas_slot,1,107282
8,overseas_slot,2,106411
8,overseas_slot,3,107863
8,internal_slot,0,66526
8,internal_slot,1,66812
8,internal_slot,2,66309
8,internal_slot,3,66342
9,birth_slot,0,393902
9,birth_slot,1,395695
9,birth_slot,2,395572
9,birth_slot,3,396596
9,overseas_slot,0,105524
9,overseas_slot,1,105583
9,overseas_slot,2,104665
9,overseas_slot,3,106181
9,internal_slot,0,65703
9,internal_slot,1,65953
9,internal_slot,2,65473
9,internal_slot,3,65500
10,birth_slot,0,403311
10,birth_slot,1,404975
10,birth_slot,2,404570
10,birth_slot,3,405663
10,overseas_slot,0,103808
10,overseas_slot,1,103903
10,overseas_slot,2,103001
10,overseas_slot,3,104495
10,internal_slot,0,64880
10,internal_slot,1,65139
10,internal_slot,2,64640
10,internal_slot,3,64674
11,birth_slot,0,412151
11,birth_slot,1,413796
11,birth_slot,2,413384
11,birth_slot,3,414504
11,overseas_slot,0,102198
11,overseas_slot,1,102346
11,overseas_slot,2,101365
11,overseas_slot,3,102861
11,internal_slot,0,64095
11,internal_slot,1,64352
11,internal_slot,2,63814
11,internal_slot,3,63879
12,birth_slot,0,420354
12,birth_slot,1,422430
12,birth_slot,2,421536
12,birth_slot,3,423132
12,overseas_slot,0,100648
12,overseas_slot,1,100717
12,overseas_slot,2,99747
12,overseas_slot,3,101288
12,internal_slot,0,63218
12,internal_slot,1,63573
12,internal_slot,2,63024
12,internal_slot,3,63131
13,birth_slot,0,428360
13,birth_slot,1,430554
13,birth_slot,2,429156
13,birth_slot,3,431210
13,overseas_slot,0,99105
13,overseas_slot,1,99184
13,overseas_slot,2,98170
13,overseas_slot,3,99727
13,internal_slot,0,62477
13,internal_slot,1,62873
13,internal_slot,2,62246
13,internal_slot,3,62406
14,birth_slot,0,436324
14,birth_slot,1,438262
14,birth_slot,2,437084
14,birth_slot,3,438887
14,overseas_slot,0,97665
14,overseas_slot,1,97741
14,overseas_slot,2,96679
14,overseas_slot,3,98199
14,internal_slot,0,61784
14,internal_slot,1,62093
14,internal_slot,2,61482
14,internal_slot,3,61653
15,birth_slot,0,443760
15,birth_slot,1,445806
15,birth_slot,2,444467
15,birth_slot,3,446193
15,overseas_slot,0,96232
15,overseas_slot,1,96289
15,overseas_slot,2,95215
15,overseas_slot,3,96713
15,internal_slot,0,61014
15,internal_slot,1,61356
15,internal_slot,2,60753
15,internal_slot,3,60900
16,birth_slot,0,450858
16,birth_slot,1,452694
16,birth_slot,2,451538
16,birth_slot,3,453285
16,overseas_slot,0,94778
16,overseas_slot,1,94989
16,overseas_slot,2,93837
16,overseas_slot,3,95239
