tick,entry_stream,area,count
0,birth_slot,0,289566
0,birth_slot,1,290859
0,birth_slot,2,289978
0,birth_slot,3,291171
0,overseas_slot,0,122632
0,overseas_slot,1,122391
0,overseas_slot,2,121604
0,overseas_slot,3,122881
0,internal_slot,0,73747
0,internal_slot,1,74005
0,internal_slot,2,73514
0,internal_slot,3,73577
1,birth_slot,0,297982
1,birth_slot,1,299311
1,birth_slot,2,298094
1,birth_slot,3,299464
1,overseas_slot,0,120067
1,overseas_slot,1,119772
1,overseas_slot,2,119058
1,overseas_slot,3,120282
1,internal_slot,0,72475
1,internal_slot,1,72785
1,internal_slot,2,72211
1,internal_slot,3,72274
2,birth_slot,0,305703
2,birth_slot,1,307052
2,birth_slot,2,305786
2,birth_slot,3,307237
2,overseas_slot,0,117591
2,overseas_slot,1,117332
2,overseas_slot,2,116502
2,overseas_slot,3,117786
2,internal_slot,0,71227
2,internal_slot,1,71558
2,internal_slot,2,70990
2,internal_slot,3,71003
3,birth_slot,0,312920
3,birth_slot,1,314467
3,birth_slot,2,313553
3,birth_slot,3,314492
3,overseas_slot,0,115108
3,overseas_slot,1,114925
3,overseas_slot,2,113982
3,overseas_slot,3,115324
3,internal_slot,0,70021
3,internal_slot,1,70309
3,internal_slot,2,69706
3,internal_slot,3,69840
4,birth_slot,0,319871
4,birth_slot,1,321437
4,birth_slot,2,320589
4,birth_slot,3,321725
4,overseas_slot,0,112747
4,overseas_slot,1,112459
4,overseas_slot,2,111693
4,overseas_slot,3,112980
4,internal_slot,0,68805
4,internal_slot,1,69138
4,internal_slot,2,68511
4,internal_slot,3,68668
5,birth_slot,0,326643
5,birth_slot,1,328130
5,birth_slot,2,327415
5,birth_slot,3,328360
5,overseas_slot,0,110424
5,overseas_slot,1,110167
5,overseas_slot,2,109354
5,overseas_slot,3,110730
5,internal_slot,0,67682
5,internal_slot,1,67926
5,internal_slot,2,67371
5,internal_slot,3,67497
6,birth_slot,0,332898
6,birth_slot,1,334648
6,birth_slot,2,333920
6,birth_slot,3,335084
6,overseas_slot,0,108075
6,overseas_slot,1,107971
6,overseas_slot,2,107123
6,overseas_slot,3,108569
6,internal_slot,0,66605
6,internal_slot,1,66832
6,internal_slot,2,66281
6,internal_slot,3,66333
7,birth_slot,0,339155
7,birth_slot,1,340457
7,birth_slot,2,340423
7,birth_slot,3,341722
7,overseas_slot,0,105860
7,overseas_slot,1,105844
7,overseas_slot,2,104941
7,overseas_slot,3,106399
7,internal_slot,0,65498
7,internal_slot,1,65744
7,internal_slot,2,65207
7,internal_slot,3,65233
8,birth_slot,0,345040
8,birth_slot,1,346225
8,birth_slot,2,346251
8,birth_slot,3,347508
8,overseas_slot,0,103692
8,overseas_slot,1,103799
8,overseas_slot,2,102827
8,overseas_slot,3,104375
8,internal_slot,0,64456
8,internal_slot,1,64683
8,internal_slot,2,64177
8,internal_slot,3,64115
9,birth_slot,0,350575
9,birth_slot,1,351990
9,birth_slot,2,352225
9,birth_slot,3,352871
9,overseas_slot,0,101684
9,overseas_slot,1,101831
9,overseas_slot,2,100812
9,overseas_slot,3,102392
9,internal_slot,0,63424
9,internal_slot,1,63642
9,internal_slot,2,63119
9,internal_slot,3,63100
10,birth_slot,0,355980
10,birth_slot,1,357419
10,birth_slot,2,357440
10,birth_slot,3,358144
10,overseas_slot,0,99692
10,overseas_slot,1,99855
10,overseas_slot,2,98861
10,overseas_slot,3,100399
10,internal_slot,0,62400
10,internal_slot,1,62640
10,internal_slot,2,62118
10,internal_slot,3,62077
11,birth_slot,0,361183
11,birth_slot,1,362408
11,birth_slot,2,362551
11,birth_slot,3,363234
11,overseas_slot,0,97828
11,overseas_slot,1,98056
11,overseas_slot,2,96955
11,overseas_slot,3,98521
11,internal_slot,0,61434
11,internal_slot,1,61620
11,internal_slot,2,61096
11,internal_slot,3,61090
12,birth_slot,0,365830
12,birth_slot,1,367255
12,birth_slot,2,367147
12,birth_slot,3,368041
12,overseas_slot,0,96032
12,overseas_slot,1,96162
12,overseas_slot,2,95109
12,overseas_slot,3,96663
12,internal_slot,0,60370
12,internal_slot,1,60660
12,internal_slot,2,60155
12,internal_slot,3,60151
13,birth_slot,0,370448
13,birth_slot,1,371779
13,birth_slot,2,371401
13,birth_slot,3,372557
13,overseas_slot,0,94238
13,overseas_slot,1,94339
13,overseas_slot,2,93269
