tick,sex,event_age_months,count
0,male,0,239
0,male,1,237
0,male,2,262
0,male,3,263
0,male,4,660
0,male,5,660
0,male,6,660
0,male,7,667
0,male,8,682
0,male,9,673
0,male,10,669
0,male,11,673
0,male,12,680
0,male,13,2769
0,male,14,2792
0,male,15,2703
0,male,16,2812
0,male,17,2749
0,female,0,235
0,female,1,227
0,female,2,201
0,female,3,250
0,female,4,697
0,female,5,659
0,female,6,716
0,female,7,670
0,female,8,727
0,female,9,623
0,female,10,677
0,female,11,684
0,female,12,676
0,female,13,2888
0,female,14,2692
0,female,15,2802
0,female,16,2798
0,female,17,2870
1,male,0,248
1,male,1,227
1,male,2,235
1,male,3,234
1,male,4,660
1,male,5,669
1,male,6,656
1,male,7,681
1,male,8,694
1,male,9,649
1,male,10,658
1,male,11,652
1,male,12,652
1,male,13,2795
1,male,14,2762
1,male,15,2701
1,male,16,2841
1,male,17,2937
1,male,18,32
1,female,0,226
1,female,1,205
1,female,2,273
1,female,3,268
1,female,4,658
1,female,5,685
1,female,6,654
1,female,7,655
1,female,8,653
1,female,9,660
1,female,10,715
1,female,11,669
1,female,12,681
1,female,13,2720
1,female,14,2685
1,female,15,2758
1,female,16,2753
1,female,17,2699
1,female,18,46
2,male,0,256
2,male,1,245
2,male,2,250
2,male,3,225
2,male,4,674
2,male,5,635
2,male,6,619
2,male,7,666
2,male,8,683
2,male,9,652
2,male,10,644
2,male,11,628
2,male,12,654
2,male,13,2774
2,male,14,2665
2,male,15,2680
2,male,16,2661
2,male,17,2671
2,male,18,93
2,female,0,232
2,female,1,224
2,female,2,251
2,female,3,231
2,female,4,682
2,female,5,667
2,female,6,667
2,female,7,661
2,female,8,670
2,female,9,663
2,female,10,699
2,female,11,643
2,female,12,661
2,female,13,2803
2,female,14,2805
2,female,15,2736
2,female,16,2748
2,female,17,2719
2,female,18,89
3,male,0,279
3,male,1,236
3,male,2,248
3,male,3,252
3,male,4,631
3,male,5,665
3,male,6,617
3,male,7,655
3,male,8,643
3,male,9,681
3,male,10,664
3,male,11,610
3,male,12,658
3,male,13,2636
3,male,14,2683
3,male,15,2779
3,male,16,2735
3,male,17,2614
3,male,18,131
3,female,0,266
3,female,1,232
3,female,2,227
3,female,3,238
3,female,4,630
3,female,5,673
3,female,6,647
3,female,7,663
3,female,8,663
3,female,9,728
3,female,10,719
3,female,11,607
3,female,12,661
3,female,13,2730
3,female,14,2767
3,female,15,2655
3,female,16,2674
3,female,17,2709
3,female,18,151
4,male,0,270
4,male,1,231
4,male,2,235
4,male,3,252
4,male,4,657
4,male,5,629
4,male,6,643
4,male,7,644
4,male,8,642
4,male,9,643
4,male,10,703
4,male,11,668
4,male,12,651
4,male,13,2637
4,male,14,2594
4,male,15,2522
4,male,16,2654
4,male,17,2700
4,male,18,182
4,female,0,265
4,female,1,238
4,female,2,259
4,female,3,224
4,female,4,652
4,female,5,695
4,female,6,639
4,female,7,680
4,female,8,626
4,female,9,685
4,female,10,650
4,female,11,667
4,female,12,692
4,female,13,2616
4,female,14,2635
4,female,15,2578
4,female,16,2598
4,female,17,2605
4,female,18,174
5,male,0,280
5,male,1,232
5,male,2,245
5,male,3,266
5,male,4,679
5,male,5,646
5,male,6,652
5,male,7,642
5,male,8,618
5,male,9,721
5,male,10,694
5,male,11,630
5,male,12,664
5,male,13,2626
5,male,14,2530
5,male,15,2643
5,male,16,2565
5,male,17,2619
5,male,18,209
5,female,0,294
5,female,1,258
5,female,2,223
5,female,3,243
5,female,4,635
5,female,5,643
5,female,6,647
5,female,7,683
5,female,8,590
5,female,9,615
5,female,10,710
5,female,11,662
5,female,12,625
5,female,13,2559
5,female,14,2696
5,female,15,2664
5,female,16,2661
5,female,17,2611
5,female,18,215
6,male,0,294
6,male,1,262
6,male,2,234
6,male,3,246
6,male,4,656
6,male,5,642
6,male,6,645
6,male,7,696
6,male,8,675
6,male,9,691
6,male,10,667
6,male,11,635
6,male,12,654
6,male,13,2645
6,male,14,2500
6,male,15,2573
6,male,16,2628
6,male,17,2547
6,male,18,240
6,female,0,295
6,female,1,250
6,female,2,208
6,female,3,239
6,female,4,691
6,female,5,676
6,female,6,681
6,female,7,661
6,female,8,667
6,female,9,670
6,female,10,655
6,female,11,632
6,female,12,643
6,female,13,2628
6,female,14,2492
6,female,15,2457
6,female,16,2609
6,female,17,2544
6,female,18,271
7,male,0,303
7,male,1,212
7,male,2,207
7,male,3,233
7,male,4,649
7,male,5,638
7,male,6,626
7,male,7,662
7,male,8,694
7,male,9,609
7,male,10,623
7,male,11,675
7,male,12,646
7,male,13,2502
7,male,14,2566
7,male,15,2559
7,male,16,2420
7,male,17,2430
7,male,18,296
7,female,0,330
7,female,1,239
7,female,2,248
7,female,3,269
7,female,4,681
7,female,5,695
7,female,6,652
7,female,7,649
7,female,8,651
7,female,9,635
7,female,10,647
7,female,11,643
7,female,12,688
7,female,13,2499
7,female,14,2523
7,female,15,2586
