tick,population_p05,population_p25,population_p50,population_p75,population_p95,invalid_age_p05,invalid_age_p25,invalid_age_p50,invalid_age_p75,invalid_age_p95,males_p05,males_p25,males_p50,males_p75,males_p95,females_p05,females_p25,females_p50,females_p75,females_p95,age_00_04_p05,age_00_04_p25,age_00_04_p50,age_00_04_p75,age_00_04_p95,age_20_24_p05,age_20_24_p25,age_20_24_p50,age_20_24_p75,age_20_24_p95,age_65_69_p05,age_65_69_p25,age_65_69_p50,age_65_69_p75,age_65_69_p95,age_85_plus_p05,age_85_plus_p25,age_85_plus_p50,age_85_plus_p75,age_85_plus_p95,births_this_tick_p05,births_this_tick_p25,births_this_tick_p50,births_this_tick_p75,births_this_tick_p95,deaths_this_tick_p05,deaths_this_tick_p25,deaths_this_tick_p50,deaths_this_tick_p75,deaths_this_tick_p95,overseas_arrivals_this_tick_p05,overseas_arrivals_this_tick_p25,overseas_arrivals_this_tick_p50,overseas_arrivals_this_tick_p75,overseas_arrivals_this_tick_p95,overseas_departures_this_tick_p05,overseas_departures_this_tick_p25,overseas_departures_this_tick_p50,overseas_departures_this_tick_p75,overseas_departures_this_tick_p95,internal_arrivals_this_tick_p05,internal_arrivals_this_tick_p25,internal_arrivals_this_tick_p50,internal_arrivals_this_tick_p75,internal_arrivals_this_tick_p95,internal_departures_this_tick_p05,internal_departures_this_tick_p25,internal_departures_this_tick_p50,internal_departures_this_tick_p75,internal_departures_this_tick_p95,locked_out_p05,locked_out_p25,locked_out_p50,locked_out_p75,locked_out_p95,vacant_birth_slots_p05,vacant_birth_slots_p25,vacant_birth_slots_p50,vacant_birth_slots_p75,vacant_birth_slots_p95,vacant_overseas_slots_p05,vacant_overseas_slots_p25,vacant_overseas_slots_p50,vacant_overseas_slots_p75,vacant_overseas_slots_p95,vacant_internal_slots_p05,vacant_internal_slots_p25,vacant_internal_slots_p50,vacant_internal_slots_p75,vacant_internal_slots_p95,max_generation_p05,max_generation_p25,max_generation_p50,max_generation_p75,max_generation_p95,fired_age_monthly_p05,fired_age_monthly_p25,fired_age_monthly_p50,fired_age_monthly_p75,fired_age_monthly_p95,fired_clear_event_p05,fired_clear_event_p25,fired_clear_event_p50,fired_clear_event_p75,fired_clear_event_p95,fired_birth_activate_p05,fired_birth_activate_p25,fired_birth_activate_p50,fired_birth_activate_p75,fired_birth_activate_p95,fired_overseas_arrive_p05,fired_overseas_arrive_p25,fired_overseas_arrive_p50,fired_overseas_arrive_p75,fired_overseas_arrive_p95,fired_internal_arrive_p05,fired_internal_arrive_p25,fired_internal_arrive_p50,fired_internal_arrive_p75,fired_internal_arrive_p95,fired_die_young_p05,fired_die_young_p25,fired_die_young_p50,fired_die_young_p75,fired_die_young_p95,fired_die_adult_p05,fired_die_adult_p25,fired_die_adult_p50,fired_die_adult_p75,fired_die_adult_p95,fired_die_old_p05,fired_die_old_p25,fired_die_old_p50,fired_die_old_p75,fired_die_old_p95,fired_emigrate_p05,fired_emigrate_p25,fired_emigrate_p50,fired_emigrate_p75,fired_emigrate_p95,fired_internal_depart_p05,fired_internal_depart_p25,fired_internal_depart_p50,fired_internal_depart_p75,fired_internal_depart_p95,deferred_total_p05,deferred_total_p25,deferred_total_p50,deferred_total_p75,deferred_total_p95
0,794969,796467,797351,798437,798844,0,0,0,0,0,398115,398758,399179,399767,399947,396854,397688,398182,398687,398899,45449,45714,46163,46951,47151,44273,44306,44315,44350,44396,43526,43888,43988,44029,44118,44146,44497,44623,44659,44723,2201,2440,2960,3704,3884,2944,3323,3770,4277,6002,794,901,1072,1191,1306,1111,1480,1529,1669,1818,383,447,509,591,701,1405,1564,1836,2120,2786,3686,3975,4649,5163,5597,116116,116296,117137,117560,117799,48694,48809,48966,49099,49206,29299,29409,29498,29553,29617,1,1,1,1,1,800000,800000,800000,800000,800000,0,0,0,0,0,2201,2440,2960,3704,3884,794,901,1072,1191,1306,383,447,509,591,701,143,163,183,197,248,912,1042,1177,1399,1623,1757,2128,2323,2843,4464,1111,1480,1529,1669,1818,1405,1564,1836,2120,2786,11,16,19,21,28
1,789668,793014,794713,796848,797496,0,0,0,0,0,395473,397042,397775,398978,399161,394297,395943,396938,397857,398323,46728,47184,48101,49582,50045,44038,44097,44148,44178,44281,42584,43281,43457,43546,43643,43763,44438,44654,44786,44946,2185,2390,2874,3560,3819,2863,3344,3720,4193,5784,746,948,1069,1128,1336,1064,1397,1550,1679,1826,386,455,518,593,654,1385,1575,1788,2163,2720,3658,3931,4671,4943,5297,118695,120315,121298,122502,123405,47358,47681,47965,48121,48453,28655,28802,28990,29098,29230,1,1,1,1,1,794969,796467,797351,798437,798844,10445,10872,11951,12551,14052,2185,2390,2874,3560,3819,746,948,1069,1128,1336,386,455,518,593,654,142,155,165,186,221,907,1022,1164,1340,1648,1765,2065,2332,2789,4428,1064,1397,1550,1679,1826,1385,1575,1788,2163,2720,12,16,20,23,37
2,784922,789551,792211,795297,796294,0,0,0,0,0,393108,395317,396603,398176,398530,391906,394234,395645,397113,397766,48119,48666,50174,52326,53042,43773,43841,43936,44000,44173,41751,42758,43047,43112,43330,43348,44327,44642,44843,45098,2227,2404,3002,3696,3947,2858,3303,3624,4166,5575,772,859,1028,1140,1233,1086,1325,1530,1649,1806,380,431,517,590,613,1371,1537,1815,2201,2630,3714,3955,4615,5012,5496,121334,123508,125157,127540,129784,46125,46541,47028,47277,47681,28049,28230,28476,28690,28850,2,2,2,2,2,789668,793014,794713,796848,797496,10378,10866,11780,12302,13505,2227,2404,3002,3696,3947,772,859,1028,1140,1233,380,431,517,590,613,140,161,183,196,238,885,1055,1172,1313,1640,1744,2087,2284,2742,4235,1086,1325,1530,1649,1806,1371,1537,1815,2201,2630,13,15,21,24,30
3,780355,786235,789890,793878,794992,0,0,0,0,0,390854,393655,395323,397504,397917,389513,392580,394567,396374,397101,49542,50276,52376,55209,56108,43585,43656,43780,43864,44111,40920,42258,42566,42674,42908,42963,44250,44680,44905,45248,2322,2528,3089,3830,4045,2953,3258,3684,4092,5556,704,856,1002,1108,1279,1034,1403,1561,1676,1779,386,416,495,565,646,1403,1558,1834,2167,2704,3697,4028,4738,5263,5585,123940,126585,129041,132529,135813,44857,45396,46133,46429,46984,27410,27690,28040,28294,28482,2,2,2,2,2,784922,789551,792211,795297,796294,10370,10850,11925,12297,13832,2322,2528,3089,3830,4045,704,856,1002,1108,1279,386,416,495,565,646,143,152,177,188,232,867,1024,1113,1358,1580,1796,2104,2181,2688,4251,1034,1403,1561,1676,1779,1403,1558,1834,2167,2704,13,15,17,23,29
4,775969,782869,787634,792381,793800,0,0,0,0,0,388652,391925,394300,396809,397333,387317,390944,393334,395568,396467,51085,51985,54695,58216,59243,43343,43424,43556,43674,43962,40146,41739,42150,42287,42569,42600,44152,44709,44970,45453,2500,2640,3127,3863,4139,2867,3217,3664,4084,5460,738,860,960,1079,1227,1085,1386,1549,1655,1881,333,413,494,537,662,1338,1563,1800,2125,2552,3860,4168,4701,5243,5621,126350,129454,132960,137211,141840,43633,44291,45205,45550,46253,26763,27154,27583,27869,28155,2,2,2,2,2,780355,786235,789890,793878,794992,10268,10858,11872,12481,13620,2500,2640,3127,3863,4139,738,860,960,1079,1227,333,413,494,537,662,148,162,179,204,219,920,1031,1163,1358,1516,1711,2056,2266,2677,4168,1085,1386,1549,1655,1881,1338,1563,1800,2125,2552,11,15,19,23,31
5,772080,779792,785484,791158,792667,0,0,0,0,0,386822,390424,393176,396107,396728,385258,389368,392308,395051,395939,52617,53756,57114,61276,62615,43066,43173,43327,43458,43818,39429,41277,41735,41938,42241,42229,44053,44712,45044,45608,2475,2734,3270,3979,4230,2951,3219,3680,4091,5355,720,841,935,1077,1140,1070,1346,1530,1687,1785,356,401,501,533,639,1338,1493,1777,2151,2609,3853,4211,4766,5273,5774,128800,132397,136866,141803,147433,42515,43244,44328,44732,45550,26140,26639,27114,27478,27810,2,2,2,2,2,775969,782869,787634,792381,793800,10315,10814,12038,12432,13802,2475,2734,3270,3979,4230,720,841,935,1077,1140,356,401,501,533,639,126,159,179,193,202,902,1040,1175,1336,1565,1701,2046,2190,2641,4014,1070,1346,1530,1687,1785,1338,1493,1777,2151,2609,12,16,17,21,26
6,768376,776979,783610,789849,791833,0,0,0,0,0,384930,389062,392210,395395,396350,383446,387917,391400,394388,395482,54345,55587,59316,64316,65890,42852,42990,43183,43348,43722,38651,40776,41307,41510,41885,41822,44013,44731,45063,45787,2666,2817,3171,4058,4366,2889,3219,3699,3938,5469,725,840,911,1054,1165,1041,1285,1534,1656,1853,351,406,503,530,579,1340,1526,1884,2186,2575,4026,4243,4725,5322,5883,131038,135230,140549,146174,152500,41374,42317,43448,43925,44843,25586,26099,26624,27063,27466,2,2,2,2,2,772080,779792,785484,791158,792667,10337,10923,11930,12488,13885,2666,2817,3171,4058,4366,725,840,911,1054,1165,351,406,503,530,579,137,155,184,208,231,910,994,1131,1299,1563,1720,2038,2221,2616,4094,1041,1285,1534,1656,1853,1340,1526,1884,2186,2575,11,16,19,26,32
7,765040,774033,781731,788662,790961,0,0,0,0,0,383301,387586,391183,394731,395899,381739,386447,390548,393931,395001,56013,57546,61782,67435,69275,42589,42773,42962,43159,43540,37915,40230,40798,41095,41479,41478,43896,44722,45133,45974,2749,2931,3427,4032,4445,2857,3213,3619,4032,5118,716,799,891,1001,1072,1039,1403,1492,1593,1829,349,430,464,498,643,1351,1516,1819,2135,2630,4029,4388,4825,5278,5979,133237,137813,144069,150230,157428,40367,41357,42591,43151,44151,24974,25624,26179,26646,27126,2,2,2,2,3,768376,776979,783610,789849,791833,10479,11036,12154,12367,13943,2749,2931,3427,4032,4445,716,799,891,1001,1072,349,430,464,498,643,145,161,180,214,231,879,1017,1104,1284,1673,1650,2035,2170,2587,3783,1039,1403,1492,1593,1829,1351,1516,1819,2135,2630,12,16,19,23,26
8,761745,771309,780080,787296,790037,0,0,0,0,0,381649,386129,390343,394014,395447,380096,385180,389737,393304,394590,57753,59524,64137,70624,72973,42415,42595,42799,43073,43466,37244,39751,40335,40673,41123,41058,43754,44622,45131,46063,2752,2987,3384,4250,4733,2865,3237,3609,3967,5030,704,818,883,1015,1095,1067,1333,1503,1671,1807,336,397,438,493,562,1349,1479,1829,2103,2642,4011,4379,4823,5368,6178,135348,140436,147073,154398,161970,39323,40358,41748,42350,43472,24438,25159,25772,26269,26812,2,2,2,3,3,765040,774033,781731,788662,790961,10359,10959,12096,12465,13805,2752,2987,3384,4250,4733,704,818,883,1015,1095,336,397,438,493,562,136,163,190,206,241,876,1013,1158,1362,1670,1674,1988,2138,2529,3768,1067,1333,1503,1671,1807,1349,1479,1829,2103,2642,10,18,22,23,26
9,758516,768664,778475,786301,789235,0,0,0,0,0,380040,384878,389522,393462,395073,378476,383786,388953,392839,394162,59565,61579,66627,73772,76601,42206,42427,42634,42957,43375,36557,39275,39923,40261,40732,40650,43655,44615,45161,46181,2846,3063,3543,4270,4718,2820,3143,3543,3843,5067,709,793,876,972,1075,1049,1311,1517,1637,1795,323,406,447,496,575,1376,1516,1747,2028,2644,4094,4396,4918,5543,6036,137158,142954,150246,158276,166403,38305,39482,40905,41597,42792,23919,24644,25305,25895,26527,2,2,3,3,3,761745,771309,780080,787296,790037,10550,10954,11941,12455,14198,2846,3063,3543,4270,4718,709,793,876,972,1075,323,406,447,496,575,147,173,195,211,256,862,985,1118,1313,1445,1682,1977,2157,2487,3719,1049,1311,1517,1637,1795,1376,1516,1747,2028,2644,13,16,19,21,27
