Generating SQLite file cuda-workers-2-trace.sqlite from cuda-workers-2-trace.nsys-rep
Processing [cuda-workers-2-trace.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
12.9,46742383,3840,12172.5,10976.0,6880,165825,4954.1,sembla_prepare_effects
10.3,37434901,192,194973.4,198977.0,25056,327425,49992.2,sembla_bound_grouped_view
8.6,31038850,1824,17016.9,16736.0,15072,126337,3125.2,sembla_observe_view
7.9,28441026,12096,2351.3,1760.0,1312,31520,1875.9,sembla_advance_validation_phase
7.6,27630346,3840,7195.4,6624.0,5632,49281,2758.8,sembla_check_candidate_errors
7.3,26471195,288,91913.9,76624.5,8000,217281,74213.7,sembla_observe_grouped_view
6.2,22280587,288,77363.1,76736.0,73665,83648,2713.3,sembla_count_deferred
6.0,21731796,3840,5659.3,5088.5,4384,49600,2153.4,sembla_validate_claims
4.2,15039595,3840,3916.6,2880.0,2720,37664,2839.7,sembla_validate_transition
3.1,11209837,960,11676.9,11456.0,10176,16864,997.4,sembla_count_fired
2.8,10243831,4032,2540.6,2016.0,1536,28768,1400.2,sembla_commit_validation_status
2.6,9451638,96,98454.6,97264.0,92512,248673,15799.2,sembla_resolve_conflicts
2.5,8877005,960,9246.9,6560.0,4704,50081,7062.1,sembla_mark_effect_active
2.1,7613688,96,79309.3,77760.0,75361,189121,11765.6,sembla_build_claim_instances
2.0,7247714,96,75497.0,76368.0,65920,79841,2837.2,sembla_apply_effects
1.6,5933529,384,15451.9,14096.0,12128,39936,3460.0,sembla_validate_effects
1.2,4486488,96,46734.3,46208.0,41760,73664,4333.0,sembla_reduce_claim_instances
1.2,4473393,96,46597.8,45328.0,41088,78977,6100.8,sembla_reduce_claim_entities
1.1,3946419,96,41108.5,40256.0,34560,62496,3310.1,sembla_reduce_claim_keys
1.1,3826295,96,39857.2,39248.0,36640,57728,2883.1,sembla_reduce_claim_rules
0.6,2312151,96,24084.9,24592.5,19105,34049,2742.2,sembla_init_conflict_winners
0.6,2295909,96,23915.7,23168.0,22752,39745,2291.9,sembla_init_effect_owners
0.6,2210313,96,23024.1,20480.0,19808,163201,15307.7,sembla_transition_00000005
0.6,2182220,96,22731.5,20560.5,18304,56640,6907.7,sembla_transition_00000007
0.6,2089613,96,21766.8,19408.5,17248,134785,12874.9,sembla_transition_00000008
0.6,2078728,96,21653.4,20608.0,18048,83201,7839.3,sembla_transition_00000006
0.6,2001547,96,20849.4,19136.5,17248,73697,7907.5,sembla_transition_00000009
0.5,1954184,96,20356.1,19968.0,18304,26208,1329.5,sembla_transition_00000002
0.5,1896679,96,19757.1,19728.0,17888,24576,1381.9,sembla_transition_00000003
0.5,1888937,96,19676.4,19120.0,17824,40609,2539.6,sembla_transition_00000004
0.5,1675175,96,17449.7,16992.0,15328,24160,1744.4,sembla_transition_00000001
0.5,1636805,96,17050.1,16800.0,15488,25952,1383.2,sembla_transition_00000000
0.3,1076870,288,3739.1,3424.0,1344,29376,3684.7,sembla_init_grouped_histogram
0.3,1036866,384,2700.2,2880.0,1152,6848,1000.0,sembla_validate_outputs
0.1,340257,96,3544.3,2624.0,1344,20640,3814.2,sembla_init_grouped_extrema
0.1,282785,96,2945.7,3056.0,1632,4576,881.0,sembla_init_observations
0.1,281121,96,2928.3,3072.0,1280,16160,1739.9,sembla_reset_status
0.1,276128,96,2876.3,3200.0,1536,4352,960.1,sembla_prepare_outputs
0.1,240610,96,2506.4,2272.0,1344,4832,936.4,sembla_init_validation_scratch
0.1,188192,96,1960.3,1504.0,1280,4192,861.5,sembla_init_control_counts
0.0,176577,96,1839.3,1376.0,1152,4256,876.1,sembla_validate_claim_compatibility

